Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,44.71,45.89,44.47,45.15,575100,0.0,0
2009-12-08,44.79,44.99,43.69,43.93,1051800,0.0,0
2009-12-09,44.13,44.41,42.83,43.39,1076900,0.0,0
2009-12-10,44.13,44.87,43.46,44.73,979300,0.0,0
2009-12-11,45.03,45.68,44.6,44.7,734900,0.0,0
2009-12-14,45.59,47.13,45.59,46.75,920300,0.0,0
2009-12-15,46.74,47.25,46.34,47.12,698500,0.0,0
2009-12-16,47.53,48.38,47.25,48.01,698400,0.0,0
2009-12-17,47.58,48.41,47.15,48.17,938500,0.0,0
2009-12-18,48.73,49.19,48.34,48.41,1028900,0.0,0
2009-12-21,48.62,48.93,48.47,48.74,644700,0.0,0
2009-12-22,48.85,49.24,48.3,49.12,299200,0.0,0
2009-12-23,49.35,50.12,49.02,49.87,458600,0.0,0
2009-12-24,50.31,50.5,49.89,50.5,163700,0.0,0
2009-12-28,50.88,51.28,50.23,50.65,408900,0.0,0
2009-12-29,50.77,51.27,50.31,50.59,529100,0.0,0
2009-12-30,50.4,50.84,50.05,50.71,336600,0.0,0
2009-12-31,50.82,50.94,49.78,49.79,391700,0.0,0
2010-01-04,50.79,51.86,50.65,51.86,627500,0.0,0
2010-01-05,51.72,51.94,50.95,51.77,732600,0.0,0
2010-01-06,51.64,51.95,51.45,51.69,1140500,0.0,0
2010-01-07,51.43,51.79,50.37,50.87,912500,0.0,0
2010-01-08,50.6,51.82,50.44,51.82,609500,0.0,0
2010-01-11,51.92,52.64,50.02,51.16,695900,0.0,0
2010-01-12,50.6,51.38,50.17,50.41,569900,0.0,0
2010-01-13,50.46,52.12,49.68,52.03,550400,0.0,0
2010-01-14,51.9,54.66,51.68,52.82,885900,0.0,0
2010-01-15,52.8,53.4,51.39,51.45,565300,0.0,0
2010-01-19,51.29,51.58,50.29,51.47,542300,0.0,0
2010-01-20,50.67,51.05,49.83,50.88,721200,0.0,0
2010-01-21,51.14,52.11,50.56,50.71,820300,0.0,0
2010-01-22,50.55,50.86,49.51,49.79,691300,0.0,0
2010-01-25,50.42,51.29,50.38,50.83,583200,0.0,0
2010-01-26,50.43,51.41,49.59,50.35,539700,0.0,0
2010-01-27,50.1,50.84,48.34,49.47,553000,0.0,0
2010-01-28,49.81,49.82,47.68,48.52,545600,0.0,0
2010-01-29,48.9,48.95,46.2,46.26,1127800,0.0,0
2010-02-01,46.72,48.04,46.66,48.04,336000,0.0,0
2010-02-02,48.27,49.06,47.57,48.96,361600,0.0,0
2010-02-03,48.72,49.11,48.21,48.75,858700,0.0,0
2010-02-04,48.17,48.17,45.99,46.45,981900,0.0,0
2010-02-05,47.12,47.55,45.76,47.53,1280400,0.0,0
2010-02-08,47.94,50.38,47.93,49.15,1313800,0.0,0
2010-02-09,50.01,51.68,50.01,51.08,2201500,0.0,0
2010-02-10,50.72,51.35,49.72,50.83,786700,0.06,0
2010-02-11,50.82,52.5,50.59,52.2,871300,0.0,0
2010-02-12,51.19,52.91,51.1,52.58,1029100,0.0,0
2010-02-16,53.69,53.96,53.04,53.49,792900,0.0,0
2010-02-17,54.72,55.91,53.03,53.65,2908900,0.0,0
2010-02-18,53.83,55.45,53.37,55.28,1098900,0.0,0
2010-02-19,55.36,56.79,55.19,56.45,1441800,0.0,0
2010-02-22,55.78,56.12,54.24,54.53,1304000,0.0,0
2010-02-23,54.22,54.57,52.93,53.31,1031600,0.0,0
2010-02-24,53.81,54.26,53.2,53.92,896400,0.0,0
2010-02-25,53.0,54.71,52.33,54.7,870700,0.0,0
2010-02-26,54.88,56.31,54.75,56.24,1017100,0.0,0
2010-03-01,56.51,57.85,56.23,57.64,1461500,0.0,0
2010-03-02,57.98,58.83,57.02,57.24,1475200,0.0,0
2010-03-03,57.41,57.41,56.44,56.62,783300,0.0,0
2010-03-04,56.6,57.29,55.74,56.28,1085300,0.0,0
2010-03-05,56.56,57.2,56.56,57.1,906600,0.0,0
2010-03-08,57.17,57.89,56.83,57.32,837800,0.0,0
2010-03-09,56.93,57.61,56.11,56.62,1025400,0.0,0
2010-03-10,56.51,58.39,56.51,58.1,1032700,0.0,0
2010-03-11,57.81,58.4,57.49,58.4,1004900,0.0,0
2010-03-12,58.58,58.75,57.71,58.74,724000,0.0,0
2010-03-15,58.48,58.72,56.48,57.57,1067400,0.0,0
2010-03-16,57.93,59.37,57.45,58.52,1336900,0.0,0
2010-03-17,58.76,59.17,57.38,57.68,860000,0.0,0
2010-03-18,57.51,57.7,54.89,55.49,1465000,0.0,0
2010-03-19,54.49,55.84,53.46,54.49,1133100,0.0,0
2010-03-22,53.88,54.87,53.42,54.76,638600,0.0,0
2010-03-23,54.9,56.16,54.89,56.07,607100,0.0,0
2010-03-24,55.52,56.46,55.4,55.41,845400,0.0,0
2010-03-25,56.01,56.38,53.68,53.76,813300,0.0,0
2010-03-26,54.06,54.37,53.16,53.51,744600,0.0,0
2010-03-29,53.8,55.61,53.73,55.21,653500,0.0,0
2010-03-30,55.43,55.59,54.25,55.26,1003900,0.0,0
2010-03-31,55.19,56.78,54.68,55.88,1052200,0.0,0
2010-04-01,56.44,57.21,56.04,56.79,880300,0.0,0
2010-04-05,57.21,58.49,57.12,58.18,691800,0.0,0
2010-04-06,57.94,59.26,57.89,58.69,1106700,0.0,0
2010-04-07,58.44,58.61,57.07,57.55,1066500,0.0,0
2010-04-08,57.07,58.44,56.0,57.85,1013800,0.0,0
2010-04-09,57.98,59.26,57.87,59.18,888600,0.0,0
2010-04-12,59.33,60.46,58.99,59.46,1051400,0.0,0
2010-04-13,59.18,59.46,58.05,58.64,943700,0.0,0
2010-04-14,59.21,59.99,58.84,59.85,1067100,0.0,0
2010-04-15,59.57,61.1,59.57,60.73,1110500,0.0,0
2010-04-16,60.23,61.08,59.52,60.08,1431700,0.0,0
2010-04-19,59.65,61.14,58.72,60.93,1428700,0.0,0
2010-04-20,61.39,62.37,61.18,61.37,1204000,0.0,0
2010-04-21,61.29,61.35,59.88,60.29,1148600,0.0,0
2010-04-22,59.52,60.84,59.0,60.62,784000,0.0,0
