Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,32.22,32.48,32.01,32.1,588400,0.0,0
2009-12-08,31.99,32.3,31.62,31.84,983500,0.0,0
2009-12-09,31.72,31.77,31.39,31.7,741300,0.0,0
2009-12-10,31.96,32.49,31.88,32.36,878700,0.0,0
2009-12-11,32.42,32.61,32.11,32.57,1276200,0.0,0
2009-12-14,32.32,33.0,32.32,32.95,793400,0.0,0
2009-12-15,32.84,33.54,32.72,33.22,836400,0.0,0
2009-12-16,33.26,33.67,33.09,33.15,899100,0.0,0
2009-12-17,32.9,32.91,32.34,32.5,831400,0.0,0
2009-12-18,32.37,32.5,32.16,32.37,1749200,0.0,0
2009-12-21,32.5,32.97,32.48,32.74,854100,0.0,0
2009-12-22,32.88,33.15,32.79,33.09,489900,0.0,0
2009-12-23,33.21,33.42,32.98,33.42,581900,0.0,0
2009-12-24,33.35,33.39,33.14,33.21,203400,0.05,0
2009-12-28,33.19,33.38,33.05,33.38,435600,0.0,0
2009-12-29,33.35,33.44,33.23,33.37,439900,0.0,0
2009-12-30,33.22,33.48,33.22,33.48,575300,0.0,0
2009-12-31,33.51,33.56,33.11,33.11,489300,0.0,0
2010-01-04,33.45,33.57,33.21,33.26,1051400,0.0,0
2010-01-05,33.18,33.29,32.7,32.87,763400,0.0,0
2010-01-06,32.97,33.27,32.72,33.09,1595100,0.0,0
2010-01-07,33.03,33.56,32.84,33.52,1096100,0.0,0
2010-01-08,33.48,33.68,33.38,33.52,803600,0.0,0
2010-01-11,33.49,34.03,33.21,33.95,787300,0.0,0
2010-01-12,33.86,33.96,33.53,33.71,1002100,0.0,0
2010-01-13,33.9,34.24,33.61,34.18,814900,0.0,0
2010-01-14,34.04,34.5,33.9,34.43,710000,0.0,0
2010-01-15,34.1,34.59,33.53,33.85,879900,0.0,0
2010-01-19,33.48,34.67,33.48,34.39,581400,0.0,0
2010-01-20,34.33,34.48,33.6,34.02,844200,0.0,0
2010-01-21,33.96,34.04,32.72,32.79,1731300,0.0,0
2010-01-22,32.7,32.98,32.37,32.43,1527200,0.0,0
2010-01-25,32.57,32.63,32.27,32.46,705900,0.0,0
2010-01-26,32.31,32.45,32.13,32.23,1138500,0.0,0
2010-01-27,32.12,32.23,31.69,32.07,1186800,0.0,0
2010-01-28,32.16,32.18,31.34,31.49,1355900,0.0,0
2010-01-29,31.59,31.97,31.47,31.57,1174900,0.0,0
2010-02-01,31.71,31.79,31.43,31.62,1023900,0.0,0
2010-02-02,31.57,32.56,31.45,32.49,1969000,0.0,0
2010-02-03,32.27,32.28,31.75,31.89,1050900,0.0,0
2010-02-04,31.74,31.74,30.85,30.87,1113300,0.0,0
2010-02-05,30.94,31.01,30.22,30.78,2067300,0.0,0
2010-02-08,30.68,31.42,30.54,31.17,1924600,0.0,0
2010-02-09,31.49,32.04,31.23,31.96,1643600,0.0,0
2010-02-10,31.84,31.98,31.42,31.81,1304600,0.0,0
2010-02-11,30.49,31.29,30.49,31.08,2485300,0.0,0
2010-02-12,30.54,31.04,30.35,30.73,2325600,0.0,0
2010-02-16,30.95,31.11,30.54,31.08,1101100,0.0,0
2010-02-17,31.11,31.25,31.01,31.18,1399700,0.0,0
2010-02-18,31.19,31.46,31.14,31.36,983400,0.0,0
2010-02-19,31.23,31.34,30.94,31.01,1270400,0.0,0
2010-02-22,31.02,31.07,30.79,30.89,1299200,0.0,0
2010-02-23,30.79,31.0,30.52,30.91,1989200,0.0,0
2010-02-24,30.93,31.12,30.7,31.07,1314300,0.0,0
2010-02-25,30.65,31.08,30.63,31.01,1177200,0.0,0
2010-02-26,31.07,31.31,30.95,31.16,1415100,0.0,0
2010-03-01,31.47,31.69,31.08,31.6,784000,0.0,0
2010-03-02,31.67,31.96,31.67,31.86,905200,0.0,0
2010-03-03,31.99,32.05,31.77,31.83,822600,0.0,0
2010-03-04,31.95,32.01,31.76,31.87,758900,0.0,0
2010-03-05,31.93,32.33,31.81,32.32,867600,0.0,0
2010-03-08,32.22,32.46,32.05,32.29,604100,0.0,0
2010-03-09,32.25,32.64,32.06,32.58,1180300,0.0,0
2010-03-10,32.49,32.73,32.48,32.64,1148500,0.0,0
2010-03-11,32.58,32.81,32.42,32.77,834000,0.0,0
2010-03-12,32.91,32.94,32.56,32.74,857400,0.0,0
2010-03-15,32.75,32.86,32.58,32.74,724000,0.0,0
2010-03-16,32.67,32.76,32.53,32.61,937700,0.0,0
2010-03-17,32.58,32.72,32.51,32.64,948600,0.0,0
2010-03-18,32.94,32.94,32.38,32.44,1278100,0.0,0
2010-03-19,32.71,32.71,31.95,32.14,2984900,0.0,0
2010-03-22,32.16,32.53,32.09,32.5,867700,0.0,0
2010-03-23,32.45,32.56,32.19,32.56,579400,0.0,0
2010-03-24,32.44,32.59,32.24,32.3,589500,0.05,0
2010-03-25,32.73,32.73,32.39,32.43,867400,0.0,0
2010-03-26,32.53,32.71,32.18,32.22,633100,0.0,0
2010-03-29,32.21,32.56,32.21,32.51,414700,0.0,0
2010-03-30,32.5,32.83,32.36,32.81,709600,0.0,0
2010-03-31,32.67,33.01,32.63,32.89,1342500,0.0,0
2010-04-01,33.01,33.02,32.29,32.51,1211100,0.0,0
2010-04-05,32.53,32.86,32.45,32.62,492800,0.0,0
2010-04-06,32.4,32.94,32.37,32.87,845500,0.0,0
2010-04-07,32.84,32.88,32.33,32.41,673000,0.0,0
2010-04-08,32.32,32.46,32.12,32.37,569600,0.0,0
2010-04-09,32.33,32.67,32.33,32.66,399000,0.0,0
2010-04-12,32.66,32.68,32.4,32.56,621900,0.0,0
2010-04-13,32.56,32.87,32.38,32.87,518800,0.0,0
2010-04-14,32.79,33.19,32.64,33.18,650600,0.0,0
2010-04-15,33.03,33.46,32.98,33.42,840300,0.0,0
2010-04-16,33.39,33.52,32.82,32.95,1573900,0.0,0
2010-04-19,32.81,32.94,32.57,32.76,746300,0.0,0
2010-04-20,32.89,33.29,32.74,33.27,722900,0.0,0
2010-04-21,33.13,33.26,32.95,33.25,1245500,0.0,0
2010-04-22,33.09,33.53,32.85,33.46,1554800,0.0,0
2010-04-23,33.34,33.99,33.19,33.91,1903200,0.0,0
2010-04-26,33.93,34.54,33.77,34.26,1562800,0.0,0
2010-04-27,34.27,34.92,34.18,34.33,1642700,0.0,0
2010-04-28,34.49,35.42,34.44,34.67,1439300,0.0,0
2010-04-29,34.77,35.93,34.43,35.79,2410200,0.0,0
2010-04-30,35.74,35.97,34.55,34.56,1490500,0.0,0
2010-05-03,34.6,34.77,34.14,34.6,1252300,0.0,0
2010-05-04,34.34,34.48,33.73,33.89,1206700,0.0,0
2010-05-05,33.99,34.43,33.49,33.61,1545000,0.0,0
2010-05-06,33.44,33.8,31.18,32.72,2106000,0.0,0
