Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,19.47,19.67,19.46,19.6,4039500,0.0,0.0
2009-12-08,19.39,19.53,19.17,19.41,2677700,0.0,0.0
2009-12-09,19.38,19.38,19.01,19.19,4349500,0.0,0.0
2009-12-10,19.32,19.64,19.27,19.48,2565800,0.0,0.0
2009-12-11,19.52,19.6,19.39,19.44,1967800,0.0,0.0
2009-12-14,19.54,19.68,19.5,19.66,1865200,0.0,0.0
2009-12-15,19.59,19.73,19.48,19.61,2617000,0.0,0.0
2009-12-16,19.68,19.73,19.46,19.53,2867000,0.0,0.0
2009-12-17,19.32,19.52,19.25,19.31,2699100,0.0,0.0
2009-12-18,19.38,19.57,19.17,19.29,4618200,0.0,0.0
2009-12-21,19.42,19.64,19.22,19.62,4401700,0.0,0.0
2009-12-22,19.62,19.89,19.56,19.8,3469600,0.0,0.0
2009-12-23,19.81,19.94,19.78,19.88,3101300,0.0,0.0
2009-12-24,19.86,19.93,19.81,19.9,1058000,0.0,0.0
2009-12-28,19.9,19.97,19.83,19.94,2347600,0.0,0.0
2009-12-29,19.95,19.99,19.82,19.9,4343800,0.0,0.0
2009-12-30,19.75,20.49,19.63,20.4,5585000,0.0,0.0
2009-12-31,20.36,20.84,20.29,20.38,5224600,0.0,0.0
2010-01-04,20.59,20.75,20.42,20.53,3815500,0.0,0.0
2010-01-05,20.47,20.48,20.18,20.31,4186000,0.0,0.0
2010-01-06,20.24,20.33,20.18,20.24,3243700,0.0,0.0
2010-01-07,20.19,20.22,20.01,20.21,3095100,0.0,0.0
2010-01-08,20.1,20.24,19.94,20.2,3733900,0.0,0.0
2010-01-11,20.26,20.37,20.12,20.22,4781500,0.0,0.0
2010-01-12,20.05,20.11,19.82,19.97,2871000,0.0,0.0
2010-01-13,19.99,20.19,19.71,20.13,3418900,0.0,0.0
2010-01-14,20.07,20.49,20.01,20.43,6163700,0.0,0.0
2010-01-15,20.48,20.57,19.9,19.96,4626600,0.0,0.0
2010-01-19,19.92,20.22,19.91,20.2,3563600,0.0,0.0
2010-01-20,20.03,20.12,19.8,20.09,4589000,0.0,0.0
2010-01-21,20.33,20.41,19.8,20.02,6081400,0.0,0.0
2010-01-22,19.91,19.91,19.08,19.13,4263000,0.0,0.0
2010-01-25,19.3,19.45,19.17,19.32,3608500,0.0,0.0
2010-01-26,19.27,19.35,19.01,19.21,2696800,0.0,0.0
2010-01-27,19.15,19.21,18.85,19.13,4362100,0.0,0.0
2010-01-28,19.11,19.27,18.69,18.82,4937100,0.0,0.0
2010-01-29,18.98,19.13,18.31,18.39,5923000,0.0,0.0
2010-02-01,18.47,19.23,18.45,19.11,5585400,0.0,0.0
2010-02-02,19.17,19.41,19.08,19.35,5884700,0.0,0.0
2010-02-03,19.28,19.61,19.26,19.38,6085600,0.0,0.0
2010-02-04,19.22,19.32,18.98,19.07,6632300,0.0,0.0
2010-02-05,18.96,19.19,18.49,19.13,9546600,0.0,0.0
2010-02-08,19.16,19.47,19.11,19.15,6924100,0.0,0.0
2010-02-09,19.37,19.5,19.14,19.29,5150600,0.0,0.0
2010-02-10,19.32,19.34,18.94,19.19,3255500,0.0,0.0
2010-02-11,19.19,19.42,18.87,19.26,6982400,0.0,0.0
2010-02-12,20.11,20.16,19.4,19.67,11457800,0.0,0.0
2010-02-16,19.84,19.9,19.66,19.84,6559500,0.0,0.0
2010-02-17,19.92,20.16,19.76,20.09,4891100,0.0,0.0
2010-02-18,20.05,20.33,19.97,20.32,3313900,0.0,0.0
2010-02-19,20.23,20.51,20.09,20.47,4186100,0.0,0.0
2010-02-22,20.53,20.53,20.24,20.43,4038100,0.0,0.0
2010-02-23,20.39,20.44,20.03,20.24,4366300,0.0,0.0
2010-02-24,20.32,20.49,20.24,20.49,3945800,0.0,0.0
2010-02-25,20.23,20.42,19.83,20.39,4778500,0.0,0.0
2010-02-26,20.45,20.68,20.32,20.64,4678100,0.0,0.0
2010-03-01,20.62,21.08,20.62,21.05,4723500,0.0,0.0
2010-03-02,20.99,21.35,20.89,21.23,6018200,0.0,0.0
2010-03-03,21.27,21.35,21.19,21.28,6419600,0.0,0.0
2010-03-04,21.29,21.29,20.89,21.16,6100100,0.0,0.0
2010-03-05,21.54,21.81,21.4,21.75,7695200,0.0,0.0
2010-03-08,21.72,21.75,21.53,21.65,7017800,0.0,0.0
2010-03-09,21.6,21.86,21.56,21.82,7083300,0.0,0.0
2010-03-10,21.78,22.14,21.71,22.08,4696700,0.0,0.0
2010-03-11,21.9,22.04,21.81,22.03,3942300,0.0,0.0
2010-03-12,22.05,22.15,21.86,21.92,4015700,0.0,0.0
2010-03-15,21.86,21.97,21.67,21.85,3619200,0.0,0.0
2010-03-16,21.9,22.03,21.79,21.92,3285900,0.0,0.0
2010-03-17,21.94,22.07,21.86,21.9,3926000,0.0,0.0
2010-03-18,21.84,22.03,21.75,21.95,4494700,0.0,0.0
2010-03-19,21.92,22.08,21.73,21.92,5882500,0.0,0.0
2010-03-22,21.82,22.19,21.71,22.12,3946600,0.0,0.0
2010-03-23,22.16,22.44,22.08,22.38,5195800,0.0,0.0
2010-03-24,22.29,22.38,22.21,22.24,3791500,0.0,0.0
2010-03-25,22.37,22.79,22.35,22.66,6941300,0.0,0.0
2010-03-26,22.73,22.76,22.38,22.51,4705800,0.0,0.0
2010-03-29,22.51,22.76,22.49,22.57,5377600,0.0,0.0
2010-03-30,22.6,22.76,22.6,22.71,5980300,0.0,0.0
2010-03-31,22.66,22.68,22.49,22.56,5293300,0.0,0.0
2010-04-01,22.66,22.87,22.47,22.66,3105000,0.0,0.0
2010-04-05,22.69,22.85,22.66,22.84,3731900,0.0,0.0
2010-04-06,22.72,22.76,22.58,22.67,3499000,0.0,0.0
2010-04-07,22.61,22.66,22.39,22.49,3269500,0.0,0.0
2010-04-08,22.37,22.4,22.01,22.3,4199800,0.0,0.0
2010-04-09,22.33,22.45,22.22,22.45,3908600,0.0,0.0
2010-04-12,22.44,22.52,22.33,22.44,4134500,0.0,0.0
