Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,4.18,4.48,4.09,4.4,15081000,0.0,0.0
2009-12-08,4.36,4.51,4.22,4.26,12369500,0.0,0.0
2009-12-09,4.34,4.34,4.12,4.19,9709800,0.0,0.0
2009-12-10,4.18,4.25,4.04,4.14,7942500,0.0,0.0
2009-12-11,4.16,4.62,4.16,4.57,18680900,0.0,0.0
2009-12-14,4.67,4.77,4.48,4.49,11833600,0.0,0.0
2009-12-15,4.37,4.49,4.26,4.29,11087200,0.0,0.0
2009-12-16,4.29,4.57,4.28,4.52,8103200,0.0,0.0
2009-12-17,4.4,4.51,4.33,4.37,5044800,0.0,0.0
2009-12-18,4.36,4.38,4.09,4.29,9340400,0.0,0.0
2009-12-21,4.28,4.38,4.22,4.35,5151800,0.0,0.0
2009-12-22,4.37,4.93,4.35,4.85,25127200,0.0,0.0
2009-12-23,4.85,4.92,4.62,4.89,11296000,0.0,0.0
2009-12-24,4.92,5.11,4.89,5.09,7209600,0.0,0.0
2009-12-28,4.94,5.11,4.62,4.75,13233900,0.0,0.0
2009-12-29,4.77,4.84,4.53,4.59,10470400,0.0,0.0
2009-12-30,4.58,4.66,4.43,4.61,8461900,0.0,0.0
2009-12-31,4.66,4.7,4.57,4.58,5268600,0.0,0.0
2010-01-04,4.58,4.67,4.41,4.51,9837300,0.0,0.0
2010-01-05,4.53,5.08,4.46,5.02,25212000,0.0,0.0
2010-01-06,4.91,5.09,4.73,4.82,16597900,0.0,0.0
2010-01-07,4.79,5.14,4.78,4.96,14033400,0.0,0.0
2010-01-08,4.99,5.14,4.79,4.86,12760000,0.0,0.0
2010-01-11,4.85,4.95,4.67,4.77,10952900,0.0,0.0
2010-01-12,4.79,4.87,4.69,4.81,7870300,0.0,0.0
2010-01-13,4.84,5.2,4.75,5.19,16400500,0.0,0.0
2010-01-14,5.17,5.4,5.12,5.29,12767100,0.0,0.0
2010-01-15,5.34,5.53,5.14,5.2,10985300,0.0,0.0
2010-01-19,5.2,5.42,5.2,5.34,7807700,0.0,0.0
2010-01-20,5.35,5.57,5.31,5.43,13289100,0.0,0.0
2010-01-21,5.56,5.64,5.13,5.17,15641000,0.0,0.0
2010-01-22,5.19,5.22,4.84,4.96,11463400,0.0,0.0
2010-01-25,5.05,5.2,4.87,4.94,8168200,0.0,0.0
2010-01-26,4.93,5.0,4.78,4.78,8787500,0.0,0.0
2010-01-27,4.83,4.89,4.23,4.6,21655400,0.0,0.0
2010-01-28,4.72,4.94,4.46,4.86,19157300,0.0,0.0
2010-01-29,4.95,5.31,4.89,5.02,19094600,0.0,0.0
2010-02-01,5.14,5.33,5.06,5.3,10965100,0.0,0.0
2010-02-02,5.35,5.68,5.32,5.64,14363700,0.0,0.0
2010-02-03,5.62,5.66,5.35,5.36,9137400,0.0,0.0
2010-02-04,5.51,5.51,5.18,5.19,11591200,0.0,0.0
2010-02-05,5.2,5.71,5.14,5.57,18555800,0.0,0.0
2010-02-08,5.56,5.78,5.51,5.61,9765900,0.0,0.0
2010-02-09,5.82,6.14,5.82,6.09,20482500,0.0,0.0
2010-02-10,6.05,6.08,5.88,5.97,9782200,0.0,0.0
2010-02-11,5.96,6.17,5.89,5.98,14084500,0.0,0.0
2010-02-12,5.93,6.54,5.86,6.44,17096200,0.0,0.0
2010-02-16,6.56,6.62,6.39,6.51,21834000,0.0,0.0
2010-02-17,6.52,6.6,6.4,6.43,9148800,0.0,0.0
2010-02-18,6.39,6.44,6.29,6.37,6967700,0.0,0.0
2010-02-19,6.29,6.59,6.29,6.56,6210700,0.0,0.0
2010-02-22,6.6,6.84,6.6,6.64,11828600,0.0,0.0
2010-02-23,6.71,6.84,6.55,6.71,13810400,0.0,0.0
2010-02-24,6.76,6.82,6.68,6.78,8840200,0.0,0.0
2010-02-25,6.68,6.76,6.54,6.7,7673100,0.0,0.0
2010-02-26,6.68,7.0,6.68,6.94,8577100,0.0,0.0
2010-03-01,7.01,7.33,7.0,7.28,15370200,0.0,0.0
2010-03-02,7.32,7.4,7.1,7.27,9444100,0.0,0.0
2010-03-03,7.11,7.22,6.78,7.07,17457100,0.0,0.0
2010-03-04,7.08,7.14,6.85,6.93,8061900,0.0,0.0
2010-03-05,7.03,7.08,6.92,7.03,6454500,0.0,0.0
2010-03-08,7.05,7.16,6.91,6.93,6272800,0.0,0.0
2010-03-09,6.98,7.5,6.97,7.3,13877600,0.0,0.0
