Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,8.99,9.22,8.99,9.22,130600,0,0
2009-12-08,9.14,9.23,8.99,9.1,84300,0,0
2009-12-09,9.12,9.21,8.7,8.73,151200,0,0
2009-12-10,8.81,8.91,8.42,8.47,127100,0,0
2009-12-11,8.54,8.74,8.31,8.45,197800,0,0
2009-12-14,8.51,8.6,8.36,8.48,78900,0,0
2009-12-15,8.43,8.54,8.2,8.29,118900,0,0
2009-12-16,8.38,8.44,7.9,8.09,1058400,0,0
2009-12-17,8.02,8.26,8.01,8.1,319600,0,0
2009-12-18,8.18,8.28,8.08,8.16,352900,0,0
2009-12-21,8.2,8.55,8.18,8.54,143500,0,0
2009-12-22,8.53,8.61,8.36,8.55,137600,0,0
2009-12-23,8.59,8.87,8.59,8.83,191200,0,0
2009-12-24,8.89,8.9,8.74,8.86,38000,0,0
2009-12-28,8.86,8.99,8.73,8.79,55500,0,0
2009-12-29,8.8,8.84,8.7,8.84,119400,0,0
2009-12-30,8.78,8.93,8.76,8.9,184900,0,0
2009-12-31,8.92,8.98,8.7,8.73,106100,0,0
2010-01-04,8.86,8.92,8.7,8.74,149100,0,0
2010-01-05,8.74,8.94,8.46,8.53,134900,0,0
2010-01-06,8.52,8.6,8.36,8.4,117500,0,0
2010-01-07,8.63,8.82,8.3,8.4,580800,0,0
2010-01-08,8.38,8.55,8.11,8.23,367100,0,0
2010-01-11,8.29,8.33,8.05,8.08,98200,0,0
2010-01-12,8.06,8.15,7.8,7.89,149300,0,0
2010-01-13,7.93,8.03,7.83,7.96,139400,0,0
2010-01-14,7.95,8.26,7.92,8.25,238200,0,0
2010-01-15,8.29,8.31,7.99,8.05,199400,0,0
2010-01-19,8.09,8.36,8.09,8.35,181300,0,0
2010-01-20,8.27,8.51,8.22,8.48,183200,0,0
2010-01-21,8.47,8.57,8.36,8.51,215500,0,0
2010-01-22,8.48,8.51,8.25,8.45,351800,0,0
2010-01-25,8.54,8.54,8.22,8.25,147500,0,0
2010-01-26,8.25,8.49,8.06,8.15,226900,0,0
2010-01-27,8.09,8.31,8.08,8.27,107600,0,0
2010-01-28,8.28,8.5,7.95,8.18,308700,0,0
2010-01-29,8.08,8.37,7.92,7.92,870800,0,0
2010-02-01,8.0,8.15,7.85,7.93,299000,0,0
2010-02-02,7.92,8.09,7.9,8.03,251500,0,0
2010-02-03,7.98,8.08,7.87,8.01,240700,0,0
2010-02-04,8.0,8.44,7.95,8.27,1248500,0,0
2010-02-05,8.31,8.45,8.2,8.43,207400,0,0
2010-02-08,8.4,8.92,8.29,8.86,516900,0,0
2010-02-09,8.97,9.35,8.91,9.34,508800,0,0
2010-02-10,9.35,9.69,9.19,9.52,422100,0,0
2010-02-11,9.46,9.73,9.46,9.59,337200,0,0
2010-02-12,9.49,9.69,9.23,9.66,283300,0,0
2010-02-16,9.58,9.9,9.5,9.81,197200,0,0
