Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,23.58,23.79,23.48,23.55,3956100,0.0,0
2009-12-08,23.51,23.68,23.24,23.38,3829200,0.0,0
2009-12-09,23.31,23.59,23.1,23.59,4327800,0.0,0
2009-12-10,23.67,23.72,23.38,23.56,2997400,0.0,0
2009-12-11,23.69,23.72,23.41,23.59,3209300,0.0,0
2009-12-14,23.65,23.75,23.47,23.68,2601500,0.0,0
2009-12-15,23.75,23.79,23.49,23.56,2282700,0.0,0
2009-12-16,23.69,24.01,23.56,23.75,3635300,0.0,0
2009-12-17,23.73,23.83,23.55,23.58,2885500,0.0,0
2009-12-18,23.9,23.99,23.65,23.89,3975200,0.0,0
2009-12-21,23.99,24.21,23.92,24.08,3593500,0.0,0
2009-12-22,24.19,24.29,24.02,24.23,2045000,0.0,0
2009-12-23,24.22,24.28,24.02,24.28,1443800,0.0,0
2009-12-24,24.3,24.55,24.26,24.52,862500,0.0,0
2009-12-28,24.55,24.55,24.21,24.28,2259700,0.0,0
2009-12-29,24.28,24.31,24.1,24.23,1798700,0.0,0
2009-12-30,24.14,24.57,24.08,24.57,1849500,0.0,0
2009-12-31,24.54,24.69,24.41,24.43,1445100,0.0,0
2010-01-04,24.6,24.91,24.46,24.5,2102700,0.0,0
2010-01-05,24.5,24.61,24.3,24.47,2040100,0.0,0
2010-01-06,24.54,24.64,24.25,24.42,2105000,0.0,0
2010-01-07,24.34,24.49,24.04,24.23,2033400,0.0,0
2010-01-08,24.14,24.38,23.99,24.37,2393100,0.0,0
2010-01-11,24.43,24.44,23.86,24.23,2963900,0.0,0
2010-01-12,23.64,23.79,22.98,23.22,6868800,0.0,0
2010-01-13,23.37,23.37,22.74,23.21,5327100,0.0,0
2010-01-14,23.21,23.25,22.73,23.19,5073700,0.0,0
2010-01-15,23.1,23.1,22.38,22.41,5807800,0.0,0
2010-01-19,22.46,22.86,22.45,22.8,3906700,0.0,0
2010-01-20,22.84,22.84,22.09,22.38,4657200,0.0,0
2010-01-21,22.54,22.84,22.27,22.49,4415200,0.0,0
2010-01-22,22.52,22.52,21.4,21.48,4761400,0.0,0
2010-01-25,21.56,21.91,21.49,21.67,2937000,0.0,0
2010-01-26,21.46,21.66,21.32,21.36,3203300,0.0,0
2010-01-27,21.22,21.66,21.18,21.43,4760700,0.0,0
2010-01-28,21.4,21.43,20.6,21.01,7521600,0.0,0
