Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,24.32,24.46,23.93,23.98,3515900,0.0,0
2009-12-08,23.77,23.96,23.48,23.78,5318100,0.0,0
2009-12-09,23.71,23.82,23.4,23.53,3889000,0.0,0
2009-12-10,23.59,23.92,23.31,23.55,4944700,0.0,0
2009-12-11,23.71,23.95,23.47,23.54,4477500,0.0,0
2009-12-14,23.7,23.78,23.09,23.34,6332400,0.0,0
2009-12-15,23.41,23.93,23.31,23.65,5103200,0.0,0
2009-12-16,23.95,24.47,23.71,24.12,5149400,0.0,0
2009-12-17,23.97,24.11,23.54,23.58,3760700,0.0,0
2009-12-18,23.82,23.82,23.34,23.58,5004300,0.0,0
2009-12-21,23.74,24.12,23.7,23.77,3400600,0.0,0
2009-12-22,23.82,24.03,23.68,23.78,2677300,0.0,0
2009-12-23,23.79,24.29,23.78,24.19,2646100,0.0,0
2009-12-24,24.26,24.46,24.14,24.37,1025300,0.0,0
2009-12-28,24.36,24.51,24.27,24.42,1591100,0.0,0
2009-12-29,24.43,24.62,24.3,24.37,2181700,0.0,0
2009-12-30,24.26,24.52,24.12,24.49,1789100,0.0,0
2009-12-31,24.48,24.58,24.16,24.17,1957700,0.0,0
2010-01-04,24.3,24.58,24.19,24.29,3472500,0.0,0
2010-01-05,24.36,24.53,24.24,24.42,3458700,0.0,0
2010-01-06,24.39,24.62,24.26,24.36,3745800,0.0,0
2010-01-07,24.36,24.47,23.97,24.11,7232100,0.0,0
2010-01-08,24.02,24.08,23.56,23.81,6264700,0.0,0
2010-01-11,23.91,24.18,23.62,23.82,5019600,0.0,0
2010-01-12,23.68,23.82,23.41,23.57,4278400,0.0,0
2010-01-13,23.65,23.8,23.45,23.67,3335100,0.0,0
2010-01-14,23.61,23.91,23.54,23.73,3234000,0.0,0
2010-01-15,23.75,23.91,23.39,23.58,3693700,0.0,0
2010-01-19,23.54,23.84,23.49,23.58,4336000,0.0,0
2010-01-20,23.95,24.08,23.66,23.85,7735400,0.0,0
2010-01-21,23.88,23.92,23.48,23.5,8686100,0.0,0
2010-01-22,23.41,23.85,23.21,23.52,6270800,0.0,0
2010-01-25,23.71,23.71,22.93,22.98,6367700,0.0,0
2010-01-26,22.89,22.98,22.8,22.87,5009300,0.0,0
2010-01-27,22.86,23.07,22.79,22.97,5128500,0.0,0
2010-01-28,23.0,23.31,22.97,23.12,7374100,0.0,0
2010-01-29,23.25,23.4,22.89,23.14,6580200,0.0,0
2010-02-01,23.21,23.3,22.89,23.28,5922200,0.0,0
2010-02-02,23.48,24.55,23.44,24.42,10066300,0.0,0
2010-02-03,24.36,24.52,23.86,24.07,5960500,0.0,0
2010-02-04,23.85,23.91,23.18,23.21,6939900,0.0,0
2010-02-05,23.39,23.8,23.22,23.63,7456500,0.0,0
2010-02-08,23.63,23.73,23.04,23.07,6611200,0.0,0
2010-02-09,23.28,23.38,22.83,23.09,8241300,0.0,0
2010-02-10,23.13,23.24,22.97,23.15,4799300,0.0,0
