Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,58.77,58.96,57.81,57.81,1023600,0.0,0
2009-12-08,57.55,58.82,56.67,58.39,1231100,0.0,0
2009-12-09,58.5,59.62,58.12,59.38,778900,0.0,0
2009-12-10,59.83,60.83,59.83,60.75,692700,0.0,0
2009-12-11,61.07,61.51,60.79,60.84,757200,0.0,0
2009-12-14,61.46,62.41,61.2,62.34,837900,0.0,0
2009-12-15,62.39,62.99,61.92,62.12,654100,0.0,0
2009-12-16,62.51,62.84,61.78,62.58,677500,0.0,0
2009-12-17,61.93,62.75,61.42,61.77,709200,0.0,0
2009-12-18,61.99,62.21,61.38,62.09,986300,0.0,0
2009-12-21,62.43,63.16,61.69,61.84,668500,0.0,0
2009-12-22,62.14,62.58,61.48,61.56,532500,0.0,0
2009-12-23,61.51,62.05,61.0,61.89,405500,0.0,0
2009-12-24,61.73,62.14,61.68,61.92,124000,0.0,0
2009-12-28,62.04,62.12,61.4,62.11,407700,0.0,0
2009-12-29,62.29,62.35,61.79,62.07,327800,0.0,0
2009-12-30,61.97,62.87,61.95,62.46,346200,0.0,0
2009-12-31,62.42,62.89,61.99,62.02,399300,0.0,0
2010-01-04,62.42,63.38,62.38,63.27,794300,0.0,0
2010-01-05,63.19,63.57,62.98,63.4,369300,0.0,0
2010-01-06,63.38,64.33,63.07,63.71,922400,0.0,0
2010-01-07,63.67,64.43,62.74,64.3,948900,0.0,0
2010-01-08,65.51,65.75,64.09,64.99,1106500,0.0,0
2010-01-11,65.15,65.23,64.66,65.06,587400,0.0,0
2010-01-12,64.5,64.84,63.41,63.99,746200,0.0,0
2010-01-13,64.06,64.48,62.97,63.97,720600,0.0,0
2010-01-14,63.83,64.16,63.46,64.04,362500,0.0,0
2010-01-15,64.04,64.15,62.73,63.03,711800,0.0,0
2010-01-19,62.86,64.67,62.86,64.58,1032700,0.0,0
2010-01-20,63.87,64.76,63.65,64.46,621200,0.0,0
2010-01-21,63.27,64.09,60.02,61.29,2469900,0.0,0
2010-01-22,61.08,61.25,58.67,58.88,1409300,0.0,0
2010-01-25,59.26,59.55,57.86,57.86,858000,0.0,0
2010-01-26,57.71,58.63,57.11,58.02,859700,0.0,0
2010-01-27,57.62,58.3,56.83,58.15,1486400,0.0,0
2010-01-28,58.31,58.31,56.93,57.57,731800,0.0,0
2010-01-29,57.93,58.52,57.07,57.1,931700,0.0,0
2010-02-01,57.44,58.62,57.12,58.59,626400,0.0,0
2010-02-02,58.77,59.68,58.22,59.02,1188600,0.0,0
2010-02-03,55.9,56.62,52.21,52.53,6909500,0.0,0
2010-02-04,52.18,53.3,50.79,50.94,2463600,0.0,0
2010-02-05,51.3,53.14,50.61,53.1,2418100,0.0,0
2010-02-08,53.29,54.7,53.09,53.61,2274400,0.0,0
2010-02-09,54.03,54.38,52.62,52.8,1440900,0.0,0
2010-02-10,52.8,53.17,51.35,52.03,1250300,0.0,0
2010-02-11,52.03,52.71,51.32,52.44,932900,0.0,0
2010-02-12,51.96,52.03,51.26,51.72,1406900,0.0,0
2010-02-16,52.09,52.09,51.72,52.03,1184700,0.0,0
2010-02-17,52.14,52.29,51.07,51.84,2083500,0.0,0
2010-02-18,52.21,53.46,51.77,53.13,1756600,0.0,0
2010-02-19,53.87,55.02,53.87,54.62,1599600,0.0,0
2010-02-22,54.49,55.4,53.92,54.88,1074500,0.0,0
2010-02-23,54.53,54.56,53.31,53.75,823000,0.0,0
2010-02-24,53.75,54.29,53.42,54.15,680400,0.0,0
2010-02-25,53.47,53.98,52.73,53.85,789000,0.0,0
2010-02-26,53.85,54.09,52.95,53.24,1202800,0.0,0
2010-03-01,53.47,54.2,53.31,53.97,824300,0.0,0
2010-03-02,54.42,54.84,54.24,54.83,1293100,0.0,0
2010-03-03,54.74,56.41,54.42,56.17,2364700,0.0,0
2010-03-04,55.93,57.72,55.93,56.8,2225200,0.0,0
2010-03-05,56.98,58.29,56.89,57.96,1093900,0.0,0
2010-03-08,57.77,58.16,57.03,57.81,793100,0.0,0
2010-03-09,57.42,58.53,57.01,58.46,1123500,0.0,0
2010-03-10,58.39,59.35,58.18,59.26,1510400,0.0,0
2010-03-11,58.77,60.21,58.77,60.21,1319000,0.0,0
2010-03-12,60.51,60.51,59.74,60.26,977700,0.0,0
2010-03-15,60.0,61.66,59.67,61.55,1651600,0.0,0
2010-03-16,62.02,63.57,61.99,63.07,2715300,0.0,0
2010-03-17,63.42,64.34,63.23,63.56,1908900,0.0,0
2010-03-18,63.5,63.78,62.23,62.56,1202100,0.0,0
2010-03-19,61.52,62.98,60.83,61.52,1582300,0.0,0
2010-03-22,60.89,61.97,60.47,61.73,1508400,0.0,0
2010-03-23,61.65,62.01,60.9,62.01,1205900,0.0,0
2010-03-24,61.6,61.94,61.26,61.74,1103500,0.0,0
2010-03-25,62.13,62.8,61.72,62.01,1223400,0.0,0
2010-03-26,62.31,62.68,60.98,61.57,1347700,0.0,0
2010-03-29,61.67,61.99,61.39,61.83,712600,0.0,0
2010-03-30,61.72,62.17,61.26,61.46,561700,0.0,0
2010-03-31,61.21,62.08,61.21,61.45,628400,0.0,0
2010-04-01,61.84,62.47,61.38,61.73,611900,0.0,0
2010-04-05,61.84,62.57,61.74,62.41,779100,0.0,0
2010-04-06,61.95,63.81,61.78,63.35,1072300,0.0,0
2010-04-07,63.4,63.44,62.67,63.14,1053000,0.0,0
2010-04-08,62.74,63.14,61.89,62.23,1022700,0.0,0
2010-04-09,62.16,63.11,61.85,62.38,916400,0.0,0
2010-04-12,62.62,63.08,62.16,62.3,582200,0.0,0
2010-04-13,62.03,62.46,61.59,62.21,566500,0.0,0
2010-04-14,62.56,64.64,62.56,64.59,973200,0.0,0
2010-04-15,64.57,65.77,64.37,64.65,794700,0.0,0
2010-04-16,63.82,64.38,63.16,64.21,1586300,0.0,0
2010-04-19,63.83,64.6,63.47,64.54,573600,0.0,0
2010-04-20,64.84,65.68,64.75,65.55,860600,0.0,0
2010-04-21,65.44,66.15,64.99,65.5,1034800,0.0,0
2010-04-22,64.7,70.66,64.59,70.59,3352100,0.0,0
2010-04-23,70.43,74.02,70.42,73.69,3428500,0.0,0
2010-04-26,71.97,73.45,71.97,73.28,1589900,0.0,0
2010-04-27,72.68,73.93,71.93,72.01,1489400,0.0,0
2010-04-28,72.21,72.49,70.6,71.79,935600,0.0,0
