Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,10.62,10.71,10.52,10.55,4851800,0.0,0
2009-12-08,10.45,10.47,10.17,10.22,5298300,0.0,0
2009-12-09,10.24,10.28,9.97,10.11,5799600,0.0,0
2009-12-10,9.99,10.2,9.93,10.12,7470000,0.0,0
2009-12-11,10.09,10.39,10.0,10.39,5113000,0.0,0
2009-12-14,10.5,10.71,10.37,10.69,5635200,0.0,0
2009-12-15,10.58,10.97,10.51,10.85,10625200,0.0,0
2009-12-16,10.95,11.15,10.81,11.12,7268100,0.0,0
2009-12-17,10.97,11.12,10.79,10.93,5412400,0.0,0
2009-12-18,11.04,11.22,10.9,10.93,6330500,0.0,0
2009-12-21,10.97,11.12,10.93,10.99,3496500,0.0,0
2009-12-22,11.01,11.05,10.75,10.85,4473800,0.0,0
2009-12-23,10.88,11.06,10.82,11.04,3908900,0.0,0
2009-12-24,11.02,11.1,10.96,11.03,1523900,0.0,0
2009-12-28,11.04,11.09,10.96,11.07,2762300,0.0,0
2009-12-29,11.05,11.08,10.85,10.86,3744600,0.0,0
2009-12-30,10.85,10.85,10.72,10.85,2500000,0.0,0
2009-12-31,10.85,10.89,10.57,10.57,3479800,0.0,0
2010-01-04,10.62,10.88,10.62,10.85,4597600,0.0,0
2010-01-05,10.85,10.99,10.72,10.74,5093200,0.0,0
2010-01-06,10.68,10.91,10.62,10.63,7507300,0.0,0
2010-01-07,10.62,10.78,10.44,10.64,16843500,0.0,0
2010-01-08,10.63,10.97,10.6,10.94,5647500,0.0,0
2010-01-11,10.93,11.12,10.93,11.01,8616600,0.0,0
2010-01-12,10.96,11.01,10.85,10.89,5703200,0.0,0
2010-01-13,10.91,11.23,10.89,11.18,5488500,0.0,0
2010-01-14,11.13,11.31,11.12,11.19,4320900,0.0,0
2010-01-15,11.13,11.29,10.96,11.15,5588400,0.0,0
2010-01-19,11.14,11.29,11.01,11.22,4699300,0.0,0
2010-01-20,11.12,11.12,10.77,10.89,6220700,0.0,0
2010-01-21,10.9,11.04,10.55,10.62,6068000,0.0,0
2010-01-22,10.63,10.7,10.32,10.34,6531300,0.0,0
2010-01-25,10.47,10.7,10.39,10.65,6202100,0.0,0
2010-01-26,10.57,10.57,10.35,10.38,4829400,0.0,0
2010-01-27,10.38,10.39,9.93,10.23,11971700,0.0,0
2010-01-28,10.24,10.31,9.9,10.07,8794600,0.0,0
2010-01-29,10.16,10.19,9.96,10.03,13698800,0.0,0
2010-02-01,10.05,10.25,9.91,10.24,5797700,0.0,0
2010-02-02,10.23,10.44,10.13,10.42,4175300,0.0,0
2010-02-03,10.31,10.47,10.2,10.24,3366700,0.0,0
2010-02-04,10.14,10.19,9.39,9.4,16486600,0.0,0
2010-02-05,9.39,9.49,9.1,9.31,9749800,0.0,0
2010-02-08,9.37,9.52,9.26,9.33,5248400,0.0,0
2010-02-09,9.48,9.79,9.45,9.63,9419700,0.0,0
2010-02-10,9.65,9.65,9.37,9.48,8151700,0.0,0
2010-02-11,9.45,9.51,9.32,9.49,8128500,0.0,0
2010-02-12,9.36,9.37,9.23,9.35,10828700,0.0,0
