Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,14.63,14.82,14.49,14.55,6119200,0.0,0.0
2009-12-08,14.62,14.78,14.51,14.58,6905600,0.0,0.0
2009-12-09,14.64,14.66,14.32,14.54,6526400,0.0,0.0
2009-12-10,14.67,14.89,14.59,14.78,8016200,0.0,0.0
2009-12-11,14.8,14.85,14.63,14.81,5131000,0.0,0.0
2009-12-14,14.9,15.01,14.83,15.0,6107200,0.0,0.0
2009-12-15,14.94,15.12,14.84,14.88,6454800,0.0,0.0
2009-12-16,15.0,15.2,14.96,14.98,7004600,0.0,0.0
2009-12-17,14.91,14.95,14.65,14.66,5527000,0.0,0.0
2009-12-18,14.76,14.77,14.49,14.69,7502600,0.0,0.0
2009-12-21,14.75,14.88,14.66,14.7,4620800,0.0,0.0
2009-12-22,14.78,14.86,14.63,14.74,4988600,0.0,0.0
2009-12-23,14.83,14.87,14.72,14.83,2858200,0.0,0.0
2009-12-24,14.88,14.96,14.76,14.89,1264600,0.0,0.0
2009-12-28,14.92,15.04,14.83,14.89,3033400,0.0,0.0
2009-12-29,14.96,15.05,14.91,14.94,2445400,0.0,0.0
2009-12-30,14.92,14.95,14.82,14.92,2325400,0.0,0.0
2009-12-31,14.96,15.0,14.71,14.72,2892600,0.0,0.0
2010-01-04,14.8,15.18,14.8,15.14,4724000,0.0,0.0
2010-01-05,15.11,15.62,14.98,15.58,7930600,0.0,0.0
2010-01-06,15.86,15.86,15.5,15.71,5851600,0.0,0.0
2010-01-07,15.72,15.91,15.59,15.88,5535800,0.0,0.0
2010-01-08,15.8,15.8,15.51,15.72,4393400,0.0,0.0
2010-01-11,15.87,16.16,15.82,16.14,5699200,0.0,0.0
2010-01-12,16.35,16.46,16.0,16.05,7697600,0.0,0.0
2010-01-13,16.11,16.27,16.05,16.23,5104200,0.0,0.0
2010-01-14,16.28,16.48,16.13,16.44,4533800,0.0,0.0
2010-01-15,16.4,16.46,16.12,16.26,5949400,0.0,0.0
2010-01-19,16.31,16.6,16.21,16.58,6527600,0.0,0.0
2010-01-20,16.48,16.48,16.15,16.28,5305600,0.0,0.0
2010-01-21,16.39,16.4,15.94,16.06,8123800,0.0,0.0
2010-01-22,16.0,16.11,15.59,15.62,8376000,0.0,0.0
2010-01-25,15.91,16.15,15.91,15.97,9892000,0.0,0.0
2010-01-26,15.9,16.23,15.8,15.82,9834600,0.0,0.0
2010-01-27,15.83,15.96,15.62,15.85,8353400,0.0,0.0
2010-01-28,16.02,16.06,15.53,15.65,8419000,0.0,0.0
2010-01-29,15.77,15.86,15.34,15.41,8465200,0.0,0.0
2010-02-01,15.46,15.74,15.46,15.65,6870200,0.0,0.0
2010-02-02,15.7,15.86,15.5,15.82,10021800,0.0,0.0
2010-02-03,16.07,16.52,16.07,16.21,11918400,0.0,0.0
2010-02-04,16.05,16.13,15.35,15.37,10892200,0.0,0.0
2010-02-05,15.41,15.53,14.62,15.16,17984600,0.0,0.0
2010-02-08,15.18,15.2,14.6,14.62,13129600,0.0,0.0
2010-02-09,14.86,15.16,14.57,14.98,11155000,0.0,0.0
2010-02-10,15.0,15.19,14.74,14.99,6684200,0.0,0.0
2010-02-11,15.09,15.34,14.85,15.25,6632200,0.28,0.0
2010-02-12,15.14,15.2,14.77,15.18,10385600,0.0,0.0
2010-02-16,15.3,15.58,15.18,15.54,6279800,0.0,0.0
2010-02-17,15.69,15.82,15.56,15.7,5900600,0.0,0.0
2010-02-18,15.54,15.8,15.47,15.73,4833600,0.0,0.0
2010-02-19,15.68,15.88,15.49,15.79,7204200,0.0,0.0
2010-02-22,15.87,15.9,15.72,15.82,5542000,0.0,0.0
2010-02-23,15.84,15.9,15.39,15.5,5783400,0.0,0.0
2010-02-24,15.54,15.86,15.54,15.8,4585400,0.0,0.0
2010-02-25,15.58,15.86,15.44,15.84,5502800,0.0,0.0
2010-02-26,15.83,15.95,15.73,15.93,4703400,0.0,0.0
2010-03-01,15.99,16.12,15.95,16.11,5342200,0.0,0.0
2010-03-02,16.16,16.22,16.02,16.08,4766800,0.0,0.0
2010-03-03,16.11,16.28,16.1,16.16,5124800,0.0,0.0
2010-03-04,16.21,16.33,16.18,16.29,5098200,0.0,0.0
2010-03-05,16.42,16.62,16.23,16.59,5177400,0.0,0.0
2010-03-08,16.62,16.75,16.58,16.65,4408000,0.0,0.0
2010-03-09,16.6,16.64,16.4,16.51,4445600,0.0,0.0
2010-03-10,16.57,16.91,16.45,16.9,7183400,0.0,0.0
2010-03-11,16.84,16.95,16.72,16.95,5077400,0.0,0.0
2010-03-12,17.03,17.07,16.83,16.97,3764600,0.0,0.0
2010-03-15,16.91,17.06,16.83,16.99,5003200,0.0,0.0
2010-03-16,17.06,17.31,16.99,17.29,4767200,0.0,0.0
2010-03-17,17.42,17.71,17.34,17.6,5413200,0.0,0.0
2010-03-18,17.63,17.66,17.52,17.65,4801800,0.0,0.0
2010-03-19,17.42,17.78,17.41,17.42,7447400,0.0,0.0
2010-03-22,17.23,17.35,17.09,17.35,4293000,0.0,0.0
2010-03-23,17.13,17.24,16.94,17.23,7604600,0.0,0.0
2010-03-24,17.2,17.35,17.13,17.28,4708400,0.0,0.0
2010-03-25,17.39,17.49,17.11,17.14,5430800,0.0,0.0
2010-03-26,17.18,17.41,17.14,17.22,4811800,0.0,0.0
2010-03-29,17.3,17.39,17.22,17.28,4707200,0.0,0.0
2010-03-30,17.3,17.37,17.19,17.32,5451800,0.0,0.0
2010-03-31,17.22,17.49,17.22,17.48,6307000,0.0,0.0
2010-04-01,17.63,17.77,17.53,17.63,4532200,0.0,0.0
2010-04-05,17.74,17.88,17.68,17.88,4161200,0.0,0.0
2010-04-06,17.78,18.07,17.75,18.02,4903200,0.0,0.0
2010-04-07,17.97,17.97,17.66,17.8,5455600,0.0,0.0
2010-04-08,17.72,17.92,17.67,17.84,5574600,0.0,0.0
2010-04-09,17.89,17.96,17.73,17.96,3727000,0.0,0.0
2010-04-12,18.01,18.02,17.85,17.89,4526200,0.0,0.0
2010-04-13,17.86,17.92,17.66,17.86,4858600,0.0,0.0
2010-04-14,18.0,18.22,17.9,18.22,4614600,0.0,0.0
2010-04-15,18.04,18.12,17.79,17.86,6474200,0.0,0.0
2010-04-16,17.77,17.84,17.31,17.53,9725200,0.0,0.0
2010-04-19,17.35,17.6,17.28,17.58,5282800,0.0,0.0
2010-04-20,17.67,17.84,17.63,17.82,4359400,0.0,0.0
2010-04-21,17.87,17.95,17.44,17.63,4785800,0.0,0.0
2010-04-22,17.51,17.6,17.23,17.58,4898200,0.0,0.0
2010-04-23,17.6,17.91,17.49,17.86,5140400,0.0,0.0
2010-04-26,17.84,17.91,17.61,17.63,4924600,0.0,0.0
2010-04-27,17.47,17.51,16.81,16.88,8466600,0.0,0.0
2010-04-28,17.43,17.47,15.69,15.98,29944400,0.0,0.0
2010-04-29,16.37,16.93,16.26,16.85,19296800,0.0,0.0
2010-04-30,16.76,16.86,16.4,16.41,8957600,0.0,0.0
2010-05-03,16.55,16.66,16.37,16.56,6408600,0.0,0.0
2010-05-04,16.2,16.26,15.48,15.72,19391800,0.0,0.0
2010-05-05,15.48,15.89,15.22,15.5,13016600,0.0,0.0
