Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,35.68,35.99,35.49,35.61,1019600,0.0,0
2009-12-08,35.48,35.68,35.27,35.46,613200,0.0,0
2009-12-09,35.33,35.57,35.16,35.35,874400,0.0,0
2009-12-10,35.67,36.2,35.45,35.94,1105800,0.0,0
2009-12-11,35.71,36.1,35.58,35.94,853600,0.0,0
2009-12-14,36.03,36.42,35.88,36.29,820600,0.0,0
2009-12-15,36.24,36.3,35.77,36.02,1085200,0.0,0
2009-12-16,36.14,36.26,35.87,35.91,941200,0.0,0
2009-12-17,35.83,35.94,35.4,35.61,719300,0.0,0
2009-12-18,35.52,36.01,35.48,35.76,1131700,0.0,0
2009-12-21,36.05,36.42,35.99,36.35,706100,0.0,0
2009-12-22,36.34,36.79,36.34,36.65,588600,0.0,0
2009-12-23,37.05,37.47,37.0,37.37,959000,0.0,0
2009-12-24,37.44,37.52,37.28,37.47,249900,0.0,0
2009-12-28,37.43,37.69,37.35,37.67,603800,0.0,0
2009-12-29,37.71,37.72,37.42,37.46,934400,0.0,0
2009-12-30,37.3,37.45,37.27,37.39,526300,0.0,0
2009-12-31,37.45,37.79,37.12,37.19,684700,0.0,0
2010-01-04,37.27,37.99,37.27,37.83,856400,0.0,0
2010-01-05,37.76,37.76,37.13,37.45,583400,0.0,0
2010-01-06,37.5,37.57,37.35,37.57,803300,0.0,0
2010-01-07,37.54,37.7,37.11,37.27,716500,0.0,0
2010-01-08,37.04,37.12,36.65,37.0,702200,0.0,0
2010-01-11,37.08,37.56,36.76,37.34,517300,0.0,0
2010-01-12,37.24,37.45,37.02,37.29,658300,0.0,0
2010-01-13,37.46,38.49,37.43,38.39,1396500,0.0,0
2010-01-14,38.43,38.76,38.16,38.59,817300,0.0,0
2010-01-15,38.7,38.71,38.29,38.4,777300,0.0,0
2010-01-19,38.43,39.9,38.43,39.27,1642200,0.0,0
2010-01-20,39.11,39.56,38.61,39.0,685200,0.0,0
2010-01-21,38.9,38.9,37.92,37.94,1330200,0.0,0
2010-01-22,37.57,37.68,37.04,37.1,1408000,0.0,0
2010-01-25,37.25,37.35,36.81,36.98,982900,0.0,0
2010-01-26,36.85,36.85,36.57,36.62,762700,0.0,0
2010-01-27,36.5,36.62,36.25,36.49,810700,0.0,0
2010-01-28,36.63,36.67,35.97,36.03,957000,0.0,0
2010-01-29,36.12,36.5,35.85,36.03,1089500,0.0,0
2010-02-01,36.12,36.34,35.7,36.05,1346700,0.0,0
2010-02-02,36.21,37.17,35.88,37.1,1646700,0.0,0
2010-02-03,36.93,37.13,36.12,36.96,1595900,0.0,0
2010-02-04,36.74,36.98,35.83,35.86,1103000,0.0,0
2010-02-05,35.77,35.96,35.13,35.86,1472400,0.0,0
2010-02-08,35.86,35.86,35.35,35.39,841800,0.0,0
2010-02-09,35.63,36.04,35.42,35.77,860200,0.0,0
2010-02-10,35.67,35.74,35.11,35.43,515400,0.0,0
2010-02-11,35.34,35.77,35.12,35.68,765100,0.0,0
2010-02-12,35.47,35.78,34.98,35.75,698600,0.0,0
2010-02-16,36.14,36.29,35.74,36.24,597400,0.0,0
2010-02-17,36.35,36.53,36.27,36.28,953800,0.05,0
