Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,24.92,24.97,24.26,24.42,1310300,0.0,0
2009-12-08,24.22,24.32,23.65,23.79,2289300,0.0,0
2009-12-09,23.8,23.81,23.56,23.7,1743500,0.0,0
2009-12-10,23.76,24.0,23.61,23.91,1356100,0.0,0
2009-12-11,24.06,24.15,23.86,24.12,815800,0.0,0
2009-12-14,24.4,24.54,24.0,24.51,1005000,0.0,0
2009-12-15,24.31,24.56,24.07,24.23,1720600,0.0,0
2009-12-16,24.42,24.63,24.34,24.47,835500,0.0,0
2009-12-17,24.36,24.67,24.14,24.15,949000,0.0,0
2009-12-18,24.21,24.26,23.61,24.0,1745700,0.0,0
2009-12-21,24.25,24.45,24.16,24.24,652600,0.0,0
2009-12-22,24.26,24.44,23.91,23.96,916500,0.0,0
2009-12-23,23.96,24.06,23.89,23.97,589900,0.0,0
2009-12-24,24.05,24.19,23.98,24.1,322400,0.0,0
2009-12-28,24.21,24.21,24.0,24.14,761700,0.0,0
2009-12-29,24.23,24.31,24.06,24.18,441200,0.0,0
2009-12-30,24.1,24.25,24.05,24.18,440200,0.0,0
2009-12-31,24.24,24.35,24.0,24.0,585900,0.0,0
2010-01-04,24.18,24.6,24.11,24.56,1228200,0.0,0
2010-01-05,24.48,25.31,24.43,25.29,1377600,0.0,0
2010-01-06,25.18,25.29,24.92,25.22,1326900,0.0,0
2010-01-07,25.1,25.58,24.98,25.53,1022500,0.0,0
2010-01-08,25.48,25.57,25.26,25.54,592400,0.0,0
2010-01-11,25.65,25.91,25.48,25.72,660100,0.0,0
2010-01-12,25.58,25.95,25.41,25.49,770500,0.0,0
2010-01-13,25.61,25.89,25.41,25.72,555500,0.0,0
2010-01-14,25.64,25.66,25.22,25.45,1025600,0.0,0
2010-01-15,25.35,25.39,24.74,24.86,1367300,0.0,0
2010-01-19,24.84,25.3,24.7,25.1,2084800,0.0,0
2010-01-20,24.92,25.02,24.39,24.67,1283500,0.0,0
2010-01-21,24.62,25.62,24.09,25.49,4078900,0.0,0
2010-01-22,25.5,26.59,25.34,25.92,4528300,0.0,0
2010-01-25,26.25,26.33,25.99,26.15,2152900,0.0,0
2010-01-26,26.02,26.45,25.61,25.64,1441500,0.0,0
2010-01-27,25.58,26.04,25.34,25.93,1240200,0.0,0
2010-01-28,26.12,26.12,25.63,25.71,1085200,0.0,0
2010-01-29,25.85,26.08,25.57,25.59,991300,0.0,0
2010-02-01,25.75,26.22,25.47,25.79,1995000,0.0,0
2010-02-02,25.78,26.15,25.7,26.15,674400,0.0,0
2010-02-03,26.01,26.1,25.48,25.78,1158300,0.0,0
2010-02-04,25.88,26.72,25.68,25.84,3295400,0.0,0
2010-02-05,25.67,25.75,24.57,25.18,2015500,0.0,0
2010-02-08,25.29,25.44,24.56,24.56,1155700,0.0,0
2010-02-09,24.8,25.07,24.58,24.73,1181000,0.0,0
2010-02-10,24.69,24.71,24.36,24.53,1844300,0.0,0
2010-02-11,24.31,24.53,24.05,24.23,2199700,0.0,0
2010-02-12,24.02,24.32,23.68,24.31,1782000,0.0,0
2010-02-16,24.66,25.1,24.47,25.09,1079000,0.0,0
2010-02-17,25.14,25.3,24.91,25.01,1281500,0.0,0
2010-02-18,25.0,25.29,24.93,25.08,1496100,0.15,0
