Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,15.94,15.95,15.83,15.89,416600.0,0.0,0
2009-12-08,15.8,15.88,15.69,15.75,224300.0,0.0,0
2009-12-09,15.69,15.77,15.57,15.64,445500.0,0.0,0
2009-12-10,15.69,15.8,15.58,15.67,433800.0,0.0,0
2009-12-11,15.65,15.72,15.57,15.64,428500.0,0.0,0
2009-12-14,15.66,15.76,15.58,15.76,372200.0,0.0,0
2009-12-15,15.76,15.9,15.66,15.89,541400.0,0.0,0
2009-12-16,15.98,15.98,15.65,15.77,573100.0,0.0,0
2009-12-17,15.65,15.75,15.41,15.62,1077500.0,0.0,0
2009-12-18,15.63,15.64,15.47,15.53,1833300.0,0.0,0
2009-12-21,15.56,15.68,15.52,15.57,351500.0,0.0,0
2009-12-22,15.57,15.76,15.5,15.76,568200.0,0.0,0
2009-12-23,15.81,15.91,15.65,15.76,598700.0,0.0,0
2009-12-24,15.76,15.96,15.69,15.87,367100.0,0.0,0
2009-12-28,15.94,16.1,15.84,16.05,408800.0,0.0,0
2009-12-29,16.22,16.37,16.05,16.35,338700.0,0.32,0
2009-12-30,16.35,16.5,16.27,16.35,392600.0,0.0,0
2009-12-31,16.31,16.35,16.08,16.08,368700.0,0.0,0
2010-01-04,16.15,16.3,15.92,15.95,379300.0,0.0,0
2010-01-05,15.97,16.02,15.65,15.87,545700.0,0.0,0
2010-01-06,15.9,16.03,15.8,15.87,349400.0,0.0,0
2010-01-07,15.79,15.82,15.69,15.77,633500.0,0.0,0
2010-01-08,15.79,15.85,15.72,15.82,391300.0,0.0,0
2010-01-11,15.82,15.93,15.75,15.84,582600.0,0.0,0
2010-01-12,15.79,15.97,15.79,15.93,447000.0,0.0,0
2010-01-13,15.94,15.97,15.86,15.92,244200.0,0.0,0
2010-01-14,15.87,15.92,15.81,15.88,299400.0,0.0,0
2010-01-15,15.89,15.92,15.7,15.72,243300.0,0.0,0
2010-01-19,15.73,15.9,15.73,15.9,400800.0,0.0,0
2010-01-20,15.77,15.82,15.65,15.82,278800.0,0.0,0
2010-01-21,15.78,15.98,15.73,15.94,501600.0,0.0,0
2010-01-22,15.97,16.24,15.94,16.22,778500.0,0.0,0
2010-01-25,16.3,16.67,16.2,16.3,558700.0,0.0,0
2010-01-26,16.32,16.42,16.19,16.19,317000.0,0.0,0
2010-01-27,16.14,16.31,15.95,16.06,561700.0,0.0,0
2010-01-28,16.11,16.25,15.91,16.15,385900.0,0.0,0
2010-01-29,16.19,16.42,16.11,16.11,470000.0,0.0,0
2010-02-01,16.15,16.32,16.1,16.27,404700.0,0.0,0
2010-02-02,16.31,16.43,16.11,16.22,903500.0,0.0,0
2010-02-03,16.29,17.23,16.29,16.96,1457900.0,0.0,0
2010-02-04,16.79,16.99,16.66,16.83,925300.0,0.0,0
2010-02-05,16.78,16.8,16.3,16.5,843400.0,0.0,0
2010-02-08,16.61,16.61,16.22,16.27,571100.0,0.0,0
2010-02-09,16.37,16.43,16.23,16.33,530800.0,0.0,0
2010-02-10,16.32,16.4,16.22,16.35,339600.0,0.0,0
2010-02-11,16.36,16.43,16.26,16.39,304500.0,0.0,0
2010-02-12,16.32,16.42,16.2,16.42,523700.0,0.0,0
2010-02-16,16.46,16.46,16.26,16.46,399100.0,0.0,0
2010-02-17,16.47,16.67,16.4,16.62,588600.0,0.0,0
2010-02-18,16.63,16.69,16.54,16.67,443600.0,0.0,0
2010-02-19,16.67,16.82,16.63,16.82,361100.0,0.0,0
2010-02-22,16.86,16.87,16.72,16.87,317200.0,0.0,0
2010-02-23,16.86,17.01,16.78,16.95,455900.0,0.0,0
2010-02-24,17.0,17.06,16.95,17.05,378800.0,0.0,0
2010-02-25,16.88,17.0,16.85,16.98,362500.0,0.0,0
2010-02-26,17.0,17.02,16.85,16.95,480800.0,0.0,0
2010-03-01,16.98,17.17,16.93,17.16,567700.0,0.0,0
2010-03-02,17.15,17.26,17.06,17.24,484400.0,0.0,0
2010-03-03,17.21,17.37,17.19,17.35,389100.0,0.0,0
2010-03-04,17.42,17.5,17.16,17.27,482800.0,0.0,0
2010-03-05,17.37,17.47,17.18,17.45,334800.0,0.0,0
2010-03-08,17.45,17.55,17.4,17.42,541200.0,0.0,0
2010-03-09,17.41,17.49,17.28,17.45,728800.0,0.0,0
2010-03-10,17.45,17.6,17.29,17.6,768400.0,0.0,0
2010-03-11,17.56,17.72,17.47,17.67,434900.0,0.0,0
2010-03-12,17.76,18.01,17.65,18.01,729200.0,0.0,0
2010-03-15,18.04,18.17,17.9,18.09,625900.0,0.0,0
2010-03-16,18.07,18.3,18.07,18.21,496500.0,0.0,0
2010-03-17,18.26,18.35,18.15,18.32,325300.0,0.0,0
2010-03-18,18.36,18.46,18.3,18.38,327900.0,0.0,0
2010-03-19,18.27,18.29,17.83,18.27,915900.0,0.0,0
2010-03-22,18.22,18.22,17.8,17.84,2011100.0,0.0,0
2010-03-23,17.81,18.01,17.69,18.01,746600.0,0.0,0
2010-03-24,17.98,17.98,17.67,17.9,510500.0,0.0,0
2010-03-25,17.99,18.06,17.9,17.98,569800.0,0.0,0
2010-03-26,18.04,18.08,17.87,17.92,410500.0,0.0,0
2010-03-29,18.1,18.18,17.92,18.05,450800.0,0.32,0
2010-03-30,18.1,18.12,17.92,18.03,425100.0,0.0,0
2010-03-31,17.97,18.05,17.75,17.77,451000.0,0.0,0
2010-04-01,17.79,17.9,17.61,17.73,463400.0,0.0,0
2010-04-05,17.73,17.84,17.7,17.8,510200.0,0.0,0
2010-04-06,17.7,17.96,17.7,17.9,467900.0,0.0,0
2010-04-07,17.78,17.92,17.7,17.86,455200.0,0.0,0
2010-04-08,17.86,17.9,17.73,17.79,537900.0,0.0,0
2010-04-09,17.74,17.82,17.58,17.81,398900.0,0.0,0
2010-04-12,17.77,17.95,17.58,17.95,307200.0,0.0,0
2010-04-13,17.88,18.11,17.88,18.11,410200.0,0.0,0
2010-04-14,18.1,18.26,18.08,18.26,286500.0,0.0,0
2010-04-15,18.22,18.4,18.16,18.34,454200.0,0.0,0
2010-04-16,18.34,18.47,18.21,18.36,598800.0,0.0,0
2010-04-19,18.27,18.41,18.14,18.38,505100.0,0.0,0
2010-04-20,18.45,18.7,18.32,18.7,437800.0,0.0,0
2010-04-21,18.66,18.74,18.46,18.64,551300.0,0.0,0
2010-04-22,18.58,19.07,18.46,19.04,631800.0,0.0,0
2010-04-23,19.18,19.54,18.97,19.18,782600.0,0.0,0
2010-04-26,19.21,19.29,19.09,19.13,520000.0,0.0,0
2010-04-27,19.1,19.39,18.83,18.86,752400.0,0.0,0
2010-04-28,18.97,19.02,18.6,18.68,706800.0,0.0,0
2010-04-29,18.71,19.22,18.67,19.22,785200.0,0.0,0
2010-04-30,19.18,19.22,18.97,19.01,560900.0,0.0,0
2010-05-03,19.09,19.26,19.03,19.24,496700.0,0.0,0
2010-05-04,19.07,19.2,19.0,19.11,675100.0,0.0,0
2010-05-05,18.93,19.18,18.63,18.72,855000.0,0.0,0
