Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,10.77,11.0,10.77,10.78,19519500.0,0.0,0
2009-12-08,10.77,10.91,10.6,10.84,17692500.0,0.0,0
2009-12-09,10.77,10.98,10.69,10.98,17299400.0,0.0,0
2009-12-10,10.98,11.1,10.8,10.83,18145000.0,0.0,0
2009-12-11,10.86,11.04,10.75,10.89,12818900.0,0.0,0
2009-12-14,11.01,11.06,10.83,11.04,14425300.0,0.0,0
2009-12-15,10.96,11.16,10.94,11.01,13025200.0,0.0,0
2009-12-16,11.04,11.39,11.01,11.06,29117200.0,0.0,0
2009-12-17,10.99,11.07,10.86,10.86,11954600.0,0.0,0
2009-12-18,10.95,11.09,10.86,11.08,19238000.0,0.0,0
2009-12-21,11.21,11.28,11.17,11.26,12559500.0,0.0,0
2009-12-22,11.31,11.43,11.3,11.34,13939300.0,0.0,0
2009-12-23,11.47,11.57,11.32,11.35,16898800.0,0.0,0
2009-12-24,11.39,11.4,11.34,11.39,5663500.0,0.0,0
2009-12-28,11.43,11.45,11.19,11.28,9190200.0,0.0,0
2009-12-29,11.25,11.34,11.16,11.18,7450500.0,0.0,0
2009-12-30,11.15,11.47,11.15,11.44,10209300.0,0.0,0
2009-12-31,11.43,11.51,11.33,11.34,9030100.0,0.0,0
2010-01-04,11.43,11.86,11.42,11.64,18615100.0,0.0,0
2010-01-05,11.59,11.7,11.43,11.55,15173200.0,0.0,0
2010-01-06,11.58,11.72,11.47,11.52,13704800.0,0.0,0
2010-01-07,11.51,11.56,11.36,11.4,21543200.0,0.0,0
2010-01-08,11.59,11.87,11.48,11.84,41212100.0,0.0,0
2010-01-11,12.08,12.16,11.76,12.1,33667800.0,0.0,0
2010-01-12,12.01,12.02,11.42,11.56,40350900.0,0.0,0
2010-01-13,11.63,11.74,11.33,11.61,25137300.0,0.0,0
2010-01-14,11.57,11.7,11.41,11.68,26920500.0,0.0,0
2010-01-15,11.52,11.67,11.12,11.17,36020100.0,0.0,0
2010-01-19,11.21,11.41,11.19,11.37,14620900.0,0.0,0
2010-01-20,11.25,11.3,11.11,11.23,19220200.0,0.0,0
2010-01-21,11.28,11.47,11.0,11.05,25265000.0,0.0,0
2010-01-22,10.86,10.9,10.26,10.28,48104300.0,0.0,0
2010-01-25,10.3,10.53,10.25,10.29,39765000.0,0.0,0
2010-01-26,10.35,10.59,10.29,10.29,36897100.0,0.0,0
2010-01-27,10.38,10.64,10.33,10.61,30448800.0,0.0,0
2010-01-28,10.64,10.65,10.05,10.26,35016600.0,0.0,0
2010-01-29,10.4,10.46,9.89,9.91,25601600.0,0.0,0
2010-02-01,10.04,10.22,9.95,10.19,20227300.0,0.0,0
2010-02-02,10.25,10.25,10.05,10.18,21525000.0,0.0,0
2010-02-03,10.05,10.16,9.86,9.99,36170300.0,0.0,0
2010-02-04,9.94,9.94,9.49,9.6,40737400.0,0.0,0
2010-02-05,9.6,9.99,9.51,9.95,43781500.0,0.0,0
2010-02-08,9.97,10.03,9.79,9.82,17976400.0,0.0,0
2010-02-09,9.96,10.09,9.8,9.89,21123700.0,0.0,0
2010-02-10,9.93,10.03,9.85,9.95,17213400.0,0.0,0
2010-02-11,9.94,10.2,9.81,10.15,18388100.0,0.0,0
2010-02-12,10.01,10.35,9.89,10.15,23748600.0,0.0,0
2010-02-16,10.31,10.56,10.22,10.54,21663600.0,0.0,0
2010-02-17,10.65,10.7,10.38,10.57,25202600.0,0.0,0
2010-02-18,10.4,10.41,10.02,10.32,45212200.0,0.0,0
2010-02-19,10.27,10.29,10.05,10.17,29090400.0,0.0,0
2010-02-22,10.25,10.3,10.13,10.18,22697700.0,0.06,0
2010-02-23,10.18,10.21,9.76,9.82,30237000.0,0.0,0
2010-02-24,9.88,10.16,9.85,10.03,25624000.0,0.0,0
2010-02-25,9.87,10.02,9.76,9.99,21748200.0,0.0,0
2010-02-26,10.03,10.06,9.84,10.01,15882200.0,0.0,0
2010-03-01,10.06,10.22,10.05,10.22,16465100.0,0.0,0
2010-03-02,10.26,10.34,10.1,10.16,22421700.0,0.0,0
2010-03-03,10.18,10.26,10.09,10.13,17029600.0,0.0,0
2010-03-04,10.14,10.21,9.89,10.03,27418900.0,0.0,0
2010-03-05,10.08,10.16,10.0,10.05,23992500.0,0.0,0
2010-03-08,10.24,10.25,10.07,10.11,29715700.0,0.0,0
2010-03-09,10.06,10.16,10.01,10.05,24562200.0,0.0,0
2010-03-10,10.05,10.26,10.03,10.25,35119100.0,0.0,0
2010-03-11,10.22,10.24,10.04,10.15,30593800.0,0.0,0
2010-03-12,10.26,10.26,10.06,10.11,25069900.0,0.0,0
2010-03-15,10.08,10.08,9.91,10.0,23660300.0,0.0,0
2010-03-16,10.0,10.21,9.98,10.18,29795900.0,0.0,0
2010-03-17,10.22,10.38,10.18,10.35,27773300.0,0.0,0
2010-03-18,10.36,10.44,10.25,10.33,18686400.0,0.0,0
2010-03-19,10.36,10.39,10.12,10.21,24762900.0,0.0,0
2010-03-22,10.17,10.48,10.13,10.45,26257100.0,0.0,0
2010-03-23,10.48,10.89,10.47,10.83,39649700.0,0.0,0
2010-03-24,10.78,10.82,10.56,10.63,34127100.0,0.0,0
2010-03-25,10.71,10.94,10.7,10.76,38278400.0,0.0,0
2010-03-26,10.86,11.0,10.64,10.8,30090900.0,0.0,0
2010-03-29,10.86,11.0,10.81,10.88,27827600.0,0.0,0
2010-03-30,10.94,11.12,10.82,11.0,39364900.0,0.0,0
2010-03-31,10.99,11.24,10.98,11.01,40814400.0,0.0,0
2010-04-01,11.15,11.23,10.85,10.92,37110700.0,0.0,0
2010-04-05,10.97,11.13,10.93,11.06,29330500.0,0.0,0
2010-04-06,10.98,11.09,10.95,11.02,16452500.0,0.0,0
2010-04-07,11.01,11.21,10.93,11.1,20870600.0,0.0,0
2010-04-08,11.04,11.04,10.88,10.91,29173200.0,0.0,0
2010-04-09,10.92,11.01,10.88,11.01,15446100.0,0.0,0
2010-04-12,11.04,11.24,10.97,11.15,24211600.0,0.0,0
2010-04-13,11.12,11.32,11.09,11.28,28384400.0,0.0,0
2010-04-14,11.48,11.86,11.45,11.78,45410300.0,0.0,0
2010-04-15,11.82,11.85,11.66,11.73,22965700.0,0.0,0
2010-04-16,11.67,11.82,11.6,11.74,33765600.0,0.0,0
2010-04-19,11.66,11.77,11.44,11.69,25694500.0,0.0,0
2010-04-20,11.75,11.82,11.64,11.82,18477900.0,0.0,0
2010-04-21,11.83,11.86,11.55,11.8,19225700.0,0.0,0
2010-04-22,11.63,11.78,11.42,11.75,33118300.0,0.0,0
2010-04-23,11.75,11.84,11.6,11.83,23701600.0,0.0,0
2010-04-26,11.82,11.91,11.69,11.74,17270800.0,0.0,0
2010-04-27,11.7,11.77,11.37,11.39,30107900.0,0.0,0
2010-04-28,11.46,11.58,11.33,11.49,23997800.0,0.0,0
2010-04-29,11.53,11.68,11.46,11.66,20898500.0,0.0,0
2010-04-30,11.7,11.7,11.25,11.27,25896300.0,0.0,0
2010-05-03,11.33,11.53,11.26,11.45,17456600.0,0.0,0
2010-05-04,11.3,11.3,10.78,10.95,37264900.0,0.0,0
2010-05-05,10.85,11.02,10.7,10.81,26151100.0,0.0,0
2010-05-06,10.73,10.92,9.8,10.39,43990600.0,0.0,0
2010-05-07,10.34,10.42,9.84,10.22,38398600.0,0.0,0
2010-05-10,10.62,10.95,10.51,10.79,27919300.0,0.0,0
2010-05-11,10.66,11.13,10.6,10.92,37536300.0,0.0,0
2010-05-12,10.99,11.29,10.95,11.26,32924000.0,0.0,0
2010-05-13,11.19,11.25,10.75,10.82,22710400.0,0.0,0
2010-05-14,10.76,10.76,10.43,10.59,27246300.0,0.0,0
2010-05-17,10.6,10.83,10.47,10.78,18442600.0,0.0,0
2010-05-18,10.93,11.0,10.53,10.58,25296700.0,0.0,0
2010-05-19,10.55,10.8,10.45,10.65,36120400.0,0.0,0
2010-05-20,10.22,10.66,10.09,10.38,46660600.0,0.0,0
2010-05-21,10.07,10.57,10.06,10.4,41207700.0,0.0,0
2010-05-24,10.3,10.44,10.2,10.27,20421700.0,0.07,0
2010-05-25,9.98,10.43,9.91,10.42,25949500.0,0.0,0
2010-05-26,10.48,10.64,10.29,10.29,24184000.0,0.0,0
2010-05-27,10.52,10.78,10.52,10.75,21642600.0,0.0,0
2010-05-28,10.7,10.77,10.48,10.62,17231300.0,0.0,0
