Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-05-15,6.07,6.07,6.07,6.07,0,0.0,0
2012-05-16,6.07,6.07,6.07,6.07,0,0.0,0
2012-05-17,6.07,6.07,6.07,6.07,0,0.0,0
2012-05-18,6.07,6.07,6.07,6.07,0,0.0,0
2012-05-21,6.07,6.07,6.07,6.07,0,0.0,0
2012-05-22,6.07,6.07,6.07,6.07,0,0.0,0
2012-05-23,6.07,6.07,6.07,6.07,0,0.0,0
2012-05-24,6.07,6.07,6.07,6.07,0,0.0,0
2012-05-25,6.07,6.07,6.07,6.07,0,0.0,0
2012-05-29,6.07,6.07,6.07,6.07,0,0.0,0
2012-05-30,6.07,6.07,6.07,6.07,0,0.0,0
2012-05-31,6.07,6.07,6.07,6.07,0,0.0,0
2012-06-01,6.07,6.07,6.07,6.07,0,0.0,0
2012-06-04,6.07,6.07,6.07,6.07,0,0.0,0
2012-06-05,6.07,6.07,6.07,6.07,0,0.0,0
2012-06-06,6.07,6.07,6.07,6.07,0,0.0,0
2012-06-07,5.83,5.83,5.83,5.83,1900,0.0,0
2012-06-08,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-11,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-12,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-13,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-14,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-15,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-18,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-19,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-20,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-21,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-22,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-25,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-26,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-27,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-28,5.83,5.83,5.83,5.83,0,0.0,0
2012-06-29,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-02,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-03,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-05,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-06,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-09,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-10,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-11,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-12,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-13,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-16,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-17,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-18,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-19,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-20,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-23,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-24,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-25,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-26,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-27,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-30,5.83,5.83,5.83,5.83,0,0.0,0
2012-07-31,5.83,5.83,5.83,5.83,0,0.0,0
2012-08-01,5.83,5.83,5.83,5.83,0,0.0,0
2012-08-02,5.83,5.83,5.83,5.83,0,0.0,0
2012-08-03,5.83,5.83,5.83,5.83,0,0.0,0
2012-08-06,5.83,5.83,5.83,5.83,0,0.0,0
2012-08-07,5.83,5.83,5.83,5.83,0,0.0,0
2012-08-08,5.83,5.83,5.83,5.83,0,0.0,0
2012-08-09,5.83,5.83,5.83,5.83,0,0.0,0
2012-08-10,5.83,5.83,5.83,5.83,0,0.0,0
2012-08-13,5.83,5.83,5.83,5.83,0,0.0,0
2012-08-14,5.83,5.83,5.83,5.83,0,0.0,0
2012-08-15,5.83,5.83,5.83,5.83,0,0.0,0
2012-08-16,5.83,5.83,5.83,5.83,0,0.0,0
2012-08-17,6.15,6.15,6.15,6.15,1000,0.0,0
2012-08-20,6.15,6.15,6.15,6.15,0,0.0,0
2012-08-21,6.15,6.15,6.15,6.15,0,0.0,0
2012-08-22,6.15,6.15,6.15,6.15,0,0.0,0
2012-08-23,6.1,6.1,6.1,6.1,500,0.0,0
2012-08-24,6.1,6.1,6.1,6.1,0,0.0,0
2012-08-27,6.1,6.1,6.1,6.1,0,0.0,0
2012-08-28,5.95,5.95,5.95,5.95,600,0.0,0
2012-08-29,5.95,5.95,5.95,5.95,0,0.0,0
2012-08-30,5.95,5.95,5.95,5.95,0,0.0,0
2012-08-31,5.95,5.95,5.95,5.95,0,0.0,0
2012-09-04,5.95,5.95,5.95,5.95,0,0.0,0
2012-09-05,5.95,5.95,5.95,5.95,0,0.0,0
2012-09-06,5.95,5.95,5.95,5.95,0,0.0,0
2012-09-07,5.95,5.95,5.95,5.95,0,0.0,0
2012-09-10,5.95,5.95,5.95,5.95,0,0.0,0
2012-09-11,5.95,5.95,5.95,5.95,0,0.0,0
2012-09-12,5.95,5.95,5.95,5.95,0,0.0,0
2012-09-13,5.95,5.95,5.95,5.95,0,0.0,0
2012-09-14,5.95,5.95,5.95,5.95,0,0.0,0
2012-09-17,5.95,5.95,5.95,5.95,0,0.0,0
2012-09-18,5.95,5.95,5.95,5.95,0,0.0,0
2012-09-19,5.95,5.95,5.95,5.95,0,0.0,0
2012-09-20,5.95,5.95,5.95,5.95,0,0.0,0
