Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,15.35,15.52,15.31,15.49,683700.0,0.0,0.0
2009-12-08,15.36,15.53,15.28,15.47,1152400.0,0.0,0.0
2009-12-09,15.43,15.57,15.42,15.52,815100.0,0.0,0.0
2009-12-10,15.63,15.73,15.45,15.53,683500.0,0.0,0.0
2009-12-11,15.64,15.65,15.52,15.59,689500.0,0.0,0.0
2009-12-14,15.67,15.85,15.56,15.78,593100.0,0.0,0.0
2009-12-15,15.68,15.81,15.61,15.74,567100.0,0.0,0.0
2009-12-16,15.76,15.86,15.68,15.73,547600.0,0.0,0.0
2009-12-17,15.62,15.81,15.54,15.8,1073200.0,0.0,0.0
2009-12-18,15.8,16.1,15.76,16.1,3217200.0,0.0,0.0
2009-12-21,16.17,16.41,15.97,16.07,1446700.0,0.0,0.0
2009-12-22,16.06,16.29,16.06,16.18,629100.0,0.0,0.0
2009-12-23,16.16,16.35,16.03,16.14,1144000.0,0.0,0.0
2009-12-24,16.21,16.23,16.11,16.23,387600.0,0.0,0.0
2009-12-28,16.28,16.31,16.06,16.1,769900.0,0.0,0.0
2009-12-29,16.16,16.16,16.02,16.04,814600.0,0.0,0.0
2009-12-30,15.95,16.14,15.93,15.97,389200.0,0.0,0.0
2009-12-31,15.94,15.97,15.77,15.77,606100.0,0.0,0.0
2010-01-04,15.85,16.16,15.85,15.92,876700.0,0.0,0.0
2010-01-05,15.94,15.97,15.83,15.85,714100.0,0.0,0.0
2010-01-06,15.87,15.93,15.81,15.86,725500.0,0.0,0.0
2010-01-07,15.75,15.94,15.74,15.9,799600.0,0.0,0.0
2010-01-08,15.9,16.23,15.76,16.21,991500.0,0.0,0.0
2010-01-11,16.23,16.32,16.07,16.31,446800.0,0.0,0.0
2010-01-12,16.18,16.22,15.95,15.97,675100.0,0.0,0.0
2010-01-13,15.97,16.04,15.85,16.02,569200.0,0.0,0.0
2010-01-14,15.93,16.21,15.92,16.02,428400.0,0.0,0.0
2010-01-15,16.03,16.12,15.79,15.85,320800.0,0.0,0.0
2010-01-19,15.89,16.19,15.87,15.95,718600.0,0.0,0.0
2010-01-20,15.83,15.9,15.71,15.8,631000.0,0.0,0.0
2010-01-21,15.77,16.0,15.66,15.75,827500.0,0.0,0.0
2010-01-22,15.79,15.82,15.38,15.41,677700.0,0.0,0.0
