Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,62.73,62.82,61.7,62.27,564700,0.0,0
2009-12-08,61.4,62.75,60.75,62.55,509300,0.0,0
2009-12-09,62.23,62.34,61.17,61.83,445000,0.0,0
2009-12-10,62.34,63.36,62.27,63.35,633900,0.0,0
2009-12-11,63.5,63.71,62.76,63.21,341800,0.0,0
2009-12-14,63.97,63.97,62.64,63.02,479400,0.0,0
2009-12-15,62.69,63.11,62.51,62.92,356800,0.0,0
2009-12-16,63.23,64.46,63.15,64.33,489300,0.0,0
2009-12-17,63.46,64.47,63.46,64.2,450900,0.0,0
2009-12-18,64.54,65.08,64.18,64.93,567800,0.0,0
2009-12-21,65.6,66.28,65.32,65.91,441600,0.0,0
2009-12-22,66.33,66.81,66.29,66.64,300500,0.0,0
2009-12-23,66.48,67.17,66.1,67.06,219100,0.0,0
2009-12-24,67.16,67.5,66.83,67.16,74700,0.0,0
2009-12-28,67.43,67.78,66.17,66.27,305700,0.0,0
2009-12-29,66.29,66.61,65.66,65.67,231100,0.0,0
2009-12-30,65.38,65.84,64.98,65.48,215100,0.0,0
2009-12-31,65.47,66.07,65.33,65.57,399800,0.0,0
2010-01-04,66.16,67.23,66.08,67.06,306100,0.0,0
2010-01-05,66.96,67.66,66.46,67.59,324600,0.0,0
2010-01-06,67.38,69.58,67.38,68.91,486200,0.0,0
2010-01-07,68.58,69.16,68.12,68.6,434000,0.0,0
2010-01-08,68.18,68.82,67.47,67.97,382800,0.0,0
2010-01-11,68.38,68.76,67.62,68.43,378100,0.0,0
2010-01-12,67.7,68.8,67.14,67.92,324000,0.0,0
2010-01-13,68.48,68.69,67.9,68.65,462000,0.0,0
2010-01-14,68.33,68.61,67.24,67.39,764400,0.0,0
2010-01-15,67.27,67.64,65.92,65.96,460800,0.0,0
2010-01-19,65.96,66.81,65.46,66.49,382400,0.0,0
2010-01-20,65.82,66.16,64.49,65.35,477500,0.0,0
2010-01-21,65.29,65.75,63.9,64.2,564300,0.0,0
2010-01-22,64.1,64.49,63.61,64.11,1070800,0.0,0
2010-01-25,64.88,65.92,64.11,64.26,965800,0.0,0
2010-01-26,63.95,64.09,61.44,61.55,800400,0.0,0
