Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,34.15,34.3,34.02,34.05,1690200,0.0,0
2009-12-08,33.66,34.07,33.44,33.6,1818400,0.0,0
2009-12-09,33.44,33.75,33.32,33.64,1234000,0.0,0
2009-12-10,33.94,33.94,33.46,33.59,1151800,0.0,0
2009-12-11,33.68,33.72,33.41,33.47,1895700,0.0,0
2009-12-14,33.76,33.76,33.35,33.46,1020100,0.0,0
2009-12-15,33.3,33.59,33.18,33.58,2160400,0.0,0
2009-12-16,33.75,33.75,33.48,33.53,1575100,0.0,0
2009-12-17,33.43,33.74,33.19,33.61,1963400,0.0,0
2009-12-18,33.65,33.82,33.23,33.5,2625600,0.0,0
2009-12-21,33.74,34.12,33.58,33.82,1831400,0.0,0
2009-12-22,33.74,34.39,33.74,34.32,1045300,0.0,0
2009-12-23,34.5,34.54,34.09,34.3,903500,0.0,0
2009-12-24,34.52,34.68,34.36,34.65,389200,0.0,0
2009-12-28,34.61,34.7,34.13,34.3,1047700,0.0,0
2009-12-29,34.14,34.68,34.14,34.39,815000,0.0,0
2009-12-30,34.18,34.49,34.15,34.37,588500,0.0,0
2009-12-31,34.37,34.37,34.01,34.01,949700,0.0,0
2010-01-04,34.11,34.15,33.54,33.66,3407100,0.0,0
2010-01-05,33.46,33.58,33.27,33.44,4986100,0.0,0
2010-01-06,33.49,33.52,33.27,33.43,1816600,0.0,0
2010-01-07,33.55,33.55,33.23,33.34,1740900,0.0,0
2010-01-08,33.29,33.61,33.13,33.61,1980600,0.0,0
2010-01-11,33.8,33.89,33.6,33.75,1444800,0.0,0
2010-01-12,33.71,33.89,33.58,33.7,1444100,0.0,0
2010-01-13,33.71,33.93,33.49,33.76,910400,0.0,0
2010-01-14,33.6,33.6,33.27,33.5,1553500,0.0,0
2010-01-15,33.29,33.51,33.17,33.32,3660800,0.0,0
2010-01-19,33.33,33.71,33.11,33.56,1270800,0.0,0
2010-01-20,33.22,33.89,33.18,33.79,2593900,0.0,0
2010-01-21,33.72,34.12,33.62,33.89,2212900,0.0,0
2010-01-22,33.95,34.44,33.93,34.18,2752500,0.0,0
2010-01-25,34.46,34.66,34.31,34.53,1833900,0.0,0
2010-01-26,34.41,34.85,34.41,34.63,2105200,0.0,0
2010-01-27,34.79,34.83,34.4,34.76,2135300,0.0,0
2010-01-28,34.95,34.95,34.61,34.75,2735000,0.15,0
2010-01-29,34.75,34.9,34.55,34.64,2207700,0.0,0
2010-02-01,34.82,34.97,34.37,34.54,3274100,0.0,0
2010-02-02,34.54,35.14,34.38,35.14,1497800,0.0,0
2010-02-03,35.0,35.17,34.85,35.0,1314800,0.0,0
2010-02-04,34.72,34.9,34.24,34.56,2819900,0.0,0
2010-02-05,34.62,35.52,34.48,35.36,5676000,0.0,0
2010-02-08,35.33,35.66,35.16,35.31,2752500,0.0,0
2010-02-09,35.55,35.65,35.27,35.47,1764500,0.0,0
2010-02-10,35.42,35.58,35.1,35.3,1287100,0.0,0
2010-02-11,35.2,35.37,34.89,35.09,1359700,0.0,0
2010-02-12,34.87,35.51,34.87,35.45,2295400,0.0,0
2010-02-16,35.65,35.7,35.12,35.53,1358600,0.0,0
2010-02-17,35.67,36.07,35.17,35.87,1909500,0.0,0
2010-02-18,35.67,36.06,35.67,35.86,1394900,0.0,0
2010-02-19,35.85,36.24,35.62,36.13,1829300,0.0,0
2010-02-22,36.09,36.15,35.93,36.03,1147600,0.0,0
2010-02-23,36.04,36.33,35.84,36.14,1739100,0.0,0
2010-02-24,36.23,36.45,35.95,36.28,1544300,0.0,0
2010-02-25,36.0,36.55,35.88,36.5,1621800,0.0,0
2010-02-26,36.55,36.63,36.39,36.46,1446300,0.0,0
2010-03-01,36.36,36.57,36.28,36.49,994600,0.0,0
2010-03-02,36.44,36.5,36.25,36.46,743200,0.0,0
