Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,56.95,57.5,56.6,57.03,1775800,0.0,0.0
2009-12-08,55.88,57.01,55.82,56.07,1345500,0.0,0.0
2009-12-09,56.18,57.26,55.38,57.26,2173000,0.0,0.0
2009-12-10,57.87,58.04,56.85,57.17,997600,0.0,0.0
2009-12-11,57.29,57.43,56.48,56.91,1544900,0.0,0.0
2009-12-14,57.18,57.44,56.5,57.38,1158600,0.0,0.0
2009-12-15,57.03,57.85,56.82,57.04,943400,0.0,0.0
2009-12-16,57.09,57.9,56.85,57.53,989400,0.0,0.0
2009-12-17,57.09,57.09,56.32,56.51,877300,0.0,0.0
2009-12-18,56.95,56.95,55.69,56.61,1518800,0.0,0.0
2009-12-21,56.46,56.78,55.74,55.88,1766800,0.0,0.0
2009-12-22,56.04,56.68,56.04,56.41,1199000,0.0,0.0
2009-12-23,56.62,56.66,56.02,56.59,1128200,0.0,0.0
2009-12-24,56.8,57.2,56.6,56.96,253900,0.0,0.0
2009-12-28,56.94,57.35,56.78,57.16,569700,0.0,0.0
2009-12-29,57.36,57.85,57.17,57.56,765600,0.0,0.0
2009-12-30,57.38,57.69,57.04,57.59,955300,0.45,0.0
2009-12-31,57.53,57.65,56.71,56.77,415400,0.0,0.0
2010-01-04,57.5,58.31,57.22,58.24,1131400,0.0,0.0
2010-01-05,58.06,58.24,57.36,57.76,790100,0.0,0.0
2010-01-06,57.43,57.9,57.08,57.28,1248600,0.0,0.0
2010-01-07,57.29,57.48,56.64,56.95,1514400,0.0,0.0
2010-01-08,56.82,57.58,56.69,57.31,1244800,0.0,0.0
2010-01-11,57.9,58.51,57.62,58.37,1197600,0.0,0.0
2010-01-12,57.72,58.26,57.26,57.62,949100,0.0,0.0
2010-01-13,57.69,58.2,57.26,58.2,874600,0.0,0.0
2010-01-14,58.1,58.69,57.29,57.48,663400,0.0,0.0
2010-01-15,57.59,58.1,57.39,57.97,1542200,0.0,0.0
2010-01-19,58.09,58.15,57.42,57.83,1415100,0.0,0.0
2010-01-20,57.43,57.43,56.81,57.06,1315100,0.0,0.0
2010-01-21,56.96,57.64,55.89,55.93,1546800,0.0,0.0
2010-01-22,55.93,56.64,54.6,54.67,1953400,0.0,0.0
2010-01-25,55.39,56.68,55.39,56.21,1942000,0.0,0.0
2010-01-26,55.65,56.78,55.33,55.73,1482200,0.0,0.0
2010-01-27,55.73,56.2,54.44,55.23,1842200,0.0,0.0
2010-01-28,55.48,55.66,53.88,53.95,1456500,0.0,0.0
2010-01-29,54.03,54.34,53.16,53.2,2528100,0.0,0.0
2010-02-01,53.68,53.98,52.76,53.79,2507200,0.0,0.0
2010-02-02,53.82,54.37,53.22,53.66,1597300,0.0,0.0
2010-02-03,53.38,53.9,53.01,53.36,1322600,0.0,0.0
2010-02-04,52.89,53.2,51.59,51.61,1612400,0.0,0.0
2010-02-05,47.38,48.44,45.56,48.07,10094300,0.0,0.0
2010-02-08,48.12,49.16,47.64,47.87,3684300,0.0,0.0
2010-02-09,47.55,48.22,47.25,47.59,4046300,0.0,0.0
2010-02-10,48.39,48.39,46.98,47.78,4041300,0.0,0.0
2010-02-11,47.85,48.39,47.27,47.9,3649100,0.0,0.0
2010-02-12,47.39,48.47,46.92,47.99,3714400,0.0,0.0
2010-02-16,48.54,49.42,48.28,49.31,2036700,0.0,0.0
2010-02-17,49.36,50.42,48.9,49.15,3034300,0.0,0.0
2010-02-18,49.23,49.34,48.78,48.99,2204400,0.0,0.0
2010-02-19,48.95,49.02,48.39,48.77,2036200,0.0,0.0
2010-02-22,48.79,49.04,48.67,48.97,3554300,0.0,0.0
2010-02-23,48.89,49.44,48.78,49.07,3593800,0.0,0.0
2010-02-24,49.26,49.26,48.81,48.93,4476400,0.0,0.0
2010-02-25,48.49,48.55,47.85,48.31,2542800,0.0,0.0
2010-02-26,48.36,48.5,47.94,48.03,2203400,0.0,0.0
2010-03-01,48.18,48.47,47.65,48.43,2357900,0.0,0.0
2010-03-02,48.79,49.73,48.62,49.49,2641900,0.0,0.0
2010-03-03,49.86,50.2,49.39,49.95,2241300,0.0,0.0
2010-03-04,50.05,50.45,49.73,50.35,2690600,0.0,0.0
2010-03-05,50.65,51.5,50.42,51.47,2875000,0.0,0.0
2010-03-08,51.51,52.07,51.51,51.96,2971500,0.0,0.0
2010-03-09,51.71,52.26,51.52,51.99,2672500,0.0,0.0
2010-03-10,52.06,52.41,51.53,52.1,2353200,0.0,0.0
2010-03-11,51.8,52.29,51.35,52.29,2279500,0.0,0.0
2010-03-12,52.45,52.59,52.1,52.22,2073400,0.0,0.0
2010-03-15,52.2,52.35,51.62,51.91,2309300,0.0,0.0
2010-03-16,52.11,52.5,52.01,52.44,1980500,0.0,0.0
2010-03-17,52.53,52.73,51.94,52.21,1815400,0.0,0.0
2010-03-18,52.42,52.45,51.89,52.36,1578400,0.0,0.0
2010-03-19,52.13,52.69,51.91,52.13,2503800,0.0,0.0
2010-03-22,51.81,52.71,51.81,52.53,1159900,0.0,0.0
2010-03-23,52.5,52.9,52.07,52.9,1114000,0.0,0.0
2010-03-24,52.64,52.69,52.1,52.39,1757000,0.0,0.0
2010-03-25,52.76,52.83,51.59,51.61,1313300,0.0,0.0
2010-03-26,51.75,52.45,51.63,52.05,1183000,0.0,0.0
2010-03-29,52.22,52.59,51.42,52.03,1982500,0.0,0.0
2010-03-30,52.01,52.37,51.34,52.26,1608000,0.49,0.0
2010-03-31,52.26,52.61,52.08,52.16,1508300,0.0,0.0
2010-04-01,52.51,52.58,51.85,52.1,1246600,0.0,0.0
2010-04-05,52.19,52.43,51.74,52.32,1428800,0.0,0.0
2010-04-06,52.11,52.68,52.04,52.64,936400,0.0,0.0
2010-04-07,52.27,52.8,52.09,52.24,1635000,0.0,0.0
2010-04-08,52.02,52.32,51.62,52.27,2203100,0.0,0.0
2010-04-09,52.41,53.2,52.13,53.16,1383500,0.0,0.0
2010-04-12,53.16,53.3,52.87,53.14,1067700,0.0,0.0
2010-04-13,52.99,53.14,52.61,52.87,1208100,0.0,0.0
2010-04-14,53.15,53.68,52.9,53.61,1820900,0.0,0.0
2010-04-15,53.35,54.37,53.21,54.14,1457700,0.0,0.0
2010-04-16,53.99,54.49,53.46,53.63,2066600,0.0,0.0
2010-04-19,53.28,53.66,52.7,53.5,1104900,0.0,0.0
2010-04-20,53.95,54.18,53.66,53.93,843600,0.0,0.0
2010-04-21,54.09,54.31,53.71,54.08,1201800,0.0,0.0
2010-04-22,53.79,54.59,53.15,54.54,1416400,0.0,0.0
2010-04-23,54.49,55.9,54.49,55.88,1800900,0.0,0.0
2010-04-26,56.54,56.6,55.72,55.72,1372500,0.0,0.0
2010-04-27,55.6,55.84,54.47,54.61,1671100,0.0,0.0
2010-04-28,55.07,55.24,53.89,55.06,2162600,0.0,0.0
2010-04-29,55.35,55.65,54.86,55.04,1241800,0.0,0.0
2010-04-30,55.17,55.4,54.16,54.16,1509200,0.0,0.0
2010-05-03,54.52,54.57,53.92,54.32,1525500,0.0,0.0
2010-05-04,53.61,53.93,52.46,52.74,1540200,0.0,0.0
2010-05-05,52.26,52.68,51.84,52.29,1427000,0.0,0.0
2010-05-06,51.92,52.53,48.38,50.98,2179500,0.0,0.0
2010-05-07,50.88,51.67,49.76,50.07,2316400,0.0,0.0
2010-05-10,51.36,51.89,50.65,51.2,2835300,0.0,0.0
2010-05-11,50.76,51.34,50.48,50.55,1934200,0.0,0.0
2010-05-12,50.65,51.21,50.45,51.19,2665500,0.0,0.0
2010-05-13,50.97,51.1,50.4,50.41,1928200,0.0,0.0
2010-05-14,49.91,49.94,48.52,49.07,1980600,0.0,0.0
2010-05-17,49.11,50.19,48.78,49.78,2503500,0.0,0.0
2010-05-18,50.23,51.14,49.25,49.41,1559200,0.0,0.0
2010-05-19,49.22,49.24,48.4,48.94,1527800,0.0,0.0
2010-05-20,47.71,48.16,46.55,46.56,3725400,0.0,0.0
2010-05-21,45.68,47.29,45.54,47.22,2812300,0.0,0.0
2010-05-24,46.91,47.37,46.51,46.53,1668300,0.0,0.0
2010-05-25,45.59,47.55,45.47,47.51,2694500,0.0,0.0
2010-05-26,47.91,49.05,47.58,48.37,4056400,0.0,0.0
2010-05-27,49.25,49.85,48.3,49.85,2357300,0.0,0.0
2010-05-28,49.84,49.84,48.47,48.71,1830100,0.0,0.0
