Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,20.25,20.54,20.11,20.22,1552000,0.0,0.0
2009-12-08,20.06,20.12,19.75,19.97,1944000,0.0,0.0
2009-12-09,19.94,20.08,19.74,20.03,1808000,0.0,0.0
2009-12-10,20.17,20.33,19.89,19.89,2629600,0.0,0.0
2009-12-11,20.06,20.06,19.78,19.86,2523800,0.0,0.0
2009-12-14,19.9,20.08,19.79,20.05,1924600,0.015,0.0
2009-12-15,19.94,20.25,19.86,19.99,1568600,0.0,0.0
2009-12-16,20.03,20.07,19.69,19.72,3634800,0.0,0.0
2009-12-17,19.54,19.62,19.22,19.34,2398400,0.0,0.0
2009-12-18,19.42,19.64,19.38,19.62,2365200,0.0,0.0
2009-12-21,19.69,19.99,19.69,19.9,1765000,0.0,0.0
2009-12-22,19.98,20.39,19.9,20.28,4053600,0.0,0.0
2009-12-23,20.3,21.08,20.3,21.02,3333800,0.0,0.0
2009-12-24,21.07,21.2,21.03,21.18,547800,0.0,0.0
2009-12-28,21.14,21.14,20.78,20.85,1161000,0.0,0.0
2009-12-29,20.89,21.04,20.8,20.98,1137800,0.0,0.0
2009-12-30,20.87,21.34,20.87,21.34,1734000,0.0,0.0
2009-12-31,21.35,21.42,20.95,20.98,1245600,0.0,0.0
2010-01-04,21.36,21.36,20.86,20.87,2457200,0.0,0.0
2010-01-05,20.84,20.94,20.37,20.44,2705400,0.0,0.0
2010-01-06,20.46,20.69,20.39,20.51,1664400,0.0,0.0
2010-01-07,20.44,20.55,20.31,20.38,1377600,0.0,0.0
2010-01-08,20.29,20.53,20.22,20.53,1346800,0.0,0.0
2010-01-11,20.64,20.69,20.26,20.58,1635200,0.0,0.0
2010-01-12,20.34,20.42,19.86,20.13,3822400,0.0,0.0
2010-01-13,20.16,20.49,20.01,20.44,1200000,0.0,0.0
2010-01-14,20.44,20.67,20.37,20.58,1983800,0.0,0.0
2010-01-15,20.45,20.49,19.84,19.92,2166000,0.0,0.0
2010-01-19,19.91,20.04,19.74,20.03,2071000,0.0,0.0
2010-01-20,19.9,20.11,19.69,20.04,2366400,0.0,0.0
2010-01-21,20.25,20.66,19.28,19.31,6785400,0.0,0.0
2010-01-22,19.18,19.31,18.4,18.42,3938800,0.0,0.0
2010-01-25,18.62,18.69,18.31,18.56,2572800,0.0,0.0
2010-01-26,18.4,18.9,18.29,18.72,3938000,0.0,0.0
2010-01-27,18.63,18.74,18.18,18.53,3627000,0.0,0.0
2010-01-28,18.55,18.65,18.0,18.18,2168200,0.0,0.0
2010-01-29,18.35,18.49,18.07,18.1,3747200,0.0,0.0
2010-02-01,18.25,18.5,18.18,18.43,2225000,0.0,0.0
2010-02-02,18.5,18.51,18.2,18.43,1866200,0.0,0.0
2010-02-03,18.38,18.6,18.3,18.37,997600,0.0,0.0
2010-02-04,18.18,18.18,17.5,17.5,2197800,0.0,0.0
2010-02-05,17.49,17.67,17.16,17.65,3104200,0.0,0.0
2010-02-08,17.62,18.03,17.5,17.7,2270000,0.0,0.0
2010-02-09,17.92,18.13,17.71,18.0,1745800,0.0,0.0
2010-02-10,17.95,18.05,17.61,17.97,1571600,0.0,0.0
2010-02-11,17.96,18.2,17.62,18.2,2128600,0.0,0.0
2010-02-12,18.04,18.2,17.75,18.12,1399800,0.0,0.0
2010-02-16,18.34,18.8,18.18,18.76,2322800,0.0,0.0
2010-02-17,18.85,19.03,18.71,18.94,1552800,0.0,0.0
2010-02-18,18.9,19.12,18.83,19.06,2145200,0.0,0.0
2010-02-19,19.58,19.82,19.22,19.44,3459400,0.0,0.0
2010-02-22,19.49,19.49,18.94,18.97,2312400,0.0,0.0
2010-02-23,18.96,19.12,18.67,18.73,1628800,0.0,0.0
2010-02-24,18.77,18.95,18.65,18.91,1810600,0.0,0.0
2010-02-25,18.55,18.88,18.31,18.84,1925600,0.0,0.0
2010-02-26,18.78,18.96,18.63,18.92,1382400,0.0,0.0
2010-03-01,19.09,19.34,19.09,19.31,1363400,0.0,0.0
2010-03-02,19.38,19.52,19.19,19.28,2178800,0.0,0.0
2010-03-03,19.31,19.85,19.29,19.79,2917400,0.0,0.0
2010-03-04,19.77,19.8,19.5,19.65,1935800,0.0,0.0
2010-03-05,19.74,20.0,19.74,19.95,2980200,0.0,0.0
2010-03-08,19.98,20.05,19.86,19.88,2404200,0.0,0.0
2010-03-09,19.85,20.21,19.77,20.12,2002000,0.0,0.0
2010-03-10,20.17,20.54,20.16,20.51,2428800,0.0,0.0
2010-03-11,20.39,20.48,20.08,20.14,7145400,0.0,0.0
2010-03-12,20.17,20.19,19.99,20.06,4472200,0.0,0.0
2010-03-15,20.0,20.18,19.91,19.95,2167000,0.015,0.0
2010-03-16,19.97,20.18,19.97,20.18,2481200,0.0,0.0
2010-03-17,20.19,20.41,20.17,20.26,4379200,0.0,0.0
2010-03-18,20.17,20.19,19.96,20.12,1789200,0.0,0.0
2010-03-19,19.77,20.26,19.74,19.77,4152400,0.0,0.0
2010-03-22,19.59,19.62,19.49,19.53,5416600,0.0,0.0
2010-03-23,19.58,19.59,19.12,19.21,9125600,0.0,0.0
2010-03-24,19.15,19.21,19.02,19.09,4536400,0.0,0.0
2010-03-25,19.24,19.49,19.04,19.07,5277600,0.0,0.0
2010-03-26,19.11,19.15,18.64,18.85,4743200,0.0,0.0
2010-03-29,18.93,19.31,18.9,19.29,2688400,0.0,0.0
2010-03-30,19.28,19.36,19.07,19.19,4061400,0.0,0.0
2010-03-31,19.11,19.29,19.08,19.18,2890600,0.0,0.0
2010-04-01,19.31,19.44,19.14,19.27,1915600,0.0,0.0
