Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-11-17,16.01,16.51,16.01,16.07,20946000,0.0,0.0
2011-11-18,16.09,16.22,15.63,15.82,3243100,0.0,0.0
2011-11-21,15.82,15.99,15.08,15.29,2823100,0.0,0.0
2011-11-22,15.29,15.6,14.8,14.99,3565500,0.0,0.0
2011-11-23,14.84,14.88,14.48,14.79,1266200,0.0,0.0
2011-11-25,14.73,14.93,14.69,14.8,333500,0.0,0.0
2011-11-28,14.96,15.31,14.82,15.1,835400,0.0,0.0
2011-11-29,15.07,15.07,14.84,15.06,637000,0.0,0.0
2011-11-30,15.18,16.17,15.16,15.7,679600,0.0,0.0
2011-12-01,15.78,15.86,15.33,15.68,572500,0.0,0.0
2011-12-02,15.78,16.16,15.75,16.1,697300,0.0,0.0
2011-12-05,16.16,16.51,16.12,16.4,2466800,0.0,0.0
2011-12-06,16.3,16.76,16.28,16.67,625200,0.0,0.0
2011-12-07,16.52,16.65,16.44,16.57,188000,0.0,0.0
2011-12-08,16.36,16.53,16.29,16.34,450800,0.0,0.0
2011-12-09,16.29,16.56,16.01,16.39,587700,0.0,0.0
2011-12-12,16.12,16.27,16.01,16.21,514700,0.0,0.0
2011-12-13,16.31,16.44,15.98,16.06,666500,0.0,0.0
2011-12-14,15.88,15.96,15.48,15.55,1255700,0.0,0.0
2011-12-15,15.81,16.48,15.66,15.79,850400,0.0,0.0
2011-12-16,15.79,16.2,15.63,15.8,250800,0.0,0.0
2011-12-19,15.87,15.95,15.64,15.81,177700,0.0,0.0
2011-12-20,16.15,16.34,15.95,16.2,381900,0.0,0.0
2011-12-21,16.1,16.33,16.04,16.12,320400,0.0,0.0
2011-12-22,16.15,16.46,16.15,16.42,446700,0.0,0.0
2011-12-23,16.44,16.91,16.3,16.53,647200,0.0,0.0
2011-12-27,17.25,17.25,16.11,16.31,528600,0.0,0.0
2011-12-28,16.4,16.44,15.89,15.96,172700,0.0,0.0
2011-12-29,15.99,16.15,15.84,16.14,344800,0.0,0.0
2011-12-30,16.17,16.3,15.89,16.23,152700,0.0,0.0
2012-01-03,16.66,17.28,16.39,16.76,1169400,0.0,0.0
2012-01-04,17.5,17.5,16.46,16.98,469600,0.0,0.0
2012-01-05,16.91,16.91,16.39,16.68,802200,0.0,0.0
2012-01-06,16.68,17.2,16.57,16.99,690600,0.0,0.0
2012-01-09,17.03,17.11,16.94,17.11,499600,0.0,0.0
2012-01-10,17.27,18.08,17.27,17.95,1131900,0.0,0.0
2012-01-11,17.93,18.1,17.77,18.04,271200,0.0,0.0
2012-01-12,18.16,18.84,17.97,18.6,1208900,0.0,0.0
2012-01-13,18.48,19.08,18.29,18.68,645200,0.0,0.0
2012-01-17,18.8,18.93,18.29,18.35,1059100,0.0,0.0
2012-01-18,18.24,18.84,18.24,18.46,679600,0.0,0.0
2012-01-19,18.59,18.96,18.53,18.89,1141100,0.0,0.0
2012-01-20,18.85,18.99,18.79,18.91,634600,0.0,0.0
2012-01-23,18.97,19.46,18.9,19.2,584000,0.0,0.0
2012-01-24,19.06,19.49,18.97,19.45,486800,0.0,0.0
2012-01-25,19.45,19.51,19.19,19.41,720200,0.0,0.0
2012-01-26,19.48,20.07,18.96,19.55,956300,0.0,0.0
2012-01-27,20.31,20.64,19.72,20.46,3047800,0.0,0.0
2012-01-30,20.46,20.76,20.02,20.4,805500,0.0,0.0
2012-01-31,20.55,20.71,20.02,20.21,660400,0.0,0.0
2012-02-01,20.44,21.62,20.33,21.54,850600,0.0,0.0
2012-02-02,21.19,21.88,21.0,21.83,682000,0.0,0.0
2012-02-03,22.03,23.38,22.01,23.17,3254800,0.0,0.0
2012-02-06,23.07,23.19,22.53,22.99,1968900,0.0,0.0
2012-02-07,22.98,22.98,22.36,22.66,944700,0.0,0.0
2012-02-08,22.74,22.79,21.92,22.53,1802700,0.0,0.0
2012-02-09,22.59,22.62,22.17,22.45,1801100,0.0,0.0
2012-02-10,22.22,22.73,22.12,22.63,1777300,0.0,0.0
2012-02-13,22.61,22.79,22.55,22.61,1762700,0.0,0.0
2012-02-14,21.99,22.22,21.66,21.89,10285600,0.0,0.0
2012-02-15,22.03,22.46,21.95,22.14,5713600,0.0,0.0
2012-02-16,22.23,23.2,22.12,22.84,5809300,0.0,0.0
2012-02-17,23.02,23.73,22.73,23.57,5353500,0.0,0.0
2012-02-21,24.79,24.85,22.86,23.3,4582700,0.0,0.0
2012-02-22,23.39,23.62,22.84,23.37,1731800,0.0,0.0
2012-02-23,23.48,23.66,23.02,23.36,1398100,0.0,0.0
2012-02-24,23.32,23.92,23.2,23.65,1332500,0.0,0.0
2012-02-27,23.65,23.83,23.38,23.57,2578900,0.0,0.0
2012-02-28,23.71,24.24,23.66,24.02,1538700,0.0,0.0
2012-02-29,24.24,24.45,23.82,24.11,2937200,0.0,0.0
2012-03-01,24.21,24.48,23.63,24.11,3060400,0.0,0.0
2012-03-02,23.91,24.48,23.91,24.36,1941300,0.0,0.0
2012-03-05,24.34,24.58,23.62,23.84,2205100,0.0,0.0
2012-03-06,23.63,23.85,22.44,22.59,1253300,0.0,0.0
2012-03-07,22.45,23.26,22.45,22.61,813000,0.0,0.0
2012-03-08,22.95,24.04,22.79,23.88,4290200,0.0,0.0
2012-03-09,23.77,24.03,23.69,23.98,764100,0.0,0.0
2012-03-12,24.04,24.34,23.76,24.05,4160800,0.0,0.0
2012-03-13,24.14,24.15,23.86,24.07,1540800,0.0,0.0
2012-03-14,24.0,24.33,23.39,23.94,2253000,0.0,0.0
2012-03-15,24.03,24.21,23.82,23.9,1595300,0.0,0.0
2012-03-16,23.92,24.18,23.84,24.11,2037600,0.0,0.0
2012-03-19,24.06,24.15,23.72,23.77,2542500,0.0,0.0
2012-03-20,23.47,23.72,23.08,23.46,2089100,0.0,0.0
2012-03-21,23.65,23.91,23.46,23.55,1049400,0.0,0.0
2012-03-22,23.48,23.48,23.19,23.33,458500,0.0,0.0
2012-03-23,23.3,23.42,22.9,23.33,861500,0.0,0.0
2012-03-26,23.62,24.09,23.41,24.08,1472500,0.0,0.0
2012-03-27,24.28,24.57,23.89,24.04,1672100,0.0,0.0
2012-03-28,23.96,24.15,23.04,23.78,1731700,0.0,0.0
2012-03-29,24.41,24.41,23.66,23.94,2174000,0.0,0.0
2012-03-30,24.17,24.24,23.68,23.81,12048100,0.0,0.0
