Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,26.3,27.05,26.28,26.58,9881200,0.0,0.0
2009-12-08,26.34,26.42,26.05,26.22,9201900,0.0,0.0
2009-12-09,26.22,26.68,26.01,26.64,11238600,0.0,0.0
2009-12-10,26.91,27.68,26.87,27.5,14280800,0.0,0.0
2009-12-11,28.11,29.92,28.03,29.76,33436000,0.0,0.0
2009-12-14,29.78,30.56,29.62,30.19,16341300,0.0,0.0
2009-12-15,29.68,30.31,29.43,29.9,8849000,0.0,0.0
2009-12-16,30.05,30.86,30.05,30.35,13676100,0.0,0.0
2009-12-17,29.94,30.15,29.52,29.54,9065500,0.0,0.0
2009-12-18,29.66,30.01,29.05,29.7,13277100,0.0,0.0
2009-12-21,30.84,32.55,30.82,32.04,27092000,0.0,0.0
2009-12-22,31.76,32.21,31.59,32.16,14086600,0.0,0.0
2009-12-23,32.31,32.59,31.92,32.59,11637800,0.0,0.0
2009-12-24,32.63,33.35,32.61,33.28,6370700,0.0,0.0
2009-12-28,33.59,33.63,32.57,32.8,8453800,0.0,0.0
2009-12-29,32.92,33.16,32.51,32.65,6347700,0.0,0.0
2009-12-30,32.45,33.31,32.12,33.2,8158300,0.0,0.0
2009-12-31,33.26,33.39,32.8,32.84,7334300,0.0,0.0
2010-01-04,33.55,34.4,33.41,33.92,11512100,0.0,0.0
2010-01-05,34.28,34.32,32.65,32.86,22201000,0.0,0.0
2010-01-06,33.22,34.75,33.12,34.57,20784700,0.0,0.0
2010-01-07,33.65,33.94,33.2,33.83,17182500,0.0,0.0
2010-01-08,33.53,34.67,33.51,34.67,14783300,0.0,0.0
2010-01-11,35.63,35.85,34.89,35.55,33991100,0.0,0.0
2010-01-12,32.84,33.1,31.41,31.61,69322900,0.0,0.0
2010-01-13,32.12,32.57,31.39,32.55,26099400,0.0,0.0
2010-01-14,32.57,32.8,32.16,32.21,14389900,0.0,0.0
2010-01-15,32.1,32.29,31.49,31.84,14858000,0.0,0.0
2010-01-19,31.74,32.23,31.49,31.82,15306500,0.0,0.0
2010-01-20,31.41,31.51,30.86,31.02,15861900,0.0,0.0
2010-01-21,30.94,31.17,28.97,29.03,31095800,0.0,0.0
2010-01-22,28.88,28.88,27.15,27.3,37564700,0.0,0.0
2010-01-25,28.03,28.21,27.11,27.28,19649900,0.0,0.0
2010-01-26,27.4,28.42,27.09,27.58,19518600,0.0,0.0
2010-01-27,27.91,27.91,26.4,27.09,24622800,0.0,0.0
