Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,20.61,21.01,20.42,20.93,579000,0.0,0
2009-12-08,20.76,20.92,20.53,20.71,404700,0.0,0
2009-12-09,20.75,20.75,20.36,20.56,644400,0.0,0
2009-12-10,20.62,20.85,20.56,20.84,457800,0.0,0
2009-12-11,20.84,21.11,20.77,21.09,468900,0.0,0
2009-12-14,21.13,21.37,21.12,21.33,473600,0.0,0
2009-12-15,21.23,21.37,20.88,21.37,775900,0.0,0
2009-12-16,21.39,21.46,21.25,21.37,379700,0.0,0
2009-12-17,21.25,21.42,21.1,21.31,522200,0.0,0
2009-12-18,21.36,21.48,21.1,21.36,753300,0.0,0
2009-12-21,21.36,21.65,21.36,21.48,266600,0.0,0
2009-12-22,21.46,21.6,21.43,21.6,397000,0.0,0
2009-12-23,21.61,21.76,21.5,21.7,230400,0.0,0
2009-12-24,21.66,21.92,21.66,21.85,117600,0.0,0
2009-12-28,21.87,21.97,21.81,21.87,266100,0.0,0
2009-12-29,21.84,22.03,21.8,21.87,339200,0.0,0
2009-12-30,21.87,22.06,21.64,21.74,298800,0.0,0
2009-12-31,21.82,21.83,21.39,21.39,407900,0.0,0
2010-01-04,21.46,21.7,21.37,21.48,442700,0.0,0
2010-01-05,21.52,21.56,21.15,21.25,527700,0.0,0
2010-01-06,21.27,21.35,21.16,21.26,272600,0.0,0
2010-01-07,21.19,21.31,20.97,21.06,286500,0.0,0
2010-01-08,20.84,20.99,20.39,20.71,524800,0.0,0
2010-01-11,20.66,20.84,20.64,20.83,249000,0.0,0
2010-01-12,20.78,20.91,20.71,20.82,315000,0.0,0
2010-01-13,20.9,21.02,20.69,21.01,268600,0.0,0
2010-01-14,20.89,21.12,20.89,21.02,302300,0.0,0
2010-01-15,20.95,21.03,20.56,20.85,346300,0.0,0
2010-01-19,20.92,21.2,20.89,21.17,242200,0.0,0
2010-01-20,21.03,21.1,20.8,20.99,238400,0.0,0
2010-01-21,21.06,21.2,20.53,20.77,449700,0.0,0
2010-01-22,20.71,20.88,20.45,20.47,346300,0.0,0
2010-01-25,20.64,20.82,20.43,20.69,331200,0.0,0
2010-01-26,20.7,20.77,20.45,20.57,226700,0.0,0
2010-01-27,20.52,20.56,20.2,20.4,242300,0.0,0
2010-01-28,20.48,20.53,20.29,20.39,260400,0.0,0
2010-01-29,20.37,20.55,20.08,20.1,453900,0.0,0
2010-02-01,20.23,20.25,19.96,20.08,665400,0.0,0
2010-02-02,20.08,20.23,19.93,20.13,723100,0.0,0
2010-02-03,19.81,20.16,19.78,20.09,525000,0.0,0
2010-02-04,20.02,20.14,19.87,19.91,491700,0.0,0
2010-02-05,19.96,20.04,19.49,19.83,383500,0.0,0
2010-02-08,19.83,19.83,19.43,19.43,447600,0.0,0
2010-02-09,19.58,19.58,19.25,19.47,769400,0.0,0
2010-02-10,19.43,19.5,19.21,19.3,326600,0.0,0
2010-02-11,19.32,19.62,19.16,19.61,239500,0.0,0
2010-02-12,19.51,19.65,19.3,19.64,375700,0.0,0
2010-02-16,19.72,19.83,19.66,19.81,440800,0.0,0
2010-02-17,19.84,19.94,19.78,19.94,382200,0.0,0
2010-02-18,19.89,20.09,19.78,19.92,458900,0.0,0
2010-02-19,19.93,20.24,19.86,20.21,406200,0.0,0
2010-02-22,20.3,20.51,20.24,20.37,373400,0.0,0
2010-02-23,20.42,20.42,20.13,20.24,441800,0.335,0
2010-02-24,20.32,20.45,20.03,20.19,399900,0.0,0
2010-02-25,19.99,20.22,19.91,20.13,326600,0.0,0
2010-02-26,20.22,20.29,19.93,20.22,487800,0.0,0
2010-03-01,20.3,20.67,20.24,20.57,443900,0.0,0
2010-03-02,20.63,20.66,20.48,20.66,281700,0.0,0
2010-03-03,20.64,20.85,20.63,20.84,376600,0.0,0
2010-03-04,20.89,20.97,20.74,20.8,321400,0.0,0
2010-03-05,20.93,21.12,20.83,21.06,327100,0.0,0
2010-03-08,21.03,21.14,20.91,21.07,224000,0.0,0
2010-03-09,21.0,21.08,20.82,20.95,381800,0.0,0
2010-03-10,20.99,21.09,20.8,21.09,388500,0.0,0
2010-03-11,21.08,21.19,20.97,21.15,223900,0.0,0
2010-03-12,21.25,21.33,21.05,21.21,373200,0.0,0
2010-03-15,21.14,21.28,21.03,21.21,188000,0.0,0
2010-03-16,21.22,21.33,21.14,21.29,169300,0.0,0
2010-03-17,21.29,21.48,21.29,21.41,210600,0.0,0
2010-03-18,21.35,21.53,21.33,21.37,135600,0.0,0
2010-03-19,21.32,21.5,21.13,21.32,425200,0.0,0
2010-03-22,21.25,21.39,21.15,21.32,225500,0.0,0
2010-03-23,21.31,21.39,21.19,21.35,240600,0.0,0
2010-03-24,21.31,21.42,21.22,21.23,297300,0.0,0
2010-03-25,21.4,21.4,20.89,20.9,244100,0.0,0
2010-03-26,20.88,20.98,20.75,20.85,223900,0.0,0
2010-03-29,20.86,21.08,20.81,21.08,400900,0.0,0
2010-03-30,21.03,21.4,21.03,21.26,461500,0.0,0
2010-03-31,21.28,21.33,21.04,21.04,367100,0.0,0
2010-04-01,21.2,21.34,21.14,21.32,209000,0.0,0
2010-04-05,21.32,21.64,21.31,21.64,200700,0.0,0
2010-04-06,21.63,21.86,21.59,21.83,357600,0.0,0
2010-04-07,21.72,21.84,21.57,21.75,414500,0.0,0
2010-04-08,21.64,21.64,21.42,21.45,210800,0.0,0
2010-04-09,21.39,21.61,21.26,21.6,303500,0.0,0
2010-04-12,21.56,21.65,21.43,21.52,233600,0.0,0
2010-04-13,21.45,21.49,21.28,21.39,368200,0.0,0
2010-04-14,21.38,21.39,21.21,21.36,233200,0.0,0
2010-04-15,21.3,21.62,21.26,21.48,342700,0.0,0
2010-04-16,21.44,21.58,21.33,21.52,290700,0.0,0
2010-04-19,21.5,21.5,21.26,21.49,313400,0.0,0
2010-04-20,21.54,21.64,21.43,21.64,383300,0.0,0
2010-04-21,21.68,21.77,21.57,21.65,319300,0.0,0
2010-04-22,21.56,21.76,21.52,21.75,122000,0.0,0
2010-04-23,21.75,22.09,21.7,22.08,253500,0.0,0
2010-04-26,22.08,22.2,21.98,22.03,258200,0.0,0
2010-04-27,22.03,22.12,21.68,21.7,291300,0.0,0
2010-04-28,21.78,21.96,21.67,21.92,273100,0.0,0
2010-04-29,22.05,22.09,21.87,21.94,409800,0.0,0
2010-04-30,21.93,22.15,21.76,21.78,268000,0.0,0
2010-05-03,21.81,22.03,21.72,21.98,291100,0.0,0
2010-05-04,21.79,21.86,21.36,21.57,373200,0.0,0
2010-05-05,21.47,21.67,21.08,21.2,507700,0.0,0
2010-05-06,21.03,21.36,19.33,20.45,865800,0.0,0
2010-05-07,20.4,20.52,19.84,20.13,654900,0.0,0
2010-05-10,20.72,20.72,20.41,20.72,514400,0.0,0
2010-05-11,20.55,21.24,20.41,21.03,311500,0.0,0
2010-05-12,21.03,21.33,20.86,21.25,231000,0.0,0
2010-05-13,21.18,21.35,21.08,21.18,209900,0.0,0
2010-05-14,21.02,21.11,20.64,20.7,254100,0.0,0
2010-05-17,20.63,21.13,20.54,20.97,500600,0.0,0
2010-05-18,21.19,21.34,20.94,20.97,632300,0.0,0
2010-05-19,20.88,21.19,20.66,20.89,487500,0.0,0
2010-05-20,20.63,20.66,20.0,20.01,672100,0.0,0
2010-05-21,20.01,20.07,19.76,19.98,487400,0.335,0
2010-05-24,19.88,20.3,19.83,19.95,563200,0.0,0
2010-05-25,19.6,19.77,19.28,19.69,537600,0.0,0
2010-05-26,19.79,20.09,19.76,19.8,544200,0.0,0
2010-05-27,20.09,20.25,19.99,20.23,394900,0.0,0
2010-05-28,20.21,20.49,20.16,20.22,251200,0.0,0
2010-06-01,20.09,20.36,19.69,19.73,315300,0.0,0
2010-06-02,19.84,20.23,19.76,20.21,364100,0.0,0
2010-06-03,20.38,20.52,20.19,20.44,260300,0.0,0
