Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,9.97,10.02,9.83,9.86,12914000,0.0,0
2009-12-08,9.67,9.83,9.59,9.69,14472300,0.0,0
2009-12-09,9.72,9.82,9.58,9.73,11356700,0.0,0
2009-12-10,9.76,9.81,9.57,9.71,12302200,0.0,0
2009-12-11,9.84,9.88,9.68,9.7,12700800,0.0,0
2009-12-14,9.78,9.93,9.73,9.77,9178700,0.0,0
2009-12-15,9.74,9.89,9.61,9.73,8146100,0.0,0
2009-12-16,9.81,9.9,9.75,9.83,9475000,0.0,0
2009-12-17,9.81,9.81,9.63,9.71,7650900,0.0,0
2009-12-18,9.81,9.99,9.74,9.98,12153800,0.0,0
2009-12-21,9.99,10.06,9.83,9.9,7773900,0.0,0
2009-12-22,9.96,9.99,9.74,9.81,10692500,0.0,0
2009-12-23,9.79,10.28,9.76,10.25,15861800,0.0,0
2009-12-24,10.33,10.35,10.19,10.32,3320500,0.0,0
2009-12-28,10.36,10.36,10.2,10.27,5373400,0.0,0
2009-12-29,10.3,10.32,10.18,10.18,4790300,0.0,0
2009-12-30,10.18,10.3,10.12,10.27,6929300,0.0,0
2009-12-31,10.24,10.26,10.01,10.02,5931900,0.0,0
2010-01-04,10.13,10.33,10.06,10.19,9306600,0.0,0
2010-01-05,10.14,10.25,10.11,10.21,11366100,0.0,0
2010-01-06,10.16,10.27,10.11,10.16,6537800,0.0,0
2010-01-07,10.01,10.09,9.86,9.91,15390800,0.0,0
2010-01-08,9.9,9.97,9.81,9.83,11002500,0.0,0
2010-01-11,9.84,9.9,9.77,9.82,8778400,0.0,0
2010-01-12,9.65,9.78,9.58,9.72,21501800,0.0,0
2010-01-13,9.83,9.9,9.75,9.84,14237000,0.0,0
2010-01-14,9.73,9.88,9.73,9.8,10650200,0.0,0
2010-01-15,9.94,9.99,9.74,9.82,22440700,0.0,0
2010-01-19,9.83,9.88,9.7,9.78,16891000,0.0,0
2010-01-20,9.72,9.79,9.58,9.76,24022200,0.0,0
2010-01-21,9.77,9.87,9.44,9.55,19218100,0.0,0
2010-01-22,9.53,9.6,9.29,9.35,12608200,0.0,0
2010-01-25,9.36,9.46,9.12,9.13,30554200,0.0,0
2010-01-26,9.12,9.17,8.96,9.03,42123300,0.0,0
2010-01-27,8.99,9.37,8.98,9.35,23699200,0.0,0
2010-01-28,9.33,9.39,9.17,9.25,18687500,0.0,0
2010-01-29,9.3,9.38,9.11,9.16,13777800,0.0,0
2010-02-01,9.13,9.16,9.05,9.09,13970400,0.0,0
2010-02-02,9.09,9.26,9.07,9.25,15094300,0.0,0
2010-02-03,9.3,9.53,9.26,9.44,21304300,0.0,0
2010-02-04,9.4,9.41,9.13,9.16,12453700,0.0,0
2010-02-05,9.22,9.32,9.03,9.21,15281000,0.0,0
2010-02-08,9.16,9.31,9.08,9.16,10408700,0.0,0
2010-02-09,9.11,9.21,9.04,9.07,20451700,0.0,0
2010-02-10,9.16,9.29,9.1,9.11,42206400,0.0,0
2010-02-11,9.65,10.09,9.62,9.99,56354800,0.0,0
2010-02-12,9.9,10.06,9.76,10.02,19642600,0.0,0
2010-02-16,10.03,10.06,9.9,9.93,14720100,0.0,0
2010-02-17,9.95,10.11,9.91,10.06,19776400,0.0,0
2010-02-18,10.12,10.13,9.84,9.92,21827100,0.15,0
2010-02-19,9.88,10.09,9.85,9.87,20025000,0.0,0
2010-02-22,9.88,9.9,9.71,9.72,15143600,0.0,0
2010-02-23,9.72,9.85,9.6,9.65,13031000,0.0,0
2010-02-24,9.66,9.88,9.66,9.79,11102600,0.0,0
2010-02-25,9.68,9.83,9.57,9.8,15238300,0.0,0
