Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,13.84,14.2,13.84,14.15,308400,0.0,0
2009-12-08,13.93,14.23,13.88,14.05,249500,0.0,0
2009-12-09,13.93,14.1,13.71,14.1,96700,0.0,0
2009-12-10,14.09,14.25,14.05,14.07,255500,0.0,0
2009-12-11,14.0,14.01,13.81,13.91,77400,0.0,0
2009-12-14,14.04,14.17,14.0,14.13,224800,0.0,0
2009-12-15,14.13,14.17,14.02,14.04,140400,0.0,0
2009-12-16,14.16,14.37,14.04,14.26,315700,0.0,0
2009-12-17,14.18,14.24,13.54,13.68,149000,0.0,0
2009-12-18,13.67,14.09,13.61,13.75,417800,0.0,0
2009-12-21,14.08,14.13,13.72,13.83,144300,0.0,0
2009-12-22,13.84,14.03,13.61,14.03,312700,0.0,0
2009-12-23,14.05,14.12,13.97,14.07,223500,0.0,0
2009-12-24,14.02,14.26,14.02,14.07,30800,0.0,0
2009-12-28,14.05,14.93,14.05,14.58,795400,0.0,0
2009-12-29,14.69,14.83,14.59,14.7,227600,0.0,0
2009-12-30,14.52,14.91,14.52,14.84,302500,0.0,0
2009-12-31,14.77,15.34,14.77,15.34,555800,0.0,0
2010-01-04,15.35,15.85,15.11,15.82,538700,0.0,0
2010-01-05,15.89,16.14,15.18,15.94,301100,0.0,0
2010-01-06,15.89,16.19,15.59,16.06,533100,0.0,0
2010-01-07,15.97,16.08,15.64,15.96,271800,0.0,0
2010-01-08,15.85,16.19,15.81,16.08,289900,0.0,0
2010-01-11,16.1,16.4,15.96,16.18,512700,0.0,0
2010-01-12,16.05,16.05,15.72,15.94,916700,0.0,0
2010-01-13,15.9,15.9,15.31,15.45,943900,0.0,0
2010-01-14,15.5,15.83,15.22,15.46,1065400,0.0,0
2010-01-15,15.57,15.57,15.22,15.3,158700,0.0,0
2010-01-19,15.01,15.22,14.51,14.94,381300,0.0,0
2010-01-20,14.85,15.11,14.63,15.06,193800,0.0,0
2010-01-21,14.99,15.51,14.92,15.09,338600,0.0,0
2010-01-22,15.0,15.15,14.58,14.73,923500,0.0,0
2010-01-25,14.82,14.93,14.64,14.8,261400,0.0,0
2010-01-26,14.28,15.1,14.12,14.9,765400,0.0,0
2010-01-27,14.8,15.06,14.47,14.6,696300,0.0,0
2010-01-28,14.72,14.88,14.47,14.86,14457600,0.0,0
2010-01-29,14.86,14.98,14.47,14.58,3357000,0.0,0
2010-02-01,14.58,14.84,14.5,14.68,509500,0.0,0
2010-02-02,14.69,14.93,14.55,14.85,1772900,0.0,0
2010-02-03,14.71,14.84,14.66,14.78,1285700,0.0,0
