Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,42.94,43.52,42.7,43.42,4948800,0.0,0
2009-12-08,43.55,43.73,42.83,43.3,4658500,0.0,0
2009-12-09,43.37,43.4,42.87,43.15,3900100,0.0,0
2009-12-10,43.29,43.86,42.56,42.79,5755600,0.0,0
2009-12-11,43.15,43.4,42.88,43.25,7396600,0.0,0
2009-12-14,43.58,44.0,43.42,43.6,4830600,0.0,0
2009-12-15,43.85,43.85,43.04,43.3,7364800,0.0,0
2009-12-16,43.65,43.67,42.35,42.88,7803800,0.0,0
2009-12-17,42.7,43.09,42.32,42.37,5824200,0.0,0
2009-12-18,42.55,42.58,41.3,41.57,8920500,0.0,0
2009-12-21,41.51,42.39,41.51,42.24,3655800,0.0,0
2009-12-22,42.3,43.07,42.25,42.86,3669800,0.0,0
2009-12-23,43.1,43.29,42.72,42.75,3061900,0.0,0
2009-12-24,42.98,43.22,42.87,43.16,1004000,0.0,0
2009-12-28,43.04,43.21,42.7,42.89,2072200,0.0,0
2009-12-29,43.05,43.14,42.89,42.95,2164000,0.0,0
2009-12-30,42.67,43.01,42.59,42.75,2461000,0.0,0
2009-12-31,42.78,42.95,42.04,42.11,2189400,0.0,0
2010-01-04,43.34,43.86,42.63,43.7,6186700,0.0,0
2010-01-05,43.75,45.33,43.56,45.13,8867800,0.0,0
2010-01-06,45.3,46.66,45.02,46.5,8836500,0.0,0
2010-01-07,46.29,48.47,45.91,48.38,14379100,0.0,0
2010-01-08,47.87,48.06,47.34,47.92,7146600,0.0,0
2010-01-11,48.19,48.3,47.07,47.35,5624900,0.0,0
2010-01-12,46.73,47.61,46.6,47.01,5273800,0.0,0
2010-01-13,47.15,47.99,46.94,47.57,4950400,0.0,0
2010-01-14,47.47,47.93,47.28,47.89,3000400,0.0,0
2010-01-15,47.86,47.89,46.84,47.31,5067300,0.0,0
2010-01-19,47.14,47.46,46.64,47.18,5427100,0.0,0
2010-01-20,46.93,47.12,45.53,46.83,5374100,0.0,0
2010-01-21,46.91,47.65,45.82,46.05,5401300,0.0,0
2010-01-22,45.6,46.03,44.88,44.94,4743300,0.0,0
2010-01-25,45.39,45.7,44.73,44.95,3489900,0.0,0
2010-01-26,44.76,45.51,44.52,44.89,4552000,0.0,0
2010-01-27,45.77,48.29,45.76,48.17,14758500,0.0,0
2010-01-28,48.34,48.97,47.69,48.66,8862500,0.0,0
2010-01-29,48.85,49.32,46.92,47.14,8725400,0.0,0
2010-02-01,47.25,48.12,47.23,47.99,5919900,0.0,0
2010-02-02,47.68,48.23,47.45,48.18,7862300,0.0,0
2010-02-03,48.18,48.4,47.66,48.13,5480600,0.42,0
2010-02-04,47.73,47.91,46.4,46.46,7490700,0.0,0
2010-02-05,46.37,46.79,44.75,45.74,9675700,0.0,0
2010-02-08,45.68,46.18,45.25,45.34,4724500,0.0,0
2010-02-09,45.91,47.33,45.73,46.79,8250900,0.0,0
2010-02-10,46.76,47.03,46.16,46.63,4237100,0.0,0
2010-02-11,46.79,47.58,46.16,47.45,4395800,0.0,0
