Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,14.6,14.64,14.23,14.28,291029100.0,0.0,0
2009-12-08,14.13,14.25,13.81,13.85,312296800.0,0.0,0
2009-12-09,13.88,13.99,13.7,13.83,199467800.0,0.0,0
2009-12-10,14.0,14.06,13.56,13.67,254946200.0,0.0,0
2009-12-11,13.77,14.11,13.67,14.05,194958400.0,0.0,0
2009-12-14,14.08,14.14,13.87,14.05,128586100.0,0.0,0
2009-12-15,13.88,13.94,13.61,13.65,190193100.0,0.0,0
2009-12-16,13.78,13.87,13.69,13.73,166373000.0,0.0,0
2009-12-17,13.72,13.8,13.33,13.35,268907300.0,0.0,0
2009-12-18,13.49,13.7,13.37,13.51,202871600.0,0.0,0
2009-12-21,13.67,13.87,13.66,13.73,153571100.0,0.0,0
2009-12-22,13.8,13.87,13.77,13.78,104061100.0,0.0,0
2009-12-23,13.89,13.9,13.61,13.65,102116100.0,0.0,0
2009-12-24,13.69,13.73,13.66,13.7,36611800.0,0.0,0
2009-12-28,13.76,13.85,13.61,13.74,102573300.0,0.0,0
2009-12-29,13.75,13.78,13.57,13.59,83089500.0,0.0,0
2009-12-30,13.52,13.57,13.45,13.54,86897900.0,0.0,0
2009-12-31,13.56,13.7,13.49,13.53,94322600.0,0.0,0
2010-01-04,13.7,14.15,13.59,14.1,180845200.0,0.0,0
2010-01-05,14.14,14.57,14.11,14.56,209521300.0,0.0,0
2010-01-06,14.57,14.86,14.41,14.73,205257900.0,0.0,0
2010-01-07,14.99,15.45,14.84,15.21,320868400.0,0.0,0
2010-01-08,15.26,15.37,14.94,15.08,220104700.0,0.0,0
2010-01-11,15.27,15.4,15.03,15.21,168991600.0,0.0,0
2010-01-12,15.03,15.05,14.53,14.7,223486800.0,0.0,0
2010-01-13,14.76,15.08,14.51,14.94,192609900.0,0.0,0
2010-01-14,14.94,15.2,14.93,15.12,142634200.0,0.0,0
2010-01-15,14.95,14.96,14.58,14.61,195117100.0,0.0,0
2010-01-19,14.43,14.8,14.23,14.67,181616500.0,0.0,0
2010-01-20,14.58,14.94,14.54,14.82,288741100.0,0.0,0
2010-01-21,14.79,14.97,13.66,13.9,551285500.0,0.0,0
2010-01-22,13.71,13.95,13.22,13.39,369620800.0,0.0,0
2010-01-25,13.62,13.72,13.27,13.46,262351600.0,0.0,0
2010-01-26,13.43,13.63,13.23,13.27,212380600.0,0.0,0
2010-01-27,13.22,13.74,13.19,13.65,258716200.0,0.0,0
2010-01-28,13.84,14.01,13.49,13.81,232729500.0,0.0,0
2010-01-29,13.92,13.97,13.56,13.64,175135300.0,0.0,0
2010-02-01,13.71,13.87,13.6,13.86,159503300.0,0.0,0
2010-02-02,13.88,14.09,13.76,14.02,171404800.0,0.0,0
2010-02-03,13.99,14.2,13.95,13.96,130861600.0,0.0,0
2010-02-04,13.79,13.87,13.24,13.25,252558700.0,0.0,0
2010-02-05,13.34,13.53,12.86,13.48,297683300.0,0.0,0
2010-02-08,13.43,13.44,12.99,13.01,208207300.0,0.0,0
2010-02-09,13.18,13.28,12.81,13.0,251522100.0,0.0,0
2010-02-10,13.04,13.4,12.99,13.18,175741800.0,0.0,0
2010-02-11,13.18,13.3,13.07,13.15,141086300.0,0.0,0
2010-02-12,13.0,13.07,12.83,12.99,162819300.0,0.0,0
2010-02-16,13.17,13.76,13.14,13.62,205493300.0,0.0,0
2010-02-17,13.79,14.27,13.7,14.07,261541900.0,0.0,0
2010-02-18,13.95,14.38,13.93,14.27,242140300.0,0.0,0
2010-02-19,14.14,14.41,14.12,14.27,216078200.0,0.0,0
2010-02-22,14.34,14.74,14.34,14.57,173773200.0,0.0,0
2010-02-23,14.49,14.72,14.19,14.32,210478400.0,0.0,0
2010-02-24,14.36,14.7,14.34,14.67,191571600.0,0.0,0
2010-02-25,14.42,14.89,14.33,14.87,287325100.0,0.0,0
2010-02-26,14.89,15.13,14.75,14.97,343669400.0,0.0,0
2010-03-01,15.04,15.15,14.89,15.02,170931100.0,0.0,0
2010-03-02,15.01,15.1,14.73,14.79,183048600.0,0.0,0
2010-03-03,14.81,14.94,14.68,14.72,154950200.0,0.01,0
2010-03-04,14.79,14.84,14.41,14.75,157746500.0,0.0,0
2010-03-05,14.85,15.06,14.79,15.02,172469000.0,0.0,0
2010-03-08,15.06,15.21,15.01,15.05,127705100.0,0.0,0
2010-03-09,14.95,15.28,14.87,15.11,167779500.0,0.0,0
2010-03-10,15.3,15.6,15.28,15.38,222932200.0,0.0,0
2010-03-11,15.45,15.54,15.34,15.39,145079600.0,0.0,0
2010-03-12,15.52,15.56,15.0,15.15,171456700.0,0.0,0
2010-03-15,15.05,15.21,14.92,15.15,120308200.0,0.0,0
2010-03-16,15.26,15.35,15.2,15.31,107411800.0,0.0,0
2010-03-17,15.44,15.56,15.31,15.53,134463900.0,0.0,0
2010-03-18,15.55,15.57,15.27,15.36,123986800.0,0.0,0
2010-03-19,15.12,15.49,15.05,15.12,178218800.0,0.0,0
2010-03-22,14.94,15.26,14.93,15.25,113667800.0,0.0,0
2010-03-23,15.36,15.48,15.23,15.4,131261400.0,0.0,0
2010-03-24,15.39,15.94,15.38,15.8,270410600.0,0.0,0
2010-03-25,16.04,16.5,15.92,15.95,315304700.0,0.0,0
2010-03-26,16.17,16.39,15.96,16.1,220970700.0,0.0,0
2010-03-29,16.34,16.37,15.98,16.22,152539700.0,0.0,0
2010-03-30,16.24,16.29,15.89,15.97,144373000.0,0.0,0
2010-03-31,15.91,16.17,15.89,16.05,114280900.0,0.0,0
2010-04-01,16.2,16.28,16.09,16.22,95607200.0,0.0,0
2010-04-05,16.33,16.41,16.2,16.3,107989300.0,0.0,0
2010-04-06,16.33,16.67,16.28,16.63,160316600.0,0.0,0
2010-04-07,16.71,16.96,16.66,16.74,233522300.0,0.0,0
2010-04-08,16.72,16.94,16.46,16.77,164305500.0,0.0,0
2010-04-09,16.92,16.95,16.63,16.72,135480600.0,0.0,0
2010-04-12,16.8,16.92,16.72,16.78,128319000.0,0.0,0
2010-04-13,16.73,16.83,16.63,16.79,113687800.0,0.0,0
2010-04-14,17.07,17.46,17.01,17.44,246624700.0,0.0,0
2010-04-15,17.65,17.86,17.41,17.52,240100000.0,0.0,0
2010-04-16,17.51,17.52,16.23,16.55,589061800.0,0.0,0
2010-04-19,16.28,16.77,16.07,16.54,358828000.0,0.0,0
2010-04-20,16.9,16.93,16.58,16.73,200544700.0,0.0,0
2010-04-21,16.79,17.0,16.28,16.44,201891300.0,0.0,0
2010-04-22,16.21,16.72,16.14,16.67,219472400.0,0.0,0
2010-04-23,16.54,16.66,16.44,16.57,145428400.0,0.0,0
2010-04-26,16.55,16.58,16.21,16.23,160873000.0,0.0,0
2010-04-27,16.1,16.35,15.65,15.71,259438600.0,0.0,0
2010-04-28,15.87,16.15,15.74,15.99,195287800.0,0.0,0
2010-04-29,16.22,16.54,16.18,16.46,177296300.0,0.0,0
2010-04-30,16.44,16.46,15.83,16.03,231536200.0,0.0,0
2010-05-03,16.08,16.32,15.99,16.24,150747100.0,0.0,0
2010-05-04,15.98,16.1,15.72,15.79,183242300.0,0.0,0
2010-05-05,15.47,16.04,15.19,15.76,195023300.0,0.0,0
2010-05-06,15.72,15.83,13.94,14.64,465091500.0,0.0,0
2010-05-07,14.82,15.1,14.34,14.55,388118300.0,0.0,0
2010-05-10,15.49,15.64,15.3,15.56,268476800.0,0.0,0
2010-05-11,15.36,15.73,15.26,15.43,188202400.0,0.0,0
2010-05-12,15.53,15.58,15.28,15.35,179359300.0,0.0,0
2010-05-13,15.31,15.45,15.15,15.17,135257500.0,0.0,0
2010-05-14,15.03,15.03,14.49,14.69,212906900.0,0.0,0
2010-05-17,14.74,14.79,14.25,14.7,181966800.0,0.0,0
2010-05-18,15.03,15.06,14.09,14.34,216050700.0,0.0,0
2010-05-19,14.21,14.8,14.21,14.67,260711100.0,0.0,0
2010-05-20,14.35,14.43,13.74,13.76,301263900.0,0.0,0
2010-05-21,13.45,14.39,13.44,14.38,266468500.0,0.0,0
2010-05-24,14.37,14.46,13.84,13.85,170656700.0,0.0,0
2010-05-25,13.41,13.97,13.31,13.93,263919800.0,0.0,0
2010-05-26,14.31,14.48,13.83,13.91,225933000.0,0.0,0
2010-05-27,14.22,14.57,14.02,14.55,163490700.0,0.0,0
2010-05-28,14.54,14.55,14.13,14.15,160778500.0,0.0,0
2010-06-01,14.01,14.37,13.85,13.88,126185400.0,0.0,0
2010-06-02,14.02,14.32,13.81,14.3,127114500.0,0.01,0
2010-06-03,14.36,14.46,14.12,14.23,124229100.0,0.0,0
2010-06-04,13.95,14.15,13.72,13.81,148415800.0,0.0,0
2010-06-07,13.82,13.86,13.29,13.34,158959100.0,0.0,0
2010-06-08,13.39,13.81,13.31,13.79,167648900.0,0.0,0
2010-06-09,13.88,13.94,13.44,13.51,150844900.0,0.0,0
2010-06-10,13.74,13.93,13.6,13.91,124056500.0,0.0,0
2010-06-11,13.79,14.13,13.78,14.04,115114300.0,0.0,0
2010-06-14,14.13,14.21,13.85,13.87,120504600.0,0.0,0
2010-06-15,14.0,14.25,13.78,14.22,129815000.0,0.0,0
2010-06-16,14.13,14.37,14.08,14.28,110926700.0,0.0,0
2010-06-17,14.36,14.46,14.03,14.23,127136400.0,0.0,0
2010-06-18,14.29,14.32,14.16,14.23,105721700.0,0.0,0
2010-06-21,14.42,14.49,14.17,14.21,109114600.0,0.0,0
2010-06-22,14.2,14.32,14.0,14.02,108235700.0,0.0,0
2010-06-23,14.04,14.14,13.76,13.88,132920800.0,0.0,0
2010-06-24,13.74,13.78,13.48,13.51,167776300.0,0.0,0
2010-06-25,13.73,14.05,13.6,13.87,175269500.0,0.0,0
2010-06-28,13.95,13.99,13.69,13.71,110641800.0,0.0,0
2010-06-29,13.51,13.54,13.0,13.11,201991800.0,0.0,0
2010-06-30,13.15,13.32,12.87,12.93,138978000.0,0.0,0
2010-07-01,12.88,12.91,12.15,12.61,256787300.0,0.0,0
2010-07-02,12.69,12.69,12.31,12.45,140988600.0,0.0,0
2010-07-06,12.71,12.88,12.44,12.65,120153500.0,0.0,0
2010-07-07,12.7,13.25,12.69,13.24,150021000.0,0.0,0
2010-07-08,13.39,13.44,13.14,13.37,132297400.0,0.0,0
2010-07-09,13.37,13.61,13.27,13.6,86584400.0,0.0,0
2010-07-12,13.56,13.72,13.47,13.69,92146300.0,0.0,0
2010-07-13,13.93,14.14,13.86,14.1,130720700.0,0.0,0
2010-07-14,14.04,14.14,13.87,14.1,115645600.0,0.0,0
2010-07-15,14.09,14.12,13.55,13.85,177237600.0,0.0,0
2010-07-16,13.16,13.2,12.56,12.58,438430600.0,0.0,0
2010-07-19,12.57,12.61,11.97,12.25,314752200.0,0.0,0
2010-07-20,12.02,12.46,11.97,12.39,180152700.0,0.0,0
2010-07-21,12.56,12.57,11.99,12.02,203245200.0,0.0,0
2010-07-22,12.19,12.5,12.18,12.29,185760900.0,0.0,0
2010-07-23,12.31,12.42,12.12,12.36,133979700.0,0.0,0
