Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,22.08,22.22,21.76,21.87,7125700.0,0.0,0.0
2009-12-08,21.92,21.94,21.72,21.73,10048300.0,0.29,0.0
2009-12-09,21.77,22.08,21.7,22.04,7432300.0,0.0,0.0
2009-12-10,22.07,23.05,22.06,22.9,16214400.0,0.0,0.0
2009-12-11,22.87,23.55,22.75,23.46,17911200.0,0.0,0.0
2009-12-14,23.53,23.53,23.13,23.24,9934900.0,0.0,0.0
2009-12-15,23.2,23.3,23.06,23.26,7250400.0,0.0,0.0
2009-12-16,23.26,23.51,23.01,23.04,10594900.0,0.0,0.0
2009-12-17,23.0,23.11,22.82,22.86,6697000.0,0.0,0.0
2009-12-18,22.72,22.77,22.39,22.71,11535700.0,0.0,0.0
2009-12-21,22.78,23.01,22.66,22.99,8760700.0,0.0,0.0
2009-12-22,23.1,23.24,22.94,23.13,5889700.0,0.0,0.0
2009-12-23,23.06,23.24,23.06,23.17,3813400.0,0.0,0.0
2009-12-24,23.25,23.25,23.12,23.19,1272400.0,0.0,0.0
2009-12-28,23.19,23.32,23.09,23.32,3435800.0,0.0,0.0
2009-12-29,23.31,23.38,23.22,23.35,5634100.0,0.0,0.0
2009-12-30,23.2,23.3,23.17,23.26,2686900.0,0.0,0.0
2009-12-31,23.21,23.26,23.07,23.14,3027700.0,0.0,0.0
2010-01-04,23.26,23.26,22.73,22.98,11467500.0,0.0,0.0
2010-01-05,22.99,22.99,22.75,22.82,5993700.0,0.0,0.0
2010-01-06,22.87,23.02,22.76,22.9,5229300.0,0.0,0.0
2010-01-07,22.87,23.34,22.84,23.27,6279400.0,0.0,0.0
2010-01-08,23.3,23.42,23.2,23.33,5171300.0,0.0,0.0
2010-01-11,23.35,23.35,23.16,23.2,5439400.0,0.0,0.0
2010-01-12,23.16,23.72,23.1,23.56,9434000.0,0.0,0.0
2010-01-13,23.62,23.88,23.56,23.8,7932500.0,0.0,0.0
2010-01-14,23.97,24.4,23.85,24.33,11379900.0,0.0,0.0
2010-01-15,24.26,24.38,23.94,24.28,8236000.0,0.0,0.0
2010-01-19,23.72,24.3,23.7,24.22,10666500.0,0.0,0.0
2010-01-20,24.18,24.38,23.69,23.97,8736200.0,0.0,0.0
2010-01-21,24.02,24.02,23.4,23.5,7913100.0,0.0,0.0
2010-01-22,23.41,23.58,23.13,23.16,7451600.0,0.0,0.0
2010-01-25,23.25,23.63,23.17,23.25,6397600.0,0.0,0.0
2010-01-26,23.16,23.39,23.1,23.29,5531600.0,0.0,0.0
2010-01-27,23.31,23.4,22.86,23.23,8232500.0,0.0,0.0
2010-01-28,22.74,23.15,22.28,22.95,11958900.0,0.0,0.0
2010-01-29,22.96,23.07,22.68,22.71,6105800.0,0.0,0.0
2010-02-01,22.69,22.82,22.47,22.81,6613000.0,0.0,0.0
2010-02-02,22.79,23.08,22.71,23.05,5410800.0,0.0,0.0
2010-02-03,22.97,23.02,22.63,22.67,6740400.0,0.0,0.0
2010-02-04,22.56,22.61,22.21,22.21,10924600.0,0.0,0.0
2010-02-05,22.19,22.43,22.1,22.31,8389000.0,0.0,0.0
2010-02-08,22.32,22.41,22.21,22.22,5257100.0,0.0,0.0
2010-02-09,22.36,22.54,22.11,22.23,5890800.0,0.0,0.0
2010-02-10,22.26,22.36,22.04,22.13,6289000.0,0.0,0.0
2010-02-11,22.15,22.18,21.99,22.08,8654700.0,0.0,0.0
2010-02-12,22.04,22.08,21.8,22.05,7184600.0,0.0,0.0
2010-02-16,22.13,22.47,22.08,22.45,6274800.0,0.0,0.0
2010-02-17,22.53,22.83,22.51,22.73,8283200.0,0.0,0.0
2010-02-18,22.66,22.8,22.54,22.62,5374900.0,0.0,0.0
2010-02-19,22.62,22.73,22.43,22.69,7192400.0,0.0,0.0
2010-02-22,22.75,22.82,22.51,22.77,7768200.0,0.0,0.0
2010-02-23,22.73,22.76,22.44,22.46,7117400.0,0.0,0.0
2010-02-24,22.57,22.75,22.45,22.71,4954300.0,0.0,0.0
2010-02-25,22.6,22.64,22.34,22.51,8144500.0,0.0,0.0
2010-02-26,22.52,22.61,22.32,22.45,7998700.0,0.0,0.0
2010-03-01,22.52,22.69,22.44,22.58,9315200.0,0.0,0.0
2010-03-02,22.62,23.14,22.62,23.05,7305400.0,0.0,0.0
2010-03-03,23.36,23.41,23.03,23.26,7394900.0,0.0,0.0
2010-03-04,23.31,23.4,23.13,23.28,6897800.0,0.0,0.0
2010-03-05,23.32,23.5,23.22,23.45,6859900.0,0.0,0.0
2010-03-08,23.6,23.63,23.44,23.52,4114600.0,0.29,0.0
2010-03-09,23.5,23.56,23.42,23.46,4154700.0,0.0,0.0
2010-03-10,23.53,23.54,23.23,23.27,6061400.0,0.0,0.0
2010-03-11,23.19,23.23,22.84,23.14,6706700.0,0.0,0.0
2010-03-12,23.24,23.31,22.92,23.0,6843900.0,0.0,0.0
2010-03-15,22.98,23.25,22.98,23.22,5737800.0,0.0,0.0
2010-03-16,23.21,23.21,23.01,23.09,4733300.0,0.0,0.0
2010-03-17,23.09,23.31,23.04,23.21,4544600.0,0.0,0.0
2010-03-18,23.23,23.49,23.19,23.46,4400700.0,0.0,0.0
2010-03-19,23.57,23.6,23.37,23.57,7957300.0,0.0,0.0
2010-03-22,23.56,23.97,23.46,23.74,8103800.0,0.0,0.0
2010-03-23,23.74,23.79,23.46,23.62,6526300.0,0.0,0.0
2010-03-24,23.62,23.63,23.39,23.43,4731100.0,0.0,0.0
2010-03-25,23.52,23.57,23.27,23.36,6020600.0,0.0,0.0
2010-03-26,23.37,23.39,23.09,23.25,5802000.0,0.0,0.0
2010-03-29,23.32,23.43,23.27,23.36,4431600.0,0.0,0.0
2010-03-30,23.41,23.47,23.29,23.34,4013000.0,0.0,0.0
2010-03-31,23.23,23.29,23.12,23.15,5452600.0,0.0,0.0
2010-04-01,23.2,23.39,23.04,23.17,6023000.0,0.0,0.0
2010-04-05,23.16,23.31,23.03,23.18,5374600.0,0.0,0.0
2010-04-06,23.1,23.27,23.08,23.15,4049200.0,0.0,0.0
2010-04-07,23.07,23.11,22.97,23.06,7907400.0,0.0,0.0
2010-04-08,23.06,23.08,22.93,22.96,4035400.0,0.0,0.0
2010-04-09,23.0,23.17,22.94,23.07,6594800.0,0.0,0.0
2010-04-12,23.04,23.19,22.92,23.13,7200300.0,0.0,0.0
2010-04-13,23.04,23.51,22.94,23.5,12337400.0,0.0,0.0
2010-04-14,23.63,23.66,23.25,23.58,12205000.0,0.0,0.0
2010-04-15,23.43,23.77,23.43,23.68,8642900.0,0.0,0.0
2010-04-16,23.56,23.74,23.35,23.51,7362500.0,0.0,0.0
2010-04-19,23.43,23.64,23.36,23.6,6275700.0,0.0,0.0
2010-04-20,23.62,23.85,23.59,23.84,7030500.0,0.0,0.0
2010-04-21,23.78,23.78,23.24,23.45,12693300.0,0.0,0.0
2010-04-22,19.85,20.72,19.12,20.34,92405600.0,0.0,0.0
2010-04-23,20.39,20.51,19.59,19.62,47652400.0,0.0,0.0
2010-04-26,19.67,19.67,18.9,18.93,38533900.0,0.0,0.0
2010-04-27,18.98,18.99,18.76,18.89,26971900.0,0.0,0.0
2010-04-28,18.94,19.29,18.85,19.05,24784000.0,0.0,0.0
2010-04-29,19.17,19.47,19.15,19.18,14539200.0,0.0,0.0
2010-04-30,19.35,19.44,18.79,18.79,15281000.0,0.0,0.0
2010-05-03,18.95,19.01,18.79,18.9,12184400.0,0.0,0.0
2010-05-04,17.97,18.42,17.84,17.93,31449800.0,0.0,0.0
2010-05-05,18.04,18.17,17.9,18.16,24455800.0,0.0,0.0
2010-05-06,18.16,18.77,17.99,18.3,34081300.0,0.0,0.0
2010-05-07,18.23,18.24,17.74,17.95,26013300.0,0.0,0.0
2010-05-10,18.63,18.85,18.27,18.42,10835200.0,0.0,0.0
2010-05-11,18.21,18.38,18.04,18.1,13760300.0,0.0,0.0
2010-05-12,18.13,18.13,17.82,17.86,19091700.0,0.0,0.0
2010-05-13,17.79,17.92,17.55,17.57,13749100.0,0.0,0.0
2010-05-14,17.54,17.55,17.17,17.32,12542900.0,0.0,0.0
2010-05-17,17.19,17.24,16.75,16.89,19798600.0,0.0,0.0
2010-05-18,17.05,17.44,16.92,17.26,23330900.0,0.0,0.0
2010-05-19,17.26,17.31,16.87,16.95,20653900.0,0.0,0.0
2010-05-20,16.81,16.81,16.49,16.53,21748200.0,0.0,0.0
2010-05-21,16.34,16.4,16.14,16.18,29819700.0,0.0,0.0
2010-05-24,16.16,16.84,16.1,16.64,20496400.0,0.0,0.0
2010-05-25,16.55,16.65,16.22,16.62,16411200.0,0.0,0.0
2010-05-26,16.81,16.86,16.48,16.51,12805400.0,0.0,0.0
2010-05-27,16.71,16.76,16.47,16.74,9070000.0,0.0,0.0
2010-05-28,16.77,17.08,16.76,16.8,11180900.0,0.0,0.0
2010-06-01,16.62,16.77,16.48,16.53,12630900.0,0.0,0.0
2010-06-02,16.46,16.64,16.4,16.63,9683400.0,0.0,0.0
2010-06-03,16.65,16.92,16.6,16.79,9292000.0,0.0,0.0
2010-06-04,16.74,16.74,16.4,16.46,10058100.0,0.0,0.0
2010-06-07,16.72,16.9,16.41,16.42,9982400.0,0.0,0.0
2010-06-08,16.61,16.61,16.34,16.52,11794300.0,0.29,0.0
2010-06-09,16.55,16.61,16.26,16.31,12965600.0,0.0,0.0
2010-06-10,16.55,16.59,16.42,16.56,9386300.0,0.0,0.0
2010-06-11,16.45,16.74,16.4,16.69,7607000.0,0.0,0.0
2010-06-14,16.79,17.05,16.71,16.71,8240500.0,0.0,0.0
2010-06-15,16.8,17.09,16.8,17.07,11638000.0,0.0,0.0
2010-06-16,16.98,17.21,16.9,17.15,11572800.0,0.0,0.0
2010-06-17,17.23,17.23,17.01,17.16,9398600.0,0.0,0.0
2010-06-18,17.13,17.26,16.92,16.93,14091100.0,0.0,0.0
2010-06-21,17.22,17.33,16.94,17.07,7569400.0,0.0,0.0
2010-06-22,17.09,17.17,16.78,16.79,8897100.0,0.0,0.0
2010-06-23,16.83,16.9,16.63,16.65,9254100.0,0.0,0.0
2010-06-24,16.59,16.74,16.54,16.58,11010400.0,0.0,0.0
2010-06-25,16.54,17.0,16.47,16.84,14447200.0,0.0,0.0
2010-06-28,16.84,17.17,16.74,17.01,7440700.0,0.0,0.0
2010-06-29,16.87,16.95,16.46,16.61,10809200.0,0.0,0.0
2010-06-30,16.57,16.57,16.33,16.38,9173300.0,0.0,0.0
2010-07-01,16.34,16.63,16.22,16.58,11196500.0,0.0,0.0
2010-07-02,16.57,16.91,16.53,16.79,8003700.0,0.0,0.0
2010-07-06,16.93,16.99,16.73,16.84,7654100.0,0.0,0.0
2010-07-07,16.82,17.29,16.74,17.25,7502800.0,0.0,0.0
2010-07-08,17.34,17.5,17.15,17.49,9809700.0,0.0,0.0
2010-07-09,17.53,17.88,17.51,17.7,9177200.0,0.0,0.0
2010-07-12,17.67,17.72,17.56,17.62,6598500.0,0.0,0.0
2010-07-13,17.73,17.88,17.52,17.63,11161200.0,0.0,0.0
2010-07-14,17.56,17.56,17.3,17.43,10415800.0,0.0,0.0
2010-07-15,17.35,17.38,16.91,17.17,18753700.0,0.0,0.0
2010-07-16,17.11,17.29,17.0,17.11,13612500.0,0.0,0.0
2010-07-19,17.17,17.22,17.07,17.17,5940100.0,0.0,0.0
2010-07-20,17.09,17.23,17.01,17.21,8198300.0,0.0,0.0
2010-07-21,17.23,17.23,16.71,16.85,8383100.0,0.0,0.0
2010-07-22,17.4,17.83,17.25,17.43,13963600.0,0.0,0.0
2010-07-23,17.82,17.98,17.67,17.73,11710400.0,0.0,0.0
2010-07-26,17.76,18.19,17.76,18.02,9318000.0,0.0,0.0
2010-07-27,18.18,18.21,17.97,18.06,5611700.0,0.0,0.0
2010-07-28,18.0,18.06,17.68,17.78,6277200.0,0.0,0.0
