Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-01-02,26.65,27.02,26.02,26.8,13767900,0.0,0
2013-01-03,26.71,26.71,26.07,26.58,16739300,0.0,0
2013-01-04,26.42,26.63,26.14,26.25,21372100,0.0,0
2013-01-07,26.06,27.05,26.06,26.3,17897100,0.0,0
2013-01-08,26.17,26.44,25.46,25.73,17863300,0.0,0
2013-01-09,25.65,25.91,25.65,25.87,18800400,0.0,0
2013-01-10,25.69,25.95,25.44,25.95,15658100,0.0,0
2013-01-11,25.94,26.18,25.75,26.14,11191500,0.4,0
2013-01-14,26.26,26.45,26.1,26.33,11584900,0.0,0
2013-01-15,26.03,26.81,26.03,26.72,13040200,0.0,0
2013-01-16,26.62,27.45,26.6,27.45,16512700,0.0,0
2013-01-17,27.61,28.34,27.61,28.13,14424800,0.0,0
2013-01-18,28.13,28.82,27.83,28.82,17842200,0.0,0
2013-01-22,28.56,28.77,27.75,28.13,15809700,0.0,0
2013-01-23,28.5,29.22,28.19,29.19,10981600,0.0,0
2013-01-24,29.18,29.75,28.75,28.93,11327100,0.0,0
2013-01-25,28.98,29.22,28.3,29.04,8934600,0.0,0
2013-01-28,29.08,29.25,28.35,28.49,7140100,0.0,0
2013-01-29,28.35,28.93,27.99,28.81,8838500,0.0,0
2013-01-30,28.43,28.98,28.43,28.52,10841800,0.0,0
2013-01-31,28.45,28.52,28.01,28.33,10720700,0.0,0
2013-02-01,28.45,28.73,28.2,28.71,9527500,0.0,0
2013-02-04,28.3,28.81,28.23,28.79,6348000,0.0,0
2013-02-05,28.9,29.14,28.71,28.73,7284400,0.0,0
2013-02-06,28.54,28.79,28.47,28.68,5738900,0.0,0
2013-02-07,29.01,29.01,27.65,28.13,9872500,0.0,0
2013-02-08,28.09,28.13,27.67,27.99,13858700,0.0,0
2013-02-11,27.9,27.94,27.61,27.69,6032100,0.0,0
2013-02-12,27.62,27.72,27.18,27.35,7473800,0.0,0
2013-02-13,27.35,27.47,27.14,27.24,4859800,0.0,0
2013-02-14,27.07,28.37,27.04,28.24,7570100,0.0,0
2013-02-15,28.52,29.2,28.52,29.02,13296300,0.0,0
2013-02-19,28.99,29.6,28.66,29.49,8292700,0.0,0
2013-02-20,29.47,30.22,29.04,29.82,8096400,0.0,0
2013-02-21,29.72,30.14,29.49,29.95,7260900,0.0,0
2013-02-22,29.96,30.0,29.45,29.7,4490400,0.0,0
2013-02-25,29.76,29.82,28.86,28.86,4665600,0.0,0
2013-02-26,29.04,29.04,28.54,28.64,4463000,0.0,0
2013-02-27,28.55,28.56,28.11,28.37,12238400,0.0,0
2013-02-28,28.31,28.68,28.19,28.51,10321000,0.0,0
2013-03-01,28.42,29.4,28.23,29.2,8929400,0.0,0
2013-03-04,28.98,29.54,28.98,29.53,5420800,0.0,0
2013-03-05,29.69,29.79,28.8,28.97,6650400,0.0,0
2013-03-06,29.01,29.24,28.86,29.15,5489500,0.0,0
2013-03-07,29.08,29.35,28.91,28.95,4442500,0.0,0
2013-03-08,29.07,29.08,28.7,28.84,4114500,0.0,0
2013-03-11,28.77,29.46,28.64,29.09,4614400,0.0,0
2013-03-12,29.11,29.58,28.61,28.7,6523900,0.0,0
2013-03-13,28.73,29.03,28.6,28.7,3710600,0.0,0
2013-03-14,28.91,29.03,28.47,29.01,9859700,0.0,0
2013-03-15,28.91,29.76,28.79,29.73,12208300,0.0,0
2013-03-18,29.38,29.72,29.34,29.47,5178700,0.0,0
2013-03-19,29.54,29.65,29.22,29.62,5108400,0.0,0
2013-03-20,29.73,30.26,29.66,30.16,7072900,0.0,0
2013-03-21,29.98,30.09,29.72,29.72,4736100,0.0,0
2013-03-22,29.79,30.09,29.58,30.09,3323400,0.0,0
2013-03-25,30.21,30.52,30.06,30.37,6065000,0.0,0
2013-03-26,30.56,31.29,30.56,31.05,7249500,0.0,0
2013-03-27,31.06,31.11,30.63,31.01,4274800,0.0,0
2013-03-28,31.09,31.51,30.72,31.49,7263400,0.0,0
2013-04-01,30.86,31.77,30.86,31.76,5740000,0.0,0
2013-04-02,31.83,31.83,31.29,31.44,5510700,0.0,0
2013-04-03,31.47,32.01,31.16,31.33,4122100,0.0,0
2013-04-04,31.49,32.27,31.37,32.13,20687600,0.0,0
2013-04-05,31.9,32.05,31.73,31.9,14089800,0.0,0
2013-04-08,31.87,32.33,31.72,32.26,16449200,0.0,0
2013-04-09,32.4,33.64,32.28,32.86,8673900,0.0,0
2013-04-10,32.94,33.8,32.82,33.69,7809200,0.0,0
2013-04-11,33.84,34.07,33.6,33.67,6494100,0.4,0
2013-04-12,33.49,33.74,33.22,33.58,4199800,0.0,0
2013-04-15,33.41,33.54,32.28,32.3,7152500,0.0,0
2013-04-16,32.48,33.15,32.06,33.09,6998000,0.0,0
2013-04-17,32.84,33.07,32.28,32.92,5046200,0.0,0
2013-04-18,33.02,33.23,32.65,32.98,5009000,0.0,0
2013-04-19,33.13,33.19,32.89,33.04,6493200,0.0,0
2013-04-22,33.51,34.94,33.42,34.45,8531300,0.0,0
2013-04-23,34.77,36.1,34.61,35.18,9378100,0.0,0
2013-04-24,35.18,35.34,34.25,34.54,5541300,0.0,0
2013-04-25,34.88,34.91,34.11,34.48,5236900,0.0,0
2013-04-26,35.03,36.09,34.88,35.73,10096800,0.0,0
2013-04-29,35.72,35.8,35.11,35.25,6024700,0.0,0
2013-04-30,35.11,36.03,35.08,35.89,6798600,0.0,0
2013-05-01,35.65,35.92,35.5,35.5,6398100,0.0,0
2013-05-02,35.6,35.6,34.18,34.29,9649400,0.0,0
2013-05-03,34.54,34.89,34.16,34.82,4641200,0.0,0
2013-05-06,35.03,35.03,34.41,34.75,4085700,0.0,0
2013-05-07,34.68,35.07,34.62,35.0,3745600,0.0,0
2013-05-08,35.08,35.11,33.82,33.9,6973200,0.0,0
2013-05-09,33.78,34.64,33.71,34.48,5046900,0.0,0
2013-05-10,34.46,35.08,34.45,35.08,4455800,0.0,0
2013-05-13,34.91,34.91,34.43,34.71,3738400,0.0,0
2013-05-14,34.36,35.48,34.36,35.35,5760300,0.0,0
2013-05-15,35.63,36.58,35.45,35.88,6702500,0.0,0
2013-05-16,35.9,36.55,35.86,36.02,4605300,0.0,0
2013-05-17,35.88,36.9,35.74,36.76,5244800,0.0,0
2013-05-20,36.73,36.74,35.91,36.06,3537800,0.0,0
2013-05-21,36.0,36.6,35.99,36.27,4708800,0.0,0
2013-05-22,36.21,37.41,35.74,36.45,5203500,0.0,0
2013-05-23,35.95,36.59,35.87,36.31,3306200,0.0,0
2013-05-24,36.05,36.23,35.31,35.42,4511700,0.0,0
2013-05-28,35.77,35.88,34.84,35.38,6181800,0.0,0
2013-05-29,34.99,35.21,34.13,34.2,6908400,0.0,0
2013-05-30,34.35,35.17,34.35,34.72,4852200,0.0,0
2013-05-31,34.5,34.83,33.27,33.27,9308800,0.0,0
2013-06-03,33.42,33.97,33.32,33.8,7176800,0.0,0
2013-06-04,33.84,34.66,33.81,34.01,4528400,0.0,0
2013-06-05,33.9,34.22,33.27,33.55,4801300,0.0,0
2013-06-06,33.69,33.96,33.24,33.9,4261300,0.0,0
2013-06-07,34.08,34.5,33.9,34.29,5463200,0.0,0
2013-06-10,34.55,34.55,33.69,34.23,4702700,0.0,0
2013-06-11,33.76,34.33,33.55,33.97,3574800,0.0,0
2013-06-12,34.22,34.29,33.3,33.34,3742600,0.0,0
2013-06-13,33.06,33.67,31.25,33.63,6096500,0.0,0
2013-06-14,33.5,33.9,33.12,33.68,4078500,0.0,0
2013-06-17,33.83,33.9,33.27,33.52,3457700,0.0,0
2013-06-18,33.49,33.95,33.23,33.94,3644900,0.0,0
2013-06-19,33.95,34.16,33.52,33.55,3663300,0.0,0
2013-06-20,33.24,33.34,31.89,32.0,7474900,0.0,0
2013-06-21,32.47,33.29,32.11,33.22,9825700,0.0,0
2013-06-24,32.79,33.05,32.21,32.65,6042400,0.0,0
2013-06-25,32.85,33.34,32.43,33.23,4686900,0.0,0
2013-06-26,33.59,33.99,33.54,33.81,4733700,0.0,0
2013-06-27,33.95,34.28,33.31,33.62,5163900,0.0,0
