Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,22.96,23.16,22.76,22.79,3035300,0.0,0
2009-12-08,22.64,22.72,22.34,22.35,5247200,0.0,0
2009-12-09,22.34,22.4,22.18,22.35,4867900,0.0,0
2009-12-10,22.54,22.54,22.35,22.48,4218800,0.0,0
2009-12-11,22.64,23.07,22.54,23.07,5183800,0.0,0
2009-12-14,23.18,23.2,22.97,23.07,4601700,0.0,0
2009-12-15,22.93,23.05,22.78,22.89,3104100,0.0,0
2009-12-16,22.99,23.22,22.92,23.14,3892200,0.0,0
2009-12-17,22.92,23.08,22.73,22.81,4201800,0.0,0
2009-12-18,22.86,23.26,22.86,23.22,6660600,0.0,0
2009-12-21,23.33,23.79,23.33,23.67,4107900,0.0,0
2009-12-22,23.62,24.01,23.57,23.86,3057300,0.0,0
2009-12-23,23.84,24.3,23.73,24.26,3381200,0.0,0
2009-12-24,24.31,24.52,24.28,24.36,1114900,0.0,0
2009-12-28,24.35,24.46,24.22,24.46,2138000,0.0,0
2009-12-29,24.54,24.58,24.29,24.44,2486200,0.0,0
2009-12-30,24.29,24.64,24.27,24.6,1860900,0.0,0
2009-12-31,24.61,24.79,24.18,24.21,2045300,0.0,0
2010-01-04,24.46,24.59,24.25,24.5,2631000,0.0,0
2010-01-05,24.56,24.96,24.29,24.91,5342100,0.0,0
2010-01-06,24.9,24.96,24.73,24.92,3399500,0.0,0
2010-01-07,24.86,25.11,24.67,25.04,3694900,0.0,0
2010-01-08,24.89,25.21,24.81,25.15,2806800,0.0,0
2010-01-11,25.25,25.33,25.01,25.15,2168200,0.0,0
2010-01-12,25.33,25.57,25.06,25.13,5354300,0.0,0
2010-01-13,25.13,25.53,25.13,25.35,3517200,0.0,0
2010-01-14,25.26,25.57,25.02,25.5,3368900,0.0,0
2010-01-15,25.43,25.43,24.72,24.91,4696600,0.0,0
2010-01-19,24.82,25.33,24.66,25.29,3008800,0.0,0
2010-01-20,25.17,25.17,24.73,25.16,3577200,0.0,0
2010-01-21,25.11,25.33,24.52,24.84,4900800,0.0,0
2010-01-22,24.84,25.01,24.11,24.16,7059000,0.0,0
2010-01-25,24.44,24.68,24.12,24.46,4136900,0.0,0
2010-01-26,24.4,25.04,24.25,24.4,4427200,0.0,0
2010-01-27,24.35,24.61,23.97,24.4,5202500,0.0,0
2010-01-28,24.59,24.59,23.92,24.13,2919000,0.0,0
2010-01-29,24.28,24.48,24.06,24.12,2893600,0.0,0
2010-02-01,24.26,24.38,23.96,24.13,2324400,0.0,0
2010-02-02,24.05,24.62,24.05,24.59,2854600,0.0,0
2010-02-03,24.46,24.46,23.86,24.04,4372700,0.0,0
2010-02-04,23.88,24.02,23.12,23.12,6428100,0.0,0
2010-02-05,23.12,23.38,22.67,23.3,5576600,0.0,0
2010-02-08,23.24,23.25,22.82,22.85,2845000,0.0,0
2010-02-09,23.08,23.2,22.75,23.15,2813600,0.0,0
2010-02-10,23.15,23.22,22.81,23.05,3970200,0.0,0
2010-02-11,23.01,24.05,22.76,23.7,5967700,0.0,0
2010-02-12,23.56,23.84,23.42,23.8,5884500,0.0,0
2010-02-16,24.19,24.63,24.05,24.59,5622600,0.0,0
2010-02-17,24.74,24.78,24.55,24.73,4745500,0.0,0
2010-02-18,24.63,25.22,24.63,25.18,4801300,0.0,0
2010-02-19,25.04,25.21,24.88,25.16,4879900,0.0,0
2010-02-22,25.16,25.37,25.0,25.31,3692400,0.0,0
2010-02-23,25.21,25.48,25.03,25.13,5503500,0.0,0
2010-02-24,25.13,25.22,24.98,25.21,4225600,0.0,0
2010-02-25,24.84,25.23,24.7,25.22,4250500,0.0,0
2010-02-26,25.15,25.3,24.94,25.18,3983700,0.0,0
2010-03-01,25.18,25.54,25.17,25.44,4535000,0.0,0
2010-03-02,25.51,25.93,25.48,25.8,5472100,0.0,0
2010-03-03,25.84,26.03,25.73,25.78,4420400,0.0,0
2010-03-04,25.84,25.86,25.64,25.74,5962100,0.0,0
2010-03-05,25.9,25.99,25.66,25.9,4967600,0.0,0
2010-03-08,25.87,25.98,25.75,25.78,4463800,0.0,0
2010-03-09,25.64,25.75,25.57,25.68,4049600,0.0,0
2010-03-10,25.66,25.75,25.41,25.62,4295300,0.2,0
2010-03-11,25.54,25.81,25.43,25.77,3010600,0.0,0
2010-03-12,25.92,25.96,25.43,25.52,4125800,0.0,0
2010-03-15,25.42,25.48,24.87,25.08,7307800,0.0,0
2010-03-16,25.11,25.16,24.89,25.15,4792600,0.0,0
2010-03-17,25.28,25.58,25.15,25.36,5769500,0.0,0
2010-03-18,25.36,25.49,25.13,25.45,4156200,0.0,0
2010-03-19,25.35,25.54,25.19,25.35,5370200,0.0,0
2010-03-22,25.15,25.33,25.06,25.2,5241400,0.0,0
2010-03-23,25.19,25.49,25.11,25.49,2925000,0.0,0
2010-03-24,25.36,25.53,25.21,25.41,3228100,0.0,0
2010-03-25,25.56,25.92,25.4,25.59,5614700,0.0,0
2010-03-26,25.68,26.34,25.67,26.11,6639500,0.0,0
2010-03-29,26.26,26.32,26.08,26.16,3419500,0.0,0
2010-03-30,26.13,26.15,25.9,26.0,2404300,0.0,0
2010-03-31,25.91,26.23,25.84,26.2,3573000,0.0,0
2010-04-01,26.31,26.48,26.18,26.35,2893500,0.0,0
2010-04-05,26.57,26.57,26.29,26.46,2285500,0.0,0
2010-04-06,26.42,26.55,26.25,26.45,3026200,0.0,0
2010-04-07,26.37,26.86,26.3,26.57,3948400,0.0,0
2010-04-08,26.57,26.87,26.38,26.84,4685400,0.0,0
2010-04-09,26.89,27.03,26.6,26.74,3045600,0.0,0
2010-04-12,26.88,26.91,26.68,26.79,2390500,0.0,0
2010-04-13,26.69,26.97,26.69,26.81,4307600,0.0,0
2010-04-14,26.97,27.96,26.92,27.84,8755800,0.0,0
2010-04-15,27.84,27.93,27.55,27.81,4530600,0.0,0
2010-04-16,27.7,28.0,27.16,27.45,8637200,0.0,0
2010-04-19,27.26,27.82,26.85,27.72,7697200,0.0,0
2010-04-20,27.98,28.8,27.74,28.73,10241700,0.0,0
2010-04-21,28.7,28.75,28.02,28.29,5969900,0.0,0
2010-04-22,28.07,28.54,27.87,28.52,4905900,0.0,0
