Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-11-18,47.52,47.76,45.36,46.3,587100,0.0,0
2013-11-19,46.79,46.8,43.27,43.74,1682000,0.0,0
2013-11-20,43.92,43.94,42.02,42.65,1106900,0.0,0
2013-11-21,42.5,43.12,41.11,41.82,730200,0.0,0
2013-11-22,41.93,42.12,41.31,42.02,947600,0.0,0
2013-11-25,42.29,43.57,41.74,42.2,727300,0.0,0
2013-11-26,42.98,42.98,41.11,41.26,873700,0.0,0
2013-11-27,41.6,41.6,40.59,41.3,1153300,0.0,0
2013-11-29,40.83,41.88,40.83,41.3,949900,0.0,0
2013-12-02,41.15,41.71,39.66,41.2,5130700,0.0,0
2013-12-03,40.88,42.84,40.78,40.97,3239300,0.0,0
2013-12-04,40.53,40.7,39.78,39.95,2777700,0.0,0
2013-12-05,40.38,40.38,38.81,39.21,3380500,0.0,0
2013-12-06,38.92,39.22,38.82,38.87,4662300,0.0,0
2013-12-09,38.87,39.42,38.43,39.33,3074000,0.0,0
2013-12-10,39.23,40.92,39.2,40.65,3289400,0.0,0
2013-12-11,40.42,41.09,40.12,40.55,3367300,0.0,0
2013-12-12,40.12,41.17,40.12,41.04,1770500,0.0,0
2013-12-13,40.99,41.83,40.99,41.31,683800,0.0,0
2013-12-16,41.08,42.02,40.22,41.73,1953900,0.0,0
2013-12-17,41.48,42.03,41.22,41.79,1396700,0.0,0
2013-12-18,41.69,42.5,41.17,42.28,1225200,0.0,0
2013-12-19,41.99,42.5,41.85,42.46,593000,0.0,0
2013-12-20,42.31,42.46,41.94,42.27,2878600,0.0,0
2013-12-23,42.19,42.84,41.6,42.65,773600,0.0,0
2013-12-24,42.75,43.0,42.26,42.58,304700,0.0,0
2013-12-26,42.85,42.99,42.45,42.69,513200,0.0,0
2013-12-27,42.76,42.95,42.11,42.64,393300,0.0,0
2013-12-30,42.46,42.87,42.03,42.14,381500,0.0,0
2013-12-31,42.25,42.5,41.8,42.21,874200,0.0,0
2014-01-02,42.1,42.2,41.33,41.69,992900,0.0,0
2014-01-03,41.61,42.33,41.23,41.99,378400,0.0,0
2014-01-06,42.0,42.01,41.42,41.72,597800,0.0,0
2014-01-07,40.27,42.01,40.27,41.9,1371300,0.0,0
2014-01-08,42.04,42.37,41.45,41.91,1407100,0.0,0
2014-01-09,41.92,42.26,41.87,42.15,1093500,0.0,0
2014-01-10,42.19,44.01,42.04,43.68,2008600,0.0,0
2014-01-13,43.65,45.31,43.17,44.93,2278500,0.0,0
