Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,46.96,47.07,46.15,46.27,6061300,0.0,0
2009-12-08,45.88,46.05,45.65,45.82,4881700,0.0,0
2009-12-09,45.68,46.05,45.37,45.94,4969400,0.0,0
2009-12-10,45.91,46.57,45.88,46.04,6486200,0.0,0
2009-12-11,46.11,46.43,45.91,46.13,4424000,0.0,0
2009-12-14,46.27,46.78,46.21,46.58,4178700,0.0,0
2009-12-15,46.36,46.52,45.51,45.67,5327500,0.0,0
2009-12-16,45.78,45.99,45.09,45.12,6880700,0.0,0
2009-12-17,45.09,45.09,44.34,44.71,6131100,0.0,0
2009-12-18,45.25,45.89,44.98,45.71,11942800,0.0,0
2009-12-21,45.93,46.79,45.88,46.48,5679700,0.0,0
2009-12-22,46.92,47.16,46.75,46.88,4219200,0.0,0
2009-12-23,47.1,47.25,46.74,46.98,4287100,0.0,0
2009-12-24,46.83,47.07,46.61,47.04,1283700,0.0,0
2009-12-28,47.09,47.29,46.89,47.24,2741100,0.0,0
2009-12-29,47.33,47.45,46.84,47.12,3091900,0.0,0
2009-12-30,47.11,47.35,46.94,47.14,2485400,0.0,0
2009-12-31,47.08,47.11,46.34,46.34,4027900,0.0,0
2010-01-04,46.39,47.41,46.34,47.29,5277400,0.0,0
2010-01-05,46.97,47.26,46.1,46.88,7882800,0.0,0
2010-01-06,46.65,47.02,46.29,46.52,6015100,0.0,0
2010-01-07,46.21,46.31,44.77,46.1,10371600,0.0,0
2010-01-08,45.93,46.56,45.58,46.51,6576000,0.0,0
2010-01-11,46.64,46.99,46.39,46.71,4062700,0.0,0
2010-01-12,46.81,47.04,44.91,45.9,11268300,0.0,0
2010-01-13,46.16,46.49,45.84,46.31,5056200,0.0,0
2010-01-14,46.16,46.31,45.8,46.01,4668900,0.0,0
2010-01-15,45.9,46.3,45.59,46.08,7240000,0.0,0
2010-01-19,46.21,47.31,46.07,47.15,8570100,0.0,0
2010-01-20,47.2,47.2,46.21,46.86,6625700,0.0,0
2010-01-21,47.05,47.16,46.13,46.39,5833700,0.0,0
2010-01-22,46.43,46.94,46.31,46.37,5967600,0.0,0
2010-01-25,46.47,46.52,45.51,45.64,6719400,0.0,0
2010-01-26,46.04,46.59,45.63,46.35,14880300,0.0,0
2010-01-27,46.16,47.42,46.16,47.3,9695000,0.0,0
2010-01-28,47.41,48.15,47.16,47.58,11638200,0.0,0
2010-01-29,47.8,48.28,47.65,47.91,9465700,0.0,0
2010-02-01,47.94,48.2,47.82,48.11,7079100,0.0,0
2010-02-02,48.01,48.58,47.85,48.52,7660900,0.0,0
2010-02-03,48.25,48.68,48.22,48.39,7082600,0.0,0
2010-02-04,48.25,48.38,46.97,47.13,9534500,0.0,0
2010-02-05,47.14,47.54,46.4,47.25,8409900,0.0,0
2010-02-08,47.14,47.45,46.45,47.07,5947800,0.0,0
2010-02-09,47.71,47.84,46.45,46.87,18732200,0.0,0
2010-02-10,46.77,46.93,46.18,46.57,6019100,0.0,0
2010-02-11,46.34,46.7,46.07,46.29,8491100,0.0,0
2010-02-12,46.06,46.47,45.89,46.27,8008700,0.0,0
2010-02-16,46.39,46.7,46.04,46.69,5245900,0.0,0
2010-02-17,46.64,47.16,46.49,46.86,6831900,0.0,0
2010-02-18,46.94,47.06,46.78,46.92,8120500,0.0,0
2010-02-19,46.74,47.28,46.66,47.01,7131600,0.0,0
2010-02-22,46.99,47.06,46.53,46.78,7176800,0.0,0
2010-02-23,46.66,46.88,46.16,46.19,7703000,0.0,0
2010-02-24,46.42,46.68,46.16,46.48,4887700,0.0,0
2010-02-25,46.27,46.27,45.7,46.08,6592200,0.0,0
2010-02-26,46.08,46.72,45.96,46.38,6351700,0.0,0
2010-03-01,46.48,46.77,46.47,46.61,5638400,0.0,0
2010-03-02,46.62,46.71,46.26,46.59,7219100,0.0,0
2010-03-03,46.59,46.84,46.43,46.61,5655600,0.0,0
2010-03-04,46.7,46.76,46.18,46.51,6127000,0.0,0
2010-03-05,46.49,46.91,46.05,46.89,6529100,0.0,0
2010-03-08,46.9,47.6,46.86,47.2,4409300,0.0,0
2010-03-09,46.92,47.46,46.91,47.32,5095400,0.0,0
2010-03-10,47.5,47.51,47.11,47.34,4620700,0.0,0
2010-03-11,47.05,47.3,46.76,47.1,4346900,0.0,0
2010-03-12,47.29,47.31,46.83,47.05,3601400,0.0,0
2010-03-15,46.92,47.31,46.31,46.61,7051800,0.0,0
2010-03-16,46.93,47.14,46.46,47.04,6256500,0.0,0
2010-03-17,46.99,47.05,46.61,47.05,5348600,0.0,0
2010-03-18,47.03,47.88,46.83,47.77,6442600,0.0,0
2010-03-19,48.27,49.26,47.23,49.15,18901000,0.0,0
2010-03-22,48.83,49.47,48.74,49.23,8837000,0.0,0
2010-03-23,49.06,49.22,48.83,49.2,5024800,0.0,0
2010-03-24,48.98,49.15,48.3,48.39,9367100,0.0,0
2010-03-25,48.66,48.98,48.34,48.55,8863000,0.0,0
2010-03-26,48.61,49.09,48.34,48.67,5627100,0.0,0
