Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,40.87,41.21,40.67,40.96,434300,0,0
2009-12-08,40.67,41.15,40.23,40.6,431800,0,0
2009-12-09,40.28,40.54,39.67,40.51,326400,0,0
2009-12-10,40.56,40.93,40.43,40.58,298800,0,0
2009-12-11,40.8,40.84,40.16,40.47,195800,0,0
2009-12-14,40.57,41.11,40.35,40.98,327300,0,0
2009-12-15,40.68,41.1,40.58,40.99,393700,0,0
2009-12-16,40.97,41.54,40.91,41.0,379000,0,0
2009-12-17,40.62,41.25,40.41,40.78,332600,0,0
2009-12-18,41.08,41.62,40.97,41.59,618100,0,0
2009-12-21,41.67,42.2,41.65,42.16,411900,0,0
2009-12-22,42.35,43.0,42.31,43.0,311900,0,0
2009-12-23,43.0,43.5,42.77,43.32,446700,0,0
2009-12-24,43.5,43.78,43.44,43.77,136600,0,0
2009-12-28,43.78,43.94,43.42,43.55,260700,0,0
2009-12-29,43.7,43.82,43.54,43.67,191100,0,0
2009-12-30,43.44,43.89,43.34,43.78,583300,0,0
2009-12-31,43.91,43.92,43.41,43.46,325000,0,0
2010-01-04,43.56,44.99,43.51,44.64,736900,0,0
2010-01-05,44.71,44.88,43.51,43.64,652500,0,0
2010-01-06,43.74,43.83,43.33,43.35,486600,0,0
2010-01-07,43.19,43.53,43.03,43.46,471300,0,0
2010-01-08,43.38,43.77,43.16,43.76,381300,0,0
2010-01-11,43.95,44.0,43.28,43.93,361200,0,0
2010-01-12,43.75,43.91,42.54,42.74,310200,0,0
2010-01-13,42.72,43.62,42.67,43.04,301200,0,0
2010-01-14,42.89,43.52,42.89,43.49,253200,0,0
2010-01-15,43.56,43.84,43.1,43.34,332300,0,0
2010-01-19,43.85,44.14,43.01,44.09,338900,0,0
2010-01-20,44.04,44.09,42.54,42.79,297700,0,0
2010-01-21,42.88,43.18,41.76,41.84,303200,0,0
2010-01-22,41.96,42.03,40.72,40.8,299400,0,0
2010-01-25,41.24,41.31,40.49,40.77,304000,0,0
2010-01-26,40.76,40.83,40.28,40.56,252600,0,0
