Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,30.5,30.6,29.89,30.0,1534400,0.0,0
2009-12-08,29.84,29.88,29.08,29.55,822200,0.0,0
2009-12-09,29.53,29.61,29.08,29.44,572300,0.0,0
2009-12-10,29.5,29.65,29.24,29.47,506900,0.0,0
2009-12-11,29.56,29.67,29.28,29.58,689400,0.0,0
2009-12-14,29.69,29.96,29.46,29.96,582100,0.0,0
2009-12-15,29.89,29.89,29.28,29.37,680000,0.0,0
2009-12-16,29.48,29.54,29.03,29.09,1176400,0.0,0
2009-12-17,28.97,28.97,28.23,28.43,1293300,0.0,0
2009-12-18,28.51,28.79,28.22,28.34,2222900,0.0,0
2009-12-21,28.38,29.01,28.38,28.87,1041300,0.0,0
2009-12-22,28.93,29.05,28.76,29.0,757900,0.0,0
2009-12-23,29.01,29.15,28.91,29.04,803800,0.0,0
2009-12-24,29.06,29.16,29.0,29.06,321200,0.0,0
2009-12-28,29.08,29.25,28.84,29.0,1203700,0.0,0
2009-12-29,29.06,29.35,28.91,29.29,864500,0.0,0
2009-12-30,29.08,29.2,28.82,28.83,685300,0.0,0
2009-12-31,28.93,28.98,28.47,28.49,685900,0.0,0
2010-01-04,28.68,28.86,28.43,28.77,1301200,0.0,0
2010-01-05,30.03,30.04,28.36,28.96,2708800,0.0,0
2010-01-06,28.8,29.11,28.71,28.9,1234100,0.0,0
2010-01-07,28.73,29.19,28.66,29.17,995400,0.0,0
2010-01-08,28.97,29.76,28.9,29.72,1432700,0.0,0
2010-01-11,29.97,30.51,29.5,30.22,1132500,0.0,0
2010-01-12,30.07,30.18,29.64,29.91,877800,0.0,0
2010-01-13,29.97,31.11,29.79,31.03,1493500,0.0,0
2010-01-14,31.07,31.23,30.75,31.07,695000,0.0,0
2010-01-15,30.91,31.41,30.58,30.82,1279600,0.0,0
2010-01-19,30.88,31.28,30.81,31.28,1009100,0.0,0
2010-01-20,31.0,31.0,30.72,30.93,951300,0.0,0
2010-01-21,30.89,31.1,30.18,30.18,1480500,0.0,0
2010-01-22,30.04,30.55,29.94,30.15,1599700,0.0,0
2010-01-25,30.38,30.54,30.1,30.12,901800,0.0,0
2010-01-26,29.97,30.37,29.89,29.97,669400,0.0,0
2010-01-27,29.88,30.07,29.57,30.01,959300,0.0,0
2010-01-28,30.21,30.49,29.65,29.75,1709700,0.0,0
2010-01-29,27.86,28.43,25.36,25.38,5724300,0.0,0
2010-02-01,25.62,26.69,25.43,26.03,3506100,0.0,0
2010-02-02,26.05,26.42,25.91,26.19,1957200,0.0,0
2010-02-03,25.99,26.2,25.53,25.87,1399800,0.0,0
2010-02-04,25.63,25.85,25.49,25.54,1800500,0.0,0
2010-02-05,25.47,25.72,25.07,25.59,2272900,0.0,0
2010-02-08,25.62,25.96,25.3,25.38,1499200,0.0,0
2010-02-09,25.79,25.81,24.91,25.41,1982000,0.0,0
2010-02-10,25.36,25.36,24.88,25.12,1648500,0.0,0
2010-02-11,25.0,25.44,24.83,25.25,1456700,0.0,0
2010-02-12,24.91,25.21,24.63,25.05,1372800,0.0,0
2010-02-16,25.21,25.46,25.06,25.45,1698700,0.0,0
2010-02-17,25.43,25.65,24.77,25.06,2447600,0.0,0
2010-02-18,25.06,25.32,24.83,25.02,2322300,0.0,0
2010-02-19,24.77,24.95,24.47,24.83,2941300,0.0,0
2010-02-22,24.98,25.33,24.74,25.02,2049100,0.0,0
2010-02-23,24.94,25.16,24.58,24.61,1391700,0.0,0
2010-02-24,24.66,24.92,24.53,24.77,1273800,0.0,0
2010-02-25,24.41,24.72,24.06,24.6,1190200,0.0,0
2010-02-26,24.6,24.98,24.46,24.67,1020100,0.0,0
2010-03-01,24.86,25.27,24.54,25.02,1059600,0.2,0
2010-03-02,25.17,25.17,24.78,24.88,1414700,0.0,0
2010-03-03,25.01,25.09,24.66,24.7,1488600,0.0,0
2010-03-04,23.99,24.25,23.74,24.19,2413400,0.0,0
2010-03-05,24.27,24.56,24.2,24.48,1541000,0.0,0
2010-03-08,24.44,24.72,24.15,24.66,1472700,0.0,0
2010-03-09,24.6,25.38,24.47,25.2,1943000,0.0,0
2010-03-10,25.17,25.54,25.06,25.43,1565200,0.0,0
2010-03-11,25.34,25.98,25.17,25.96,2322200,0.0,0
2010-03-12,26.11,26.45,25.76,26.17,2518900,0.0,0
2010-03-15,26.18,26.55,26.02,26.41,1525500,0.0,0
2010-03-16,26.38,26.83,26.27,26.75,1393100,0.0,0
2010-03-17,26.83,27.28,26.82,27.21,1653000,0.0,0
2010-03-18,27.21,27.37,27.11,27.34,1246200,0.0,0
2010-03-19,27.52,27.69,27.2,27.52,2458300,0.0,0
2010-03-22,27.43,27.86,27.43,27.81,2005600,0.0,0
2010-03-23,27.81,28.09,27.49,28.08,1544100,0.0,0
2010-03-24,28.0,28.0,27.51,27.55,1380400,0.0,0
2010-03-25,27.71,27.86,27.48,27.48,1166500,0.0,0
2010-03-26,27.53,27.91,27.43,27.85,1479200,0.0,0
2010-03-29,27.98,28.35,27.96,28.35,1609000,0.0,0
2010-03-30,28.38,28.48,27.98,28.42,1071400,0.0,0
2010-03-31,28.28,28.77,28.22,28.61,1849700,0.0,0
2010-04-01,28.78,29.0,28.29,28.6,1111500,0.0,0
2010-04-05,28.74,28.77,28.55,28.72,662200,0.0,0
2010-04-06,28.61,29.17,28.61,29.17,814200,0.0,0
2010-04-07,29.05,29.49,29.05,29.32,1605000,0.0,0
2010-04-08,29.13,29.36,29.01,29.24,781400,0.0,0
2010-04-09,29.27,29.43,28.95,29.38,1036900,0.0,0
2010-04-12,29.46,29.56,29.17,29.37,1635700,0.0,0
2010-04-13,29.31,29.48,29.17,29.43,1163000,0.0,0
2010-04-14,29.46,29.78,29.46,29.76,1431700,0.0,0
2010-04-15,29.76,30.05,29.68,29.92,959300,0.0,0
