Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,19.98,20.12,19.46,19.49,6418000,0.0,0
2009-12-08,19.35,19.82,19.3,19.49,5285500,0.0,0
2009-12-09,19.46,19.61,19.29,19.47,3629800,0.0,0
2009-12-10,19.55,19.59,19.44,19.53,4468900,0.0,0
2009-12-11,19.5,19.73,19.34,19.5,4006200,0.0,0
2009-12-14,19.58,19.81,19.48,19.77,3974200,0.0,0
2009-12-15,19.99,19.99,19.44,19.47,6205800,0.0,0
2009-12-16,19.67,19.73,19.13,19.33,6700200,0.0,0
2009-12-17,19.23,19.47,19.1,19.12,5028400,0.0,0
2009-12-18,19.26,19.32,19.04,19.24,8957900,0.0,0
2009-12-21,19.35,19.59,19.31,19.5,3832800,0.0,0
2009-12-22,19.49,19.59,19.32,19.4,2707400,0.0,0
2009-12-23,19.44,19.59,19.22,19.31,3312200,0.0,0
2009-12-24,19.28,19.53,19.28,19.5,1452900,0.0,0
2009-12-28,19.48,19.48,19.14,19.26,2540200,0.0,0
2009-12-29,19.29,19.39,19.22,19.26,2095400,0.0,0
2009-12-30,19.16,19.27,19.01,19.26,2832000,0.0,0
2009-12-31,19.21,19.37,19.12,19.12,2344700,0.0,0
2010-01-04,19.36,19.5,19.14,19.45,4550800,0.0,0
2010-01-05,19.38,19.76,19.29,19.73,7023400,0.0,0
2010-01-06,19.67,20.4,19.67,20.15,7824000,0.15,0
2010-01-07,20.11,21.19,20.03,20.96,9981500,0.0,0
2010-01-08,20.86,21.07,20.45,20.72,5948300,0.0,0
2010-01-11,20.87,20.87,20.47,20.72,4074200,0.0,0
2010-01-12,20.57,21.07,20.57,20.79,8415800,0.0,0
2010-01-13,20.78,21.22,20.72,21.15,5030400,0.0,0
2010-01-14,21.03,21.71,21.03,21.62,5784200,0.0,0
2010-01-15,21.44,21.51,20.94,21.04,7970000,0.0,0
2010-01-19,20.91,21.37,20.84,21.35,6210700,0.0,0
2010-01-20,21.21,21.7,21.03,21.6,6385100,0.0,0
2010-01-21,21.6,22.63,21.6,22.04,18024900,0.0,0
2010-01-22,21.97,22.19,20.68,21.34,16433600,0.0,0
2010-01-25,21.52,21.73,20.72,20.9,11303800,0.0,0
2010-01-26,20.76,21.04,20.25,20.31,10534100,0.0,0
2010-01-27,20.53,21.56,20.47,21.44,12624400,0.0,0
2010-01-28,21.44,21.82,21.26,21.47,11803700,0.0,0
2010-01-29,21.5,21.6,21.07,21.12,7489100,0.0,0
2010-02-01,21.22,21.47,21.11,21.39,6697800,0.0,0
2010-02-02,21.41,21.6,21.18,21.54,8551200,0.0,0
2010-02-03,21.41,21.48,20.93,21.07,7098300,0.0,0
2010-02-04,20.91,21.1,20.33,20.41,9222500,0.0,0
2010-02-05,20.49,21.05,20.28,20.85,8191000,0.0,0
2010-02-08,20.84,21.07,20.55,20.56,5785400,0.0,0
2010-02-09,20.75,20.93,20.42,20.62,6255300,0.0,0
2010-02-10,20.6,21.03,20.53,20.75,4674400,0.0,0
2010-02-11,20.83,20.83,20.52,20.61,4456000,0.0,0
2010-02-12,20.47,20.63,20.17,20.4,6218400,0.0,0
2010-02-16,20.57,20.79,20.37,20.78,5202500,0.0,0
2010-02-17,20.73,20.82,20.5,20.63,4871200,0.0,0
2010-02-18,20.51,20.76,20.5,20.65,3649800,0.0,0
2010-02-19,20.55,20.81,20.54,20.7,4684500,0.0,0
2010-02-22,20.72,21.53,20.62,21.38,7221700,0.0,0
2010-02-23,21.28,21.48,20.94,21.03,6083700,0.0,0
2010-02-24,21.09,21.75,21.04,21.59,6612000,0.0,0
2010-02-25,21.34,21.43,21.12,21.4,5600100,0.0,0
2010-02-26,21.39,21.7,21.22,21.62,5643900,0.0,0
2010-03-01,21.64,21.67,20.91,21.07,7718200,0.0,0
2010-03-02,21.15,21.28,21.03,21.08,4871400,0.0,0
2010-03-03,21.01,21.21,20.73,20.75,6655800,0.0,0
2010-03-04,21.13,21.31,20.93,21.08,6131300,0.0,0
2010-03-05,21.25,21.71,21.2,21.62,6500900,0.0,0
2010-03-08,21.61,21.84,21.53,21.76,4245200,0.0,0
2010-03-09,21.63,21.99,21.45,21.84,4891000,0.0,0
2010-03-10,21.87,22.55,21.84,22.46,8718200,0.0,0
2010-03-11,22.38,23.09,22.38,23.06,10564100,0.0,0
2010-03-12,23.06,23.46,23.03,23.27,8331800,0.0,0
2010-03-15,23.2,23.4,23.13,23.33,6248600,0.0,0
2010-03-16,23.38,24.02,23.32,23.94,8346500,0.0,0
2010-03-17,23.99,24.39,23.94,24.38,8175400,0.0,0
2010-03-18,24.25,24.55,24.04,24.19,8593100,0.0,0
2010-03-19,24.14,24.49,23.95,24.14,7386400,0.0,0
2010-03-22,23.93,24.32,23.83,24.25,4084400,0.0,0
2010-03-23,24.25,24.36,23.91,24.33,4567900,0.0,0
2010-03-24,24.22,24.57,24.19,24.35,5057300,0.0,0
2010-03-25,24.54,24.96,24.45,24.47,5651100,0.0,0
2010-03-26,24.5,24.89,24.21,24.44,6044900,0.0,0
2010-03-29,24.56,24.69,24.26,24.41,4444000,0.0,0
2010-03-30,24.43,24.53,24.12,24.23,4840200,0.0,0
2010-03-31,24.16,24.77,24.13,24.55,5135800,0.0,0
2010-04-01,24.72,24.81,24.38,24.61,4347800,0.0,0
2010-04-05,24.71,24.95,24.57,24.95,4836600,0.0,0
2010-04-06,24.9,25.56,24.77,25.41,5037100,0.0,0
2010-04-07,25.59,25.7,25.07,25.29,5566500,0.15,0
2010-04-08,25.17,25.81,25.15,25.64,6136000,0.0,0
2010-04-09,25.74,25.86,25.51,25.77,4564100,0.0,0
2010-04-12,25.78,26.09,25.74,25.92,4176900,0.0,0
2010-04-13,25.82,25.82,25.19,25.51,6632600,0.0,0
2010-04-14,25.79,26.37,25.73,26.31,6119400,0.0,0
2010-04-15,26.12,26.36,25.92,26.02,5090100,0.0,0
2010-04-16,25.96,26.03,24.88,25.7,13102600,0.0,0
