Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,18.25,18.62,18.13,18.14,56461300,0.0,0
2009-12-08,18.11,18.15,17.87,17.87,27675800,0.0,0
2009-12-09,17.89,18.04,17.8,18.02,24218400,0.0,0
2009-12-10,18.1,18.47,18.05,18.32,43117600,0.0,0
2009-12-11,18.27,18.63,18.27,18.51,33777100,0.0,0
2009-12-14,18.57,18.78,18.4,18.63,57493600,0.0,0
2009-12-15,18.48,18.6,18.26,18.47,53881600,0.0,0
2009-12-16,18.58,18.64,18.4,18.52,47420000,0.0,0
2009-12-17,18.52,18.61,18.38,18.49,50581500,0.0,0
2009-12-18,18.69,18.71,18.17,18.5,123619400,0.0,0
2009-12-21,18.58,19.1,18.5,18.56,78030100,0.0,0
2009-12-22,18.55,18.8,18.3,18.36,49863800,0.0,0
2009-12-23,18.2,18.5,18.19,18.44,53644500,0.0,0
2009-12-24,18.5,18.56,18.22,18.48,15230400,0.0,0
2009-12-28,18.48,18.76,18.45,18.62,38927300,0.0,0
2009-12-29,18.65,18.73,18.55,18.55,24745600,0.0,0
2009-12-30,18.52,18.65,18.48,18.61,9487200,0.32,0
2009-12-31,18.52,18.69,18.33,18.34,11122300,0.0,0
2010-01-04,18.46,18.67,18.38,18.62,14376100,0.0,0
2010-01-05,18.53,18.56,18.17,18.33,16973600,0.0,0
2010-01-06,18.29,18.37,18.21,18.32,15528900,0.0,0
2010-01-07,18.29,18.46,18.23,18.34,15761700,0.0,0
2010-01-08,18.38,18.41,17.96,18.03,18730800,0.0,0
2010-01-11,18.12,18.24,18.06,18.22,14106100,0.0,0
2010-01-12,18.17,18.31,17.95,18.02,11940500,0.0,0
2010-01-13,18.01,18.22,17.94,18.15,14428100,0.0,0
2010-01-14,18.18,18.24,18.07,18.2,11354600,0.0,0
2010-01-15,18.2,18.29,18.09,18.21,13449500,0.0,0
2010-01-19,18.24,18.89,18.21,18.63,19370400,0.0,0
2010-01-20,18.49,18.8,18.3,18.5,16368400,0.0,0
2010-01-21,18.47,18.63,18.08,18.13,16776800,0.0,0
2010-01-22,18.15,18.2,17.8,17.87,15945500,0.0,0
2010-01-25,17.97,18.02,17.65,17.68,11292200,0.0,0
2010-01-26,17.63,17.7,17.07,17.65,13539300,0.0,0
