Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-06-15,28.32,29.14,27.89,28.05,17022500,0.0,0
2010-06-16,27.95,28.31,27.6,27.69,2158800,0.0,0
2010-06-17,27.93,28.04,26.98,27.2,1467700,0.0,0
2010-06-18,27.15,27.33,26.56,26.77,1132200,0.0,0
2010-06-21,27.34,28.49,26.77,27.66,1066900,0.0,0
2010-06-22,27.96,28.62,27.46,28.22,1008800,0.0,0
2010-06-23,28.49,28.92,27.63,28.91,1029400,0.0,0
2010-06-24,28.92,29.51,28.28,28.74,1600800,0.0,0
2010-06-25,28.75,28.79,27.69,27.69,640100,0.0,0
2010-06-28,28.03,28.54,27.42,28.3,718200,0.0,0
2010-06-29,27.84,27.89,27.0,27.42,622300,0.0,0
2010-06-30,27.62,28.19,27.33,28.1,402400,0.0,0
2010-07-01,27.84,28.06,25.9,26.17,1023200,0.0,0
2010-07-02,26.12,26.77,25.92,26.64,483700,0.0,0
2010-07-06,27.11,27.11,25.64,25.73,805200,0.0,0
2010-07-07,25.73,26.27,25.19,25.24,583700,0.0,0
2010-07-08,25.08,26.18,24.56,25.05,2176300,0.0,0
2010-07-09,25.23,25.32,24.74,25.01,448600,0.0,0
2010-07-12,24.82,24.9,23.03,23.14,1194500,0.0,0
2010-07-13,23.64,24.15,23.24,24.05,877900,0.0,0
2010-07-14,23.63,23.63,23.42,23.61,885100,0.0,0
2010-07-15,23.48,23.53,22.53,22.88,642100,0.0,0
2010-07-16,22.67,23.44,22.64,22.84,708700,0.0,0
2010-07-19,23.25,23.25,22.5,22.87,306000,0.0,0
2010-07-20,22.66,23.05,22.45,22.52,490100,0.0,0
2010-07-21,22.54,23.38,22.54,22.97,854200,0.0,0
2010-07-22,23.23,23.83,23.1,23.34,322600,0.0,0
2010-07-23,23.22,23.48,22.99,23.44,233300,0.0,0
2010-07-26,23.31,23.43,22.54,22.88,631200,0.0,0
2010-07-27,22.8,23.87,22.66,23.48,537900,0.0,0
2010-07-28,23.35,23.5,22.94,23.44,131300,0.0,0
2010-07-29,23.31,23.49,22.71,23.03,296200,0.0,0
2010-07-30,22.85,23.48,22.72,22.97,220100,0.0,0
2010-08-02,23.43,23.86,23.04,23.78,356600,0.0,0
2010-08-03,23.61,23.86,23.44,23.53,254100,0.0,0
2010-08-04,23.57,23.74,23.01,23.06,412500,0.0,0
2010-08-05,22.67,22.67,20.93,21.41,1554200,0.0,0
2010-08-06,20.94,21.03,19.96,20.55,1221700,0.0,0
2010-08-09,20.72,20.89,20.32,20.7,436800,0.0,0
2010-08-10,20.63,20.63,19.86,19.86,396600,0.0,0
2010-08-11,19.74,20.0,19.32,19.81,578900,0.0,0
2010-08-12,19.81,20.33,19.6,20.13,515200,0.0,0
2010-08-13,19.94,20.17,19.69,19.86,322000,0.0,0
2010-08-16,19.68,20.05,19.62,19.68,190700,0.0,0
2010-08-17,19.75,19.99,19.39,19.96,329500,0.0,0
2010-08-18,19.75,20.01,19.43,19.95,361500,0.0,0
2010-08-19,20.23,20.42,19.69,19.86,655000,0.0,0
2010-08-20,19.78,19.87,19.54,19.75,326700,0.0,0
2010-08-23,19.67,20.03,19.67,19.86,279500,0.0,0
2010-08-24,19.43,19.57,18.35,18.81,762400,0.0,0
2010-08-25,18.38,18.85,18.35,18.71,242700,0.0,0
2010-08-26,18.79,19.24,18.35,18.37,213900,0.0,0
2010-08-27,18.44,18.49,17.48,18.02,378500,0.0,0
2010-08-30,18.02,18.28,17.57,17.8,273200,0.0,0
2010-08-31,17.71,18.11,17.62,18.05,110300,0.0,0
2010-09-01,18.27,19.08,18.18,18.76,257000,0.1,0
2010-09-02,18.9,19.01,18.24,18.8,143800,0.0,0
2010-09-03,18.87,19.46,18.7,19.23,233400,0.0,0
2010-09-07,19.29,19.29,18.83,19.29,188100,0.0,0
2010-09-08,19.28,19.59,18.92,19.13,263000,0.0,0
2010-09-09,19.53,19.53,18.66,18.91,214400,0.0,0
2010-09-10,18.9,19.3,18.83,19.03,136100,0.0,0
2010-09-13,19.24,19.24,18.53,18.94,237700,0.0,0
2010-09-14,18.71,19.66,18.67,19.23,375100,0.0,0
2010-09-15,19.0,19.57,19.0,19.38,245800,0.0,0
2010-09-16,19.38,19.66,19.09,19.35,327700,0.0,0
2010-09-17,19.35,19.82,19.3,19.49,404600,0.0,0
2010-09-20,19.34,19.43,18.58,18.96,379500,0.0,0
2010-09-21,19.03,19.07,18.55,18.67,298500,0.0,0
2010-09-22,18.75,18.95,18.39,18.5,256100,0.0,0
2010-09-23,18.27,18.41,17.85,17.85,319600,0.0,0
2010-09-24,18.04,18.18,17.81,17.88,237000,0.0,0
2010-09-27,17.92,18.49,17.68,18.28,397100,0.0,0
2010-09-28,18.24,18.63,18.08,18.49,204900,0.0,0
2010-09-29,18.52,18.63,18.01,18.03,298300,0.0,0
2010-09-30,18.19,18.22,17.0,17.52,1710100,0.0,0
2010-10-01,17.57,17.94,17.2,17.87,480700,0.0,0
2010-10-04,17.85,17.95,17.37,17.69,271400,0.0,0
2010-10-05,17.76,18.16,17.63,18.07,385200,0.0,0
2010-10-06,18.04,18.31,17.83,18.07,179400,0.0,0
2010-10-07,18.07,18.17,17.63,17.87,176900,0.0,0
2010-10-08,17.85,18.21,17.78,18.09,168900,0.0,0
2010-10-11,18.13,18.59,17.85,18.27,279200,0.0,0
2010-10-12,18.27,19.42,18.22,19.29,608600,0.0,0
2010-10-13,19.5,19.78,19.17,19.27,714000,0.0,0
