Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-09-24,19.07,20.6,18.94,20.48,60450900,0.0,0
2014-09-25,20.01,20.77,19.92,20.45,8430000,0.0,0
2014-09-26,20.56,20.73,20.32,20.63,2504400,0.0,0
2014-09-29,20.53,20.8,20.32,20.61,4832600,0.0,0
2014-09-30,20.5,20.91,20.45,20.78,4103100,0.0,0
2014-10-01,20.6,20.95,20.5,20.79,3915500,0.0,0
2014-10-02,20.71,20.93,20.67,20.71,3121400,0.0,0
2014-10-03,20.74,20.82,20.41,20.61,1585900,0.0,0
2014-10-06,20.65,20.73,20.06,20.08,1208400,0.0,0
2014-10-07,20.01,20.17,19.75,19.98,1508400,0.0,0
2014-10-08,19.61,20.54,19.61,20.18,1649200,0.0,0
2014-10-09,20.4,20.4,19.73,19.94,1229100,0.0,0
2014-10-10,19.86,20.01,19.64,19.77,924000,0.0,0
2014-10-13,19.63,20.1,19.62,19.92,1382800,0.0,0
2014-10-14,19.96,20.22,19.78,19.92,1605800,0.0,0
2014-10-15,19.63,19.69,19.07,19.38,3405400,0.0,0
2014-10-16,19.08,19.47,19.05,19.34,3105800,0.0,0
2014-10-17,19.42,19.58,19.28,19.45,2750600,0.0,0
2014-10-20,19.36,19.85,19.36,19.85,1870600,0.0,0
2014-10-21,19.61,20.34,19.61,20.24,1165500,0.0,0
2014-10-22,20.21,20.4,19.87,20.05,884700,0.0,0
2014-10-23,20.38,20.48,20.04,20.43,1154200,0.0,0
2014-10-24,20.69,20.84,20.2,20.56,1357800,0.0,0
2014-10-27,20.54,20.57,20.16,20.27,2898800,0.0,0
2014-10-28,20.55,20.93,20.34,20.65,1500600,0.0,0
2014-10-29,20.71,20.87,20.58,20.83,1302300,0.0,0
2014-10-30,20.81,21.02,20.67,20.79,1153600,0.0,0
2014-10-31,20.93,21.22,20.73,20.95,1238600,0.0,0
2014-11-03,20.84,21.29,20.55,21.29,1826900,0.0,0
2014-11-04,21.15,21.3,20.87,21.02,1474500,0.1,0
2014-11-05,21.2,21.34,20.98,21.29,1097600,0.0,0
2014-11-06,21.19,21.79,21.16,21.65,1010700,0.0,0
2014-11-07,21.81,21.81,21.34,21.35,600700,0.0,0
2014-11-10,21.42,21.6,21.16,21.34,1531300,0.0,0
2014-11-11,21.35,21.58,21.16,21.33,658300,0.0,0
2014-11-12,21.16,21.36,20.94,21.26,940800,0.0,0
2014-11-13,21.04,21.34,21.01,21.22,1149700,0.0,0
2014-11-14,21.15,21.38,21.15,21.34,1111500,0.0,0
2014-11-17,21.48,21.48,20.99,21.38,992400,0.0,0
2014-11-18,21.42,21.42,21.12,21.14,586000,0.0,0
2014-11-19,21.2,21.38,20.94,21.13,812800,0.0,0
2014-11-20,21.0,21.26,20.94,21.12,745800,0.0,0
2014-11-21,21.34,21.57,21.11,21.18,725200,0.0,0
2014-11-24,21.2,21.7,21.1,21.6,836800,0.0,0
2014-11-25,21.59,21.65,21.4,21.41,701600,0.0,0
2014-11-26,21.48,21.62,21.31,21.59,703700,0.0,0
2014-11-28,21.58,22.35,21.43,21.94,713400,0.0,0
2014-12-01,21.93,22.18,20.93,21.36,2282600,0.0,0
2014-12-02,21.4,21.76,21.2,21.56,1369300,0.0,0
2014-12-03,21.67,21.91,21.55,21.59,1854500,0.0,0
2014-12-04,21.67,21.88,21.46,21.74,1433700,0.0,0
2014-12-05,21.78,22.47,21.78,22.4,1008400,0.0,0
2014-12-08,22.34,22.4,21.99,22.31,2244900,0.0,0
2014-12-09,22.01,22.57,21.83,22.41,1141800,0.0,0
2014-12-10,22.4,22.64,21.93,21.96,631000,0.0,0
2014-12-11,22.14,22.52,21.83,22.0,1709100,0.0,0
2014-12-12,21.84,22.12,21.74,21.79,950800,0.0,0
2014-12-15,21.99,22.1,21.62,21.82,1175100,0.0,0
2014-12-16,21.85,22.16,21.58,21.6,1313900,0.0,0
2014-12-17,21.58,22.09,21.58,21.88,2160100,0.0,0
2014-12-18,22.05,22.4,21.99,22.34,1768500,0.0,0
2014-12-19,22.31,22.81,22.13,22.27,7523100,0.0,0
2014-12-22,22.41,22.52,21.97,22.36,1689600,0.0,0
2014-12-23,22.55,22.72,22.38,22.66,1174600,0.0,0
2014-12-24,22.67,22.8,22.43,22.73,547200,0.0,0
2014-12-26,22.73,22.73,22.49,22.55,304000,0.0,0
2014-12-29,22.45,22.73,22.43,22.6,1071000,0.0,0
2014-12-30,22.68,22.72,22.41,22.44,511800,0.0,0
2014-12-31,22.49,22.53,22.12,22.15,621600,0.0,0
2015-01-02,22.24,22.27,21.64,22.06,643500,0.0,0
2015-01-05,21.9,21.99,21.24,21.54,1330400,0.0,0
2015-01-06,21.53,21.58,21.11,21.3,2075000,0.0,0
2015-01-07,21.37,21.5,21.19,21.38,1160200,0.0,0
2015-01-08,21.44,21.81,21.33,21.54,661500,0.0,0
2015-01-09,21.51,21.54,21.18,21.28,724700,0.0,0
2015-01-12,21.2,21.42,21.04,21.27,941100,0.0,0
2015-01-13,21.33,21.55,21.03,21.26,989800,0.0,0
2015-01-14,21.02,21.15,20.58,20.88,962500,0.0,0
2015-01-15,20.82,21.03,20.2,20.45,1558000,0.0,0
2015-01-16,20.34,20.7,20.3,20.66,1951800,0.0,0
2015-01-20,20.63,21.25,20.41,20.58,1742100,0.0,0
2015-01-21,20.55,21.02,20.5,20.74,787300,0.0,0
2015-01-22,20.76,21.52,20.74,21.51,486500,0.0,0
2015-01-23,21.42,21.42,21.09,21.12,651800,0.0,0
2015-01-26,21.16,21.66,20.96,21.46,1167800,0.0,0
2015-01-27,21.26,21.95,21.17,21.51,1308200,0.0,0
2015-01-28,21.53,21.69,21.24,21.26,1301900,0.0,0
2015-01-29,21.31,21.69,20.72,21.59,1818600,0.0,0
2015-01-30,21.47,21.59,21.21,21.29,1882300,0.0,0
2015-02-02,21.25,21.52,21.1,21.38,1445800,0.0,0
2015-02-03,21.39,21.87,21.29,21.73,1351800,0.1,0
2015-02-04,21.71,21.81,21.41,21.48,1101600,0.0,0
2015-02-05,21.55,21.84,21.45,21.78,984600,0.0,0
