Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,17.37,17.41,17.18,17.26,1181300,0.0,0
2009-12-08,17.24,17.37,17.22,17.27,1167200,0.0,0
2009-12-09,17.32,17.4,17.2,17.37,771700,0.0,0
2009-12-10,17.43,17.56,17.36,17.5,502200,0.0,0
2009-12-11,17.5,17.6,17.4,17.56,890400,0.0,0
2009-12-14,17.62,17.78,17.57,17.78,568300,0.0,0
2009-12-15,17.75,17.89,17.67,17.67,1172100,0.0,0
2009-12-16,17.77,17.87,17.68,17.71,872300,0.0,0
2009-12-17,17.58,17.71,17.53,17.59,2700200,0.0,0
2009-12-18,17.6,17.72,17.41,17.57,2627300,0.0,0
2009-12-21,17.77,17.79,17.63,17.7,710100,0.395,0
2009-12-22,17.74,17.9,17.71,17.87,644500,0.0,0
2009-12-23,17.88,17.99,17.84,17.92,493800,0.0,0
2009-12-24,17.94,18.09,17.88,18.08,274600,0.0,0
2009-12-28,18.12,18.18,18.02,18.08,307700,0.0,0
2009-12-29,18.14,18.21,18.04,18.18,535400,0.0,0
2009-12-30,18.09,18.3,18.09,18.24,489200,0.0,0
2009-12-31,18.33,18.57,18.12,18.12,1096900,0.0,0
2010-01-04,18.24,18.44,18.24,18.3,1261400,0.0,0
2010-01-05,18.25,18.33,18.15,18.3,1412800,0.0,0
2010-01-06,18.3,18.35,18.22,18.35,1139100,0.0,0
2010-01-07,18.35,18.44,18.25,18.42,982900,0.0,0
2010-01-08,18.33,18.44,18.29,18.35,757800,0.0,0
2010-01-11,18.46,18.57,18.37,18.49,636400,0.0,0
2010-01-12,18.46,18.64,18.42,18.46,825700,0.0,0
2010-01-13,18.57,18.71,18.45,18.62,738500,0.0,0
2010-01-14,18.66,18.73,18.44,18.66,729400,0.0,0
2010-01-15,18.68,18.68,18.44,18.55,969000,0.0,0
2010-01-19,18.61,18.9,18.53,18.88,844700,0.0,0
2010-01-20,18.76,18.84,18.51,18.67,828700,0.0,0
2010-01-21,18.71,18.84,18.35,18.53,1335300,0.0,0
2010-01-22,18.51,18.68,18.12,18.15,1283400,0.0,0
2010-01-25,18.35,18.46,18.19,18.28,1006400,0.0,0
2010-01-26,18.25,18.48,18.08,18.11,863500,0.0,0
2010-01-27,18.06,18.3,17.99,18.26,1097500,0.0,0
2010-01-28,18.3,18.36,18.06,18.11,840600,0.0,0
2010-01-29,18.15,18.37,18.11,18.22,1451100,0.0,0
2010-02-01,18.33,18.42,18.09,18.17,1434400,0.0,0
2010-02-02,18.15,18.39,18.1,18.39,804300,0.0,0
2010-02-03,18.3,18.44,18.21,18.39,1253100,0.0,0
2010-02-04,18.2,18.42,18.13,18.13,2393600,0.0,0
2010-02-05,18.14,18.33,17.89,18.17,1794900,0.0,0
2010-02-08,18.13,18.24,17.69,17.72,1433800,0.0,0
2010-02-09,17.81,17.94,17.61,17.8,1169800,0.0,0
2010-02-10,17.81,17.95,17.68,17.85,809000,0.0,0
2010-02-11,17.81,18.01,17.71,17.86,897400,0.0,0
2010-02-12,17.79,17.96,17.7,17.94,1361600,0.0,0
2010-02-16,17.98,18.18,17.89,18.18,834900,0.0,0
2010-02-17,18.28,18.33,18.16,18.3,675000,0.0,0
2010-02-18,18.29,18.43,18.24,18.41,1124600,0.0,0
2010-02-19,18.3,18.46,18.24,18.44,1182500,0.0,0
2010-02-22,18.44,18.55,18.3,18.53,845000,0.0,0
2010-02-23,18.54,18.58,18.33,18.37,978300,0.0,0
2010-02-24,18.47,18.64,18.35,18.59,847400,0.0,0
2010-02-25,18.46,18.62,18.39,18.62,839400,0.0,0
2010-02-26,18.64,18.66,18.44,18.57,812000,0.0,0
2010-03-01,18.66,18.91,18.52,18.91,1164400,0.0,0
2010-03-02,19.02,19.18,18.93,19.15,1383500,0.0,0
2010-03-03,19.22,19.29,19.02,19.11,959900,0.0,0
2010-03-04,19.08,19.22,19.04,19.21,942400,0.0,0
2010-03-05,19.33,19.45,19.21,19.37,1366000,0.0,0
2010-03-08,19.46,19.6,19.4,19.56,894500,0.0,0
2010-03-09,19.46,19.72,19.45,19.62,848100,0.0,0
2010-03-10,19.62,19.72,19.44,19.6,1277300,0.0,0
2010-03-11,19.57,19.71,19.52,19.67,873400,0.0,0
2010-03-12,19.78,19.91,19.59,19.68,1326000,0.0,0
2010-03-15,19.8,19.84,19.61,19.81,982700,0.0,0
2010-03-16,19.85,19.92,19.73,19.85,813300,0.0,0
2010-03-17,19.93,20.17,19.9,20.1,714300,0.0,0
2010-03-18,20.11,20.22,20.07,20.22,652400,0.0,0
2010-03-19,20.41,20.47,20.12,20.29,1558500,0.0,0
2010-03-22,20.21,20.25,20.03,20.07,1090800,0.395,0
2010-03-23,20.14,20.28,20.04,20.26,705700,0.0,0
2010-03-24,20.08,20.23,20.08,20.15,712400,0.0,0
2010-03-25,20.28,20.44,20.18,20.2,776700,0.0,0
2010-03-26,20.21,20.44,20.21,20.3,727300,0.0,0
2010-03-29,20.38,20.53,20.34,20.51,705800,0.0,0
2010-03-30,20.56,20.56,20.35,20.42,708900,0.0,0
2010-03-31,20.39,20.39,20.17,20.23,936300,0.0,0
2010-04-01,20.3,20.42,20.21,20.35,799200,0.0,0
2010-04-05,20.42,20.51,20.27,20.49,659000,0.0,0
2010-04-06,20.44,20.58,20.44,20.56,695100,0.0,0
2010-04-07,20.59,20.63,20.39,20.46,870700,0.0,0
2010-04-08,20.5,20.58,20.34,20.53,1229600,0.0,0
2010-04-09,20.59,20.73,20.39,20.5,763400,0.0,0
2010-04-12,20.59,20.6,20.35,20.44,746200,0.0,0
2010-04-13,20.47,20.65,20.35,20.59,729600,0.0,0
2010-04-14,20.59,20.9,20.58,20.9,784700,0.0,0
2010-04-15,20.93,20.95,20.75,20.87,636900,0.0,0
2010-04-16,20.79,20.85,20.4,20.47,1807000,0.0,0
2010-04-19,20.42,20.7,20.41,20.69,855500,0.0,0
2010-04-20,20.77,20.86,20.61,20.84,1014400,0.0,0
2010-04-21,20.85,20.9,20.67,20.81,1334200,0.0,0
2010-04-22,20.74,20.91,20.51,20.89,771200,0.0,0
2010-04-23,20.86,21.14,20.74,21.14,796900,0.0,0
2010-04-26,21.16,21.26,21.0,21.01,567400,0.0,0
2010-04-27,20.96,21.02,20.19,20.22,936000,0.0,0
2010-04-28,20.28,20.65,20.28,20.42,919200,0.0,0
2010-04-29,20.42,20.49,20.09,20.39,1266900,0.0,0
2010-04-30,20.16,20.19,19.86,19.9,1467200,0.0,0
