Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,6.72,7.17,6.72,7.17,155151400,0.0,0.0
2009-12-08,7.1,7.22,7.02,7.2,111815000,0.0,0.0
2009-12-09,7.17,7.31,7.14,7.28,71765200,0.0,0.0
2009-12-10,7.28,7.42,7.22,7.29,66515400,0.0,0.0
2009-12-11,7.31,7.38,7.25,7.32,40136800,0.0,0.0
2009-12-14,7.38,7.38,7.22,7.29,34559600,0.0,0.0
2009-12-15,7.2,7.33,7.17,7.29,36652400,0.0,0.0
2009-12-16,7.31,7.36,7.24,7.27,34271200,0.0,0.0
2009-12-17,7.19,7.19,7.02,7.1,43978000,0.0,0.0
2009-12-18,7.07,7.17,5.88,7.15,64462400,0.0,0.0
2009-12-21,7.18,7.29,7.18,7.21,23882000,0.0,0.0
2009-12-22,7.24,7.24,7.11,7.14,25862800,0.0,0.0
2009-12-23,7.1,7.15,7.04,7.1,23029000,0.0,0.0
2009-12-24,7.05,7.14,7.04,7.12,6273800,0.0,0.0
2009-12-28,7.14,7.14,7.03,7.08,16212600,0.0,0.0
2009-12-29,7.05,7.14,7.05,7.09,17347600,0.0,0.0
2009-12-30,7.1,7.14,7.04,7.08,17683800,0.0,0.0
2009-12-31,7.08,7.12,7.0,7.0,16245600,0.0,0.0
2010-01-04,6.99,7.15,6.99,7.08,27146800,0.0475,0.0
2010-01-05,7.06,7.09,6.91,6.99,35493000,0.0,0.0
2010-01-06,7.0,7.01,6.9,6.93,27741400,0.0,0.0
2010-01-07,6.97,7.12,6.91,7.08,30214800,0.0,0.0
2010-01-08,7.06,7.12,7.01,7.06,25454000,0.0,0.0
2010-01-11,7.04,7.09,6.98,7.01,38109200,0.0,0.0
2010-01-12,6.99,6.99,6.85,6.89,36282000,0.0,0.0
2010-01-13,6.96,7.03,6.93,7.0,31533800,0.0,0.0
2010-01-14,7.02,7.02,6.93,6.96,34823600,0.0,0.0
2010-01-15,6.99,7.02,6.84,6.94,43236000,0.0,0.0
2010-01-19,6.98,7.04,6.93,7.01,25319000,0.0,0.0
2010-01-20,6.92,6.95,6.76,6.89,43376400,0.0,0.0
2010-01-21,6.89,6.92,6.61,6.68,65772600,0.0,0.0
2010-01-22,6.68,6.83,6.6,6.61,56665000,0.0,0.0
2010-01-25,6.62,6.75,6.58,6.68,30493200,0.0,0.0
2010-01-26,6.64,6.7,6.5,6.55,42569400,0.0,0.0
2010-01-27,6.52,6.71,6.5,6.61,40780000,0.0,0.0
2010-01-28,6.66,6.73,6.49,6.52,38618800,0.0,0.0
2010-01-29,6.57,6.73,6.47,6.61,54386600,0.0,0.0
2010-02-01,6.71,6.72,6.62,6.65,32681400,0.0,0.0
2010-02-02,6.61,6.82,6.61,6.8,38526400,0.0,0.0
2010-02-03,6.9,6.93,6.61,6.66,58379600,0.0,0.0
2010-02-04,6.59,6.66,6.48,6.48,45437200,0.0,0.0
2010-02-05,6.47,6.56,6.32,6.43,53431200,0.0,0.0
2010-02-08,6.45,6.46,6.34,6.35,31328000,0.0,0.0
2010-02-09,6.42,6.55,6.37,6.42,48789400,0.0,0.0
2010-02-10,6.44,6.44,6.33,6.39,43407200,0.0,0.0
