Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,35.84,36.38,35.46,35.84,3173500,0.0,0
2009-12-08,35.47,35.93,35.17,35.75,2884000,0.0,0
2009-12-09,35.54,36.5,35.44,36.37,2555500,0.0,0
2009-12-10,36.43,37.08,36.32,36.85,2349300,0.0,0
2009-12-11,37.05,37.16,36.02,36.25,1841200,0.0,0
2009-12-14,36.58,37.14,36.14,37.02,1711800,0.0,0
2009-12-15,36.89,37.08,36.51,36.66,2244300,0.0,0
2009-12-16,36.78,37.45,36.67,37.19,1917500,0.0,0
2009-12-17,36.75,37.21,36.58,36.97,1333500,0.0,0
2009-12-18,37.26,37.48,37.1,37.46,1935700,0.0,0
2009-12-21,37.67,37.76,37.24,37.52,2205700,0.0,0
2009-12-22,37.37,37.45,36.93,37.18,2410800,0.0,0
2009-12-23,37.37,37.7,36.95,37.65,1079400,0.0,0
2009-12-24,37.58,37.94,37.47,37.79,357200,0.0,0
2009-12-28,37.69,37.96,37.59,37.7,855200,0.0,0
2009-12-29,37.77,37.77,37.2,37.24,773000,0.0,0
2009-12-30,36.97,37.21,36.74,36.89,811300,0.0,0
2009-12-31,36.85,37.09,36.46,36.47,683500,0.0,0
2010-01-04,36.85,37.46,36.78,37.32,1148600,0.0,0
2010-01-05,37.57,38.31,37.34,38.21,1592300,0.0,0
2010-01-06,38.05,38.66,37.99,38.56,1745900,0.0,0
2010-01-07,38.37,40.59,38.37,40.51,3558600,0.0,0
2010-01-08,40.04,43.27,39.84,42.68,4848000,0.0,0
2010-01-11,42.63,44.06,42.54,43.73,3159800,0.0,0
2010-01-12,42.67,42.9,42.02,42.42,3841800,0.0,0
2010-01-13,41.49,42.34,40.84,41.97,2413300,0.0,0
2010-01-14,41.18,42.31,40.77,42.06,1802900,0.0,0
2010-01-15,41.33,41.73,40.85,41.13,2039900,0.0,0
2010-01-19,40.42,42.09,40.23,42.09,1689400,0.0,0
2010-01-20,41.67,41.67,40.25,40.93,2002000,0.0,0
2010-01-21,40.8,41.06,38.95,39.34,2264300,0.0,0
2010-01-22,39.15,39.15,37.96,37.98,2049400,0.0,0
2010-01-25,38.72,39.11,37.59,37.87,1626500,0.0,0
