Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-06-13,14.87,14.89,14.36,14.75,46263100,0.0,0
2013-06-14,14.83,14.91,14.62,14.89,9049500,0.0,0
2013-06-17,14.97,15.0,14.71,14.78,5489500,0.0,0
2013-06-18,14.78,14.8,14.58,14.7,6717200,0.0,0
2013-06-19,14.66,14.74,13.94,14.61,7128600,0.0,0
2013-06-20,14.28,14.32,13.86,14.23,2785200,0.0,0
2013-06-21,14.23,14.51,14.02,14.44,2542800,0.0,0
2013-06-24,14.28,14.29,13.99,14.12,1206100,0.0,0
2013-06-25,14.19,14.35,14.06,14.23,1074800,0.0,0
2013-06-26,14.28,14.57,14.28,14.46,3420800,0.0,0
2013-06-27,14.51,14.65,14.42,14.65,1773800,0.0,0
2013-06-28,14.62,14.64,14.37,14.6,1904600,0.0,0
2013-07-01,14.6,14.66,14.51,14.6,1188800,0.0,0
2013-07-02,14.6,14.74,14.53,14.67,665300,0.0,0
2013-07-03,14.62,14.69,14.57,14.66,332000,0.0,0
2013-07-05,14.7,14.71,14.61,14.67,573400,0.0,0
2013-07-08,14.74,14.74,14.46,14.68,855900,0.0,0
2013-07-09,14.66,14.79,14.65,14.77,521300,0.0,0
2013-07-10,14.79,14.86,14.7,14.78,524300,0.0,0
2013-07-11,14.83,14.86,14.67,14.83,990200,0.0,0
2013-07-12,14.79,14.89,14.74,14.87,1258600,0.0,0
2013-07-15,14.87,14.91,14.55,14.6,242900,0.0,0
2013-07-16,14.69,14.74,14.62,14.72,507600,0.0,0
2013-07-17,14.56,14.79,14.49,14.7,995700,0.0,0
2013-07-18,14.74,14.81,14.54,14.57,682700,0.0,0
2013-07-19,14.57,14.68,14.49,14.52,599500,0.0,0
2013-07-22,14.52,14.52,14.39,14.4,462000,0.0,0
2013-07-23,14.57,14.63,14.32,14.5,1619500,0.0,0
2013-07-24,14.6,14.63,14.38,14.56,373600,0.0,0
2013-07-25,14.5,14.79,14.42,14.74,743800,0.0,0
2013-07-26,14.72,14.74,14.45,14.54,311800,0.0,0
2013-07-29,14.49,14.67,14.37,14.63,400800,0.0,0
2013-07-30,14.66,14.69,14.46,14.56,531000,0.0,0
2013-07-31,14.57,14.7,14.46,14.61,291100,0.0,0
2013-08-01,14.68,14.78,14.55,14.68,577100,0.0,0
2013-08-02,14.74,14.75,14.51,14.67,344100,0.0,0
2013-08-05,14.66,14.91,14.59,14.86,1976900,0.0,0
2013-08-06,14.84,15.08,14.69,14.88,1702000,0.0,0
2013-08-07,14.87,14.87,14.53,14.69,801000,0.0,0
