Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,18.8,19.03,18.79,18.88,33094700,0.0,0
2009-12-08,18.73,18.88,18.52,18.57,44128100,0.0,0
2009-12-09,18.54,18.63,18.28,18.61,38449700,0.0,0
2009-12-10,18.72,18.87,18.57,18.67,33704400,0.0,0
2009-12-11,18.75,18.77,18.46,18.54,27735900,0.0,0
2009-12-14,18.72,18.83,18.59,18.59,35439600,0.0,0
2009-12-15,18.57,18.64,18.3,18.31,52394700,0.0,0
2009-12-16,18.38,18.47,18.21,18.29,41819300,0.0,0
2009-12-17,18.29,18.3,18.04,18.08,33439200,0.0,0
2009-12-18,18.04,18.22,17.95,18.19,67220300,0.0,0
2009-12-21,18.35,18.57,18.31,18.43,35588700,0.0,0
2009-12-22,18.43,18.61,18.38,18.52,27139900,0.0,0
2009-12-23,18.55,18.66,18.48,18.54,23857600,0.0,0
2009-12-24,18.56,18.71,18.55,18.68,9900600,0.0,0
2009-12-28,18.63,18.79,18.57,18.78,20191200,0.0,0
2009-12-29,18.74,18.85,18.72,18.79,21897300,0.0,0
2009-12-30,18.72,18.87,18.72,18.86,17202900,0.0,0
2009-12-31,18.79,18.85,18.67,18.67,25208100,0.0,0
2010-01-04,18.8,19.37,18.72,19.25,59853700,0.0,0
2010-01-05,19.18,19.28,19.01,19.17,45124500,0.0,0
2010-01-06,19.14,19.29,18.98,19.04,35715700,0.0,0
2010-01-07,18.95,19.16,18.85,19.13,31531200,0.0,0
2010-01-08,19.01,19.26,18.91,19.23,39115900,0.0,0
2010-01-11,19.21,19.41,19.04,19.18,35852900,0.0,0
2010-01-12,19.06,19.11,18.78,18.87,35780400,0.0,0
2010-01-13,18.93,19.26,18.87,19.21,43683900,0.0,0
2010-01-14,19.17,19.56,19.12,19.46,52302100,0.0,0
2010-01-15,19.5,19.57,18.95,19.03,51648100,0.0,0
2010-01-19,19.14,19.4,19.11,19.38,37607500,0.0,0
2010-01-20,19.2,19.28,18.81,19.04,42125400,0.0,0
2010-01-21,19.11,19.22,18.61,18.7,54767500,0.0,0
2010-01-22,18.59,18.66,17.83,17.91,70424300,0.0,0
2010-01-25,18.01,18.08,17.73,17.93,51288800,0.0,0
2010-01-26,17.78,18.09,17.65,17.86,55312800,0.0,0
2010-01-27,17.85,18.14,17.75,18.05,51802900,0.0,0
2010-01-28,18.08,18.11,17.43,17.56,63620000,0.0,0
2010-01-29,17.9,18.04,17.5,17.52,73431900,0.0,0
2010-02-01,17.66,17.89,17.45,17.72,54386100,0.0,0
2010-02-02,17.79,18.02,17.55,17.95,54108900,0.0,0
2010-02-03,18.06,18.13,17.82,17.99,80035500,0.0,0
2010-02-04,18.26,18.54,18.01,18.06,126098600,0.0,0
2010-02-05,18.17,18.62,18.06,18.48,99148600,0.0,0
2010-02-08,18.54,18.64,18.31,18.33,69909000,0.0,0
2010-02-09,18.56,18.72,18.39,18.63,60331600,0.0,0
2010-02-10,18.61,18.72,18.42,18.53,50574100,0.0,0
2010-02-11,18.46,18.71,18.36,18.66,42458500,0.0,0
2010-02-12,18.5,18.56,18.33,18.53,56455000,0.0,0
2010-02-16,18.68,18.72,18.56,18.72,46758200,0.0,0
2010-02-17,18.71,18.79,18.51,18.77,48505500,0.0,0
2010-02-18,18.75,19.0,18.64,18.93,41154700,0.0,0
2010-02-19,18.82,19.01,18.76,19.0,38781900,0.0,0
2010-02-22,19.02,19.07,18.83,18.95,31374800,0.0,0
2010-02-23,18.84,18.89,18.58,18.75,36286000,0.0,0
2010-02-24,18.79,19.07,18.79,18.98,33182100,0.0,0
2010-02-25,18.72,19.02,18.61,18.97,37112100,0.0,0
2010-02-26,19.0,19.07,18.88,18.97,30719800,0.0,0
2010-03-01,18.97,19.22,18.96,19.18,41777800,0.0,0
2010-03-02,19.23,19.3,19.06,19.19,51403800,0.0,0
2010-03-03,19.26,19.44,19.18,19.37,50693400,0.0,0
2010-03-04,19.37,19.48,19.23,19.46,40262000,0.0,0
2010-03-05,19.47,19.68,19.43,19.66,57057100,0.0,0
2010-03-08,19.74,20.56,19.7,20.38,116178200,0.0,0
2010-03-09,20.53,20.65,20.04,20.38,160887600,0.0,0
2010-03-10,20.16,20.32,20.08,20.17,69660800,0.0,0
2010-03-11,20.11,20.26,20.06,20.25,37340500,0.0,0
