Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,13.69,13.69,13.39,13.4,11233200,0.0,0.0
2009-12-08,13.36,13.4,12.87,12.97,16414800,0.0,0.0
2009-12-09,12.97,13.0,12.81,12.95,7383300,0.0,0.0
2009-12-10,13.09,13.38,13.05,13.31,10218000,0.0,0.0
2009-12-11,13.38,13.57,13.34,13.36,9397200,0.0,0.0
2009-12-14,13.5,13.56,13.41,13.48,5657100,0.0,0.0
2009-12-15,13.34,13.65,13.32,13.54,7459500,0.0,0.0
2009-12-16,13.63,13.68,13.46,13.6,8411100,0.0,0.0
2009-12-17,13.43,13.47,13.1,13.23,10386900,0.0,0.0
2009-12-18,13.37,13.39,13.13,13.23,9158400,0.0,0.0
2009-12-21,13.36,13.56,13.35,13.42,5547900,0.0,0.0
2009-12-22,13.47,13.55,13.33,13.51,5198400,0.0,0.0
2009-12-23,13.51,13.65,13.41,13.64,3534000,0.0,0.0
2009-12-24,13.65,13.87,13.64,13.76,2804700,0.0,0.0
2009-12-28,13.69,13.75,13.41,13.54,6287700,0.0,0.0
2009-12-29,13.51,13.6,13.41,13.42,4263600,0.0,0.0
2009-12-30,13.39,13.45,13.31,13.41,4065000,0.0,0.0
2009-12-31,13.46,13.46,13.23,13.24,5107800,0.0,0.0
2010-01-04,13.38,13.43,13.18,13.34,8391000,0.0,0.0
2010-01-05,13.37,13.72,13.33,13.69,11971200,0.0,0.0
2010-01-06,13.71,13.84,13.6,13.74,9919200,0.0,0.0
2010-01-07,13.68,13.75,13.54,13.64,7794000,0.0,0.0
2010-01-08,13.58,14.42,13.55,14.3,18189000,0.0,0.0
2010-01-11,14.36,14.38,14.04,14.16,12666300,0.0,0.0
2010-01-12,14.02,14.02,13.72,13.84,11235900,0.0,0.0
2010-01-13,13.86,13.98,13.68,13.93,8265000,0.0,0.0
2010-01-14,13.94,14.0,13.67,13.8,7590300,0.0,0.0
2010-01-15,13.84,13.84,13.51,13.66,9051600,0.0,0.0
2010-01-19,13.75,13.85,13.62,13.79,13454400,0.0,0.0
2010-01-20,13.13,13.14,12.66,12.93,41262900,0.0,0.0
2010-01-21,12.88,13.01,12.35,12.38,35883900,0.0,0.0
2010-01-22,12.33,12.46,12.0,12.05,26636400,0.0,0.0
2010-01-25,12.2,12.35,12.02,12.27,19235100,0.0,0.0
2010-01-26,12.28,12.53,12.11,12.37,18707400,0.0,0.0
2010-01-27,12.31,12.52,12.26,12.43,16149000,0.0,0.0
2010-01-28,12.5,12.58,11.91,11.93,18305100,0.0,0.0
2010-01-29,12.03,12.06,11.63,11.7,15532500,0.0,0.0
2010-02-01,11.97,12.06,11.81,11.97,16631100,0.0,0.0
2010-02-02,12.03,12.18,11.98,12.14,10696500,0.0,0.0
2010-02-03,12.07,12.36,12.0,12.02,14203800,0.0,0.0
2010-02-04,11.93,11.93,11.55,11.56,18231300,0.0,0.0
2010-02-05,11.53,11.75,11.48,11.72,22097100,0.0,0.0
2010-02-08,11.74,11.96,11.58,11.61,13912500,0.0,0.0
2010-02-09,11.93,11.99,11.73,11.76,20146500,0.0,0.0
2010-02-10,11.77,11.84,11.64,11.76,10662300,0.0,0.0
2010-02-11,11.9,12.41,11.88,12.3,23432700,0.0,0.0
2010-02-12,12.13,12.28,12.07,12.26,15629400,0.0,0.0
2010-02-16,12.42,12.62,12.31,12.59,14113500,0.0,0.0
2010-02-17,12.7,12.71,12.42,12.59,12106800,0.0,0.0
2010-02-18,12.54,12.69,12.48,12.67,8427000,0.0,0.0
2010-02-19,12.67,12.87,12.6,12.77,11309400,0.0,0.0
2010-02-22,12.84,12.88,12.72,12.78,10930200,0.0,0.0
2010-02-23,12.74,12.87,12.64,12.83,15384600,0.0,0.0
2010-02-24,12.9,12.99,12.8,12.97,9826500,0.08,0.0
2010-02-25,12.79,13.06,12.71,13.04,13873800,0.0,0.0
2010-02-26,13.03,13.12,12.89,13.02,8731800,0.0,0.0
2010-03-01,13.1,13.27,13.07,13.26,9528900,0.0,0.0
2010-03-02,13.28,13.42,13.21,13.3,10314600,0.0,0.0
2010-03-03,13.06,13.36,13.02,13.17,11258700,0.0,0.0
2010-03-04,13.12,13.22,13.06,13.19,8656200,0.0,0.0
2010-03-05,13.25,13.46,13.25,13.44,9393300,0.0,0.0
2010-03-08,13.49,13.62,13.39,13.45,6819300,0.0,0.0
2010-03-09,13.41,13.72,13.41,13.59,9726300,0.0,0.0
2010-03-10,13.56,13.72,13.45,13.69,13135200,0.0,0.0
2010-03-11,13.62,13.99,13.62,13.91,13955100,0.0,0.0
2010-03-12,13.97,14.04,13.87,13.99,7153800,0.0,0.0
2010-03-15,13.95,14.06,13.89,14.03,8900700,0.0,0.0
