Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,16.29,16.62,16.26,16.42,2876300,0.0,0
2009-12-08,16.4,16.4,16.21,16.34,2187700,0.0,0
2009-12-09,16.3,16.3,15.93,16.04,3103900,0.0,0
2009-12-10,16.16,16.26,16.08,16.21,2382300,0.0,0
2009-12-11,16.24,16.52,16.16,16.47,10822000,0.0,0
2009-12-14,16.59,16.59,16.27,16.29,1915200,0.0,0
2009-12-15,16.29,16.29,15.99,16.08,2974900,0.0,0
2009-12-16,16.17,16.29,15.95,15.99,3041400,0.0,0
2009-12-17,15.94,15.97,15.61,15.72,5470200,0.0,0
2009-12-18,15.71,15.88,15.65,15.7,3267200,0.0,0
2009-12-21,15.77,16.01,15.73,15.89,1608400,0.0,0
2009-12-22,15.97,16.13,15.89,16.06,1752500,0.0,0
2009-12-23,16.09,16.16,15.99,16.15,1745000,0.0,0
2009-12-24,16.12,16.27,16.12,16.16,530500,0.0,0
2009-12-28,16.24,16.34,16.21,16.32,1197900,0.0,0
2009-12-29,16.41,16.45,16.29,16.32,1108100,0.0,0
2009-12-30,16.24,16.38,16.16,16.34,1414400,0.0,0
2009-12-31,16.39,16.44,16.2,16.2,1409100,0.0,0
2010-01-04,16.34,16.55,16.27,16.4,2068100,0.0,0
2010-01-05,16.44,16.55,16.41,16.42,3450100,0.0,0
2010-01-06,16.34,16.34,15.75,15.78,5333000,0.0,0
2010-01-07,15.84,15.87,15.58,15.63,3994000,0.0,0
2010-01-08,15.65,15.65,15.44,15.58,2286100,0.0,0
2010-01-11,15.7,15.76,15.62,15.74,1976800,0.0,0
2010-01-12,15.7,15.85,15.65,15.7,2251500,0.0,0
2010-01-13,15.76,15.85,15.7,15.83,1780100,0.0,0
2010-01-14,15.86,15.92,15.78,15.85,1730100,0.0,0
2010-01-15,15.86,15.87,15.59,15.69,2595900,0.0,0
2010-01-19,15.73,15.87,15.66,15.85,2699800,0.0,0
2010-01-20,15.74,15.91,15.68,15.77,3936000,0.0,0
2010-01-21,15.76,15.84,15.37,15.4,3156800,0.0,0
2010-01-22,15.39,15.49,15.19,15.2,2841800,0.0,0
2010-01-25,15.29,15.64,15.22,15.55,2935900,0.0,0
2010-01-26,15.58,15.63,15.32,15.55,2813500,0.0,0
2010-01-27,15.57,15.64,15.26,15.43,3770700,0.0,0
2010-01-28,15.41,15.45,15.14,15.26,2295100,0.0,0
2010-01-29,15.34,15.4,15.17,15.21,2008400,0.0,0
2010-02-01,15.29,15.38,15.23,15.33,1977900,0.0,0
2010-02-02,15.37,15.37,15.21,15.28,2975900,0.0,0
2010-02-03,15.23,15.49,15.23,15.42,4931400,0.0,0
2010-02-04,15.32,15.43,15.04,15.04,2236900,0.0,0
2010-02-05,15.04,15.12,14.84,15.12,3541600,0.0,0
2010-02-08,15.35,15.72,15.21,15.36,3081200,0.0,0
2010-02-09,15.53,15.72,15.44,15.54,2589300,0.0,0
2010-02-10,15.58,15.75,15.51,15.66,1954500,0.0,0
2010-02-11,15.68,15.83,15.54,15.77,2277200,0.0,0
2010-02-12,15.6,15.65,15.33,15.46,3915600,0.0,0
2010-02-16,15.62,15.76,15.57,15.72,2161200,0.0,0
2010-02-17,15.78,15.81,15.62,15.7,2972000,0.0,0
2010-02-18,15.7,16.03,15.7,16.02,2033500,0.0,0
2010-02-19,16.01,16.01,15.65,15.7,3357500,0.0,0
2010-02-22,15.78,15.82,15.67,15.71,2128600,0.0,0
2010-02-23,15.72,15.83,15.61,15.69,2324500,0.0,0
2010-02-24,15.7,15.8,15.61,15.78,2139500,0.0,0
2010-02-25,15.42,15.54,15.25,15.5,4296400,0.0,0
2010-02-26,15.53,15.62,15.3,15.33,4155800,0.0,0
2010-03-01,15.34,15.52,15.32,15.51,2969700,0.0,0
2010-03-02,15.59,15.65,15.45,15.55,3059300,0.0,0
2010-03-03,15.61,15.65,15.4,15.47,4042500,0.0,0
2010-03-04,15.49,15.51,15.27,15.27,4697600,0.0,0
2010-03-05,15.39,15.4,15.07,15.25,5217100,0.725,0
2010-03-08,15.22,15.41,15.19,15.34,3756700,0.0,0
2010-03-09,15.35,15.61,15.34,15.55,3297100,0.0,0
2010-03-10,15.54,15.68,15.53,15.62,3680000,0.0,0
2010-03-11,15.64,15.88,15.64,15.87,3762400,0.0,0
2010-03-12,15.88,15.9,15.73,15.82,2407500,0.0,0
2010-03-15,15.78,15.9,15.78,15.9,2721200,0.0,0
2010-03-16,15.88,15.93,15.79,15.93,2891100,0.0,0
2010-03-17,15.95,16.09,15.94,16.03,2781100,0.0,0
2010-03-18,16.03,16.11,15.89,16.01,2733700,0.0,0
2010-03-19,15.93,16.1,15.87,15.93,2699200,0.0,0
2010-03-22,15.89,16.13,15.88,16.08,2022200,0.0,0
2010-03-23,16.12,16.18,16.01,16.15,1658700,0.0,0
2010-03-24,16.1,16.14,15.99,16.05,2228700,0.0,0
2010-03-25,16.16,16.17,15.95,15.95,2452400,0.0,0
2010-03-26,16.02,16.2,15.96,16.18,6541200,0.0,0
2010-03-29,16.22,16.24,16.08,16.23,2854400,0.0,0
2010-03-30,16.28,16.38,16.17,16.18,2598400,0.0,0
2010-03-31,16.18,16.31,16.13,16.2,2405700,0.0,0
2010-04-01,16.3,16.44,16.29,16.4,2284000,0.0,0
2010-04-05,16.45,16.56,16.42,16.54,2233700,0.0,0
2010-04-06,16.47,16.47,16.27,16.43,2439700,0.0,0
2010-04-07,16.5,16.51,16.29,16.37,2821300,0.0,0
2010-04-08,16.34,16.38,16.13,16.34,2377600,0.0,0
2010-04-09,16.31,16.47,16.22,16.46,2362300,0.0,0
