Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,21.28,21.72,21.23,21.43,7266000,0.0,0.0
2009-12-08,21.3,21.45,21.02,21.38,8015400,0.0,0.0
2009-12-09,21.31,21.42,21.09,21.35,5869200,0.0,0.0
2009-12-10,21.42,21.53,21.3,21.46,5096400,0.0,0.0
2009-12-11,21.5,21.54,21.07,21.13,5595800,0.0,0.0
2009-12-14,21.18,21.36,21.01,21.24,5566200,0.0,0.0
2009-12-15,21.25,21.27,20.86,20.88,9067000,0.0,0.0
2009-12-16,20.93,21.43,20.87,21.28,7100600,0.0,0.0
2009-12-17,21.17,21.24,20.99,21.14,5385400,0.0,0.0
2009-12-18,21.18,21.53,21.0,21.52,8333400,0.0,0.0
2009-12-21,21.61,21.95,21.57,21.9,5366000,0.0,0.0
2009-12-22,21.99,22.25,21.88,22.16,3770400,0.0,0.0
2009-12-23,22.28,22.44,22.17,22.39,4348600,0.0,0.0
2009-12-24,22.45,22.46,22.28,22.38,1369600,0.0,0.0
2009-12-28,22.47,22.57,22.31,22.38,3634600,0.0,0.0
2009-12-29,22.38,22.38,22.01,22.06,3100600,0.0,0.0
2009-12-30,22.11,22.14,21.84,22.02,3861000,0.0,0.0
2009-12-31,22.09,22.22,21.93,21.95,2779000,0.0,0.0
2010-01-04,22.1,22.66,22.1,22.66,5765200,0.0,0.0
2010-01-05,22.67,23.07,22.4,22.92,8993400,0.0,0.0
2010-01-06,23.01,23.12,22.78,22.92,6270400,0.0,0.0
2010-01-07,22.91,22.99,21.99,22.05,8054600,0.0,0.0
2010-01-08,22.08,22.7,21.82,22.69,8536200,0.0,0.0
2010-01-11,22.83,22.84,22.17,22.5,7103800,0.0,0.0
2010-01-12,23.0,23.48,22.69,22.85,10575800,0.0,0.0
2010-01-13,23.0,23.7,22.92,23.62,8025800,0.0,0.0
2010-01-14,23.5,23.61,23.18,23.29,5474800,0.0,0.0
2010-01-15,23.23,23.51,23.03,23.2,6317800,0.0,0.0
2010-01-19,23.15,23.4,23.07,23.39,5786600,0.0,0.0
2010-01-20,23.21,23.3,22.65,22.83,6604400,0.0,0.0
2010-01-21,22.89,23.05,22.5,22.66,8963000,0.0,0.0
2010-01-22,22.65,22.8,21.75,21.87,11094000,0.0,0.0
2010-01-25,21.98,22.1,21.7,21.92,7615200,0.0,0.0
