Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-24,29.47,31.7,28.23,28.72,44000,0.0,0
2019-05-28,28.97,30.21,28.24,28.49,61500,0.0,0
2019-05-29,29.62,29.62,27.4,28.23,207800,0.0,0
2019-05-30,28.71,28.88,27.95,28.53,666000,0.0,0
2019-05-31,28.23,28.32,26.71,26.71,853800,0.0,0
2019-06-03,26.29,26.74,24.14,24.57,19259600,0.0,0
2019-06-04,24.12,27.67,24.12,27.49,20135100,0.0,0
2019-06-05,27.28,27.95,26.21,27.74,10740200,0.0,0
2019-06-06,27.43,27.43,25.98,26.64,13986100,0.0,0
2019-06-07,25.92,26.67,25.47,26.06,10049100,0.0,0
2019-06-10,25.82,26.49,24.88,25.07,10247200,0.0,0
2019-06-11,24.77,25.12,24.3,24.71,11641200,0.0,0
2019-06-12,24.87,25.21,24.25,24.83,13392000,0.0,0
2019-06-13,24.82,24.95,24.46,24.73,9710800,0.0,0
2019-06-14,24.52,25.0,24.32,24.95,7036800,0.0,0
2019-06-17,25.29,26.64,25.21,25.7,13710100,0.0,0
2019-06-18,25.78,27.31,25.5,27.04,14485400,0.0,0
2019-06-19,27.22,27.22,26.61,26.89,10228800,0.0,0
2019-06-20,27.11,27.34,26.17,26.9,7728000,0.0,0
2019-06-21,26.61,27.45,26.61,26.95,12548900,0.0,0
2019-06-24,26.88,28.18,26.8,27.74,6494900,0.0,0
2019-06-25,27.75,27.82,27.22,27.41,6698600,0.0,0
2019-06-26,27.66,29.1,27.58,28.98,6735100,0.0,0
2019-06-27,29.1,30.04,28.98,29.29,5879600,0.0,0
2019-06-28,29.32,29.47,28.98,29.29,15517800,0.0,0
2019-07-01,29.3,30.46,28.67,29.4,5272900,0.0,0
2019-07-02,29.22,29.32,27.87,28.71,5438300,0.0,0
2019-07-03,28.51,28.62,27.93,28.53,2234900,0.0,0
2019-07-05,28.18,29.04,27.99,28.37,2888200,0.0,0
2019-07-08,28.12,28.12,27.38,27.51,3478600,0.0,0
2019-07-09,27.21,27.51,26.57,26.73,5285700,0.0,0
2019-07-10,26.55,26.74,26.19,26.25,5133700,0.0,0
2019-07-11,26.3,26.54,25.71,26.18,6066200,0.0,0
2019-07-12,26.17,27.47,26.01,27.34,5154500,0.0,0
2019-07-15,27.15,28.0,27.14,27.81,3443100,0.0,0
2019-07-16,27.66,28.23,27.45,27.59,3735900,0.0,0
2019-07-17,27.34,27.45,26.59,26.62,3999300,0.0,0
2019-07-18,26.33,26.72,26.16,26.4,3009800,0.0,0
2019-07-19,26.54,27.22,26.39,27.13,4694800,0.0,0
2019-07-22,27.08,27.58,26.95,27.5,2546100,0.0,0
2019-07-23,27.39,28.21,27.19,27.85,2921400,0.0,0
2019-07-24,27.51,28.25,27.37,28.05,2311800,0.0,0
2019-07-25,27.83,28.13,27.49,27.75,3532200,0.0,0
2019-07-26,27.46,28.25,27.39,28.21,3052700,0.0,0
2019-07-29,28.09,28.67,28.05,28.51,6245200,0.0,0
2019-07-30,27.86,29.14,27.66,28.98,7142300,0.13,0
2019-07-31,28.95,30.0,28.57,29.35,7662000,0.0,0
2019-08-01,29.35,32.62,29.16,31.09,11564200,0.0,0
2019-08-02,30.78,31.38,30.7,31.3,7305800,0.0,0
2019-08-05,30.48,30.81,29.49,29.75,5552500,0.0,0
2019-08-06,29.91,30.07,29.32,29.9,5355900,0.0,0
2019-08-07,29.43,30.68,29.28,30.49,4925200,0.0,0
2019-08-08,30.56,31.63,30.52,31.45,3962600,0.0,0
2019-08-09,31.78,31.84,31.06,31.47,4753200,0.0,0
2019-08-12,31.33,31.67,29.36,29.48,7112500,0.0,0
2019-08-13,29.18,30.0,29.04,29.45,6855400,0.0,0
2019-08-14,28.97,29.21,28.14,28.2,4580100,0.0,0
2019-08-15,28.78,29.08,27.79,28.28,3561600,0.0,0
2019-08-16,28.55,30.16,28.42,30.09,4285100,0.0,0
2019-08-19,30.6,30.69,30.1,30.42,4207300,0.0,0
2019-08-20,30.47,30.53,29.94,30.11,3073700,0.0,0
2019-08-21,30.15,30.82,30.13,30.43,2815400,0.0,0
2019-08-22,30.63,30.79,30.06,30.14,3351400,0.0,0
2019-08-23,29.65,30.01,28.67,28.9,3911600,0.0,0
2019-08-26,29.2,29.33,28.53,28.87,3479800,0.0,0
2019-08-27,29.0,29.28,28.39,28.59,3528400,0.0,0
2019-08-28,28.34,29.38,28.17,29.02,5091800,0.0,0
2019-08-29,29.4,30.08,29.37,29.56,3135600,0.0,0
2019-08-30,29.85,29.88,29.11,29.17,5220200,0.0,0
2019-09-03,28.84,28.95,27.86,28.09,3279100,0.0,0
2019-09-04,28.48,28.7,28.03,28.29,2962100,0.0,0
2019-09-05,28.6,28.84,27.81,28.32,4972700,0.0,0
2019-09-06,28.31,28.67,27.75,28.25,5140000,0.0,0
2019-09-09,28.21,28.68,27.88,28.61,4661000,0.0,0
2019-09-10,28.56,28.98,28.0,28.42,3682900,0.0,0
2019-09-11,28.36,29.15,27.97,29.12,3033600,0.0,0
2019-09-12,29.35,29.94,28.75,29.75,7967600,0.0,0
2019-09-13,29.89,30.2,29.75,29.97,4919600,0.0,0
2019-09-16,29.9,29.91,28.7,29.25,3300700,0.0,0
2019-09-17,29.17,29.32,28.81,28.83,4118200,0.0,0
2019-09-18,28.61,29.31,28.61,29.0,3606000,0.0,0
2019-09-19,29.11,29.56,28.91,28.99,3222400,0.0,0
2019-09-20,29.2,29.42,28.71,28.77,6865000,0.0,0
2019-09-23,28.5,28.85,28.3,28.73,3314300,0.0,0
2019-09-24,28.57,28.84,27.82,28.1,2840500,0.0,0
2019-09-25,28.08,28.36,27.63,28.06,3154200,0.0,0
2019-09-26,27.97,28.06,27.35,27.5,3532100,0.0,0
2019-09-27,27.41,28.09,27.17,27.66,4534900,0.0,0
2019-09-30,27.76,28.21,27.62,27.86,6245000,0.0,0
2019-10-01,27.89,28.24,27.09,27.41,5843200,0.0,0
2019-10-02,27.01,27.53,26.49,26.8,5181600,0.0,0
2019-10-03,26.77,27.02,26.38,26.74,3622400,0.0,0
2019-10-04,26.86,26.9,25.67,25.76,4851400,0.0,0
2019-10-07,25.87,26.34,25.6,25.87,5474100,0.0,0
2019-10-08,25.51,26.3,25.46,26.09,6214200,0.0,0
2019-10-09,26.66,26.7,25.61,26.04,3916700,0.0,0
2019-10-10,26.04,26.59,25.58,25.6,3003300,0.0,0
2019-10-11,25.97,26.98,25.86,26.53,4555600,0.0,0
2019-10-14,26.27,26.64,26.07,26.2,3064900,0.0,0
2019-10-15,26.09,26.95,25.93,26.57,3826500,0.0,0
2019-10-16,26.22,27.09,26.16,26.74,3023500,0.0,0
2019-10-17,26.91,27.07,26.53,26.64,2196500,0.0,0
2019-10-18,26.47,26.51,25.51,25.91,4332300,0.0,0
2019-10-21,26.16,26.45,25.3,25.37,3318300,0.0,0
2019-10-22,25.38,25.92,25.1,25.85,4166600,0.0,0
2019-10-23,25.76,25.89,25.09,25.48,4140000,0.0,0
2019-10-24,25.5,26.42,25.37,26.24,5359700,0.0,0
2019-10-25,26.24,26.82,26.11,26.6,2676900,0.0,0
2019-10-28,26.66,27.0,26.47,26.64,2943500,0.0,0
2019-10-29,26.38,27.1,26.29,26.65,2837000,0.0,0
