Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,30.71,30.96,30.54,30.62,1707600,0.0,0.0
2009-12-08,30.34,30.39,29.84,30.04,2144200,0.0,0.0
2009-12-09,29.9,30.31,29.55,30.2,2202400,0.0,0.0
2009-12-10,30.25,30.65,30.18,30.42,2040100,0.0,0.0
2009-12-11,30.49,30.62,29.85,30.06,2192800,0.0,0.0
2009-12-14,30.15,30.45,29.92,30.39,2052600,0.0,0.0
2009-12-15,30.22,30.63,30.04,30.42,1798100,0.0,0.0
2009-12-16,30.64,31.13,30.56,31.09,3225500,0.0,0.0
2009-12-17,31.01,31.05,30.43,30.5,1974100,0.0,0.0
2009-12-18,30.1,31.0,29.92,30.97,4460000,0.0,0.0
2009-12-21,30.99,31.64,30.99,31.6,2946800,0.0,0.0
2009-12-22,31.67,32.26,31.6,32.18,2054800,0.0,0.0
2009-12-23,32.39,33.24,32.23,33.03,3383200,0.0,0.0
2009-12-24,32.99,33.13,32.75,33.1,803000,0.0,0.0
2009-12-28,33.14,33.37,33.02,33.23,1863300,0.0,0.0
2009-12-29,33.24,33.32,33.05,33.14,941900,0.0,0.0
2009-12-30,33.24,33.42,32.92,33.12,1251200,0.0,0.0
2009-12-31,33.13,33.17,32.59,32.67,1391400,0.0,0.0
2010-01-04,33.01,33.66,32.91,33.64,2110600,0.0,0.0
2010-01-05,33.59,33.7,33.34,33.66,2699500,0.0,0.0
2010-01-06,33.55,34.02,33.42,33.53,3825700,0.0,0.0
2010-01-07,33.5,33.79,33.21,33.5,3150100,0.0,0.0
2010-01-08,33.67,34.5,33.41,34.41,4004100,0.0,0.0
2010-01-11,34.43,34.49,33.35,33.36,3842200,0.0,0.0
2010-01-12,33.19,33.26,32.53,32.98,3498100,0.0,0.0
2010-01-13,33.49,33.72,33.07,33.36,4071600,0.0,0.0
2010-01-14,33.28,33.9,33.16,33.82,2271100,0.0,0.0
2010-01-15,33.85,34.16,33.33,33.94,3740600,0.0,0.0
2010-01-19,33.81,34.55,33.71,34.49,2524700,0.0,0.0
2010-01-20,33.94,33.98,32.85,33.69,2928600,0.0,0.0
2010-01-21,33.69,34.56,33.28,33.61,3285900,0.0,0.0
2010-01-22,33.48,33.59,32.51,32.51,4394700,0.0,0.0
2010-01-25,32.74,32.74,32.15,32.31,3296400,0.0,0.0
2010-01-26,33.4,33.76,32.73,33.04,7996100,0.0,0.0
2010-01-27,32.97,33.17,32.42,32.96,5347400,0.0,0.0
2010-01-28,31.78,34.53,31.78,33.54,8863800,0.0,0.0
2010-01-29,33.24,33.28,32.21,32.62,7874800,0.0,0.0
2010-02-01,32.77,33.25,32.7,33.22,5646000,0.0,0.0
2010-02-02,32.99,33.37,32.7,33.25,3293000,0.0,0.0
2010-02-03,32.86,33.5,32.77,33.34,4769000,0.0,0.0
2010-02-04,32.99,33.08,32.48,32.49,4382200,0.0,0.0
2010-02-05,32.46,32.81,31.93,32.81,5166400,0.0,0.0
2010-02-08,32.86,33.45,32.46,33.06,4136600,0.0,0.0
2010-02-09,33.32,34.08,33.12,33.91,5564500,0.0,0.0
2010-02-10,33.86,34.11,33.54,33.68,5705600,0.0,0.0
2010-02-11,33.61,33.89,33.34,33.82,4415000,0.0,0.0
2010-02-12,33.3,34.04,33.24,33.89,3573600,0.0,0.0
2010-02-16,34.05,34.25,33.8,34.25,2370900,0.0,0.0
2010-02-17,33.94,34.52,33.9,34.46,4459300,0.0,0.0
2010-02-18,34.45,35.56,34.4,35.46,6721600,0.0,0.0
2010-02-19,35.47,35.8,35.04,35.13,8353300,0.0,0.0
2010-02-22,35.1,35.24,34.54,34.63,4522600,0.0,0.0
2010-02-23,34.66,34.83,34.27,34.48,5163700,0.0,0.0
2010-02-24,34.66,34.91,34.19,34.35,6120100,0.0,0.0
2010-02-25,33.92,33.92,32.19,33.62,8371600,0.0,0.0
2010-02-26,33.62,33.86,33.45,33.77,6079400,0.0,0.0
2010-03-01,33.85,34.46,33.78,34.35,4077900,0.0,0.0
2010-03-02,34.35,34.52,33.92,34.01,4124600,0.0,0.0
2010-03-03,34.16,34.71,34.05,34.44,4578300,0.0,0.0
2010-03-04,34.44,34.6,34.22,34.54,3375800,0.0,0.0
2010-03-05,34.58,35.33,34.58,35.03,5115600,0.0,0.0
2010-03-08,35.17,35.81,35.11,35.33,5530400,0.0,0.0
2010-03-09,35.36,36.17,35.33,36.1,5737700,0.0,0.0
2010-03-10,36.18,37.06,36.13,36.61,5321300,0.0,0.0
2010-03-11,36.35,37.11,36.21,37.11,4550300,0.0,0.0
2010-03-12,36.76,37.9,36.65,37.75,7957200,0.0,0.0
2010-03-15,37.76,38.58,37.7,38.47,8538100,0.0,0.0
2010-03-16,38.52,38.58,38.04,38.43,5987500,0.0,0.0
2010-03-17,37.59,37.91,36.88,37.24,18308500,0.0,0.0
2010-03-18,37.16,38.07,37.16,37.74,8333200,0.0,0.0
2010-03-19,37.97,38.36,37.58,37.96,9478000,0.0,0.0
2010-03-22,37.75,38.27,37.75,37.84,3539400,0.0,0.0
2010-03-23,37.83,38.05,37.25,37.69,4479500,0.0,0.0
2010-03-24,37.66,38.19,37.52,38.11,3538800,0.0,0.0
2010-03-25,38.25,38.43,37.67,37.72,4671000,0.0,0.0
2010-03-26,37.76,38.03,37.54,37.76,3581700,0.0,0.0
2010-03-29,37.78,37.91,37.48,37.67,2696800,0.0,0.0
2010-03-30,37.63,37.78,37.27,37.68,2921200,0.0,0.0
2010-03-31,37.48,37.89,37.17,37.27,5373000,0.0,0.0
2010-04-01,37.45,37.63,36.38,36.83,5103300,0.0,0.0
2010-04-05,36.83,37.37,36.75,37.16,3302700,0.0,0.0
2010-04-06,37.11,37.29,36.75,37.1,2615500,0.0,0.0
2010-04-07,37.11,37.31,36.86,37.07,2971800,0.0,0.0
2010-04-08,37.1,37.1,36.39,36.92,3094000,0.0,0.0
2010-04-09,37.03,37.92,37.01,37.89,2640600,0.0,0.0
2010-04-12,37.89,38.36,37.72,38.29,3239800,0.0,0.0
2010-04-13,38.24,38.33,37.63,37.74,3353900,0.0,0.0
2010-04-14,37.67,37.91,37.38,37.73,3405400,0.0,0.0
2010-04-15,37.72,38.25,37.47,38.18,4014500,0.0,0.0
2010-04-16,38.15,38.4,37.85,38.06,4087500,0.0,0.0
2010-04-19,37.81,38.07,37.33,37.47,4334200,0.0,0.0
2010-04-20,37.5,38.93,37.36,38.82,5091200,0.0,0.0
2010-04-21,38.63,39.24,38.54,39.13,5358100,0.0,0.0
2010-04-22,37.59,38.06,36.5,37.92,11663800,0.0,0.0
2010-04-23,37.89,38.44,37.61,38.04,5979600,0.0,0.0
2010-04-26,37.85,38.54,37.7,38.38,2865200,0.0,0.0
2010-04-27,38.17,38.46,37.23,37.3,4690200,0.0,0.0
2010-04-28,37.48,37.52,37.02,37.48,6541400,0.0,0.0
2010-04-29,37.55,37.55,36.94,37.52,4756700,0.0,0.0
2010-04-30,37.52,37.52,36.71,36.93,3742100,0.0,0.0
2010-05-03,36.9,37.71,36.84,37.61,3761100,0.0,0.0
2010-05-04,37.3,37.3,36.29,36.72,3433600,0.0,0.0
2010-05-05,36.61,37.01,35.98,36.11,5277600,0.0,0.0
2010-05-06,36.02,36.37,33.18,34.9,6422500,0.0,0.0
2010-05-07,34.68,35.21,33.46,34.25,5768100,0.0,0.0
2010-05-10,36.07,36.9,35.75,36.87,6159300,0.0,0.0
2010-05-11,36.67,36.9,36.31,36.63,4484000,0.0,0.0
2010-05-12,36.57,37.42,36.45,37.41,4223200,0.0,0.0
2010-05-13,37.51,38.21,37.3,37.71,7692500,0.0,0.0
2010-05-14,37.45,37.48,36.12,36.52,4670100,0.0,0.0
2010-05-17,36.64,36.9,35.66,36.35,4087000,0.0,0.0
2010-05-18,36.5,36.72,35.26,35.55,4556900,0.0,0.0
2010-05-19,35.35,35.8,34.85,35.14,5294300,0.0,0.0
2010-05-20,34.83,35.28,34.35,34.55,5062500,0.0,0.0
2010-05-21,33.84,35.36,33.79,35.07,3877500,0.0,0.0
2010-05-24,34.81,35.22,34.6,34.65,2534200,0.0,0.0
2010-05-25,33.87,34.1,33.3,33.89,5406800,0.0,0.0
2010-05-26,34.04,34.7,33.49,33.64,5498000,0.0,0.0
2010-05-27,34.34,34.67,34.12,34.59,5898600,0.0,0.0
2010-05-28,34.45,34.71,34.12,34.24,4837900,0.0,0.0
2010-06-01,34.03,34.55,33.83,33.89,2789500,0.0,0.0
2010-06-02,33.79,34.87,33.48,34.87,4518900,0.0,0.0
2010-06-03,34.76,35.36,34.74,35.22,4095600,0.0,0.0
2010-06-04,34.64,35.17,33.9,34.0,4531500,0.0,0.0
2010-06-07,33.86,34.49,33.4,33.46,3567800,0.0,0.0
2010-06-08,33.27,33.27,31.67,32.92,10235100,0.0,0.0
2010-06-09,33.1,34.08,32.92,33.51,6102600,0.0,0.0
2010-06-10,34.05,34.4,33.75,34.38,3501600,0.0,0.0
2010-06-11,33.9,34.52,33.76,34.52,2877600,0.0,0.0
2010-06-14,34.76,35.14,34.4,34.45,3265200,0.0,0.0
2010-06-15,34.7,35.42,34.64,35.35,3263000,0.0,0.0
2010-06-16,35.24,35.56,34.97,35.4,2179800,0.0,0.0
2010-06-17,35.41,36.09,35.36,35.91,5536900,0.0,0.0
2010-06-18,35.84,36.38,35.79,36.19,4527200,0.0,0.0
2010-06-21,36.61,36.9,36.1,36.28,3650900,0.0,0.0
2010-06-22,36.43,36.79,35.66,35.74,3476300,0.0,0.0
2010-06-23,35.81,36.17,35.3,35.74,2695100,0.0,0.0
2010-06-24,35.59,35.72,34.73,34.83,4116600,0.0,0.0
2010-06-25,35.11,35.52,34.78,35.43,3447200,0.0,0.0
2010-06-28,35.51,35.51,34.99,35.04,2245200,0.0,0.0
2010-06-29,34.7,34.7,33.43,33.65,3513200,0.0,0.0
2010-06-30,33.73,34.05,33.1,33.16,2605100,0.0,0.0
2010-07-01,33.22,33.76,32.84,33.6,4657600,0.0,0.0
2010-07-02,32.99,33.78,32.68,33.06,3080400,0.0,0.0
2010-07-06,33.73,34.71,33.44,33.89,4931600,0.0,0.0
2010-07-07,33.87,34.95,33.87,34.93,3965300,0.0,0.0
2010-07-08,35.25,35.69,34.8,35.1,4584600,0.0,0.0
2010-07-09,35.18,35.39,34.85,35.04,3342000,0.0,0.0
2010-07-12,34.98,35.48,34.74,35.36,3395300,0.0,0.0
2010-07-13,35.8,36.86,35.49,35.87,6119500,0.0,0.0
2010-07-14,36.14,36.48,35.95,36.1,4562600,0.0,0.0
2010-07-15,36.15,37.25,36.15,36.61,5936400,0.0,0.0
2010-07-16,36.61,36.62,35.5,35.62,3260300,0.0,0.0
2010-07-19,35.57,36.56,35.57,36.35,3432200,0.0,0.0
2010-07-20,36.02,36.64,35.47,36.53,3440300,0.0,0.0
2010-07-21,36.69,36.7,35.33,35.34,3594000,0.0,0.0
2010-07-22,35.8,36.75,35.45,36.61,4949700,0.0,0.0
2010-07-23,36.45,37.57,36.41,37.57,3468200,0.0,0.0
2010-07-26,37.62,37.89,37.5,37.61,2623700,0.0,0.0
2010-07-27,37.69,38.16,37.26,37.7,5418200,0.0,0.0
2010-07-28,37.69,38.0,37.03,37.16,4342000,0.0,0.0
2010-07-29,41.61,45.31,41.42,44.5,18603200,0.0,0.0
2010-07-30,42.8,43.89,42.49,43.2,10231300,0.0,0.0
2010-08-02,43.84,44.54,43.64,43.84,4303500,0.0,0.0
2010-08-03,43.67,44.98,43.36,44.39,4984800,0.0,0.0
2010-08-04,44.39,45.76,44.36,45.54,4901700,0.0,0.0
2010-08-05,45.34,45.4,44.96,45.28,2893400,0.0,0.0
2010-08-06,44.74,45.85,44.47,45.79,5044900,0.0,0.0
2010-08-09,45.45,46.36,45.45,45.81,2873200,0.0,0.0
2010-08-10,45.38,45.74,44.81,45.45,2976200,0.0,0.0
2010-08-11,44.74,44.75,43.67,43.84,3770200,0.0,0.0
2010-08-12,42.88,44.31,42.09,44.14,4805900,0.0,0.0
2010-08-13,43.79,45.07,43.79,44.57,4456000,0.0,0.0
2010-08-16,44.1,45.29,43.81,44.75,3122700,0.0,0.0
2010-08-17,45.18,46.26,44.88,45.96,4911500,0.0,0.0
2010-08-18,45.98,46.44,44.79,46.11,4679100,0.0,0.0
2010-08-19,46.17,46.63,45.46,45.49,5837400,0.0,0.0
2010-08-20,45.53,46.74,45.34,46.49,3615400,0.0,0.0
2010-08-23,46.73,47.65,45.73,45.78,3862700,0.0,0.0
2010-08-24,45.42,46.15,44.92,45.88,4022500,0.0,0.0
2010-08-25,45.72,46.18,45.2,45.45,3345000,0.0,0.0
2010-08-26,45.99,46.29,45.56,45.7,3628300,0.0,0.0
2010-08-27,45.81,46.18,45.0,46.07,3314000,0.0,0.0
2010-08-30,45.88,46.47,45.59,45.59,2693400,0.0,0.0
2010-08-31,45.6,45.93,45.06,45.49,3149000,0.0,0.0
2010-09-01,46.29,47.58,46.15,47.41,5061600,0.0,0.0
2010-09-02,47.62,48.35,47.51,48.3,3092500,0.0,0.0
2010-09-03,48.68,49.36,48.57,48.63,3586400,0.0,0.0
2010-09-07,48.57,48.89,48.08,48.41,2456400,0.0,0.0
2010-09-08,48.67,50.17,48.5,49.88,5903700,0.0,0.0
2010-09-09,50.08,50.12,48.93,49.3,3961400,0.0,0.0
2010-09-10,49.53,50.44,49.22,50.01,4003700,0.0,0.0
2010-09-13,50.27,51.72,50.26,51.57,4773500,0.0,0.0
2010-09-14,51.37,53.61,51.3,52.92,7341000,0.0,0.0
2010-09-15,52.84,53.04,52.2,52.58,3173900,0.0,0.0
2010-09-16,52.31,53.0,52.01,52.63,3194800,0.0,0.0
2010-09-17,52.74,53.97,52.6,53.56,4176000,0.0,0.0
2010-09-20,53.93,55.14,53.64,55.03,2699500,0.0,0.0
2010-09-21,55.33,55.35,53.72,54.34,3380200,0.0,0.0
