Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,40.27,41.42,40.17,41.02,447700,0.0,0
2009-12-08,41.76,42.03,40.42,40.56,1024900,0.0,0
2009-12-09,40.88,41.35,40.11,40.62,800700,0.0,0
2009-12-10,41.06,41.49,40.65,41.24,698500,0.0,0
2009-12-11,41.53,41.79,40.76,41.02,670500,0.0,0
2009-12-14,42.25,43.35,42.21,42.9,485500,0.0,0
2009-12-15,42.38,44.14,42.19,43.94,765200,0.0,0
2009-12-16,44.47,44.82,43.76,44.13,442400,0.0,0
2009-12-17,44.07,44.82,43.63,44.28,623600,0.0,0
2009-12-18,44.87,45.07,44.38,44.86,623000,0.0,0
2009-12-21,45.34,45.54,44.39,44.83,481700,0.0,0
2009-12-22,44.82,45.29,44.08,44.7,488600,0.0,0
2009-12-23,45.22,45.75,44.55,45.6,382900,0.0,0
2009-12-24,45.87,46.03,45.31,45.9,169700,0.0,0
2009-12-28,46.24,46.73,45.37,45.68,439700,0.0,0
2009-12-29,45.71,46.13,45.4,45.45,194800,0.0,0
2009-12-30,45.41,45.62,44.68,44.72,176500,0.0,0
2009-12-31,44.99,45.32,44.58,44.64,191400,0.0,0
2010-01-04,45.48,47.11,45.48,47.11,302500,0.0,0
2010-01-05,45.64,46.39,44.4,45.46,1200700,0.0,0
2010-01-06,45.51,45.74,44.94,45.66,673400,0.0,0
2010-01-07,45.67,45.87,44.62,45.77,502500,0.0,0
2010-01-08,45.77,47.27,45.13,46.72,1289500,0.0,0
2010-01-11,47.1,47.36,46.12,46.47,799600,0.0,0
2010-01-12,45.73,45.83,44.32,44.7,511100,0.0,0
2010-01-13,44.5,44.69,43.41,44.11,867000,0.0,0
2010-01-14,43.96,44.66,43.5,44.11,594200,0.0,0
2010-01-15,44.09,44.11,43.26,43.8,710200,0.0,0
2010-01-19,43.84,44.94,43.82,44.65,583300,0.0,0
2010-01-20,44.09,44.41,43.75,44.14,399400,0.0,0
2010-01-21,44.41,44.92,43.6,43.61,572600,0.0,0
2010-01-22,43.16,43.72,42.35,43.0,793700,0.0,0
2010-01-25,43.75,44.3,43.26,43.82,606500,0.0,0
2010-01-26,42.4,43.47,42.37,42.61,1160400,0.0,0
2010-01-27,43.49,44.96,43.39,44.74,6033200,0.0,0
