Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,31.99,32.66,31.69,32.15,6535700,0.0,0.0
2009-12-08,31.84,32.07,31.38,31.6,5898300,0.0,0.0
2009-12-09,31.79,31.79,30.91,31.41,6011500,0.0,0.0
2009-12-10,31.8,31.8,30.4,30.6,9175700,0.0,0.0
2009-12-11,30.82,31.0,29.91,30.58,9518200,0.0,0.0
2009-12-14,30.87,31.61,30.67,31.54,6335900,0.0,0.0
2009-12-15,31.33,31.45,30.46,30.71,5210000,0.0,0.0
2009-12-16,30.93,31.68,30.86,31.3,5273600,0.0,0.0
2009-12-17,30.97,31.08,30.38,30.38,5715600,0.0,0.0
2009-12-18,30.59,30.63,29.96,30.08,9166200,0.0,0.0
2009-12-21,30.5,30.94,30.34,30.69,6048000,0.0,0.0
2009-12-22,30.86,30.97,30.59,30.95,4696200,0.0,0.0
2009-12-23,31.05,31.99,30.92,31.95,5746900,0.0,0.0
2009-12-24,31.95,32.64,31.91,32.14,2085000,0.0,0.0
2009-12-28,32.24,32.74,32.24,32.71,5619800,0.0,0.0
2009-12-29,32.92,33.26,32.62,32.98,5001700,0.15,0.0
2009-12-30,32.5,32.89,32.41,32.58,3353200,0.0,0.0
2009-12-31,32.62,32.66,31.82,31.82,2960600,0.0,0.0
2010-01-04,32.47,33.61,32.01,33.6,11897200,0.0,0.0
2010-01-05,33.4,35.16,33.4,35.1,13197600,0.0,0.0
2010-01-06,35.68,36.46,35.45,35.72,15435700,0.0,0.0
2010-01-07,35.71,36.04,35.32,35.75,7254800,0.0,0.0
2010-01-08,35.42,36.09,35.01,35.87,5432600,0.0,0.0
2010-01-11,36.44,36.44,35.1,35.42,7205100,0.0,0.0
2010-01-12,35.01,35.8,34.77,35.54,7219100,0.0,0.0
2010-01-13,35.5,35.89,34.71,35.41,4414000,0.0,0.0
2010-01-14,35.17,35.51,34.94,35.16,3733600,0.0,0.0
2010-01-15,35.17,35.17,34.26,34.54,6774900,0.0,0.0
2010-01-19,34.23,35.38,34.23,35.33,4273900,0.0,0.0
2010-01-20,35.19,35.2,34.33,34.96,5998400,0.0,0.0
2010-01-21,34.86,35.01,32.97,33.02,9931600,0.0,0.0
2010-01-22,32.8,33.29,31.94,31.97,7956600,0.0,0.0
2010-01-25,32.46,33.02,32.36,32.72,5777500,0.0,0.0
2010-01-26,32.37,33.11,32.13,32.35,5329100,0.0,0.0
2010-01-27,32.38,32.59,31.68,32.52,6918700,0.0,0.0
2010-01-28,32.72,32.77,31.14,31.52,6652200,0.0,0.0
2010-01-29,31.9,32.73,31.2,31.2,8916200,0.0,0.0
2010-02-01,31.69,33.0,31.55,32.97,9631800,0.0,0.0
2010-02-02,32.14,32.68,30.79,31.75,19673100,0.0,0.0
2010-02-03,31.9,32.34,31.17,31.76,9518400,0.0,0.0
2010-02-04,31.27,31.47,30.44,30.64,10375800,0.0,0.0
2010-02-05,30.41,31.09,29.45,30.54,15368300,0.0,0.0
2010-02-08,30.54,31.0,29.78,30.15,10514400,0.0,0.0
2010-02-09,30.56,32.24,30.41,32.0,14286700,0.0,0.0
2010-02-10,31.74,32.04,31.18,31.68,7914900,0.0,0.0
2010-02-11,31.6,32.21,31.14,32.08,6596300,0.0,0.0
2010-02-12,31.54,32.39,31.15,32.0,7033500,0.0,0.0
2010-02-16,32.28,32.82,32.08,32.8,6060800,0.0,0.0
2010-02-17,32.8,33.32,32.61,33.1,6035600,0.0,0.0
2010-02-18,33.1,34.11,32.97,34.02,7224000,0.0,0.0
2010-02-19,33.75,34.09,33.4,33.66,7147900,0.0,0.0
2010-02-22,33.86,34.1,33.41,33.81,4995400,0.0,0.0
2010-02-23,33.59,33.86,32.94,33.26,6042200,0.0,0.0
2010-02-24,33.42,33.68,32.98,33.4,6359500,0.0,0.0
2010-02-25,32.5,32.74,32.11,32.61,7994000,0.0,0.0
2010-02-26,32.68,33.11,32.46,32.6,5483400,0.0,0.0
2010-03-01,32.74,33.17,32.62,33.04,6419100,0.0,0.0
2010-03-02,33.48,33.66,33.18,33.26,7377000,0.0,0.0
2010-03-03,33.41,34.52,33.23,34.1,8362900,0.0,0.0
2010-03-04,34.21,34.51,33.81,34.04,6447800,0.0,0.0
2010-03-05,34.24,34.94,34.21,34.55,6929000,0.0,0.0
2010-03-08,34.49,34.65,33.9,33.97,4969900,0.0,0.0
2010-03-09,33.85,34.09,33.49,33.65,5957700,0.0,0.0
2010-03-10,33.63,34.03,33.28,33.46,5914200,0.0,0.0
2010-03-11,33.33,33.86,32.95,33.86,5343000,0.0,0.0
2010-03-12,34.18,34.8,34.01,34.36,6436000,0.0,0.0
2010-03-15,34.25,34.57,34.06,34.55,6333000,0.0,0.0
2010-03-16,34.63,35.2,34.44,35.05,7538700,0.0,0.0
2010-03-17,35.13,35.26,34.89,35.04,6966200,0.0,0.0
2010-03-18,35.05,35.23,34.39,34.55,7060800,0.0,0.0
2010-03-19,33.34,34.78,33.34,33.34,11351700,0.0,0.0
2010-03-22,32.92,34.24,32.7,34.08,7668200,0.0,0.0
2010-03-23,34.11,34.52,33.68,34.51,7832500,0.0,0.0
2010-03-24,34.19,35.28,34.09,34.96,8795600,0.0,0.0
2010-03-25,35.02,35.42,34.34,34.41,9574100,0.0,0.0
2010-03-26,34.37,35.15,34.16,34.62,6369500,0.0,0.0
2010-03-29,34.7,34.91,33.83,34.11,7286300,0.15,0.0
2010-03-30,34.09,34.76,33.96,34.39,4054600,0.0,0.0
2010-03-31,34.25,34.6,34.01,34.17,4879200,0.0,0.0
2010-04-01,34.54,35.17,34.45,35.03,6988500,0.0,0.0
2010-04-05,34.99,35.93,34.96,35.81,5793300,0.0,0.0
2010-04-06,35.57,36.36,35.43,36.01,6906300,0.0,0.0
2010-04-07,35.79,36.08,35.34,35.58,5705400,0.0,0.0
2010-04-08,35.27,35.67,35.02,35.51,5040500,0.0,0.0
2010-04-09,35.5,35.71,35.32,35.57,3993900,0.0,0.0
2010-04-12,35.48,35.92,35.34,35.52,3940000,0.0,0.0
2010-04-13,35.32,35.48,34.95,35.36,5061200,0.0,0.0
2010-04-14,35.51,36.06,35.43,36.06,5179800,0.0,0.0
2010-04-15,36.03,36.44,35.71,36.19,5913200,0.0,0.0
2010-04-16,36.03,36.26,35.15,35.29,7483400,0.0,0.0
2010-04-19,35.12,35.58,34.67,35.56,5161500,0.0,0.0
2010-04-20,35.57,35.71,34.89,35.09,8128700,0.0,0.0
2010-04-21,35.18,35.21,34.57,35.03,5681300,0.0,0.0
2010-04-22,34.62,35.09,33.83,34.99,7348000,0.0,0.0
2010-04-23,35.14,36.04,35.05,36.01,7731100,0.0,0.0
2010-04-26,36.11,36.52,35.97,36.21,5500100,0.0,0.0
2010-04-27,36.21,36.32,34.66,34.75,8997400,0.0,0.0
2010-04-28,35.85,36.93,35.51,36.78,11627500,0.0,0.0
2010-04-29,36.81,37.04,36.4,36.77,8809900,0.0,0.0
2010-04-30,36.97,37.03,35.55,35.63,9128700,0.0,0.0
2010-05-03,35.95,36.53,35.37,36.31,6472400,0.0,0.0
2010-05-04,35.59,35.67,33.28,33.87,15245700,0.0,0.0
2010-05-05,33.51,34.09,32.45,32.83,12066800,0.0,0.0
2010-05-06,32.47,33.06,27.04,30.83,21210900,0.0,0.0
2010-05-07,30.9,32.13,29.41,29.47,24313900,0.0,0.0
2010-05-10,31.25,32.08,30.98,31.71,16318100,0.0,0.0
2010-05-11,31.23,32.76,31.18,32.23,10812900,0.0,0.0
2010-05-12,32.47,33.37,32.2,33.32,9581200,0.0,0.0
2010-05-13,33.59,34.5,33.26,33.57,10742000,0.0,0.0
2010-05-14,32.87,32.94,31.29,31.6,11758100,0.0,0.0
2010-05-17,31.66,31.9,30.29,31.09,9326500,0.0,0.0
2010-05-18,31.51,32.35,30.65,30.89,7569600,0.0,0.0
2010-05-19,30.58,31.11,30.2,30.67,8753200,0.0,0.0
2010-05-20,29.68,30.62,29.2,29.7,19449400,0.0,0.0
2010-05-21,28.95,30.74,28.95,30.59,13710200,0.0,0.0
2010-05-24,30.3,30.59,29.79,29.88,9533800,0.0,0.0
2010-05-25,28.51,30.99,28.13,30.96,14990500,0.0,0.0
2010-05-26,31.35,31.53,30.54,30.65,10127900,0.0,0.0
2010-05-27,31.4,32.47,31.24,32.44,9549800,0.0,0.0
2010-05-28,32.2,32.32,30.91,31.1,9394400,0.0,0.0
2010-06-01,30.58,30.97,29.58,29.58,12139600,0.0,0.0
2010-06-02,30.08,30.61,29.86,30.58,8947000,0.0,0.0
2010-06-03,30.62,30.77,29.7,30.14,6300300,0.0,0.0
2010-06-04,29.39,29.93,28.6,28.71,15669400,0.0,0.0
2010-06-07,28.93,29.19,28.22,28.24,8507300,0.0,0.0
2010-06-08,28.26,29.08,27.84,29.06,10495100,0.0,0.0
2010-06-09,29.45,30.22,29.25,29.4,9703300,0.0,0.0
2010-06-10,30.05,30.52,29.73,30.5,7265400,0.0,0.0
2010-06-11,29.99,30.91,29.9,30.88,5360000,0.0,0.0
2010-06-14,31.25,31.31,29.84,29.93,8412000,0.0,0.0
2010-06-15,30.24,30.96,30.2,30.96,6682300,0.0,0.0
2010-06-16,30.59,31.08,30.4,30.88,4848100,0.0,0.0
2010-06-17,30.92,31.04,29.85,30.81,5746300,0.0,0.0
2010-06-18,30.9,31.23,30.81,31.2,6830300,0.0,0.0
2010-06-21,31.65,32.1,30.86,31.16,5822800,0.0,0.0
2010-06-22,31.12,31.53,30.23,30.32,5607100,0.0,0.0
2010-06-23,30.29,30.66,29.69,30.38,6623100,0.0,0.0
2010-06-24,30.05,30.22,29.15,29.23,7022100,0.0,0.0
2010-06-25,29.26,29.55,28.76,29.27,10183100,0.0,0.0
2010-06-28,29.56,29.8,29.03,29.62,6173900,0.15,0.0
2010-06-29,28.97,29.01,27.83,28.04,10965600,0.0,0.0
2010-06-30,27.9,28.83,27.46,27.53,8384600,0.0,0.0
2010-07-01,27.39,28.03,26.38,26.99,11773200,0.0,0.0
2010-07-02,27.06,27.19,26.02,26.66,7672900,0.0,0.0
2010-07-06,27.12,27.4,26.4,26.76,7160400,0.0,0.0
2010-07-07,26.73,28.19,26.73,28.19,7138200,0.0,0.0
2010-07-08,28.49,29.06,28.26,29.0,7452600,0.0,0.0
2010-07-09,29.06,30.13,29.03,30.11,8289500,0.0,0.0
2010-07-12,29.93,30.28,29.56,29.88,7421700,0.0,0.0
2010-07-13,30.37,31.33,30.18,31.0,7487700,0.0,0.0
2010-07-14,30.89,31.62,30.45,31.33,10250700,0.0,0.0
2010-07-15,31.4,31.55,30.38,30.9,9250000,0.0,0.0
2010-07-16,30.55,30.59,29.1,29.21,8892200,0.0,0.0
2010-07-19,29.29,29.48,28.78,29.16,5122200,0.0,0.0
2010-07-20,28.66,29.71,28.4,29.68,6036900,0.0,0.0
2010-07-21,30.04,30.13,29.27,29.62,7683200,0.0,0.0
2010-07-22,30.09,31.04,30.02,30.91,6977100,0.0,0.0
2010-07-23,30.76,31.32,30.65,31.25,5350200,0.0,0.0
2010-07-26,31.14,31.63,31.0,31.62,3933300,0.0,0.0
2010-07-27,32.43,32.82,31.54,31.74,8188200,0.0,0.0
2010-07-28,31.68,31.9,31.32,31.43,5227300,0.0,0.0
2010-07-29,31.7,32.11,30.95,31.65,6551800,0.0,0.0
2010-07-30,31.26,31.91,31.02,31.72,6483900,0.0,0.0
2010-08-02,32.42,33.07,32.26,32.88,7784100,0.0,0.0
2010-08-03,30.33,30.85,29.38,29.59,29894000,0.0,0.0
2010-08-04,29.65,29.91,28.69,28.77,19628300,0.0,0.0
2010-08-05,28.79,29.37,28.66,29.31,9282500,0.0,0.0
2010-08-06,29.16,29.77,28.97,29.52,7296700,0.0,0.0
2010-08-09,29.71,30.25,29.67,30.17,6734700,0.0,0.0
2010-08-10,29.65,30.44,29.65,30.16,7539400,0.0,0.0
2010-08-11,29.34,29.52,28.86,29.22,8376900,0.0,0.0
2010-08-12,28.45,29.1,28.25,28.99,7515300,0.0,0.0
2010-08-13,28.93,29.28,28.72,29.2,6175900,0.0,0.0
2010-08-16,29.07,29.42,28.64,29.22,3964500,0.0,0.0
2010-08-17,29.41,30.09,29.37,29.59,5940300,0.0,0.0
2010-08-18,29.36,29.92,29.29,29.85,4453100,0.0,0.0
2010-08-19,29.65,29.7,28.69,28.91,6539000,0.0,0.0
2010-08-20,28.71,28.86,28.09,28.35,7046400,0.0,0.0
2010-08-23,28.52,28.68,27.89,27.9,5741200,0.0,0.0
2010-08-24,27.5,27.62,26.75,26.83,11941100,0.0,0.0
2010-08-25,26.63,26.97,26.17,26.83,11306000,0.0,0.0
2010-08-26,27.12,27.71,27.1,27.55,10592300,0.0,0.0
2010-08-27,27.62,28.74,27.5,28.69,9642500,0.0,0.0
2010-08-30,28.52,28.91,28.22,28.23,6211100,0.0,0.0
2010-08-31,28.04,28.42,27.76,28.28,6350700,0.0,0.0
2010-09-01,28.83,29.91,28.56,29.7,7473700,0.0,0.0
2010-09-02,29.64,30.18,29.6,30.03,4526800,0.0,0.0
2010-09-03,30.32,30.73,30.14,30.72,5058600,0.0,0.0
2010-09-07,30.4,30.51,29.44,29.58,7642100,0.0,0.0
2010-09-08,29.58,30.14,29.58,29.89,4967000,0.0,0.0
2010-09-09,30.35,30.46,29.68,29.81,5131100,0.0,0.0
2010-09-10,29.84,30.26,29.77,30.16,3430400,0.0,0.0
2010-09-13,30.51,30.89,30.37,30.86,4612600,0.0,0.0
2010-09-14,30.72,30.95,30.25,30.79,5108700,0.0,0.0
2010-09-15,30.49,30.68,30.2,30.37,6149200,0.0,0.0
2010-09-16,30.55,30.87,30.26,30.65,5939900,0.0,0.0
2010-09-17,30.93,31.07,30.72,31.01,7806000,0.0,0.0
2010-09-20,31.04,31.68,30.9,31.53,5754600,0.0,0.0
2010-09-21,31.62,31.91,31.17,31.62,5576700,0.0,0.0
2010-09-22,31.49,31.97,31.46,31.75,5845100,0.0,0.0
2010-09-23,31.25,31.7,31.01,31.3,4904700,0.0,0.0
2010-09-24,31.74,32.6,31.69,32.57,5856900,0.0,0.0
2010-09-27,32.63,32.9,32.37,32.4,4804700,0.0,0.0
2010-09-28,32.43,32.66,32.01,32.45,6274100,0.15,0.0
2010-09-29,32.22,32.44,31.87,31.91,5371900,0.0,0.0
2010-09-30,32.22,32.62,31.57,31.99,6289400,0.0,0.0
2010-10-01,32.27,32.48,31.89,32.48,5194100,0.0,0.0
2010-10-04,32.32,32.46,31.89,32.0,5090900,0.0,0.0
2010-10-05,32.42,33.21,32.22,33.16,6898600,0.0,0.0
2010-10-06,33.01,33.82,33.01,33.72,7147600,0.0,0.0
2010-10-07,33.86,34.01,33.26,33.96,5738600,0.0,0.0
2010-10-08,33.99,35.13,33.97,34.98,8395200,0.0,0.0
2010-10-11,34.93,35.04,34.5,34.77,3535100,0.0,0.0
2010-10-12,34.57,34.81,34.31,34.72,4803100,0.0,0.0
2010-10-13,35.0,35.0,34.5,34.74,8770500,0.0,0.0
2010-10-14,34.71,34.78,33.75,34.14,6743400,0.0,0.0
2010-10-15,34.38,34.72,33.86,34.28,5410400,0.0,0.0
2010-10-18,34.12,34.95,34.1,34.76,4688400,0.0,0.0
2010-10-19,34.24,34.83,33.84,34.18,8936900,0.0,0.0
2010-10-20,34.36,35.7,34.15,35.17,7422100,0.0,0.0
2010-10-21,35.11,35.95,34.98,35.55,6484200,0.0,0.0
2010-10-22,35.59,35.64,34.96,35.18,3935400,0.0,0.0
2010-10-25,35.66,36.93,35.57,36.76,14827600,0.0,0.0
2010-10-26,36.39,36.84,35.96,36.69,6969700,0.0,0.0
2010-10-27,36.32,36.41,35.68,36.36,5357400,0.0,0.0
2010-10-28,36.75,37.16,35.59,35.95,7053900,0.0,0.0
2010-10-29,35.98,36.22,35.64,35.92,5512200,0.0,0.0
2010-11-01,36.22,36.77,35.75,35.98,4110600,0.0,0.0
2010-11-02,36.4,36.84,36.23,36.56,4231000,0.0,0.0
2010-11-03,36.59,36.93,36.12,36.76,5906400,0.0,0.0
2010-11-04,37.22,38.41,37.14,38.17,9359000,0.0,0.0
2010-11-05,38.08,38.36,37.62,37.86,4964200,0.0,0.0
2010-11-08,37.25,37.86,37.25,37.68,4364500,0.0,0.0
2010-11-09,37.54,37.81,36.74,37.05,4998300,0.0,0.0
