Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,13.23,13.44,13.01,13.07,7748600,0.0,0
2009-12-08,13.09,13.09,12.77,12.81,5063800,0.0,0
2009-12-09,12.82,13.11,12.72,13.1,4073500,0.0,0
2009-12-10,13.15,13.35,13.03,13.23,4821100,0.0,0
2009-12-11,13.29,13.72,13.16,13.68,4757400,0.0,0
2009-12-14,13.82,14.0,13.58,13.99,5240100,0.0,0
2009-12-15,13.77,13.99,13.54,13.58,6280700,0.0,0
2009-12-16,13.62,14.23,13.62,13.93,6494200,0.0,0
2009-12-17,13.87,13.88,12.52,12.66,18488600,0.0,0
2009-12-18,12.85,12.85,12.38,12.68,9489900,0.0,0
2009-12-21,12.71,12.75,12.38,12.47,6605000,0.0,0
2009-12-22,12.45,12.69,12.36,12.42,4224500,0.0,0
2009-12-23,12.49,12.62,12.4,12.45,2827500,0.0,0
2009-12-24,12.49,12.7,12.46,12.66,1342100,0.0,0
2009-12-28,12.64,12.69,12.49,12.57,2713500,0.0,0
2009-12-29,12.6,12.65,12.45,12.54,3087300,0.02,0
2009-12-30,12.46,12.58,12.38,12.58,2916000,0.0,0
2009-12-31,12.55,12.64,12.44,12.49,3819900,0.0,0
2010-01-04,12.63,12.64,12.32,12.41,7552600,0.0,0
2010-01-05,12.57,12.88,12.44,12.83,7766400,0.0,0
2010-01-06,12.61,12.77,12.61,12.74,5550200,0.0,0
2010-01-07,12.7,12.89,12.61,12.82,6492500,0.0,0
2010-01-08,12.83,12.87,12.66,12.77,4458300,0.0,0
2010-01-11,12.86,12.89,12.53,12.6,4381800,0.0,0
2010-01-12,12.5,12.72,12.47,12.66,6587000,0.0,0
2010-01-13,12.7,12.82,12.46,12.75,4991800,0.0,0
2010-01-14,12.78,12.86,12.6,12.72,9028000,0.0,0
2010-01-15,12.67,12.82,12.37,12.54,10835600,0.0,0
2010-01-19,12.45,12.63,12.44,12.62,6135300,0.0,0
2010-01-20,12.56,12.74,12.38,12.59,7563600,0.0,0
2010-01-21,12.57,12.63,12.08,12.09,10771500,0.0,0
2010-01-22,12.04,12.05,11.42,11.43,14728800,0.0,0
2010-01-25,11.79,11.93,11.31,11.45,10757000,0.0,0
2010-01-26,11.38,11.68,11.27,11.44,7834000,0.0,0
2010-01-27,11.44,11.79,11.25,11.74,9979900,0.0,0
2010-01-28,11.88,11.88,11.25,11.48,8616700,0.0,0
2010-01-29,11.56,11.84,11.5,11.62,7099000,0.0,0
2010-02-01,11.66,11.72,11.22,11.31,8491500,0.0,0
2010-02-02,11.57,11.77,11.48,11.72,6514700,0.0,0
2010-02-03,11.7,11.73,11.25,11.3,5784800,0.0,0
2010-02-04,11.17,11.32,10.93,10.96,7729800,0.0,0
2010-02-05,10.97,11.07,10.69,11.05,6965100,0.0,0
