Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,8.87,9.06,8.76,8.79,9010100,0.0,0
2009-12-08,8.71,8.93,8.62,8.74,6246600,0.0,0
2009-12-09,8.85,8.85,8.6,8.74,4874700,0.0,0
2009-12-10,8.82,8.94,8.74,8.78,6065700,0.0,0
2009-12-11,8.81,8.86,8.62,8.75,4174700,0.0,0
2009-12-14,8.86,8.96,8.64,8.94,3831300,0.0,0
2009-12-15,8.94,9.03,8.68,8.71,5054800,0.0,0
2009-12-16,8.82,9.21,8.76,9.14,7441600,0.0,0
2009-12-17,9.03,9.18,8.95,9.1,6018300,0.0,0
2009-12-18,9.15,9.35,9.06,9.35,11447400,0.0,0
2009-12-21,9.58,9.59,9.32,9.53,6302400,0.0,0
2009-12-22,9.55,9.92,9.51,9.9,9360000,0.0,0
2009-12-23,10.01,10.06,9.76,9.87,7969300,0.0,0
2009-12-24,9.85,9.89,9.81,9.87,1589100,0.0,0
2009-12-28,9.89,9.99,9.62,9.73,5385900,0.0,0
2009-12-29,9.74,9.87,9.54,9.7,4906200,0.0,0
2009-12-30,9.58,9.85,9.55,9.76,4014000,0.0,0
2009-12-31,9.71,9.79,9.61,9.65,2986500,0.0,0
2010-01-04,9.73,9.93,9.65,9.91,5799100,0.0,0
2010-01-05,9.88,10.29,9.72,10.26,10254500,0.0,0
2010-01-06,10.16,10.44,10.11,10.35,8410300,0.0,0
2010-01-07,10.6,11.12,10.58,10.89,13808800,0.0,0
2010-01-08,10.76,10.93,10.69,10.8,5720700,0.0,0
2010-01-11,10.91,10.94,10.67,10.87,3746100,0.0,0
2010-01-12,10.73,10.86,10.52,10.84,5982000,0.0,0
2010-01-13,10.87,11.16,10.69,11.03,6278400,0.0,0
2010-01-14,10.95,11.15,10.86,10.88,4344800,0.0,0
2010-01-15,10.82,10.99,10.6,10.78,4686100,0.0,0
2010-01-19,10.74,11.1,10.73,10.95,4456200,0.0,0
2010-01-20,10.8,10.94,10.72,10.77,5194600,0.0,0
2010-01-21,10.75,10.8,10.23,10.25,7275700,0.0,0
2010-01-22,10.23,10.53,9.86,9.94,11747600,0.0,0
2010-01-25,10.03,10.28,9.92,10.09,6031100,0.0,0
2010-01-26,10.02,10.29,9.94,10.02,7266100,0.0,0
2010-01-27,9.95,10.4,9.92,10.36,9099400,0.0,0
2010-01-28,10.46,10.69,10.24,10.47,9429800,0.0,0
2010-01-29,10.62,10.76,10.45,10.47,6786700,0.0,0
2010-02-01,10.5,10.69,10.32,10.57,6815800,0.0,0
2010-02-02,11.35,11.86,10.86,11.73,28814200,0.0,0
2010-02-03,11.78,11.82,11.37,11.76,11711800,0.0,0
2010-02-04,11.57,11.84,11.49,11.73,13717800,0.0,0
2010-02-05,11.61,11.67,10.8,11.25,14373500,0.0,0
2010-02-08,11.29,11.77,11.07,11.47,8691600,0.0,0
2010-02-09,11.61,11.68,11.19,11.52,8493200,0.0,0
2010-02-10,11.51,11.6,11.18,11.41,7313100,0.0,0
2010-02-11,11.44,11.77,11.31,11.68,6525900,0.0375,0
2010-02-12,11.8,11.95,11.54,11.64,8325600,0.0,0
2010-02-16,11.84,11.87,11.62,11.77,4582500,0.0,0
2010-02-17,11.96,12.05,11.52,11.68,6917100,0.0,0
2010-02-18,11.56,11.6,11.3,11.38,7208600,0.0,0
2010-02-19,11.34,11.57,11.34,11.53,7725200,0.0,0
2010-02-22,11.57,11.65,11.37,11.5,6202800,0.0,0
2010-02-23,11.47,11.56,11.07,11.19,9556500,0.0,0
2010-02-24,11.25,11.26,10.72,10.99,9437600,0.0,0
2010-02-25,10.76,11.0,10.65,11.0,6001800,0.0,0
2010-02-26,11.01,11.09,10.7,11.0,5250400,0.0,0
2010-03-01,11.01,11.21,11.01,11.18,3873800,0.0,0
2010-03-02,11.27,11.33,11.04,11.1,3805800,0.0,0
2010-03-03,11.21,11.4,11.1,11.19,5471700,0.0,0
2010-03-04,11.21,11.33,10.96,11.12,4405000,0.0,0
2010-03-05,11.2,11.53,11.17,11.46,6497000,0.0,0
2010-03-08,11.46,11.57,11.39,11.54,2870700,0.0,0
2010-03-09,11.49,11.73,11.42,11.65,5021400,0.0,0
2010-03-10,11.66,11.78,11.49,11.58,5013200,0.0,0
2010-03-11,11.53,11.56,11.33,11.54,4345000,0.0,0
2010-03-12,11.57,11.58,11.38,11.57,4572100,0.0,0
2010-03-15,11.56,11.6,11.25,11.43,3530400,0.0,0
2010-03-16,11.4,11.71,11.22,11.6,5042700,0.0,0
2010-03-17,11.62,11.73,11.39,11.48,4875300,0.0,0
2010-03-18,11.51,11.57,11.27,11.36,2937600,0.0,0
2010-03-19,11.14,11.51,11.13,11.14,5593200,0.0,0
2010-03-22,11.04,11.39,11.01,11.35,3372300,0.0,0
2010-03-23,11.42,11.47,11.26,11.36,5137400,0.0,0
2010-03-24,11.53,11.64,11.36,11.44,5272100,0.0,0
2010-03-25,11.49,11.93,11.49,11.55,6170100,0.0,0
2010-03-26,11.6,11.91,11.55,11.69,4400800,0.0,0
2010-03-29,11.76,11.78,11.34,11.6,5074200,0.0,0
2010-03-30,11.57,11.67,11.33,11.4,4075900,0.0,0
2010-03-31,11.33,11.46,11.16,11.22,5407900,0.0,0
2010-04-01,11.33,11.41,11.04,11.14,4037900,0.0,0
2010-04-05,11.24,11.39,11.09,11.21,4364500,0.0,0
2010-04-06,11.15,11.21,10.97,11.15,5590000,0.0,0
2010-04-07,11.17,11.17,10.56,10.62,11514500,0.0,0
2010-04-08,10.6,10.71,10.46,10.69,7914900,0.0,0
2010-04-09,10.72,10.85,10.67,10.81,3870200,0.0,0
2010-04-12,10.85,10.9,10.59,10.71,6747000,0.0,0
2010-04-13,10.72,10.92,10.69,10.84,6940000,0.0,0
2010-04-14,10.91,11.41,10.9,11.26,10183600,0.0,0
2010-04-15,11.25,11.34,11.14,11.22,5610700,0.0,0
2010-04-16,11.13,11.2,10.71,11.01,9348100,0.0,0
2010-04-19,10.97,11.04,10.72,10.99,4829000,0.0,0
2010-04-20,11.05,11.39,10.92,11.36,5922300,0.0,0
2010-04-21,11.37,11.66,11.26,11.56,6333300,0.0,0
2010-04-22,11.5,12.34,11.37,12.19,11225900,0.0,0
2010-04-23,12.28,12.95,12.22,12.62,12314800,0.0,0
2010-04-26,12.67,12.89,12.3,12.36,6399100,0.0,0
2010-04-27,12.24,12.49,11.9,11.94,9151300,0.0,0
2010-04-28,12.0,12.38,11.99,12.13,7441000,0.0,0
2010-04-29,12.24,12.84,12.14,12.68,11154800,0.0,0
2010-04-30,13.42,13.75,13.03,13.08,15428400,0.0,0
2010-05-03,13.1,13.53,13.03,13.33,7048800,0.0,0
2010-05-04,13.13,13.2,12.66,13.03,8692100,0.0,0
2010-05-05,12.82,13.02,12.49,12.59,7750900,0.0,0
2010-05-06,12.47,12.8,11.25,12.15,10858100,0.0,0
2010-05-07,12.13,12.35,11.5,11.63,9955000,0.0,0
2010-05-10,12.22,12.47,11.9,12.41,8117000,0.0,0
2010-05-11,12.18,12.8,12.06,12.32,8944800,0.0,0
2010-05-12,12.44,12.66,12.34,12.53,5053300,0.0375,0
2010-05-13,12.52,12.52,11.9,12.02,7270500,0.0,0
2010-05-14,11.87,11.91,11.44,11.7,6926000,0.0,0
2010-05-17,11.68,11.89,11.27,11.87,7558100,0.0,0
2010-05-18,11.98,12.28,11.57,11.62,7664300,0.0,0
2010-05-19,11.44,11.87,11.05,11.31,14121900,0.0,0
2010-05-20,11.02,11.21,10.83,10.84,11059400,0.0,0
2010-05-21,10.73,11.13,10.59,10.95,10999400,0.0,0
2010-05-24,10.88,11.22,10.76,10.77,6416000,0.0,0
2010-05-25,10.42,10.84,10.33,10.8,10479800,0.0,0
2010-05-26,11.1,11.31,10.69,10.72,9505900,0.0,0
2010-05-27,10.94,11.03,10.64,11.02,5892300,0.0,0
2010-05-28,11.0,11.14,10.82,10.88,4896700,0.0,0
2010-06-01,10.8,10.97,10.5,10.51,7599600,0.0,0
2010-06-02,10.52,10.86,10.49,10.83,6453600,0.0,0
2010-06-03,10.83,10.9,10.44,10.52,7821100,0.0,0
2010-06-04,10.36,10.43,10.04,10.12,7260600,0.0,0
2010-06-07,10.17,10.23,9.66,9.72,6423700,0.0,0
2010-06-08,9.75,9.87,9.32,9.68,13188600,0.0,0
2010-06-09,9.89,9.91,9.34,9.41,11013600,0.0,0
2010-06-10,9.63,10.19,9.5,10.09,13852100,0.0,0
2010-06-11,9.95,10.07,9.79,10.05,6301500,0.0,0
2010-06-14,10.13,10.19,9.81,9.88,6726100,0.0,0
2010-06-15,9.96,10.17,9.88,10.17,7229100,0.0,0
2010-06-16,9.95,10.26,9.88,10.03,7764500,0.0,0
2010-06-17,9.99,10.02,9.49,9.77,8267000,0.0,0
2010-06-18,9.75,9.78,9.52,9.6,5938600,0.0,0
2010-06-21,9.73,9.81,9.36,9.41,7584400,0.0,0
2010-06-22,9.39,9.53,9.07,9.12,8165300,0.0,0
2010-06-23,9.12,9.46,8.95,9.35,8587400,0.0,0
2010-06-24,9.36,9.61,9.19,9.45,10102700,0.0,0
2010-06-25,9.44,9.44,9.16,9.35,7193200,0.0,0
2010-06-28,9.37,9.45,9.19,9.25,8655900,0.0,0
2010-06-29,9.09,9.28,8.79,8.89,9589900,0.0,0
2010-06-30,8.89,9.06,8.77,8.78,9259600,0.0,0
2010-07-01,8.73,8.93,8.55,8.79,11826400,0.0,0
2010-07-02,8.83,8.83,8.4,8.67,9516700,0.0,0
2010-07-06,8.79,8.97,8.66,8.74,11092900,0.0,0
2010-07-07,8.75,9.13,8.73,9.11,8368900,0.0,0
2010-07-08,9.19,9.3,8.7,8.75,16653100,0.0,0
2010-07-09,8.76,9.24,8.73,9.15,6134300,0.0,0
2010-07-12,9.13,9.17,8.91,9.02,3819500,0.0,0
2010-07-13,9.08,9.37,9.03,9.31,6554200,0.0,0
2010-07-14,9.22,9.25,8.98,9.23,6624000,0.0,0
2010-07-15,9.24,9.54,9.11,9.48,10338000,0.0,0
2010-07-16,9.42,9.44,8.95,9.02,7450900,0.0,0
2010-07-19,9.08,9.12,8.79,8.9,6519100,0.0,0
2010-07-20,8.75,9.36,8.68,9.28,6198200,0.0,0
2010-07-21,9.35,9.41,9.06,9.11,6096700,0.0,0
2010-07-22,9.22,9.59,9.2,9.42,5318300,0.0,0
2010-07-23,9.37,9.73,9.29,9.69,5499800,0.0,0
2010-07-26,9.66,10.06,9.61,9.97,7904600,0.0,0
2010-07-27,10.03,10.16,9.83,9.89,8449600,0.0,0
2010-07-28,9.88,9.95,9.42,9.5,5152100,0.0,0
2010-07-29,9.61,9.83,9.45,9.71,8351400,0.0,0
2010-07-30,9.59,9.9,9.47,9.84,7330600,0.0,0
2010-08-02,10.02,10.16,9.77,10.04,7044800,0.0,0
2010-08-03,9.9,10.09,9.36,9.46,12202500,0.0,0
2010-08-04,9.51,9.66,9.34,9.36,4642800,0.0,0
2010-08-05,9.2,9.4,9.18,9.3,4584900,0.0,0
2010-08-06,9.22,9.52,9.14,9.46,5546500,0.0,0
2010-08-09,9.73,9.95,9.61,9.87,6150600,0.0,0
2010-08-10,9.73,9.8,9.57,9.67,4807000,0.0,0
2010-08-11,9.45,9.53,9.34,9.41,5794100,0.0,0
2010-08-12,9.2,9.38,9.13,9.15,4497000,0.0375,0
2010-08-13,9.12,9.3,9.08,9.17,4515800,0.0,0
2010-08-16,9.09,9.26,9.04,9.12,3162500,0.0,0
2010-08-17,9.24,9.48,9.13,9.38,4152400,0.0,0
2010-08-18,9.33,9.66,9.26,9.52,4656400,0.0,0
2010-08-19,9.46,9.48,9.26,9.34,4398100,0.0,0
2010-08-20,9.25,9.31,9.13,9.2,4586700,0.0,0
2010-08-23,9.24,9.29,8.94,8.94,5837600,0.0,0
2010-08-24,8.82,9.26,8.72,8.93,10176000,0.0,0
2010-08-25,9.08,9.42,8.94,9.34,7773100,0.0,0
2010-08-26,9.35,9.39,9.07,9.11,4528100,0.0,0
2010-08-27,9.19,9.39,9.0,9.38,4991800,0.0,0
2010-08-30,9.39,9.42,9.19,9.22,3604600,0.0,0
2010-08-31,9.14,9.5,9.1,9.19,7056200,0.0,0
2010-09-01,9.37,9.64,9.34,9.6,5429100,0.0,0
