Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,18.94,19.29,18.75,19.19,3384500,0.0,0
2009-12-08,18.93,19.14,18.48,19.01,3616200,0.0,0
2009-12-09,18.95,19.01,18.72,18.95,2763800,0.0,0
2009-12-10,18.97,19.51,18.82,19.26,3396000,0.0,0
2009-12-11,19.27,19.42,19.03,19.07,2626800,0.0,0
2009-12-14,19.23,19.28,18.87,19.0,4313100,0.0,0
2009-12-15,19.02,19.17,18.86,18.97,2561000,0.0,0
2009-12-16,19.02,19.17,18.94,19.0,2621800,0.0,0
2009-12-17,19.02,19.02,18.76,18.83,2241800,0.0,0
2009-12-18,18.61,18.88,18.53,18.8,4432500,0.0,0
2009-12-21,18.98,19.13,18.85,18.89,2262700,0.0,0
2009-12-22,18.97,18.99,18.77,18.8,1462700,0.0,0
2009-12-23,18.82,18.98,18.62,18.93,1263100,0.0,0
2009-12-24,18.94,19.05,18.71,18.78,862100,0.0,0
2009-12-28,18.76,18.84,18.53,18.67,1427600,0.0,0
2009-12-29,18.66,18.97,18.61,18.91,1662800,0.0,0
2009-12-30,18.91,19.05,18.83,18.97,12505600,0.0,0
2009-12-31,18.95,18.99,18.6,18.63,1503100,0.0,0
2010-01-04,18.75,19.25,18.75,19.0,2962600,0.0,0
2010-01-05,18.87,19.07,18.74,18.88,3011100,0.0,0
2010-01-06,18.85,19.09,18.52,18.56,3291600,0.0,0
2010-01-07,18.51,18.73,18.47,18.65,3010800,0.0,0
2010-01-08,18.65,19.03,18.54,18.98,2840200,0.0,0
2010-01-11,18.99,19.09,18.79,19.04,1996100,0.0,0
2010-01-12,18.89,18.99,18.09,18.22,3445900,0.0,0
2010-01-13,18.25,18.43,18.12,18.38,2403800,0.0,0
2010-01-14,18.28,18.44,18.05,18.11,3425800,0.0,0
2010-01-15,18.22,18.22,17.56,17.86,3619500,0.0,0
2010-01-19,17.91,18.16,17.86,18.08,2085100,0.0,0
2010-01-20,17.97,18.03,17.65,17.83,2270900,0.0,0
2010-01-21,18.18,18.18,17.09,17.14,4424400,0.0,0
2010-01-22,17.1,17.35,16.79,16.87,2981600,0.0,0
2010-01-25,16.99,17.13,16.88,17.05,2509700,0.0,0
2010-01-26,16.88,16.91,16.66,16.77,2881800,0.0,0
2010-01-27,16.65,16.91,16.38,16.74,2086600,0.0,0
2010-01-28,16.71,16.85,16.28,16.54,2698200,0.0,0
2010-01-29,16.65,16.85,16.37,16.38,2731400,0.0,0
2010-02-01,16.56,17.06,16.41,17.05,2677100,0.0,0
2010-02-02,17.1,17.15,16.68,16.94,3158500,0.0,0
2010-02-03,16.86,17.06,16.63,16.82,1993900,0.0,0
2010-02-04,16.69,16.69,16.05,16.07,2824200,0.0,0
2010-02-05,16.06,16.22,15.53,15.92,4545400,0.0,0
2010-02-08,15.88,16.03,15.72,15.92,3124900,0.0,0
2010-02-09,16.05,16.41,15.94,16.21,2665500,0.0,0
2010-02-10,16.18,16.27,15.83,16.13,2397100,0.0,0
2010-02-11,16.11,16.38,15.81,16.35,3250500,0.0,0
2010-02-12,16.47,16.5,16.16,16.48,2445900,0.0,0
2010-02-16,16.65,17.09,16.56,17.09,2504600,0.0,0
2010-02-17,17.13,17.46,17.09,17.4,3219500,0.0,0
2010-02-18,17.44,17.8,17.38,17.61,3065000,0.0,0
2010-02-19,17.61,17.67,17.33,17.65,2853800,0.0,0
2010-02-22,17.68,17.91,17.51,17.79,4643400,0.0,0
2010-02-23,17.78,17.85,17.47,17.84,3590700,0.0,0
