Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,21.15,21.51,21.14,21.3,1594100,0.0,0.0
2009-12-08,21.09,21.11,20.72,20.87,1214700,0.0,0.0
2009-12-09,20.78,20.82,20.44,20.76,1600200,0.0,0.0
2009-12-10,20.91,21.03,20.75,20.8,1112700,0.0,0.0
2009-12-11,20.88,20.95,20.71,20.84,1007600,0.0,0.0
2009-12-14,21.02,21.14,20.84,21.11,1847900,0.0,0.0
2009-12-15,20.98,21.09,20.84,20.99,1569900,0.0,0.0
2009-12-16,21.11,21.29,20.96,21.01,1535200,0.0,0.0
2009-12-17,20.78,21.0,20.71,20.81,1415000,0.0,0.0
2009-12-18,20.83,20.93,20.41,20.6,2805000,0.0,0.0
2009-12-21,20.74,20.89,20.7,20.78,1401000,0.0,0.0
2009-12-22,20.81,21.11,20.77,21.05,1414900,0.0,0.0
2009-12-23,21.1,21.27,20.96,21.22,1106200,0.0,0.0
2009-12-24,21.31,21.67,21.31,21.59,563500,0.0,0.0
2009-12-28,21.63,21.69,21.39,21.55,1069300,0.0,0.0
2009-12-29,21.62,21.62,21.36,21.39,868300,0.0,0.0
2009-12-30,21.27,21.49,21.25,21.4,882100,0.0,0.0
2009-12-31,21.39,21.46,21.11,21.11,922400,0.0,0.0
2010-01-04,21.27,21.49,21.12,21.49,1859700,0.0,0.0
2010-01-05,21.44,21.47,21.29,21.39,1272100,0.0,0.0
2010-01-06,21.39,21.68,21.26,21.65,1852500,0.0,0.0
2010-01-07,21.73,22.38,21.73,22.12,1959200,0.0,0.0
2010-01-08,22.1,22.77,21.93,22.76,2190700,0.0,0.0
2010-01-11,22.79,23.11,22.76,23.03,2006300,0.0,0.0
2010-01-12,22.81,23.12,22.75,23.11,3228400,0.0,0.0
2010-01-13,23.03,23.37,22.97,23.33,4637900,0.0,0.0
2010-01-14,23.31,23.58,23.11,23.56,2707300,0.0,0.0
2010-01-15,23.45,23.51,23.05,23.13,2848000,0.0,0.0
2010-01-19,23.0,23.34,22.98,23.29,2328400,0.0,0.0
2010-01-20,23.09,23.1,22.82,23.06,2740500,0.0,0.0
2010-01-21,23.0,23.2,22.68,22.76,2806700,0.0,0.0
2010-01-22,22.73,22.73,22.18,22.21,1998600,0.0,0.0
2010-01-25,22.29,22.54,21.85,21.95,2614900,0.0,0.0
2010-01-26,21.81,22.04,21.68,21.8,1639100,0.0,0.0
2010-01-27,21.73,21.8,21.3,21.72,2713800,0.0,0.0
2010-01-28,21.78,21.87,21.46,21.58,2890200,0.0,0.0
2010-01-29,21.87,22.86,21.74,21.76,4529700,0.0,0.0
2010-02-01,21.91,22.27,21.83,22.06,2268200,0.0,0.0
2010-02-02,22.15,22.55,22.11,22.49,2707500,0.0,0.0
2010-02-03,22.27,22.65,22.26,22.39,2062800,0.0,0.0
2010-02-04,22.19,22.34,21.61,21.7,3115500,0.0,0.0
2010-02-05,21.66,21.8,20.55,21.05,4967100,0.0,0.0
2010-02-08,21.02,21.14,20.73,20.83,3166600,0.0,0.0
2010-02-09,21.08,21.49,21.05,21.34,4190600,0.0,0.0
2010-02-10,21.32,21.54,21.12,21.36,2066200,0.0,0.0
2010-02-11,21.32,21.78,21.17,21.76,3208600,0.0,0.0
2010-02-12,21.56,21.76,21.29,21.68,2069300,0.0,0.0
2010-02-16,21.85,22.15,21.79,22.15,1958000,0.0,0.0
2010-02-17,22.26,22.56,22.16,22.55,3182500,0.0,0.0
2010-02-18,22.71,23.15,22.53,23.06,3363000,0.0,0.0
2010-02-19,23.03,23.4,22.88,23.38,3661500,0.0,0.0
2010-02-22,23.41,23.45,23.21,23.35,2914700,0.0,0.0
2010-02-23,23.03,23.3,22.59,22.8,3578900,0.0,0.0
2010-02-24,23.02,23.08,22.78,22.88,3989700,0.26,0.0
2010-02-25,22.36,22.87,22.23,22.83,2997000,0.0,0.0
2010-02-26,22.89,23.22,22.8,23.17,2398700,0.0,0.0
2010-03-01,23.3,23.59,23.2,23.42,2048500,0.0,0.0
2010-03-02,23.59,23.74,23.47,23.62,2258200,0.0,0.0
2010-03-03,23.58,23.77,23.43,23.5,2371700,0.0,0.0
2010-03-04,23.58,23.8,23.43,23.58,1865600,0.0,0.0
2010-03-05,23.74,24.09,23.74,24.07,2077200,0.0,0.0
2010-03-08,24.06,24.09,23.86,23.89,781100,0.0,0.0
2010-03-09,23.8,23.99,23.71,23.81,1406800,0.0,0.0
2010-03-10,23.77,23.77,23.57,23.71,1620200,0.0,0.0
2010-03-11,23.43,23.76,23.26,23.75,1167000,0.0,0.0
2010-03-12,23.87,23.94,23.61,23.76,1007700,0.0,0.0
2010-03-15,23.69,23.72,23.46,23.67,1515500,0.0,0.0
2010-03-16,23.76,23.95,23.67,23.73,2181300,0.0,0.0
2010-03-17,23.77,24.22,23.71,24.02,1301100,0.0,0.0
2010-03-18,23.98,24.18,23.91,24.1,1393700,0.0,0.0
2010-03-19,23.82,24.28,23.76,23.82,1917700,0.0,0.0
2010-03-22,23.63,24.01,23.53,23.76,1387700,0.0,0.0
2010-03-23,23.75,24.34,23.57,24.25,3352200,0.0,0.0
2010-03-24,24.22,24.22,23.73,23.75,2256900,0.0,0.0
2010-03-25,23.97,23.97,23.6,23.64,2479300,0.0,0.0
2010-03-26,23.64,23.8,23.31,23.58,3442200,0.0,0.0
2010-03-29,23.66,23.89,23.53,23.87,2474700,0.0,0.0
2010-03-30,23.96,24.2,23.95,24.12,2177100,0.0,0.0
2010-03-31,24.04,24.15,23.84,23.93,1387400,0.0,0.0
2010-04-01,24.06,24.28,23.88,24.06,2126500,0.0,0.0
2010-04-05,24.2,24.41,24.13,24.34,2125700,0.0,0.0
2010-04-06,24.27,24.4,24.14,24.39,1561100,0.0,0.0
2010-04-07,24.31,24.43,24.14,24.23,1743900,0.0,0.0
2010-04-08,24.12,24.2,23.85,24.13,1263700,0.0,0.0
2010-04-09,24.16,24.6,24.06,24.58,1658100,0.0,0.0
2010-04-12,24.67,24.69,24.4,24.48,1335500,0.0,0.0
