Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,7.56,7.61,7.37,7.45,2996200,0.0,0
2009-12-08,7.34,7.56,7.26,7.29,2239000,0.0,0
2009-12-09,7.29,7.35,7.19,7.21,2153600,0.0,0
2009-12-10,7.26,7.33,7.19,7.25,2669600,0.0,0
2009-12-11,7.27,7.4,7.25,7.4,1297800,0.0,0
2009-12-14,7.4,7.5,7.25,7.49,2240000,0.0,0
2009-12-15,7.42,7.55,7.4,7.43,1788300,0.0,0
2009-12-16,7.46,7.73,7.42,7.66,2915900,0.0,0
2009-12-17,7.51,7.72,7.51,7.67,3025700,0.0,0
2009-12-18,7.69,7.75,7.59,7.71,2444500,0.0,0
2009-12-21,7.75,7.9,7.71,7.85,2414100,0.0,0
2009-12-22,7.87,8.03,7.87,8.0,1880000,0.0,0
2009-12-23,7.99,8.22,7.99,8.14,1909000,0.0,0
2009-12-24,8.22,8.26,8.11,8.19,871300,0.0,0
2009-12-28,8.24,8.4,8.18,8.22,1560500,0.0,0
2009-12-29,8.22,8.31,8.09,8.17,1478100,0.0,0
2009-12-30,8.07,8.17,8.02,8.17,1428300,0.0,0
2009-12-31,8.17,8.27,7.87,7.92,1925000,0.0,0
2010-01-04,7.99,8.05,7.83,7.89,2854300,0.0,0
2010-01-05,7.93,8.07,7.83,8.0,4152200,0.0,0
2010-01-06,8.01,8.19,8.01,8.12,4241200,0.0,0
2010-01-07,8.13,8.4,8.05,8.35,2654800,0.0,0
2010-01-08,8.28,8.56,8.26,8.54,4668900,0.0,0
2010-01-11,8.54,8.71,8.54,8.61,2399100,0.0,0
2010-01-12,8.5,8.61,8.33,8.37,2769700,0.0,0
2010-01-13,8.39,8.6,8.35,8.58,2458800,0.0,0
2010-01-14,8.49,8.56,8.39,8.46,1724400,0.0,0
2010-01-15,8.39,8.48,8.15,8.25,2569300,0.0,0
2010-01-19,8.25,8.51,8.19,8.5,3534600,0.0,0
2010-01-20,8.37,8.49,8.29,8.44,2714300,0.0,0
