Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,9.76,9.94,9.58,9.59,34104300,0.0,0.0
2009-12-08,9.52,9.52,9.31,9.36,44040300,0.0,0.0
2009-12-09,9.31,9.42,9.15,9.42,42033800,0.0,0.0
2009-12-10,9.47,9.54,9.3,9.34,36978400,0.0,0.0
2009-12-11,9.37,9.48,9.33,9.41,25015200,0.0,0.0
2009-12-14,9.42,9.47,9.34,9.4,20663800,0.0,0.0
2009-12-15,9.29,9.4,9.23,9.3,19194200,0.0,0.0
2009-12-16,9.37,9.54,9.37,9.49,32123500,0.0,0.0
2009-12-17,9.41,9.52,9.35,9.45,30392300,0.0,0.0
2009-12-18,9.52,9.53,9.23,9.4,57079100,0.0,0.0
2009-12-21,9.45,9.52,9.4,9.48,24162900,0.0,0.0
2009-12-22,9.47,9.57,9.44,9.5,21908100,0.0,0.0
2009-12-23,9.55,10.05,9.55,9.94,54500200,0.0,0.0
2009-12-24,10.0,10.0,9.88,9.91,8414600,0.0,0.0
2009-12-28,9.9,9.95,9.84,9.9,14350000,0.0,0.0
2009-12-29,9.86,9.9,9.8,9.82,14148300,0.0,0.0
2009-12-30,9.8,9.91,9.78,9.87,14747800,0.0,0.0
2009-12-31,9.95,9.95,9.75,9.76,14233600,0.0,0.0
2010-01-04,9.83,9.94,9.79,9.91,22511600,0.0,0.0
2010-01-05,9.86,9.91,9.74,9.81,26683100,0.0,0.0
2010-01-06,9.8,9.87,9.72,9.74,26368600,0.0,0.0
2010-01-07,9.74,9.74,9.61,9.63,25220000,0.0,0.0
2010-01-08,9.61,9.8,9.58,9.75,30484000,0.0,0.0
2010-01-11,9.76,9.85,9.64,9.72,18331000,0.0,0.0
2010-01-12,9.7,9.72,9.52,9.61,25572100,0.0,0.0
2010-01-13,9.67,9.8,9.58,9.78,24620500,0.0,0.0
2010-01-14,9.74,9.74,9.47,9.49,42094100,0.0,0.0
2010-01-15,9.53,9.56,9.17,9.32,64256300,0.0,0.0
2010-01-19,9.24,9.7,9.24,9.64,49852900,0.0,0.0
2010-01-20,9.61,9.61,9.2,9.22,92230600,0.0,0.0
2010-01-21,9.91,10.18,9.81,10.0,155599700,0.0,0.0
2010-01-22,9.95,10.03,9.63,9.78,57422900,0.0,0.0
2010-01-25,9.83,9.91,9.69,9.82,43646100,0.0,0.0
2010-01-26,9.76,10.1,9.73,9.98,54598300,0.0,0.0
