Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,29.43,29.75,29.43,29.57,2352200,0.0,0
2009-12-08,29.53,29.54,29.24,29.31,2568400,0.0,0
2009-12-09,29.41,29.44,29.17,29.43,1377400,0.0,0
2009-12-10,29.57,29.83,29.51,29.74,1560700,0.0,0
2009-12-11,29.73,30.14,29.73,30.09,1784600,0.0,0
2009-12-14,30.29,30.29,30.01,30.15,1623900,0.0,0
2009-12-15,30.12,30.12,29.9,29.99,1778300,0.0,0
2009-12-16,30.13,30.21,29.91,29.94,2116400,0.0,0
2009-12-17,29.93,30.31,29.77,30.25,3025300,0.0,0
2009-12-18,30.24,30.41,30.16,30.22,3426900,0.0,0
2009-12-21,30.25,30.6,30.25,30.45,1670500,0.0,0
2009-12-22,30.55,30.68,30.33,30.36,1617300,0.0,0
2009-12-23,30.33,30.49,30.22,30.27,1574100,0.0,0
2009-12-24,30.35,30.55,30.33,30.55,500000,0.0,0
2009-12-28,30.61,30.61,30.42,30.57,893300,0.0,0
2009-12-29,30.61,30.75,30.53,30.69,789300,0.0,0
2009-12-30,30.67,30.87,30.57,30.72,959700,0.0,0
2009-12-31,30.84,30.87,30.25,30.26,1269700,0.0,0
2010-01-04,30.46,30.61,30.13,30.23,2142300,0.0,0
2010-01-05,30.3,30.39,29.65,29.83,2856000,0.0,0
2010-01-06,29.81,30.3,29.81,30.15,2035400,0.0,0
2010-01-07,30.2,30.21,29.91,30.05,1993400,0.0,0
2010-01-08,29.97,30.17,29.78,30.14,1306400,0.0,0
2010-01-11,30.29,30.61,30.21,30.52,1751900,0.0,0
2010-01-12,30.48,30.64,30.33,30.46,1451600,0.0,0
2010-01-13,30.46,30.76,30.44,30.69,1247200,0.0,0
2010-01-14,30.74,30.84,30.62,30.79,1129400,0.0,0
2010-01-15,30.59,30.65,30.15,30.45,2444700,0.0,0
2010-01-19,30.49,30.91,30.41,30.91,1567200,0.0,0
2010-01-20,30.8,30.81,30.35,30.78,1869100,0.0,0
2010-01-21,30.84,30.94,30.19,30.38,2114000,0.0,0
2010-01-22,29.85,30.15,28.9,28.98,6468200,0.0,0
2010-01-25,29.15,29.31,28.69,29.05,3040100,0.0,0
2010-01-26,29.03,29.47,28.87,29.36,2522700,0.0,0
2010-01-27,29.09,29.35,28.87,29.34,2840900,0.0,0
2010-01-28,29.34,29.34,28.94,29.12,1885100,0.0,0
2010-01-29,29.23,29.31,28.97,29.13,2049700,0.0,0
2010-02-01,29.2,29.26,28.88,29.26,1277700,0.0,0
2010-02-02,29.27,29.41,28.91,29.4,1628100,0.0,0
2010-02-03,29.32,29.33,29.04,29.15,1205700,0.0,0
2010-02-04,29.06,29.13,28.64,28.65,3207400,0.0,0
2010-02-05,28.67,28.81,28.31,28.76,3735600,0.0,0
2010-02-08,28.79,28.84,28.48,28.51,1381200,0.0,0
2010-02-09,28.67,29.17,28.55,28.93,2116200,0.0,0
2010-02-10,28.91,28.91,28.41,28.63,2491000,0.0,0
2010-02-11,28.63,28.83,28.45,28.75,2019500,0.0,0
2010-02-12,28.54,28.69,28.43,28.51,2688500,0.595,0
2010-02-16,28.64,29.01,28.63,29.01,1309500,0.0,0
2010-02-17,29.11,29.11,28.84,28.95,1027500,0.0,0
2010-02-18,28.89,28.95,28.66,28.84,1941500,0.0,0
2010-02-19,28.78,29.27,28.7,29.13,1993700,0.0,0
2010-02-22,29.14,29.26,28.9,28.99,1598700,0.0,0
2010-02-23,28.98,29.04,28.8,28.87,1240200,0.0,0
2010-02-24,29.0,29.0,28.72,28.96,1752400,0.0,0
2010-02-25,28.7,28.98,28.47,28.95,1817600,0.0,0
2010-02-26,29.01,29.03,28.77,28.87,1353400,0.0,0
2010-03-01,28.91,29.34,28.91,29.17,1548000,0.0,0
2010-03-02,29.31,29.68,29.28,29.57,1898500,0.0,0
2010-03-03,29.59,29.85,29.41,29.5,1795800,0.0,0
2010-03-04,29.49,29.57,29.21,29.41,1737800,0.0,0
2010-03-05,29.21,29.53,29.18,29.46,1682900,0.0,0
2010-03-08,29.48,29.58,29.38,29.57,1043100,0.0,0
2010-03-09,29.56,29.65,29.44,29.49,1390200,0.0,0
2010-03-10,29.57,29.65,29.43,29.54,1220900,0.0,0
2010-03-11,29.54,29.66,29.35,29.64,1056100,0.0,0
2010-03-12,29.68,29.72,29.49,29.51,1464000,0.0,0
2010-03-15,29.64,29.82,29.54,29.82,1270000,0.0,0
2010-03-16,29.9,30.13,29.7,30.04,1731500,0.0,0
2010-03-17,30.14,30.14,29.95,30.06,1481300,0.0,0
2010-03-18,30.11,30.13,29.86,29.94,1454800,0.0,0
2010-03-19,29.92,30.06,29.74,29.92,2092900,0.0,0
2010-03-22,29.82,29.95,29.73,29.89,1212500,0.0,0
2010-03-23,30.0,30.02,29.67,29.83,1927800,0.0,0
2010-03-24,29.82,29.82,29.5,29.61,1553800,0.0,0
2010-03-25,29.72,29.8,29.55,29.61,1651600,0.0,0
2010-03-26,29.73,29.96,29.62,29.84,1513200,0.0,0
2010-03-29,29.95,30.12,29.89,30.11,1477700,0.0,0
2010-03-30,30.09,30.33,30.07,30.18,1729700,0.0,0
2010-03-31,30.11,30.29,29.97,30.08,1246100,0.0,0
2010-04-01,30.22,30.49,30.17,30.32,1043800,0.0,0
2010-04-05,30.42,30.47,30.29,30.42,909900,0.0,0
2010-04-06,30.4,30.64,30.32,30.63,1045400,0.0,0
2010-04-07,30.61,30.61,30.22,30.33,1205200,0.0,0
2010-04-08,30.28,30.32,30.01,30.06,1453000,0.0,0
2010-04-09,30.13,30.3,29.85,30.29,1163800,0.0,0
2010-04-12,30.4,30.47,30.22,30.41,1119600,0.0,0
2010-04-13,30.4,30.42,30.11,30.23,1223100,0.0,0
2010-04-14,30.13,30.31,29.99,30.27,1627300,0.0,0
2010-04-15,30.28,30.35,30.07,30.25,1166100,0.0,0
2010-04-16,30.22,30.38,30.03,30.08,1864400,0.0,0
2010-04-19,29.96,30.19,29.96,30.14,1156200,0.0,0
2010-04-20,30.28,30.39,30.18,30.33,1593500,0.0,0
2010-04-21,30.38,30.59,30.3,30.5,1926300,0.0,0
2010-04-22,30.4,30.57,30.21,30.53,1190700,0.0,0
2010-04-23,30.47,30.67,30.32,30.67,1156800,0.0,0
2010-04-26,30.65,30.74,30.55,30.59,1051000,0.0,0
2010-04-27,30.53,30.7,30.11,30.12,1827000,0.0,0
2010-04-28,30.3,30.61,30.12,30.51,1671500,0.0,0
2010-04-29,30.6,30.69,30.37,30.53,1421500,0.0,0
2010-04-30,30.57,30.92,30.44,30.53,2072600,0.0,0
2010-05-03,30.7,30.95,30.53,30.88,1287100,0.0,0
2010-05-04,30.74,30.74,30.32,30.42,1583500,0.0,0
2010-05-05,30.3,30.7,30.24,30.42,1702600,0.0,0
2010-05-06,30.38,30.46,28.5,29.86,3747300,0.0,0
