Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,26.3,26.75,26.29,26.47,1356800,0.0,0
2009-12-08,26.39,26.45,26.14,26.23,526100,0.0,0
2009-12-09,26.27,26.48,26.08,26.27,807000,0.0,0
2009-12-10,26.35,26.53,26.27,26.4,839700,0.0,0
2009-12-11,26.46,26.61,26.44,26.54,666900,0.0,0
2009-12-14,26.73,26.92,26.65,26.83,495500,0.0,0
2009-12-15,26.79,26.82,26.63,26.66,509200,0.0,0
2009-12-16,26.72,26.9,26.63,26.71,592400,0.0,0
2009-12-17,26.65,26.66,26.43,26.45,553600,0.0,0
2009-12-18,26.55,26.75,26.51,26.71,1004900,0.0,0
2009-12-21,26.9,27.16,26.89,27.06,709600,0.0,0
2009-12-22,27.13,27.5,27.0,27.5,764600,0.0,0
2009-12-23,27.49,27.7,27.35,27.42,500900,0.0,0
2009-12-24,27.44,27.57,27.38,27.53,158800,0.0,0
2009-12-28,27.54,27.67,27.42,27.49,316800,0.0,0
2009-12-29,27.56,27.64,27.5,27.63,315400,0.0,0
2009-12-30,27.54,27.75,27.46,27.55,318000,0.0,0
2009-12-31,27.57,27.63,27.09,27.09,509400,0.0,0
2010-01-04,27.32,27.65,27.22,27.6,750700,0.0,0
2010-01-05,27.56,27.62,27.23,27.59,948800,0.0,0
2010-01-06,27.61,27.96,27.5,27.89,812100,0.0,0
2010-01-07,27.78,28.01,27.67,28.0,536300,0.0,0
2010-01-08,27.92,28.04,27.78,28.01,640700,0.0,0
2010-01-11,28.07,28.15,27.68,27.75,580800,0.0,0
2010-01-12,27.67,27.78,27.43,27.58,735600,0.0,0
2010-01-13,27.58,27.88,27.56,27.86,671900,0.0,0
2010-01-14,27.78,28.05,27.65,28.05,434300,0.0,0
2010-01-15,27.95,28.0,27.74,27.84,775900,0.0,0
2010-01-19,27.77,28.03,27.74,28.0,546700,0.0,0
2010-01-20,27.85,27.94,27.56,27.86,639900,0.0,0
2010-01-21,27.83,28.29,27.72,27.72,1043400,0.0,0
2010-01-22,27.79,27.79,27.48,27.57,1101900,0.0,0
2010-01-25,27.81,28.0,27.51,27.93,1113100,0.0,0
2010-01-26,27.91,27.99,27.65,27.71,651600,0.0,0
2010-01-27,27.6,28.2,27.6,28.2,1016600,0.0,0
2010-01-28,28.25,28.25,27.72,27.83,1112600,0.0,0
2010-01-29,27.91,28.22,27.7,28.07,1514700,0.0,0
2010-02-01,28.16,29.29,28.04,29.29,2491800,0.0,0
2010-02-02,29.32,29.46,28.86,29.28,2638100,0.0,0
2010-02-03,29.06,29.29,28.86,28.98,1127600,0.0,0
2010-02-04,28.22,28.72,27.51,27.82,2989300,0.0,0
2010-02-05,27.78,28.23,27.13,27.69,2224100,0.0,0
2010-02-08,27.74,27.82,27.26,27.35,1199100,0.0,0
2010-02-09,27.58,27.9,27.39,27.6,1891400,0.0,0
2010-02-10,27.49,27.72,27.24,27.5,1402300,0.0,0
2010-02-11,27.51,27.78,27.25,27.72,1284500,0.0,0
2010-02-12,27.54,27.79,27.41,27.58,1432300,0.0,0
2010-02-16,27.75,28.05,27.5,28.03,1613400,0.0,0
2010-02-17,28.1,28.57,28.08,28.5,1478400,0.0,0
2010-02-18,28.49,28.58,28.05,28.11,1784500,0.04,0
2010-02-19,28.01,28.27,28.01,28.1,1884400,0.0,0
2010-02-22,28.1,28.17,27.9,28.07,828500,0.0,0
2010-02-23,28.08,28.21,27.71,27.85,1149000,0.0,0
2010-02-24,27.9,28.37,27.89,28.36,1170900,0.0,0
2010-02-25,28.1,28.39,27.85,28.36,904900,0.0,0
2010-02-26,28.42,28.45,28.2,28.33,1021000,0.0,0
2010-03-01,28.3,28.71,28.21,28.68,749000,0.0,0
2010-03-02,28.83,28.96,28.69,28.78,818900,0.0,0
2010-03-03,28.91,28.93,28.62,28.68,529500,0.0,0
2010-03-04,28.8,28.81,28.58,28.76,684000,0.0,0
2010-03-05,28.81,29.28,28.74,29.28,1346300,0.0,0
2010-03-08,29.23,29.28,28.96,29.01,642800,0.0,0
2010-03-09,28.98,29.24,28.89,29.01,579000,0.0,0
2010-03-10,28.97,29.29,28.92,29.16,768700,0.0,0
2010-03-11,29.05,29.23,28.95,29.23,609400,0.0,0
2010-03-12,29.28,29.43,29.06,29.43,514700,0.0,0
2010-03-15,29.45,29.67,29.32,29.64,788600,0.0,0
2010-03-16,29.78,30.47,29.61,30.43,1028000,0.0,0
2010-03-17,30.45,30.89,30.37,30.87,1090500,0.0,0
2010-03-18,30.82,31.67,30.77,31.36,2564800,0.0,0
2010-03-19,31.2,31.55,30.95,31.2,1694100,0.0,0
2010-03-22,31.01,31.57,30.99,31.53,966600,0.0,0
2010-03-23,31.51,31.56,31.25,31.49,841300,0.0,0
2010-03-24,31.44,31.64,31.39,31.48,904900,0.0,0
2010-03-25,31.6,31.78,31.51,31.53,1639400,0.0,0
2010-03-26,31.68,31.71,31.47,31.69,1093300,0.0,0
2010-03-29,31.82,32.17,31.67,31.96,1315800,0.0,0
2010-03-30,31.95,32.1,31.72,31.77,1147700,0.0,0
2010-03-31,31.65,31.68,31.32,31.44,1336200,0.0,0
2010-04-01,31.6,31.75,31.12,31.38,878500,0.0,0
2010-04-05,31.27,31.66,31.27,31.57,893000,0.0,0
2010-04-06,31.48,31.6,31.43,31.43,1271400,0.0,0
2010-04-07,31.33,31.53,31.04,31.12,1017700,0.0,0
2010-04-08,31.07,31.29,30.88,31.26,755400,0.0,0
2010-04-09,31.12,31.3,31.12,31.24,641300,0.0,0
2010-04-12,31.23,31.28,31.03,31.09,681000,0.0,0
2010-04-13,31.0,31.34,31.0,31.26,655700,0.0,0
2010-04-14,31.25,31.46,31.15,31.46,808600,0.0,0
2010-04-15,31.31,31.4,31.1,31.31,835800,0.0,0
2010-04-16,31.22,31.28,30.55,30.59,1896700,0.0,0
2010-04-19,30.46,30.77,30.32,30.62,1038100,0.0,0
2010-04-20,30.78,30.95,30.65,30.91,553700,0.0,0
2010-04-21,30.82,31.03,30.82,30.97,581000,0.0,0
2010-04-22,30.38,31.56,30.38,31.53,851100,0.0,0
2010-04-23,31.56,31.59,31.21,31.56,654500,0.0,0
2010-04-26,31.47,31.81,31.41,31.55,555400,0.0,0
2010-04-27,31.47,31.78,31.08,31.09,1048400,0.0,0
2010-04-28,31.3,31.36,30.83,30.96,1225100,0.0,0
2010-04-29,29.69,29.77,29.03,29.44,2352500,0.0,0
2010-04-30,29.45,29.77,29.34,29.51,1624400,0.0,0
2010-05-03,29.72,29.89,29.48,29.76,1321500,0.0,0
2010-05-04,29.43,29.43,28.82,29.21,1448600,0.0,0
2010-05-05,28.93,29.35,28.93,29.06,1045500,0.0,0
2010-05-06,29.01,29.45,27.26,27.86,3002300,0.0,0
2010-05-07,27.94,28.16,27.39,27.73,3778400,0.0,0
2010-05-10,29.11,29.15,28.39,28.95,1937700,0.0,0
2010-05-11,28.69,29.0,28.57,28.82,1669700,0.0,0
2010-05-12,28.65,29.2,28.54,29.19,1228800,0.0,0
2010-05-13,29.07,29.3,28.8,28.8,1067700,0.0,0
