Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,20.47,20.61,19.9,20.01,3434800,0.0,0
2009-12-08,19.78,20.09,19.56,19.81,2832700,0.0,0
2009-12-09,19.87,20.08,19.67,19.75,3061900,0.0,0
2009-12-10,19.87,19.91,19.52,19.62,2178600,0.0,0
2009-12-11,19.72,20.02,19.54,20.0,2607600,0.0,0
2009-12-14,20.1,20.43,19.77,20.36,2936900,0.0,0
2009-12-15,20.2,20.32,20.07,20.12,2898800,0.0,0
2009-12-16,20.23,20.31,20.12,20.19,3344900,0.0,0
2009-12-17,20.17,20.21,19.91,20.04,4100800,0.338,0
2009-12-18,20.13,20.58,19.94,20.52,6336500,0.0,0
2009-12-21,20.54,21.13,20.54,21.12,2547000,0.0,0
2009-12-22,21.16,21.51,21.0,21.51,2504300,0.0,0
2009-12-23,21.47,22.13,21.47,21.97,3742200,0.0,0
2009-12-24,22.12,22.33,21.98,22.2,1755500,0.0,0
2009-12-28,22.25,22.89,22.16,22.65,4298900,0.0,0
2009-12-29,22.69,22.78,21.98,22.01,2955100,0.0,0
2009-12-30,22.02,22.06,21.69,22.0,2256700,0.0,0
2009-12-31,22.11,22.2,21.16,21.25,3561600,0.0,0
2010-01-04,21.43,21.72,20.91,21.01,3299500,0.0,0
2010-01-05,20.96,21.07,20.71,20.93,4545400,0.0,0
2010-01-06,20.93,21.17,20.93,21.05,3409700,0.0,0
2010-01-07,20.94,21.5,20.88,21.25,3637300,0.0,0
2010-01-08,21.17,21.31,20.82,20.98,2325900,0.0,0
2010-01-11,21.12,21.3,20.85,20.92,2320600,0.0,0
2010-01-12,20.75,20.94,20.46,20.62,2684400,0.0,0
2010-01-13,20.72,21.32,20.69,21.27,3128000,0.0,0
2010-01-14,21.09,21.3,20.98,21.23,1810800,0.0,0
2010-01-15,21.12,21.18,20.93,20.99,2485600,0.0,0
2010-01-19,21.27,21.68,21.05,21.66,2517000,0.0,0
2010-01-20,21.47,21.47,21.16,21.25,2941000,0.0,0
2010-01-21,21.26,21.54,20.69,20.72,4540500,0.0,0
2010-01-22,20.74,21.01,20.01,20.09,4798300,0.0,0
2010-01-25,20.3,20.38,19.81,20.08,3559400,0.0,0
2010-01-26,20.0,20.37,19.81,20.04,2341200,0.0,0
2010-01-27,19.99,20.44,19.76,20.41,3021100,0.0,0
2010-01-28,20.54,20.55,20.06,20.31,2204700,0.0,0
2010-01-29,20.38,20.58,19.99,20.16,3315200,0.0,0
2010-02-01,20.33,20.67,20.29,20.62,2502800,0.0,0
2010-02-02,20.61,20.98,20.4,20.98,3170800,0.0,0
2010-02-03,20.85,20.85,20.31,20.37,2429000,0.0,0
2010-02-04,21.38,21.84,20.57,20.59,7454100,0.0,0
2010-02-05,20.7,20.96,20.16,20.74,4661000,0.0,0
2010-02-08,20.72,20.91,20.37,20.41,3303800,0.0,0
2010-02-09,20.66,20.74,20.21,20.38,3456700,0.0,0
2010-02-10,20.36,20.66,20.02,20.3,3014900,0.0,0
2010-02-11,20.2,20.62,20.06,20.61,2615300,0.0,0
2010-02-12,20.42,20.93,20.25,20.89,3192800,0.0,0
2010-02-16,21.27,21.67,21.11,21.64,3112600,0.0,0
2010-02-17,21.67,21.81,21.58,21.77,2615100,0.0,0
2010-02-18,21.64,22.18,21.62,22.06,3128900,0.0,0
2010-02-19,21.94,22.39,21.83,22.31,3696200,0.0,0
2010-02-22,22.33,22.79,22.15,22.6,4216900,0.0,0
2010-02-23,22.63,22.63,22.32,22.46,4729700,0.0,0
2010-02-24,22.55,22.72,22.32,22.72,3003000,0.0,0
2010-02-25,22.44,22.81,22.23,22.8,2843400,0.0,0
2010-02-26,22.78,22.96,22.66,22.7,3645800,0.0,0
2010-03-01,22.93,22.93,22.64,22.71,2461500,0.0,0
2010-03-02,22.79,22.88,22.61,22.72,2009000,0.0,0
2010-03-03,22.78,22.78,22.49,22.55,2456600,0.0,0
2010-03-04,22.61,22.77,22.52,22.7,2356300,0.0,0
2010-03-05,22.82,23.47,22.67,23.45,3557400,0.0,0
2010-03-08,23.44,23.73,23.37,23.67,2450200,0.0,0
2010-03-09,23.5,24.3,23.47,24.1,5593900,0.0,0
2010-03-10,24.17,24.22,23.84,24.17,3577600,0.0,0
2010-03-11,24.13,24.22,23.87,24.21,2073600,0.338,0
2010-03-12,24.31,24.44,23.99,24.16,2517800,0.0,0
2010-03-15,24.1,24.29,23.8,24.19,2118100,0.0,0
2010-03-16,24.36,25.06,24.25,24.99,3139400,0.0,0
2010-03-17,25.12,25.38,24.94,25.33,2725600,0.0,0
2010-03-18,25.33,25.66,25.14,25.16,3333700,0.0,0
2010-03-19,24.95,25.28,24.81,24.95,4076800,0.0,0
2010-03-22,24.81,25.24,24.72,25.17,2609300,0.0,0
2010-03-23,25.07,25.15,24.77,25.1,2193000,0.0,0
2010-03-24,24.82,25.2,24.79,24.99,4154300,0.0,0
2010-03-25,25.12,25.51,25.04,25.07,4088900,0.0,0
2010-03-26,25.19,25.29,24.81,24.98,2853700,0.0,0
2010-03-29,25.1,25.11,24.82,24.98,2162900,0.0,0
2010-03-30,25.0,25.24,24.82,25.07,2619600,0.0,0
2010-03-31,24.84,25.13,24.75,24.85,2559400,0.0,0
2010-04-01,25.05,25.05,24.65,24.84,2455000,0.0,0
2010-04-05,24.92,25.55,24.89,25.54,3486200,0.0,0
2010-04-06,25.43,26.4,25.36,26.38,3894800,0.0,0
2010-04-07,26.28,26.41,25.68,25.79,3551700,0.0,0
2010-04-08,25.6,25.78,25.5,25.74,3425600,0.0,0
2010-04-09,25.84,26.63,25.83,26.63,3562500,0.0,0
2010-04-12,26.6,26.76,26.47,26.64,2788600,0.0,0
2010-04-13,26.63,27.4,26.6,27.31,3347100,0.0,0
2010-04-14,27.53,27.53,27.17,27.35,2726700,0.0,0
2010-04-15,27.28,27.4,26.61,26.68,3183500,0.0,0
2010-04-16,26.5,26.77,26.0,26.09,4141400,0.0,0
2010-04-19,25.88,26.35,25.73,26.12,2764300,0.0,0
2010-04-20,26.25,26.67,26.02,26.67,1986600,0.0,0
2010-04-21,26.64,27.63,26.56,27.26,3602600,0.0,0
2010-04-22,26.98,27.83,26.82,27.77,3168900,0.0,0
2010-04-23,27.83,28.34,27.59,28.31,3670100,0.0,0
2010-04-26,28.65,28.99,28.47,28.73,3190400,0.0,0
2010-04-27,28.52,28.8,27.73,27.74,3517000,0.0,0
2010-04-28,28.04,28.19,27.78,27.88,3128700,0.0,0
2010-04-29,28.25,30.07,28.09,29.93,5231700,0.0,0
2010-04-30,28.96,29.88,28.65,28.73,4705600,0.0,0
2010-05-03,28.97,30.47,28.97,30.16,4182200,0.0,0
2010-05-04,29.82,30.19,29.52,29.84,3873100,0.0,0
2010-05-05,29.64,30.05,29.15,29.37,3228800,0.0,0
2010-05-06,29.19,30.12,26.34,28.14,6124000,0.0,0
2010-05-07,28.14,28.89,27.17,27.57,4620900,0.0,0
2010-05-10,29.12,29.91,28.79,29.83,4667400,0.0,0
