Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,32.38,32.99,32.28,32.7,3877200,0.0,0
2009-12-08,32.59,32.81,32.31,32.57,3119000,0.0,0
2009-12-09,32.6,32.79,32.43,32.79,2995800,0.0,0
2009-12-10,32.99,33.41,32.94,33.27,4078100,0.0,0
2009-12-11,33.48,33.76,33.17,33.64,3362800,0.0,0
2009-12-14,33.82,33.88,33.31,33.49,4980300,0.0,0
2009-12-15,33.47,33.56,33.16,33.28,4786700,0.0,0
2009-12-16,33.48,33.48,32.71,32.76,4485000,0.0,0
2009-12-17,32.55,32.6,31.7,32.3,5062700,0.0,0
2009-12-18,32.51,32.68,32.13,32.42,5053800,0.0,0
2009-12-21,32.55,32.63,32.08,32.22,4323900,0.0,0
2009-12-22,32.34,32.48,31.96,32.0,4096500,0.0,0
2009-12-23,32.02,32.29,31.95,32.19,2756800,0.0,0
2009-12-24,32.18,32.46,32.18,32.28,742600,0.0,0
2009-12-28,32.39,32.51,32.03,32.21,2983900,0.0,0
2009-12-29,32.24,32.42,32.15,32.15,2780500,0.0,0
2009-12-30,32.1,32.26,32.09,32.2,2440800,0.0,0
2009-12-31,32.19,32.31,31.83,31.85,1888300,0.0,0
2010-01-04,31.98,32.08,31.79,31.86,4367600,0.0,0
2010-01-05,31.9,31.9,31.09,31.34,5222400,0.0,0
2010-01-06,31.33,31.54,30.99,31.53,4089000,0.0,0
2010-01-07,31.37,31.69,31.37,31.63,5127000,0.0,0
2010-01-08,31.48,31.61,31.42,31.48,5090300,0.0,0
2010-01-11,31.61,31.99,31.54,31.85,5094600,0.0,0
2010-01-12,31.81,32.19,31.63,31.98,4616900,0.0,0
2010-01-13,32.02,32.51,32.0,32.37,3616800,0.0,0
2010-01-14,32.36,32.36,31.94,31.99,5611800,0.0,0
2010-01-15,31.86,31.95,31.48,31.68,6349800,0.0,0
2010-01-19,31.6,32.12,31.55,32.12,4730600,0.0,0
2010-01-20,31.95,31.98,31.31,31.58,9356900,0.0,0
2010-01-21,31.66,31.91,31.07,31.32,7262900,0.0,0
2010-01-22,31.24,31.31,30.36,30.38,7045300,0.0,0
2010-01-25,30.71,30.76,30.02,30.04,5537700,0.0,0
2010-01-26,30.09,30.51,29.72,30.37,7818200,0.0,0
2010-01-27,30.37,30.37,29.83,30.17,6103700,0.0,0
2010-01-28,30.64,30.64,29.8,29.96,3971000,0.0,0
2010-01-29,30.64,30.77,29.72,29.74,5774900,0.0,0
2010-02-01,29.88,30.28,29.64,29.89,4308300,0.0,0
2010-02-02,29.91,30.21,29.66,30.07,3749700,0.0,0
2010-02-03,30.0,30.0,29.7,29.79,7963700,0.0,0
2010-02-04,29.78,29.78,29.15,29.17,9048000,0.0,0
2010-02-05,29.04,29.1,28.32,28.84,10804100,0.0,0
2010-02-08,29.13,29.16,28.52,28.52,3053800,0.0,0
2010-02-09,28.75,29.06,28.61,28.82,4478300,0.0,0
2010-02-10,28.76,28.95,28.49,28.88,4410100,0.0,0
2010-02-11,28.88,28.91,28.46,28.84,6387000,0.525,0
2010-02-12,28.74,28.76,28.34,28.56,5287800,0.0,0
2010-02-16,28.75,29.2,28.7,29.16,4076700,0.0,0
2010-02-17,29.38,29.38,28.95,29.02,2853100,0.0,0
2010-02-18,28.93,29.39,28.87,29.33,4149200,0.0,0
2010-02-19,29.24,29.74,29.24,29.6,3848900,0.0,0
2010-02-22,29.8,29.8,29.43,29.48,3226500,0.0,0
2010-02-23,29.37,29.48,29.09,29.12,3796900,0.0,0
2010-02-24,29.16,29.27,28.75,29.03,5129700,0.0,0
2010-02-25,28.75,28.94,28.38,28.9,4256900,0.0,0
2010-02-26,28.9,29.0,28.53,28.56,4821300,0.0,0
2010-03-01,28.81,29.49,28.7,29.33,5827500,0.0,0
2010-03-02,29.39,29.55,29.14,29.25,5345800,0.0,0
2010-03-03,29.35,29.58,29.24,29.33,3945300,0.0,0
2010-03-04,29.45,29.55,29.23,29.5,4064200,0.0,0
2010-03-05,29.64,30.06,29.63,30.01,4107300,0.0,0
2010-03-08,30.08,30.18,29.8,29.9,2736100,0.0,0
2010-03-09,29.99,29.99,29.55,29.66,3876200,0.0,0
2010-03-10,29.75,29.87,29.62,29.76,4188400,0.0,0
2010-03-11,29.86,29.95,29.52,29.64,3446500,0.0,0
2010-03-12,29.65,29.68,29.05,29.13,4897200,0.0,0
2010-03-15,29.18,29.3,29.04,29.29,3190100,0.0,0
2010-03-16,29.3,29.96,29.3,29.91,4960100,0.0,0
2010-03-17,30.04,30.05,29.78,29.91,3612900,0.0,0
2010-03-18,29.74,29.84,29.33,29.47,4298800,0.0,0
2010-03-19,29.43,29.62,29.19,29.43,5504500,0.0,0
2010-03-22,29.39,29.66,29.18,29.24,4036100,0.0,0
2010-03-23,29.2,29.36,29.04,29.23,5690800,0.0,0
2010-03-24,29.31,29.31,28.69,28.73,5892600,0.0,0
2010-03-25,28.77,28.92,28.4,28.56,6220800,0.0,0
2010-03-26,28.54,28.62,28.34,28.49,3129100,0.0,0
2010-03-29,28.69,28.98,28.57,28.97,3086100,0.0,0
2010-03-30,29.0,29.15,28.9,29.0,2793900,0.0,0
2010-03-31,28.89,29.02,28.73,28.9,2714500,0.0,0
2010-04-01,29.02,29.54,28.93,29.21,3300200,0.0,0
2010-04-05,29.31,29.43,29.09,29.29,2630800,0.0,0
2010-04-06,29.17,29.75,29.1,29.74,3636500,0.0,0
2010-04-07,29.68,29.71,29.39,29.51,3253600,0.0,0
2010-04-08,29.58,29.58,29.21,29.31,2671600,0.0,0
2010-04-09,29.29,29.29,28.99,29.2,3092200,0.0,0
2010-04-12,29.28,29.68,29.28,29.41,3092500,0.0,0
2010-04-13,29.44,29.45,28.99,29.39,3818400,0.0,0
2010-04-14,29.35,29.37,29.18,29.37,3267300,0.0,0
2010-04-15,29.21,29.37,28.93,29.29,4153100,0.0,0
2010-04-16,29.02,29.02,28.57,28.77,7193200,0.0,0
2010-04-19,28.77,28.9,28.6,28.75,3898000,0.0,0
2010-04-20,29.01,29.12,28.83,29.1,3478800,0.0,0
2010-04-21,28.97,29.12,28.71,28.76,5988500,0.0,0
2010-04-22,28.79,28.93,28.48,28.79,5433400,0.0,0
2010-04-23,28.63,29.02,28.22,28.99,7397900,0.0,0
2010-04-26,29.02,29.33,28.73,28.77,6001300,0.0,0
2010-04-27,28.72,28.81,28.26,28.27,5365700,0.0,0
2010-04-28,28.46,28.73,28.23,28.62,8886900,0.0,0
2010-04-29,28.69,28.86,28.45,28.54,3994300,0.0,0
2010-04-30,28.62,28.95,28.57,28.75,5342500,0.0,0
2010-05-03,28.94,29.16,28.79,29.11,2551100,0.0,0
2010-05-04,28.96,29.02,28.34,28.48,4723700,0.0,0
2010-05-05,28.36,28.88,28.32,28.82,6826700,0.0,0
2010-05-06,28.6,28.6,18.6,27.61,12427000,0.0,0
2010-05-07,27.44,27.75,27.01,27.4,11766700,0.0,0
2010-05-10,28.22,28.36,27.69,28.1,5955500,0.0,0
2010-05-11,27.97,28.49,27.88,28.15,3666700,0.0,0
2010-05-12,28.36,28.42,28.07,28.16,7451700,0.525,0
2010-05-13,28.15,28.52,28.08,28.1,6209800,0.0,0
2010-05-14,28.05,28.34,27.63,27.84,6299500,0.0,0
2010-05-17,27.9,27.99,27.33,27.62,5093400,0.0,0
2010-05-18,27.7,27.74,27.21,27.24,4231700,0.0,0
2010-05-19,27.14,27.24,26.88,27.11,4875800,0.0,0
2010-05-20,26.79,26.79,26.25,26.25,5467600,0.0,0
2010-05-21,25.56,26.43,25.56,26.33,5383500,0.0,0
2010-05-24,26.26,26.49,25.97,26.01,3249600,0.0,0
2010-05-25,25.54,25.65,25.02,25.63,7046900,0.0,0
2010-05-26,26.41,26.41,25.39,25.42,5540800,0.0,0
