Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,34.07,34.43,33.19,33.28,1355500,0.0,0.0
2009-12-08,33.11,33.66,32.68,33.19,1045400,0.0,0.0
2009-12-09,33.07,33.61,32.58,33.45,1558400,0.0,0.0
2009-12-10,33.65,34.31,33.62,33.94,1780300,0.0,0.0
2009-12-11,34.11,34.19,33.38,33.93,1431700,0.0,0.0
2009-12-14,34.09,34.32,33.91,34.15,889000,0.0,0.0
2009-12-15,34.16,34.31,33.6,33.68,928200,0.0,0.0
2009-12-16,33.78,34.81,33.68,34.19,1107500,0.0,0.0
2009-12-17,33.99,34.24,33.24,33.24,1101400,0.0,0.0
2009-12-18,33.46,33.7,32.46,33.37,3026000,0.0,0.0
2009-12-21,33.49,34.79,33.42,34.56,1082600,0.0,0.0
2009-12-22,34.59,35.29,34.53,35.08,1125300,0.0,0.0
2009-12-23,35.16,35.87,35.05,35.82,1299500,0.0,0.0
2009-12-24,35.78,36.03,35.57,35.7,209600,0.0,0.0
2009-12-28,35.78,36.37,35.7,35.8,989100,0.0,0.0
2009-12-29,35.92,36.13,35.0,35.12,903400,0.0,0.0
2009-12-30,35.18,35.26,34.72,34.98,1032100,0.0,0.0
2009-12-31,35.01,35.17,33.99,34.02,1198500,0.0,0.0
2010-01-04,33.99,34.26,33.61,34.14,2186500,0.0,0.0
2010-01-05,34.05,34.42,33.49,34.28,2431800,0.0,0.0
2010-01-06,34.02,34.22,32.38,32.53,3880000,0.0,0.0
2010-01-07,32.76,32.92,31.89,32.35,1777300,0.0,0.0
2010-01-08,32.53,32.53,31.6,32.05,2264300,0.0,0.0
2010-01-11,32.22,32.33,31.41,31.77,2786600,0.0,0.0
2010-01-12,31.52,31.63,30.61,30.78,2158500,0.0,0.0
2010-01-13,30.89,31.32,30.24,31.16,2268000,0.0,0.0
2010-01-14,30.94,31.76,30.44,30.49,2316900,0.0,0.0
2010-01-15,30.53,30.83,29.84,30.05,1785600,0.0,0.0
2010-01-19,30.03,30.22,29.71,30.08,2119700,0.0,0.0
2010-01-20,29.74,30.05,29.1,29.38,1899200,0.0,0.0
2010-01-21,29.46,30.11,28.49,29.39,1955800,0.0,0.0
2010-01-22,29.31,29.48,28.56,28.78,2795600,0.0,0.0
2010-01-25,28.85,29.15,28.7,28.73,1979700,0.0,0.0
2010-01-26,28.57,29.67,28.53,29.31,2118800,0.0,0.0
2010-01-27,29.1,29.52,28.74,29.25,1608100,0.0,0.0
2010-01-28,29.39,29.79,28.29,28.66,1969300,0.0,0.0
2010-01-29,28.85,29.37,28.16,28.31,2480400,0.0,0.0
2010-02-01,28.44,29.35,28.27,29.22,2002000,0.0,0.0
2010-02-02,29.27,29.43,28.64,29.18,1748200,0.0,0.0
2010-02-03,29.0,29.3,28.62,29.23,1382500,0.0,0.0
2010-02-04,29.21,29.23,28.24,28.29,1807900,0.0,0.0
2010-02-05,28.28,28.45,27.47,28.11,2468500,0.0,0.0
2010-02-08,28.04,28.96,28.02,28.32,1393500,0.0,0.0
2010-02-09,28.77,29.15,28.41,28.93,2003700,0.0,0.0
2010-02-10,28.86,29.75,28.69,29.4,3673900,0.0,0.0
2010-02-11,27.86,28.49,26.67,28.12,10262700,0.0,0.0
2010-02-12,28.18,28.41,27.14,28.23,3157000,0.0,0.0
2010-02-16,28.4,29.43,28.23,29.33,2750000,0.0,0.0
2010-02-17,29.44,29.6,28.82,28.93,3859300,0.0,0.0
2010-02-18,28.92,30.32,28.81,30.21,3083600,0.0,0.0
2010-02-19,30.16,30.4,29.83,29.87,2253000,0.0,0.0
2010-02-22,29.93,30.04,29.42,29.59,2197600,0.0,0.0
2010-02-23,29.47,29.97,28.97,29.64,2376500,0.0,0.0
2010-02-24,29.87,30.25,29.6,29.92,1778400,0.0,0.0
2010-02-25,29.59,29.75,29.15,29.62,2322000,0.0,0.0
2010-02-26,29.54,29.74,29.14,29.4,3165700,0.0,0.0
2010-03-01,29.54,30.67,29.31,30.58,2556500,0.0,0.0
2010-03-02,30.56,30.87,30.4,30.56,2593600,0.0,0.0
2010-03-03,30.61,30.69,30.05,30.24,2600900,0.0,0.0
2010-03-04,30.17,30.57,29.89,30.5,1304100,0.0,0.0
2010-03-05,30.41,30.91,30.32,30.71,1742200,0.0,0.0
2010-03-08,30.45,30.81,30.38,30.58,1105700,0.0,0.0
2010-03-09,30.37,30.79,30.21,30.44,1325200,0.14,0.0
2010-03-10,30.41,30.86,30.18,30.52,2161200,0.0,0.0
2010-03-11,30.3,30.44,29.68,30.37,2185900,0.0,0.0
2010-03-12,30.44,30.44,29.55,29.59,2466000,0.0,0.0
2010-03-15,29.6,30.09,29.39,30.01,2054800,0.0,0.0
2010-03-16,30.01,30.3,29.57,30.18,2783700,0.0,0.0
2010-03-17,30.49,30.66,30.26,30.37,1798400,0.0,0.0
2010-03-18,29.98,30.48,29.93,30.1,1788200,0.0,0.0
2010-03-19,30.09,30.36,29.88,30.09,3214500,0.0,0.0
2010-03-22,30.05,31.13,29.61,31.1,3318500,0.0,0.0
2010-03-23,30.85,31.11,30.12,30.38,3202300,0.0,0.0
2010-03-24,30.24,30.59,30.12,30.24,1475200,0.0,0.0
2010-03-25,30.4,30.91,30.28,30.34,1834400,0.0,0.0
2010-03-26,30.45,30.7,30.02,30.42,2250500,0.0,0.0
2010-03-29,30.44,32.98,30.4,32.29,5285000,0.0,0.0
2010-03-30,32.13,32.78,32.09,32.31,2429900,0.0,0.0
2010-03-31,32.24,33.42,32.04,33.09,3200100,0.0,0.0
2010-04-01,33.19,33.43,32.33,32.4,2095900,0.0,0.0
2010-04-05,32.41,33.27,32.25,33.21,1948700,0.0,0.0
2010-04-06,32.97,34.06,32.82,33.54,3204800,0.0,0.0
2010-04-07,33.61,33.94,32.82,33.07,2423900,0.0,0.0
2010-04-08,33.07,33.21,32.41,32.8,2442700,0.0,0.0
2010-04-09,32.88,33.09,32.44,32.58,1273000,0.0,0.0
2010-04-12,33.55,33.96,32.58,33.39,2697700,0.0,0.0
2010-04-13,34.48,34.6,33.17,33.22,4927200,0.0,0.0
2010-04-14,33.27,34.1,33.27,33.79,3872900,0.0,0.0
2010-04-15,33.94,34.33,33.57,33.66,2977500,0.0,0.0
2010-04-16,33.51,33.88,32.78,32.96,3282600,0.0,0.0
2010-04-19,32.66,33.06,32.2,32.77,2491100,0.0,0.0
2010-04-20,33.01,33.54,32.84,33.23,1396900,0.0,0.0
2010-04-21,33.07,33.3,32.49,32.66,2352000,0.0,0.0
2010-04-22,32.17,32.84,31.95,32.53,2497800,0.0,0.0
2010-04-23,32.49,32.76,31.93,32.07,2624200,0.0,0.0
2010-04-26,32.05,33.33,31.97,32.66,2226700,0.0,0.0
2010-04-27,32.35,33.13,31.2,31.4,3783600,0.0,0.0
2010-04-28,31.5,31.82,30.97,31.17,2125400,0.0,0.0
2010-04-29,31.3,33.02,31.3,32.5,3941700,0.0,0.0
2010-04-30,33.14,33.14,30.87,31.31,5419300,0.0,0.0
2010-05-03,31.31,32.19,31.31,32.04,3109600,0.0,0.0
2010-05-04,31.64,31.64,30.49,31.11,3561400,0.0,0.0
2010-05-05,30.99,31.83,29.98,31.23,3768700,0.0,0.0
2010-05-06,30.85,31.6,29.28,30.58,4330600,0.0,0.0
2010-05-07,30.04,30.83,28.82,29.18,4551500,0.0,0.0
2010-05-10,30.06,31.39,29.96,31.36,3391100,0.0,0.0
2010-05-11,30.49,31.15,29.18,30.74,3896900,0.0,0.0
2010-05-12,30.66,31.3,30.41,31.27,2253800,0.0,0.0
2010-05-13,30.94,31.5,30.93,31.17,2569900,0.0,0.0
2010-05-14,30.93,30.97,29.83,30.24,2490100,0.0,0.0
2010-05-17,30.46,30.69,29.69,30.65,3291700,0.0,0.0
2010-05-18,30.86,31.68,29.97,30.1,4252000,0.0,0.0
2010-05-19,29.88,30.54,29.23,30.02,3413000,0.0,0.0
2010-05-20,29.23,29.69,28.39,28.74,3185500,0.0,0.0
2010-05-21,28.45,29.31,27.78,28.88,4332800,0.0,0.0
2010-05-24,28.78,29.41,28.51,28.55,2903700,0.0,0.0
2010-05-25,27.75,28.78,27.41,28.75,3801900,0.14,0.0
2010-05-26,28.94,29.34,28.57,28.79,2641000,0.0,0.0
2010-05-27,29.6,29.6,28.86,29.32,2508900,0.0,0.0
2010-05-28,29.24,29.55,28.39,28.69,2464700,0.0,0.0
2010-06-01,28.51,29.18,27.94,27.94,2160400,0.0,0.0
2010-06-02,28.01,28.45,27.7,28.41,2792600,0.0,0.0
2010-06-03,28.23,28.47,27.67,28.38,4540300,0.0,0.0
2010-06-04,27.77,27.99,26.66,26.85,3494400,0.0,0.0
2010-06-07,26.98,27.57,26.38,26.45,2366300,0.0,0.0
2010-06-08,26.37,26.72,25.52,26.24,3622800,0.0,0.0
2010-06-09,26.37,27.1,26.26,26.34,2566300,0.0,0.0
2010-06-10,26.78,27.37,26.53,27.34,2035700,0.0,0.0
2010-06-11,26.88,27.36,26.76,27.34,1690300,0.0,0.0
2010-06-14,27.57,28.14,27.13,27.67,1955400,0.0,0.0
2010-06-15,27.97,28.65,27.54,28.61,2241200,0.0,0.0
2010-06-16,28.54,29.02,28.25,28.78,2948400,0.0,0.0
2010-06-17,28.89,28.89,27.5,27.78,3013500,0.0,0.0
2010-06-18,27.91,28.19,27.67,27.9,3173400,0.0,0.0
2010-06-21,28.23,28.45,26.97,27.2,2071600,0.0,0.0
2010-06-22,27.33,27.95,27.1,27.18,3194400,0.0,0.0
2010-06-23,27.29,27.5,26.73,26.89,2714200,0.0,0.0
2010-06-24,26.68,26.97,25.64,25.79,3364300,0.0,0.0
2010-06-25,25.83,26.24,25.53,26.02,3579500,0.0,0.0
2010-06-28,26.2,26.6,26.05,26.21,2428400,0.0,0.0
2010-06-29,25.76,26.04,25.11,25.19,4380200,0.0,0.0
2010-06-30,25.08,25.84,24.87,24.99,2337300,0.0,0.0
2010-07-01,24.93,25.49,24.41,25.25,2603700,0.0,0.0
2010-07-02,25.15,25.21,24.35,24.39,3122000,0.0,0.0
2010-07-06,24.65,25.53,24.41,24.63,2536500,0.0,0.0
2010-07-07,24.83,25.57,24.63,25.49,2030700,0.0,0.0
2010-07-08,25.73,25.94,25.0,25.25,2843600,0.0,0.0
2010-07-09,24.88,25.17,24.75,25.12,3321500,0.0,0.0
2010-07-12,25.01,25.23,24.67,25.04,3105800,0.0,0.0
2010-07-13,25.41,26.41,25.32,26.21,4107900,0.0,0.0
2010-07-14,26.33,27.28,25.94,26.96,3310600,0.0,0.0
2010-07-15,27.02,27.55,26.6,27.47,2957800,0.0,0.0
2010-07-16,27.43,27.69,26.58,26.66,2601800,0.0,0.0
2010-07-19,26.78,27.2,26.49,27.06,2062400,0.0,0.0
2010-07-20,26.5,27.65,26.36,27.62,2384100,0.0,0.0
2010-07-21,27.67,27.98,27.1,27.42,2754100,0.0,0.0
2010-07-22,27.71,28.59,27.54,28.19,2002800,0.0,0.0
2010-07-23,28.15,29.26,27.91,29.22,2940800,0.0,0.0
2010-07-26,29.15,29.26,28.49,28.74,2738200,0.0,0.0
2010-07-27,28.86,29.12,28.53,28.75,3213200,0.0,0.0
2010-07-28,28.74,29.22,27.89,28.34,2657300,0.0,0.0
2010-07-29,28.49,29.02,27.66,28.03,3540800,0.0,0.0
2010-07-30,28.61,30.71,28.15,30.18,7689500,0.0,0.0
2010-08-02,30.51,30.93,30.08,30.3,3350000,0.0,0.0
2010-08-03,30.1,30.63,30.06,30.42,2877500,0.0,0.0
2010-08-04,31.37,32.56,30.91,32.36,5637000,0.0,0.0
2010-08-05,31.91,32.42,31.57,32.29,2465700,0.0,0.0
2010-08-06,31.47,32.76,31.47,32.74,2913900,0.0,0.0
2010-08-09,32.93,33.22,32.26,32.64,3174300,0.0,0.0
2010-08-10,32.24,33.04,31.89,32.84,2354200,0.0,0.0
2010-08-11,31.79,31.96,31.13,31.36,3056400,0.0,0.0
2010-08-12,30.95,31.71,30.93,31.63,3141600,0.0,0.0
2010-08-13,31.41,31.97,31.36,31.51,2011800,0.0,0.0
2010-08-16,31.24,31.79,31.05,31.69,2738000,0.0,0.0
2010-08-17,31.93,32.73,31.81,32.36,1739100,0.0,0.0
2010-08-18,32.17,32.34,31.56,31.59,4532000,0.0,0.0
2010-08-19,31.35,31.65,30.6,31.27,2514300,0.0,0.0
2010-08-20,31.24,31.55,30.91,31.45,1705600,0.0,0.0
2010-08-23,31.68,31.99,31.28,31.32,2615700,0.0,0.0
2010-08-24,30.81,31.01,30.13,30.17,3288000,0.14,0.0
2010-08-25,29.84,30.85,29.77,30.72,2679900,0.0,0.0
