Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,6.14,6.2,6.07,6.14,41476300,0.0,0
2009-12-08,6.12,6.13,6.04,6.08,57473000,0.0,0
2009-12-09,6.12,6.21,6.07,6.11,52852400,0.0,0
2009-12-10,6.16,6.27,6.14,6.24,63643700,0.0,0
2009-12-11,6.27,6.27,6.19,6.2,63474700,0.0,0
2009-12-14,6.2,6.27,6.18,6.26,37983700,0.0,0
2009-12-15,6.23,6.52,6.23,6.47,109417900,0.0,0
2009-12-16,6.51,6.65,6.49,6.54,71460500,0.0,0
2009-12-17,6.54,6.59,6.43,6.47,55724600,0.0,0
2009-12-18,6.59,6.71,6.53,6.67,88033100,0.0,0
2009-12-21,6.74,6.76,6.64,6.67,53335700,0.0,0
2009-12-22,6.75,6.83,6.69,6.83,50860300,0.0,0
2009-12-23,6.9,6.97,6.85,6.95,64815000,0.0,0
2009-12-24,7.01,7.03,6.94,6.98,24895700,0.0,0
2009-12-28,7.02,7.15,7.0,7.03,53979900,0.0,0
2009-12-29,7.08,7.09,6.96,6.97,40821600,0.0,0
2009-12-30,6.93,6.95,6.82,6.89,46699600,0.0,0
2009-12-31,6.92,6.94,6.84,6.89,31253700,0.0,0
2010-01-04,7.01,7.09,6.93,7.09,60855800,0.0,0
2010-01-05,7.2,7.75,7.17,7.56,215620200,0.0,0
2010-01-06,7.73,7.9,7.67,7.84,200070600,0.0,0
2010-01-07,7.9,8.06,7.8,8.04,130201700,0.0,0
2010-01-08,8.05,8.09,7.9,8.06,130463000,0.0,0
2010-01-11,8.2,8.37,8.12,8.35,170626200,0.0,0
2010-01-12,8.26,8.29,8.08,8.18,162995900,0.0,0
2010-01-13,8.21,8.22,7.91,8.05,154527100,0.0,0
2010-01-14,8.03,8.18,7.94,8.11,116531200,0.0,0
2010-01-15,8.09,8.11,7.96,8.0,96149800,0.0,0
2010-01-19,7.94,8.16,7.9,8.1,65934000,0.0,0
2010-01-20,8.05,8.06,7.93,7.94,71649500,0.0,0
2010-01-21,7.95,8.01,7.59,7.71,121451400,0.0,0
2010-01-22,7.59,7.67,7.18,7.25,161530100,0.0,0
2010-01-25,7.4,7.65,7.31,7.6,121621500,0.0,0
2010-01-26,7.7,7.9,7.63,7.71,108250500,0.0,0
2010-01-27,7.98,8.01,7.74,7.96,105091600,0.0,0
2010-01-28,8.2,8.24,7.77,7.87,203320000,0.0,0
2010-01-29,8.0,8.0,7.38,7.47,159741200,0.0,0
2010-02-01,7.68,7.71,7.54,7.67,82748200,0.0,0
2010-02-02,7.76,7.94,7.71,7.85,119714900,0.0,0
2010-02-03,7.92,8.04,7.87,8.02,90125500,0.0,0
2010-02-04,7.92,7.95,7.58,7.62,129792200,0.0,0
2010-02-05,7.56,7.66,7.23,7.52,181535200,0.0,0
2010-02-08,7.65,7.8,7.5,7.56,92031400,0.0,0
2010-02-09,7.71,7.74,7.6,7.69,83207100,0.0,0
2010-02-10,7.67,7.68,7.51,7.54,73395600,0.0,0
2010-02-11,7.58,7.71,7.5,7.71,65116200,0.0,0
2010-02-12,7.53,7.71,7.48,7.67,69465400,0.0,0
2010-02-16,7.73,7.85,7.66,7.8,62537500,0.0,0
2010-02-17,7.88,7.94,7.82,7.92,65983200,0.0,0
2010-02-18,7.87,7.91,7.78,7.85,53406800,0.0,0
2010-02-19,7.82,7.86,7.76,7.78,46990000,0.0,0
2010-02-22,7.83,7.85,7.71,7.73,41993100,0.0,0
2010-02-23,7.71,8.02,7.69,8.0,114688400,0.0,0
2010-02-24,8.08,8.19,8.03,8.09,84200800,0.0,0
2010-02-25,7.95,8.16,7.86,8.12,83114500,0.0,0
2010-02-26,8.16,8.17,8.0,8.09,72368400,0.0,0
2010-03-01,8.14,8.56,8.1,8.56,142605500,0.0,0
2010-03-02,8.7,8.74,8.4,8.42,193706600,0.0,0
2010-03-03,8.59,8.85,8.51,8.75,157004600,0.0,0
2010-03-04,8.81,8.82,8.63,8.82,89836800,0.0,0
2010-03-05,8.91,8.99,8.85,8.96,106920600,0.0,0
2010-03-08,8.92,8.93,8.82,8.91,78903200,0.0,0
2010-03-09,8.85,8.98,8.78,8.82,83934300,0.0,0
2010-03-10,8.88,8.93,8.82,8.84,56850600,0.0,0
2010-03-11,8.82,8.94,8.79,8.9,59274700,0.0,0
2010-03-12,8.98,9.22,8.95,9.2,104771000,0.0,0
2010-03-15,9.28,9.4,9.18,9.24,95072200,0.0,0
2010-03-16,9.3,9.31,9.18,9.3,74692700,0.0,0
2010-03-17,9.34,9.76,9.34,9.72,137318700,0.0,0
2010-03-18,9.81,10.02,9.41,9.47,235094400,0.0,0
2010-03-19,9.16,9.6,8.99,9.16,252411200,0.0,0
2010-03-22,8.95,9.65,8.83,9.64,170576100,0.0,0
2010-03-23,9.77,9.86,9.52,9.58,167002400,0.0,0
2010-03-24,9.49,9.69,9.49,9.58,91765400,0.0,0
2010-03-25,9.69,9.73,9.49,9.51,88909300,0.0,0
2010-03-26,9.58,9.64,9.49,9.56,60400400,0.0,0
2010-03-29,9.44,9.57,9.23,9.36,158225000,0.0,0
2010-03-30,9.34,9.4,9.09,9.16,142055200,0.0,0
2010-03-31,8.84,8.93,8.56,8.67,433659100,0.0,0
