Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-10-12,17.63,18.09,17.32,17.32,6467100,0.0,0
2012-10-15,17.37,17.64,17.32,17.57,633100,0.0,0
2012-10-16,17.39,17.76,17.07,17.6,180300,0.0,0
2012-10-17,17.52,17.88,17.32,17.52,121000,0.0,0
2012-10-18,17.42,17.68,17.34,17.52,146100,0.0,0
2012-10-19,17.54,17.61,17.23,17.23,298100,0.0,0
2012-10-22,17.32,17.33,16.75,16.85,359800,0.0,0
2012-10-23,16.67,17.12,16.58,16.95,166100,0.0,0
2012-10-24,16.74,17.29,16.74,17.21,158200,0.0,0
2012-10-25,17.79,17.79,16.08,16.85,206900,0.0,0
2012-10-26,17.33,17.33,16.43,16.96,199500,0.0,0
2012-10-31,16.33,16.85,16.33,16.85,36400,0.0,0
2012-11-01,16.92,17.3,16.34,17.05,203000,0.0,0
2012-11-02,16.81,17.05,16.39,16.82,72100,0.0,0
2012-11-05,16.62,16.82,16.33,16.54,33300,0.0,0
2012-11-06,16.35,17.3,15.92,16.83,370600,0.0,0
2012-11-07,16.58,17.22,16.58,16.88,155800,0.0,0
2012-11-08,16.12,17.09,16.12,16.58,141600,0.0,0
2012-11-09,16.16,16.76,16.16,16.38,209600,0.0,0
2012-11-12,16.29,16.38,16.19,16.33,12800,0.0,0
2012-11-13,16.35,16.59,15.8,15.87,47600,0.0,0
2012-11-14,15.8,16.3,15.49,15.88,123400,0.0,0
2012-11-15,16.21,17.08,15.55,16.53,367000,0.0,0
2012-11-16,16.73,17.51,16.1,16.64,104600,0.0,0
2012-11-19,16.67,17.07,16.33,16.94,77200,0.0,0
2012-11-20,16.96,17.11,16.65,16.95,251400,0.0,0
2012-11-21,16.94,17.3,16.67,17.02,33100,0.0,0
2012-11-23,17.07,17.37,16.88,17.14,94000,0.0,0
2012-11-26,17.12,17.24,16.88,17.08,77400,0.0,0
2012-11-27,16.89,17.15,16.75,17.05,55800,0.0,0
2012-11-28,17.27,17.31,16.8,17.07,94000,0.0,0
2012-11-29,17.28,18.16,17.02,17.97,164400,0.0,0
2012-11-30,18.25,18.29,17.58,17.81,44200,0.0,0
2012-12-03,17.82,18.31,17.21,17.91,47600,0.0,0
2012-12-04,18.04,18.04,17.23,17.64,30100,0.0,0
2012-12-05,17.4,17.91,17.4,17.79,33000,0.0,0
2012-12-06,17.58,17.59,17.14,17.44,41900,0.0,0
2012-12-07,17.5,17.66,17.42,17.57,42500,0.0,0
2012-12-10,17.7,17.73,17.18,17.44,72300,0.0,0
2012-12-11,17.23,17.65,17.02,17.36,72200,0.0,0
2012-12-12,17.29,17.59,17.29,17.46,58000,0.0,0
2012-12-13,17.23,17.79,17.11,17.69,135900,0.0,0
2012-12-14,17.25,17.47,17.07,17.39,44700,0.0,0
2012-12-17,17.48,18.31,17.32,17.79,107600,0.0,0
2012-12-18,17.74,19.05,17.52,18.6,142600,0.0,0
2012-12-19,18.6,19.68,17.94,18.98,192600,0.0,0
2012-12-20,18.75,18.82,18.25,18.82,200500,0.0,0
2012-12-21,18.43,18.98,17.5,18.78,1936500,0.0,0
2012-12-24,18.85,19.25,17.82,18.45,159000,0.0,0
2012-12-26,18.55,18.8,18.08,18.46,81300,0.0,0
2012-12-27,18.38,19.29,18.2,18.35,162100,0.0,0
2012-12-28,18.22,18.72,18.12,18.58,66400,0.0,0
2012-12-31,18.54,19.02,18.38,18.92,125600,0.0,0
2013-01-02,19.26,19.71,18.41,19.04,189700,0.0,0
2013-01-03,19.04,19.26,18.46,18.94,89100,0.0,0
2013-01-04,19.05,20.28,18.77,19.84,173300,0.0,0
2013-01-07,19.68,21.02,19.44,20.55,210300,0.0,0
2013-01-08,20.47,20.88,20.17,20.39,229400,0.0,0
2013-01-09,20.49,20.75,20.19,20.26,171800,0.0,0
2013-01-10,20.33,21.76,20.13,21.4,235200,0.0,0
2013-01-11,21.38,21.55,20.34,21.44,166300,0.0,0
2013-01-14,21.45,22.24,21.45,21.57,130400,0.0,0
2013-01-15,21.44,22.66,20.95,21.49,59300,0.0,0
2013-01-16,20.86,21.3,19.85,21.06,239500,0.0,0
2013-01-17,21.15,21.58,20.54,20.9,129800,0.0,0
2013-01-18,20.95,21.56,20.1,20.33,119400,0.0,0
2013-01-22,20.39,21.66,20.39,21.56,160100,0.0,0
2013-01-23,21.51,21.51,20.73,21.21,42700,0.0,0
