Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,7.55,7.63,7.5,7.52,4235600,0.0,0.0
2009-12-08,7.43,7.55,7.33,7.47,3678400,0.0,0.0
2009-12-09,7.44,7.53,7.34,7.52,3647600,0.0,0.0
2009-12-10,7.53,7.62,7.51,7.55,4050800,0.0,0.0
2009-12-11,7.62,7.62,7.52,7.58,2413600,0.0,0.0
2009-12-14,7.6,7.67,7.58,7.66,3260400,0.0,0.0
2009-12-15,7.64,7.7,7.54,7.65,3216800,0.0,0.0
2009-12-16,7.66,7.76,7.66,7.72,5108800,0.0,0.0
2009-12-17,7.66,7.77,7.6,7.73,4762800,0.0,0.0
2009-12-18,7.76,7.77,7.67,7.77,5485600,0.0,0.0
2009-12-21,7.78,7.95,7.77,7.94,4020000,0.0,0.0
2009-12-22,7.97,8.01,7.94,7.99,2536400,0.0,0.0
2009-12-23,7.98,8.09,7.95,8.07,4078400,0.0,0.0
2009-12-24,7.73,8.13,7.73,8.11,1057200,0.0,0.0
2009-12-28,8.16,8.21,8.12,8.2,4009600,0.0,0.0
2009-12-29,8.22,8.22,8.13,8.16,4545200,0.0,0.0
2009-12-30,8.12,8.2,8.12,8.16,3298800,0.0,0.0
2009-12-31,8.17,8.2,8.07,8.09,3614400,0.0,0.0
2010-01-04,8.17,8.24,8.1,8.17,6864000,0.0,0.0
2010-01-05,8.15,8.35,8.12,8.34,5797600,0.0,0.0
2010-01-06,8.59,9.04,8.56,8.89,20658800,0.0,0.0
2010-01-07,8.81,9.11,8.69,9.04,12490400,0.0,0.0
2010-01-08,9.12,9.17,8.95,9.13,6632400,0.0,0.0
2010-01-11,9.13,9.13,8.89,8.95,7970000,0.0,0.0
2010-01-12,8.89,9.0,8.85,8.95,5054800,0.0,0.0
2010-01-13,8.98,9.12,8.92,9.08,5322000,0.0,0.0
2010-01-14,9.03,9.19,8.95,9.0,5339200,0.0,0.0
2010-01-15,8.84,9.1,8.83,8.91,6596800,0.0,0.0
2010-01-19,8.46,9.04,8.43,8.71,18768800,0.0,0.0
2010-01-20,8.66,8.68,8.38,8.6,7822800,0.0,0.0
2010-01-21,8.61,8.68,8.45,8.46,6308000,0.0,0.0
2010-01-22,8.48,8.54,8.23,8.27,4772800,0.0,0.0
2010-01-25,8.32,8.33,8.17,8.29,4234800,0.0,0.0
2010-01-26,8.27,8.29,8.18,8.19,4563200,0.0,0.0
2010-01-27,8.15,8.23,8.12,8.21,4357600,0.0,0.0
2010-01-28,8.25,8.25,7.97,8.07,5966800,0.0,0.0
2010-01-29,8.09,8.26,8.06,8.06,5723200,0.0,0.0
2010-02-01,8.08,8.17,8.05,8.07,5687600,0.0,0.0
2010-02-02,8.11,8.37,8.09,8.35,7950000,0.0,0.0
2010-02-03,8.31,8.4,8.29,8.36,4773200,0.0,0.0
2010-02-04,8.32,8.34,8.17,8.19,6236800,0.0,0.0
2010-02-05,8.23,8.3,8.04,8.16,7738800,0.0,0.0
2010-02-08,8.16,8.16,8.0,8.01,6296000,0.0,0.0
2010-02-09,8.12,8.28,8.08,8.23,5453200,0.0,0.0
2010-02-10,8.25,8.36,8.12,8.15,4502800,0.1,0.0
2010-02-11,8.1,8.28,8.04,8.27,3526000,0.0,0.0
2010-02-12,8.19,8.25,8.13,8.21,4262400,0.0,0.0
2010-02-16,8.28,8.44,8.24,8.43,4319200,0.0,0.0
2010-02-17,8.45,8.51,8.36,8.46,3233200,0.0,0.0
2010-02-18,8.48,8.57,8.47,8.56,3139600,0.0,0.0
